"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1040,vt28_Kannus,2020/07/01,1,"11 HA-PA",10,6,2,2,2,42,50,90,71,69,76,114,117,101,131,154,180,141,110,91,62,49,34,21
1040,vt28_Kannus,2020/07/01,1,"12 KAIP",,1,,1,,,3,5,7,6,4,7,4,7,6,6,4,7,1,2,3,,1,1
1040,vt28_Kannus,2020/07/01,1,"13 Linja-autot",,,,,,,,,1,1,,,2,3,,,1,,,,,,,1
1040,vt28_Kannus,2020/07/01,1,"14 KAPP",,,,,,,2,1,1,,1,2,1,2,4,,1,1,1,,1,,1,
1040,vt28_Kannus,2020/07/01,1,"15 KATP",1,3,4,3,1,6,7,6,11,7,10,4,8,12,8,6,4,5,9,2,3,6,2,3
1040,vt28_Kannus,2020/07/01,1,"16 HA + PK",1,,,,,2,2,1,5,4,4,5,8,6,5,6,11,6,6,3,5,2,4,
1040,vt28_Kannus,2020/07/01,1,"17 HA + AV",,1,,,,,,,,2,,3,2,,3,1,2,1,1,,,,1,
1040,vt28_Kannus,2020/07/01,2,"11 HA-PA",4,4,2,1,4,40,104,90,68,81,83,105,150,143,141,185,165,116,107,87,68,39,36,21
1040,vt28_Kannus,2020/07/01,2,"12 KAIP",,,1,,2,3,6,2,3,5,5,5,8,3,3,4,4,3,,2,2,,1,
1040,vt28_Kannus,2020/07/01,2,"13 Linja-autot",,,,,,,,,,2,1,,,,1,,1,,,,,,1,
1040,vt28_Kannus,2020/07/01,2,"14 KAPP",,,,,,,1,3,2,2,2,1,1,,,,,1,2,,,1,,
1040,vt28_Kannus,2020/07/01,2,"15 KATP",2,1,3,5,6,2,5,7,4,2,5,8,6,7,7,6,7,8,7,4,7,5,3,2
1040,vt28_Kannus,2020/07/01,2,"16 HA + PK",1,,,,,,5,3,5,2,5,7,2,5,2,7,6,8,4,4,2,1,,
1040,vt28_Kannus,2020/07/01,2,"17 HA + AV",,,,,,,,1,1,,1,2,,3,1,1,1,,1,,,,,
1040,vt28_Kannus,2020/07/02,1,"11 HA-PA",16,7,4,3,3,40,59,88,102,81,79,122,112,126,103,186,165,148,97,87,92,76,44,26
1040,vt28_Kannus,2020/07/02,1,"12 KAIP",,,,,1,,2,7,6,5,6,9,9,4,9,12,7,8,8,5,2,1,5,1
1040,vt28_Kannus,2020/07/02,1,"13 Linja-autot",,,,,,,,,2,,1,,,2,1,1,,1,1,,1,,,
1040,vt28_Kannus,2020/07/02,1,"14 KAPP",,,,,,,1,2,2,1,3,2,,3,1,,2,1,1,,,,1,1
1040,vt28_Kannus,2020/07/02,1,"15 KATP",1,2,4,4,2,8,2,1,9,14,5,6,7,11,8,6,6,8,4,12,3,2,1,2
1040,vt28_Kannus,2020/07/02,1,"16 HA + PK",,1,,,,1,2,3,2,5,10,2,2,1,9,9,8,7,8,5,5,2,2,1
1040,vt28_Kannus,2020/07/02,1,"17 HA + AV",,,,,,,,,1,2,1,3,3,2,3,3,3,4,1,2,,,1,1
1040,vt28_Kannus,2020/07/02,2,"11 HA-PA",11,7,3,6,3,41,99,80,62,104,91,128,139,131,130,168,185,144,102,90,125,73,34,18
1040,vt28_Kannus,2020/07/02,2,"12 KAIP",,,,,3,4,4,4,2,1,6,5,4,3,7,5,2,5,5,2,4,,1,1
1040,vt28_Kannus,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,2,1,,1,,,,
1040,vt28_Kannus,2020/07/02,2,"14 KAPP",,,,,,,1,1,1,1,,1,1,2,1,3,2,3,,1,,,,
1040,vt28_Kannus,2020/07/02,2,"15 KATP",7,2,,4,3,6,5,3,2,6,12,6,7,4,10,8,8,9,8,4,4,1,5,5
1040,vt28_Kannus,2020/07/02,2,"16 HA + PK",,,,,,1,4,4,2,2,4,3,3,3,8,4,6,7,13,5,1,6,,
1040,vt28_Kannus,2020/07/02,2,"17 HA + AV",,1,,,,,,1,2,,,,,3,2,1,3,5,1,1,1,,1,
1040,vt28_Kannus,2020/07/03,1,"11 HA-PA",18,10,4,3,4,36,42,68,62,80,109,126,141,159,167,166,179,177,144,127,85,56,34,24
1040,vt28_Kannus,2020/07/03,1,"12 KAIP",,,,,1,1,3,4,6,5,9,7,10,3,7,8,10,4,3,3,6,1,,1
1040,vt28_Kannus,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,,,,1,1,,,,1,,1,,,1
1040,vt28_Kannus,2020/07/03,1,"14 KAPP",,,,,,1,,3,,2,3,2,1,1,1,,,2,,,1,,,
1040,vt28_Kannus,2020/07/03,1,"15 KATP",,3,7,4,4,4,5,4,7,10,8,4,9,5,10,6,4,5,2,1,2,,4,3
1040,vt28_Kannus,2020/07/03,1,"16 HA + PK",,,,,,,,1,3,3,3,6,4,6,3,10,15,13,6,5,6,1,1,2
1040,vt28_Kannus,2020/07/03,1,"17 HA + AV",,,1,,,,3,2,1,2,3,8,4,4,6,2,4,3,1,2,,,,
1040,vt28_Kannus,2020/07/03,2,"11 HA-PA",4,5,1,6,6,46,91,78,80,98,96,134,125,123,149,169,172,131,114,96,103,74,38,27
1040,vt28_Kannus,2020/07/03,2,"12 KAIP",,,,,1,4,5,3,2,5,6,6,11,5,2,5,2,5,1,3,1,1,1,
1040,vt28_Kannus,2020/07/03,2,"13 Linja-autot",,,,,,,,,1,,1,1,,,1,1,1,,,,,,,
1040,vt28_Kannus,2020/07/03,2,"14 KAPP",,1,,1,,1,,1,1,2,1,1,1,1,,4,2,,,,,,,
1040,vt28_Kannus,2020/07/03,2,"15 KATP",4,4,1,3,4,7,5,3,8,7,4,10,7,8,10,9,5,2,5,7,1,1,1,4
1040,vt28_Kannus,2020/07/03,2,"16 HA + PK",,,,,,1,4,3,,1,4,7,10,6,6,10,5,7,7,3,2,1,4,1
1040,vt28_Kannus,2020/07/03,2,"17 HA + AV",,,,,1,,1,1,2,3,2,2,3,4,1,3,3,6,1,2,1,,1,
1040,vt28_Kannus,2020/07/04,1,"11 HA-PA",21,12,11,14,2,8,17,23,41,62,84,113,122,146,134,150,122,109,106,84,51,46,29,8
1040,vt28_Kannus,2020/07/04,1,"12 KAIP",1,,,1,,1,,2,2,6,9,10,9,7,9,6,3,1,3,3,1,2,,1
1040,vt28_Kannus,2020/07/04,1,"13 Linja-autot",,,,,,,,,1,,1,2,,2,,,1,1,,,,1,,
1040,vt28_Kannus,2020/07/04,1,"14 KAPP",,,,,,,1,1,,,1,,1,,,,,,,,,,,1
1040,vt28_Kannus,2020/07/04,1,"15 KATP",3,,2,1,3,2,2,1,2,1,1,2,2,,2,2,1,2,1,1,,1,1,1
1040,vt28_Kannus,2020/07/04,1,"16 HA + PK",,,,1,,,,2,3,2,5,7,4,4,7,4,4,2,4,1,1,2,1,2
