"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
114,vt25_Virkkala,2020/07/01,1,"11 HA-PA",14,12,5,9,18,75,166,168,133,149,204,268,283,347,390,472,396,325,259,249,189,142,72,40
114,vt25_Virkkala,2020/07/01,1,"12 KAIP",,,1,,3,3,6,4,16,16,13,10,6,11,10,11,6,4,7,3,3,,2,
114,vt25_Virkkala,2020/07/01,1,"13 Linja-autot",,,,1,,1,2,5,3,1,1,2,3,1,,3,2,,,2,,1,,
114,vt25_Virkkala,2020/07/01,1,"14 KAPP",1,,,,1,1,6,8,3,6,9,8,6,10,5,14,15,14,9,7,5,3,3,1
114,vt25_Virkkala,2020/07/01,1,"15 KATP",3,1,1,3,2,1,6,11,8,15,7,10,10,13,16,12,15,14,9,7,1,3,1,1
114,vt25_Virkkala,2020/07/01,1,"16 HA + PK",,,,,,2,,,8,6,8,9,7,6,10,8,8,8,5,4,5,3,2,
114,vt25_Virkkala,2020/07/01,1,"17 HA + AV",,,,,,,,2,2,3,2,3,4,2,3,7,4,6,1,2,3,1,,1
114,vt25_Virkkala,2020/07/01,2,"11 HA-PA",22,15,4,8,18,157,270,235,188,244,249,279,329,332,348,376,331,311,222,179,155,144,75,29
114,vt25_Virkkala,2020/07/01,2,"12 KAIP",,,,2,3,4,14,5,8,14,15,7,14,18,20,12,6,5,6,,1,1,,
114,vt25_Virkkala,2020/07/01,2,"13 Linja-autot",,1,,,,1,3,2,3,2,,3,1,2,3,6,1,1,4,4,1,1,1,
114,vt25_Virkkala,2020/07/01,2,"14 KAPP",,,,,4,2,6,5,13,8,11,9,6,9,6,8,5,5,6,6,7,3,1,
114,vt25_Virkkala,2020/07/01,2,"15 KATP",,3,,3,2,4,14,7,16,6,14,21,12,8,8,7,11,7,5,6,6,5,3,1
114,vt25_Virkkala,2020/07/01,2,"16 HA + PK",,,,,,,4,1,4,6,7,13,7,10,8,6,10,7,4,5,4,5,1,
114,vt25_Virkkala,2020/07/01,2,"17 HA + AV",,1,,,1,,1,1,4,,2,3,1,5,2,2,2,2,4,,2,1,1,
114,vt25_Virkkala,2020/07/02,1,"11 HA-PA",28,11,9,9,26,71,154,156,151,206,248,306,323,344,360,487,453,343,341,275,176,127,65,20
114,vt25_Virkkala,2020/07/02,1,"12 KAIP",1,,,,3,3,12,12,17,10,18,7,14,15,11,9,12,6,3,8,3,2,2,
114,vt25_Virkkala,2020/07/02,1,"13 Linja-autot",,,,,1,,4,4,,3,3,2,4,4,1,1,1,2,3,,3,2,,
114,vt25_Virkkala,2020/07/02,1,"14 KAPP",1,,1,,,1,7,6,5,9,7,9,6,13,8,14,9,12,17,11,6,5,4,1
114,vt25_Virkkala,2020/07/02,1,"15 KATP",1,,1,1,2,3,4,16,7,13,10,7,16,12,11,19,12,10,6,10,6,5,4,
114,vt25_Virkkala,2020/07/02,1,"16 HA + PK",1,,,,2,,,7,2,2,7,4,8,11,8,11,14,20,11,5,4,3,3,
114,vt25_Virkkala,2020/07/02,1,"17 HA + AV",,,,,,1,,4,1,2,5,4,6,1,3,7,4,3,1,2,2,2,1,1
114,vt25_Virkkala,2020/07/02,2,"11 HA-PA",9,12,6,5,17,146,264,257,231,257,271,301,294,338,363,392,408,353,277,199,164,140,50,16
114,vt25_Virkkala,2020/07/02,2,"12 KAIP",,,3,1,1,9,9,14,7,8,11,12,19,12,11,12,12,4,5,4,3,1,1,
114,vt25_Virkkala,2020/07/02,2,"13 Linja-autot",,,,,2,2,3,1,3,2,5,1,2,1,4,1,1,4,3,1,,,,1
114,vt25_Virkkala,2020/07/02,2,"14 KAPP",1,1,,,,2,2,6,13,19,8,12,4,9,8,7,1,8,7,5,5,2,,
114,vt25_Virkkala,2020/07/02,2,"15 KATP",2,1,1,1,1,7,9,7,17,15,19,17,19,17,12,18,13,7,9,8,7,5,2,
114,vt25_Virkkala,2020/07/02,2,"16 HA + PK",1,,,,,2,4,4,5,6,8,12,12,10,5,7,15,11,12,9,5,4,,
114,vt25_Virkkala,2020/07/02,2,"17 HA + AV",,,,,,,1,2,5,1,1,2,2,4,2,8,5,1,4,2,1,,2,
114,vt25_Virkkala,2020/07/03,1,"11 HA-PA",22,7,6,3,15,83,133,158,167,190,328,374,402,402,469,543,504,456,359,302,230,148,91,52
114,vt25_Virkkala,2020/07/03,1,"12 KAIP",2,,1,1,,4,9,11,13,8,15,16,13,12,12,9,9,5,6,2,2,5,3,
114,vt25_Virkkala,2020/07/03,1,"13 Linja-autot",,,,,1,1,2,3,1,1,1,4,4,3,3,1,4,,2,2,2,,,
114,vt25_Virkkala,2020/07/03,1,"14 KAPP",1,,,,,2,1,7,8,7,4,15,5,10,8,12,11,12,10,1,3,1,2,
114,vt25_Virkkala,2020/07/03,1,"15 KATP",3,,,2,,1,5,10,11,8,14,8,11,13,10,16,11,4,2,4,2,1,,3
114,vt25_Virkkala,2020/07/03,1,"16 HA + PK",2,,1,1,1,1,,8,7,7,9,6,18,13,9,14,12,11,8,12,1,3,2,
114,vt25_Virkkala,2020/07/03,1,"17 HA + AV",,,,,,,1,2,2,3,,3,6,3,1,4,5,4,7,2,,,,
114,vt25_Virkkala,2020/07/03,2,"11 HA-PA",9,8,3,3,19,133,275,240,212,239,266,328,332,355,431,419,414,388,302,225,157,156,85,59
114,vt25_Virkkala,2020/07/03,2,"12 KAIP",,,1,2,3,12,13,11,8,12,10,8,19,12,18,14,8,8,6,4,3,1,1,
114,vt25_Virkkala,2020/07/03,2,"13 Linja-autot",,1,,,,,1,3,,3,1,,1,2,,3,2,1,3,2,1,2,,1
114,vt25_Virkkala,2020/07/03,2,"14 KAPP",,,,,1,4,3,9,11,12,17,8,8,,7,5,6,6,9,1,2,1,1,
114,vt25_Virkkala,2020/07/03,2,"15 KATP",1,,1,,8,3,13,7,13,20,10,17,9,11,7,6,5,2,7,1,6,1,1,1
114,vt25_Virkkala,2020/07/03,2,"16 HA + PK",,1,,,,1,2,5,13,10,11,9,7,11,13,14,8,8,3,3,4,2,4,1
114,vt25_Virkkala,2020/07/03,2,"17 HA + AV",,,,,,1,2,1,1,1,3,2,3,4,6,4,2,1,2,3,,1,,
114,vt25_Virkkala,2020/07/04,1,"11 HA-PA",44,20,22,13,18,35,24,48,87,178,254,336,379,376,311,282,256,234,192,146,133,102,57,37
114,vt25_Virkkala,2020/07/04,1,"12 KAIP",2,,,,,1,,,,4,5,4,4,1,2,2,2,5,3,1,2,,1,
114,vt25_Virkkala,2020/07/04,1,"13 Linja-autot",,,,,,,,,1,1,2,,2,,2,1,,1,,,,,,
114,vt25_Virkkala,2020/07/04,1,"14 KAPP",,1,,1,,3,2,1,5,7,5,3,2,3,2,1,,1,2,,1,,,
114,vt25_Virkkala,2020/07/04,1,"15 KATP",,4,,,1,,1,,1,1,1,2,1,1,,1,,2,1,,,1,1,1
114,vt25_Virkkala,2020/07/04,1,"16 HA + PK",1,,,,1,1,,1,4,5,8,15,9,6,3,11,6,4,3,2,5,2,,
114,vt25_Virkkala,2020/07/04,1,"17 HA + AV",,,,,,,1,,1,3,2,2,1,4,,2,3,1,1,2,1,,,
114,vt25_Virkkala,2020/07/04,2,"11 HA-PA",41,38,23,39,23,57,50,87,128,217,298,363,416,445,332,271,271,217,204,176,115,103,66,34
114,vt25_Virkkala,2020/07/04,2,"12 KAIP",,2,,1,,,1,1,5,1,4,6,2,4,2,3,1,2,,3,4,3,2,1
114,vt25_Virkkala,2020/07/04,2,"13 Linja-autot",,,,,,,,,,,,,1,,1,,1,,1,,,1,,1
114,vt25_Virkkala,2020/07/04,2,"14 KAPP",,,,,,1,,2,3,,3,4,5,1,,4,,3,1,,,,,
114,vt25_Virkkala,2020/07/04,2,"15 KATP",,1,1,,,,1,,3,,4,1,1,4,,1,1,2,,1,1,,,
114,vt25_Virkkala,2020/07/04,2,"16 HA + PK",1,,,,,1,1,1,3,8,13,7,7,11,11,5,8,5,4,1,2,1,,
114,vt25_Virkkala,2020/07/04,2,"17 HA + AV",1,,,,1,,,,1,,4,4,4,2,2,,,1,3,3,,1,,
114,vt25_Virkkala,2020/07/05,1,"11 HA-PA",29,25,17,17,17,37,16,35,46,97,192,299,352,320,287,297,223,252,209,164,119,104,48,29
114,vt25_Virkkala,2020/07/05,1,"12 KAIP",,,,,,,,2,,4,1,,1,,3,2,4,4,1,2,1,1,2,
114,vt25_Virkkala,2020/07/05,1,"13 Linja-autot",,,,,,,,2,,1,2,2,1,1,,1,,1,,,,,1,
114,vt25_Virkkala,2020/07/05,1,"14 KAPP",,,,,,,1,1,1,1,,1,,,3,1,4,5,1,5,4,,2,1
114,vt25_Virkkala,2020/07/05,1,"15 KATP",,,,,,,1,2,,1,,,,1,1,1,,5,4,3,3,1,3,
114,vt25_Virkkala,2020/07/05,1,"16 HA + PK",,,,,1,,,,,3,2,8,7,8,7,6,4,5,6,8,4,3,1,
114,vt25_Virkkala,2020/07/05,1,"17 HA + AV",,,,,1,,,,1,3,,2,2,1,2,1,3,,3,,5,,1,
114,vt25_Virkkala,2020/07/05,2,"11 HA-PA",43,44,27,16,12,39,47,35,65,122,200,263,293,376,422,456,397,451,351,234,180,92,40,18
114,vt25_Virkkala,2020/07/05,2,"12 KAIP",,,,,,,1,,,1,1,1,5,3,6,5,3,6,3,5,4,3,2,1
114,vt25_Virkkala,2020/07/05,2,"13 Linja-autot",,,,,,,,,,,,,,1,,2,,1,2,1,,,1,1
114,vt25_Virkkala,2020/07/05,2,"14 KAPP",,,,,,,,,1,3,3,3,1,,2,1,2,4,5,1,3,7,1,
114,vt25_Virkkala,2020/07/05,2,"15 KATP",,,,,,,1,,3,,4,3,1,2,1,,,2,1,,2,4,2,1
114,vt25_Virkkala,2020/07/05,2,"16 HA + PK",,,,,,,,,1,3,11,5,10,14,13,20,6,2,9,8,4,4,,
114,vt25_Virkkala,2020/07/05,2,"17 HA + AV",,,,,,,1,,1,1,,1,4,3,3,2,4,3,5,2,,,,
114,vt25_Virkkala,2020/07/06,1,"11 HA-PA",13,7,3,8,15,55,102,138,152,180,236,301,284,317,355,400,351,331,237,200,155,92,68,17
114,vt25_Virkkala,2020/07/06,1,"12 KAIP",,,2,1,2,1,11,18,11,4,9,8,12,11,13,10,7,4,4,6,1,3,,1
114,vt25_Virkkala,2020/07/06,1,"13 Linja-autot",,,,,1,2,2,2,3,5,1,3,1,2,4,,1,,1,2,1,,,
114,vt25_Virkkala,2020/07/06,1,"14 KAPP",,,1,1,,2,2,4,4,5,4,6,8,10,20,13,19,12,6,10,11,,3,
114,vt25_Virkkala,2020/07/06,1,"15 KATP",2,,,2,1,3,11,8,4,9,9,6,7,14,10,12,6,11,6,2,5,5,2,
114,vt25_Virkkala,2020/07/06,1,"16 HA + PK",1,,,,,1,,1,11,9,7,10,10,9,12,10,11,11,18,4,6,3,,
114,vt25_Virkkala,2020/07/06,1,"17 HA + AV",,,,,,1,1,5,2,3,2,2,3,1,2,2,6,5,1,3,1,1,,
114,vt25_Virkkala,2020/07/06,2,"11 HA-PA",12,6,1,2,24,118,268,245,237,240,258,289,306,310,343,351,347,296,199,157,145,94,39,17
114,vt25_Virkkala,2020/07/06,2,"12 KAIP",,,,,,4,13,8,6,8,7,10,7,10,14,13,7,1,6,4,2,2,,
114,vt25_Virkkala,2020/07/06,2,"13 Linja-autot",,,,,1,2,3,,3,3,4,2,4,,1,4,1,1,,3,,1,1,1
114,vt25_Virkkala,2020/07/06,2,"14 KAPP",,,,,2,1,10,12,5,12,12,10,12,8,8,10,7,13,6,10,8,4,3,
114,vt25_Virkkala,2020/07/06,2,"15 KATP",1,1,,1,,4,16,8,7,12,12,6,9,10,5,8,15,11,10,9,5,3,1,1
114,vt25_Virkkala,2020/07/06,2,"16 HA + PK",,,,,,1,5,3,9,12,6,12,13,12,8,9,6,9,4,8,2,2,4,
114,vt25_Virkkala,2020/07/06,2,"17 HA + AV",,,,,,,3,3,2,3,2,3,4,3,1,3,,4,,2,3,1,1,
114,vt25_Virkkala,2020/07/07,1,"11 HA-PA",11,6,9,7,12,43,92,165,128,155,219,271,304,354,367,422,421,332,241,210,141,105,60,36
114,vt25_Virkkala,2020/07/07,1,"12 KAIP",,,,,2,6,9,15,21,21,11,10,12,14,15,9,9,8,9,4,4,1,,
114,vt25_Virkkala,2020/07/07,1,"13 Linja-autot",,,,,1,,2,6,1,2,2,1,4,1,1,1,4,3,,1,2,,,
114,vt25_Virkkala,2020/07/07,1,"14 KAPP",,,1,,1,1,6,3,2,5,4,5,13,11,19,15,10,7,12,4,6,2,1,
114,vt25_Virkkala,2020/07/07,1,"15 KATP",,1,2,2,1,1,4,8,9,7,10,10,11,14,8,11,11,5,5,4,5,3,2,
114,vt25_Virkkala,2020/07/07,1,"16 HA + PK",,,,,,,1,1,6,5,6,8,8,10,16,11,8,5,6,6,2,2,2,
114,vt25_Virkkala,2020/07/07,1,"17 HA + AV",,,,,,,,3,2,4,3,2,1,6,1,1,5,2,,,1,,1,
114,vt25_Virkkala,2020/07/07,2,"11 HA-PA",13,6,6,10,26,88,239,261,217,259,246,282,304,294,344,319,348,309,239,179,138,80,44,28
114,vt25_Virkkala,2020/07/07,2,"12 KAIP",,,1,,3,4,13,13,13,8,9,9,15,10,15,13,12,10,4,6,,,,
114,vt25_Virkkala,2020/07/07,2,"13 Linja-autot",,,,,1,,1,,2,3,2,,1,4,1,1,3,3,2,2,,,,1
114,vt25_Virkkala,2020/07/07,2,"14 KAPP",2,,1,,2,4,10,13,9,9,2,5,9,5,3,9,9,7,6,6,4,5,,1
114,vt25_Virkkala,2020/07/07,2,"15 KATP",,1,1,1,2,11,9,11,5,12,13,9,12,8,10,8,14,9,5,4,2,5,1,1
114,vt25_Virkkala,2020/07/07,2,"16 HA + PK",,,,,,1,3,10,6,7,9,12,13,12,14,8,7,4,8,3,1,2,,1
114,vt25_Virkkala,2020/07/07,2,"17 HA + AV",,,,,,1,2,3,3,3,3,3,,2,4,2,1,1,,4,,1,,
114,vt25_Virkkala,2020/07/08,1,"11 HA-PA",18,12,6,6,9,52,115,158,137,185,259,307,298,316,349,447,447,350,246,222,138,124,69,26
114,vt25_Virkkala,2020/07/08,1,"12 KAIP",,1,1,,2,1,15,10,12,6,6,12,12,12,12,15,4,6,3,1,2,2,2,1
114,vt25_Virkkala,2020/07/08,1,"13 Linja-autot",,,,,1,1,2,4,1,3,,,2,4,,1,1,3,1,2,,,,
114,vt25_Virkkala,2020/07/08,1,"14 KAPP",,2,,,2,3,5,9,6,7,3,6,15,7,13,15,10,12,6,3,3,2,2,2
114,vt25_Virkkala,2020/07/08,1,"15 KATP",1,2,2,,1,4,5,11,4,13,10,12,11,16,9,15,12,8,3,6,4,,2,2
114,vt25_Virkkala,2020/07/08,1,"16 HA + PK",,,,1,,1,5,3,3,7,9,9,18,13,8,12,5,16,6,9,2,3,5,
114,vt25_Virkkala,2020/07/08,1,"17 HA + AV",,,,,,,2,2,4,1,3,3,,2,4,1,2,4,3,,,1,,
