"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1228,st847_Haukipudas,2020/07/01,1,"11 HA-PA",21,17,9,6,17,43,86,129,109,166,196,232,275,294,381,481,477,415,341,258,197,129,74,45
1228,st847_Haukipudas,2020/07/01,1,"12 KAIP",,1,,,1,2,6,7,6,8,9,9,6,6,8,9,6,3,1,3,,3,,1
1228,st847_Haukipudas,2020/07/01,1,"13 Linja-autot",1,,,,1,1,2,2,4,3,5,2,4,4,4,3,5,5,4,4,3,3,2,1
1228,st847_Haukipudas,2020/07/01,1,"14 KAPP",,,,,,,1,2,2,1,3,2,3,2,3,3,,1,,,1,,,
1228,st847_Haukipudas,2020/07/01,1,"15 KATP",,,,1,2,2,2,6,2,7,5,2,3,4,5,2,2,,1,,,1,,
1228,st847_Haukipudas,2020/07/01,1,"16 HA + PK",,,1,,,,3,,2,4,9,9,8,10,12,13,26,15,11,13,2,2,,
1228,st847_Haukipudas,2020/07/01,1,"17 HA + AV",1,,,,1,,1,1,,,2,1,1,1,1,3,1,,5,2,1,,,
1228,st847_Haukipudas,2020/07/01,2,"11 HA-PA",14,20,7,8,17,73,282,276,197,201,202,290,274,297,277,299,318,301,276,277,237,170,96,43
1228,st847_Haukipudas,2020/07/01,2,"12 KAIP",,,1,,,2,2,5,10,12,6,8,8,8,5,10,4,6,2,2,,,1,
1228,st847_Haukipudas,2020/07/01,2,"13 Linja-autot",,,,,1,2,3,3,2,4,4,3,3,3,4,3,3,6,4,3,2,4,2,
1228,st847_Haukipudas,2020/07/01,2,"14 KAPP",,,1,,,,,2,1,,1,,2,1,2,1,,,1,,,,,
1228,st847_Haukipudas,2020/07/01,2,"15 KATP",,,,,1,3,6,1,2,1,2,3,5,6,5,4,4,,1,1,1,,1,
1228,st847_Haukipudas,2020/07/01,2,"16 HA + PK",,,,,1,3,2,9,5,14,9,11,8,7,11,17,14,15,13,7,3,3,2,
1228,st847_Haukipudas,2020/07/01,2,"17 HA + AV",,,,,,,1,1,,1,1,6,1,,1,2,,1,1,,3,,,
1228,st847_Haukipudas,2020/07/02,1,"11 HA-PA",17,9,12,5,20,39,99,113,153,170,212,216,236,279,357,477,533,416,334,265,231,120,87,49
1228,st847_Haukipudas,2020/07/02,1,"12 KAIP",1,1,,1,1,2,1,10,6,3,6,7,5,7,1,2,3,5,3,,2,3,,
1228,st847_Haukipudas,2020/07/02,1,"13 Linja-autot",1,,,,1,2,2,3,4,4,4,3,4,4,5,3,5,4,4,4,3,3,2,1
1228,st847_Haukipudas,2020/07/02,1,"14 KAPP",,,,,,1,1,2,2,1,2,1,3,1,1,1,2,1,,,,1,,
1228,st847_Haukipudas,2020/07/02,1,"15 KATP",,,,1,,5,1,4,1,4,4,2,2,2,2,3,1,1,5,,1,,,
1228,st847_Haukipudas,2020/07/02,1,"16 HA + PK",,,,,,,1,3,5,3,11,8,10,16,20,10,9,10,13,8,11,1,3,1
1228,st847_Haukipudas,2020/07/02,1,"17 HA + AV",,,,,,,,1,,1,1,3,1,2,6,2,2,2,2,,,,,
1228,st847_Haukipudas,2020/07/02,2,"11 HA-PA",24,18,8,4,26,82,249,275,211,185,261,297,305,275,297,307,274,285,294,312,282,161,105,60
1228,st847_Haukipudas,2020/07/02,2,"12 KAIP",,,1,,1,,7,4,8,6,9,7,4,8,7,5,7,6,9,2,2,,2,
1228,st847_Haukipudas,2020/07/02,2,"13 Linja-autot",,,,,1,3,3,3,2,6,3,4,3,4,3,5,2,6,4,3,4,2,2,1
1228,st847_Haukipudas,2020/07/02,2,"14 KAPP",,1,,,,,4,1,2,2,,3,3,,2,1,,,,,1,,,
1228,st847_Haukipudas,2020/07/02,2,"15 KATP",,,,,2,2,4,2,5,6,3,1,5,6,5,2,2,5,,,,,,1
1228,st847_Haukipudas,2020/07/02,2,"16 HA + PK",,,,,1,1,6,5,11,9,13,13,16,12,12,15,13,13,16,6,8,2,4,2
1228,st847_Haukipudas,2020/07/02,2,"17 HA + AV",,,,,,,2,1,3,2,,2,3,1,2,,1,1,,,,,,
1228,st847_Haukipudas,2020/07/03,1,"11 HA-PA",24,12,18,11,10,40,103,106,118,181,218,273,282,300,391,443,436,350,317,245,185,128,74,51
1228,st847_Haukipudas,2020/07/03,1,"12 KAIP",1,,,,,1,5,8,1,5,9,8,7,8,10,3,5,7,,,1,1,1,
1228,st847_Haukipudas,2020/07/03,1,"13 Linja-autot",2,,,,1,2,2,3,4,4,4,3,4,5,4,3,6,4,4,4,3,3,3,1
1228,st847_Haukipudas,2020/07/03,1,"14 KAPP",1,1,,,,1,,2,1,1,2,1,1,,1,,1,,,,,,,
1228,st847_Haukipudas,2020/07/03,1,"15 KATP",1,,,1,,3,4,5,4,3,5,4,2,3,2,3,3,2,,2,1,,,
1228,st847_Haukipudas,2020/07/03,1,"16 HA + PK",,1,,,1,,2,4,3,4,7,8,19,20,14,13,15,7,17,12,5,2,1,1
1228,st847_Haukipudas,2020/07/03,1,"17 HA + AV",,,,1,,1,1,2,2,2,1,2,2,3,4,1,1,1,1,,1,1,,1
1228,st847_Haukipudas,2020/07/03,2,"11 HA-PA",39,11,12,9,21,69,242,256,196,190,251,299,302,331,314,304,313,287,285,228,204,134,77,54
1228,st847_Haukipudas,2020/07/03,2,"12 KAIP",1,,1,,,2,4,4,2,8,8,8,9,7,5,5,6,6,,,,,,
1228,st847_Haukipudas,2020/07/03,2,"13 Linja-autot",,,,,1,2,3,2,2,5,3,4,4,3,5,5,2,5,5,2,4,3,2,2
1228,st847_Haukipudas,2020/07/03,2,"14 KAPP",,,,,,,4,3,,2,3,,1,,2,1,,,,,1,,1,
1228,st847_Haukipudas,2020/07/03,2,"15 KATP",1,2,,,,3,4,5,5,7,4,6,5,4,5,1,2,4,1,,1,,,
1228,st847_Haukipudas,2020/07/03,2,"16 HA + PK",3,1,1,1,3,3,5,7,5,14,20,11,10,15,11,15,3,16,10,7,1,3,,1
1228,st847_Haukipudas,2020/07/03,2,"17 HA + AV",,,,,,,1,1,2,4,4,1,,,1,2,,,1,,1,,,
1228,st847_Haukipudas,2020/07/04,1,"11 HA-PA",41,22,32,15,19,20,40,60,92,129,193,277,283,312,324,284,307,232,252,177,137,112,56,50
1228,st847_Haukipudas,2020/07/04,1,"12 KAIP",1,,,1,,,1,,1,3,3,1,2,,5,2,1,2,1,1,2,1,1,
1228,st847_Haukipudas,2020/07/04,1,"13 Linja-autot",1,1,,1,,,,2,2,2,3,2,3,1,3,3,3,2,3,2,3,2,3,1
1228,st847_Haukipudas,2020/07/04,1,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,,,
1228,st847_Haukipudas,2020/07/04,1,"15 KATP",,,,,1,,,2,2,2,,3,2,3,2,2,,,,,,,,1
1228,st847_Haukipudas,2020/07/04,1,"16 HA + PK",,,,,,,,1,,9,13,12,17,17,13,14,8,4,3,3,1,4,1,
1228,st847_Haukipudas,2020/07/04,1,"17 HA + AV",,,,,,,,,1,,,,3,,2,1,2,,2,,,1,,
1228,st847_Haukipudas,2020/07/04,2,"11 HA-PA",34,29,23,17,14,22,51,44,90,152,215,246,320,330,310,299,271,269,222,204,154,139,92,68
1228,st847_Haukipudas,2020/07/04,2,"12 KAIP",,,,,1,1,2,,4,1,1,1,1,5,,1,2,1,3,1,,,1,1
1228,st847_Haukipudas,2020/07/04,2,"13 Linja-autot",,,1,,,,,2,1,2,2,3,3,3,3,4,1,2,3,3,2,3,2,
1228,st847_Haukipudas,2020/07/04,2,"14 KAPP",1,,,,,,,,,,1,,,,,,,1,,,,,,
1228,st847_Haukipudas,2020/07/04,2,"15 KATP",,,,,,,1,1,2,1,1,3,2,2,,1,,,,1,,,,
1228,st847_Haukipudas,2020/07/04,2,"16 HA + PK",1,,,,,,2,2,4,9,17,12,21,10,13,13,6,11,1,4,,2,1,
1228,st847_Haukipudas,2020/07/04,2,"17 HA + AV",,,,,,,,1,,2,3,,2,2,,1,,2,,1,,,,
1228,st847_Haukipudas,2020/07/05,1,"11 HA-PA",48,31,44,32,14,15,32,54,55,100,140,189,263,266,317,299,339,329,274,227,164,100,52,31
1228,st847_Haukipudas,2020/07/05,1,"12 KAIP",1,,,1,,,,,,1,,1,1,1,1,1,,1,2,3,1,3,,1
1228,st847_Haukipudas,2020/07/05,1,"13 Linja-autot",,1,1,1,,,,1,2,2,2,2,3,2,3,2,3,4,3,2,2,1,2,1
1228,st847_Haukipudas,2020/07/05,1,"15 KATP",,,,1,,,1,,,,,,1,,1,5,,2,1,,,1,,1
1228,st847_Haukipudas,2020/07/05,1,"16 HA + PK",,1,,,,,,1,,3,5,1,4,7,15,13,10,14,8,11,7,4,2,
1228,st847_Haukipudas,2020/07/05,1,"17 HA + AV",,,,,,,,,1,,,2,2,1,,1,1,,,2,,,2,
