"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1237,vt4_Oulu_Intiö,2020/07/01,1,"11 HA-PA",140,84,73,75,97,347,1013,1106,1011,935,1037,1215,1333,1640,1908,2476,2353,1867,1548,1254,987,860,452,238
1237,vt4_Oulu_Intiö,2020/07/01,1,"12 KAIP",8,12,4,9,12,10,54,55,72,62,97,74,100,112,90,81,75,49,36,30,13,24,16,9
1237,vt4_Oulu_Intiö,2020/07/01,1,"13 Linja-autot",,,,,2,4,4,2,2,1,2,,1,2,6,1,4,2,1,1,2,2,3,2
1237,vt4_Oulu_Intiö,2020/07/01,1,"14 KAPP",2,,3,,2,2,5,10,18,12,14,14,8,12,18,10,10,13,8,7,4,5,4,
1237,vt4_Oulu_Intiö,2020/07/01,1,"15 KATP",17,24,21,17,29,18,38,37,43,29,33,27,32,33,30,19,25,29,17,19,27,27,15,20
1237,vt4_Oulu_Intiö,2020/07/01,1,"16 HA + PK",2,2,1,1,,2,9,14,21,33,34,38,39,58,46,43,52,65,42,32,30,17,7,6
1237,vt4_Oulu_Intiö,2020/07/01,1,"17 HA + AV",3,,1,,,4,1,6,2,8,5,6,9,8,12,13,6,10,5,5,5,2,3,
1237,vt4_Oulu_Intiö,2020/07/01,2,"11 HA-PA",118,100,65,62,137,446,1484,1675,1219,1172,1207,1421,1557,1630,1678,2160,1939,1623,1291,1197,950,671,447,218
1237,vt4_Oulu_Intiö,2020/07/01,2,"12 KAIP",11,4,10,9,16,16,78,70,66,69,90,89,85,112,91,81,44,30,25,22,13,11,14,8
1237,vt4_Oulu_Intiö,2020/07/01,2,"13 Linja-autot",1,,,1,1,2,,1,2,4,1,2,1,5,1,5,,,3,,1,1,,1
1237,vt4_Oulu_Intiö,2020/07/01,2,"14 KAPP",,1,2,2,2,2,10,19,12,16,13,19,18,19,16,19,14,16,11,15,10,5,3,2
1237,vt4_Oulu_Intiö,2020/07/01,2,"15 KATP",9,14,13,11,11,23,28,25,44,40,36,40,35,39,47,47,38,34,39,34,30,23,26,9
1237,vt4_Oulu_Intiö,2020/07/01,2,"16 HA + PK",4,,1,1,,7,11,12,23,37,33,45,52,50,66,61,66,43,52,31,20,8,14,8
1237,vt4_Oulu_Intiö,2020/07/01,2,"17 HA + AV",1,1,,,,,2,4,5,5,8,11,6,9,8,13,7,5,4,5,3,3,3,2
1237,vt4_Oulu_Intiö,2020/07/02,1,"11 HA-PA",163,118,82,84,125,336,1034,1091,1028,983,1050,1206,1405,1524,1950,2446,2243,1875,1615,1186,1038,781,549,328
1237,vt4_Oulu_Intiö,2020/07/02,1,"12 KAIP",15,16,2,16,13,14,50,57,88,76,78,76,77,71,83,76,56,40,34,39,21,15,11,14
1237,vt4_Oulu_Intiö,2020/07/02,1,"13 Linja-autot",,,,,1,4,3,1,2,3,,1,3,4,1,2,3,2,,1,1,2,2,2
1237,vt4_Oulu_Intiö,2020/07/02,1,"14 KAPP",2,,1,2,2,3,8,10,11,9,18,11,13,15,11,11,13,12,7,7,5,9,6,3
1237,vt4_Oulu_Intiö,2020/07/02,1,"15 KATP",25,19,16,24,21,37,35,34,27,49,32,28,35,27,19,20,20,23,22,21,24,19,22,20
1237,vt4_Oulu_Intiö,2020/07/02,1,"16 HA + PK",3,1,2,1,1,3,10,23,35,26,44,31,42,48,49,51,59,32,48,37,25,17,8,6
1237,vt4_Oulu_Intiö,2020/07/02,1,"17 HA + AV",2,,,,,3,1,3,3,1,3,5,8,6,11,12,4,7,5,4,9,2,2,3
1237,vt4_Oulu_Intiö,2020/07/02,2,"11 HA-PA",171,110,71,75,150,474,1356,1587,1227,1191,1177,1393,1524,1584,1629,2137,1928,1560,1359,1208,992,745,446,264
1237,vt4_Oulu_Intiö,2020/07/02,2,"12 KAIP",8,14,8,10,13,40,63,67,75,79,83,82,87,85,76,64,45,34,21,26,20,14,11,9
1237,vt4_Oulu_Intiö,2020/07/02,2,"13 Linja-autot",2,,,,1,4,1,3,1,4,1,2,3,1,6,4,1,1,2,,,,2,2
1237,vt4_Oulu_Intiö,2020/07/02,2,"14 KAPP",4,1,2,,2,3,11,9,14,18,14,21,23,19,17,18,23,13,13,12,11,6,7,2
1237,vt4_Oulu_Intiö,2020/07/02,2,"15 KATP",15,9,6,17,20,16,23,29,34,41,34,35,35,49,59,40,36,34,48,33,19,22,24,12
1237,vt4_Oulu_Intiö,2020/07/02,2,"16 HA + PK",4,2,,2,1,4,10,16,38,37,50,46,54,62,70,70,59,54,51,43,21,8,8,6
1237,vt4_Oulu_Intiö,2020/07/02,2,"17 HA + AV",,,,,1,2,4,1,2,2,5,7,15,7,5,11,13,7,7,5,4,4,1,1
1237,vt4_Oulu_Intiö,2020/07/03,1,"11 HA-PA",167,125,113,80,117,305,923,1051,917,907,1043,1311,1530,1803,2197,2487,2247,1849,1503,1200,1108,800,534,348
1237,vt4_Oulu_Intiö,2020/07/03,1,"12 KAIP",7,7,11,6,13,15,48,57,48,67,63,61,74,82,73,67,54,37,28,23,14,11,8,4
1237,vt4_Oulu_Intiö,2020/07/03,1,"13 Linja-autot",1,,,,1,3,4,1,,,1,,2,4,4,4,3,2,1,,4,1,2,
1237,vt4_Oulu_Intiö,2020/07/03,1,"14 KAPP",1,1,2,,3,4,5,11,11,9,11,7,10,6,12,9,11,7,8,4,1,4,1,1
1237,vt4_Oulu_Intiö,2020/07/03,1,"15 KATP",23,23,15,25,20,28,36,36,49,36,29,38,27,24,20,16,20,12,12,16,13,15,12,13
1237,vt4_Oulu_Intiö,2020/07/03,1,"16 HA + PK",6,2,2,2,1,3,12,21,21,25,34,38,55,51,55,78,54,60,44,33,32,12,13,11
1237,vt4_Oulu_Intiö,2020/07/03,1,"17 HA + AV",,,1,1,,4,2,3,3,9,3,8,10,12,11,11,6,12,11,7,11,7,2,
1237,vt4_Oulu_Intiö,2020/07/03,2,"11 HA-PA",193,136,102,68,153,412,1283,1509,1164,1140,1215,1497,1650,1817,1995,2247,1993,1587,1290,1071,890,680,460,321
1237,vt4_Oulu_Intiö,2020/07/03,2,"12 KAIP",6,8,8,11,14,26,51,67,56,60,83,62,68,74,73,39,30,33,24,14,15,8,13,7
1237,vt4_Oulu_Intiö,2020/07/03,2,"13 Linja-autot",2,,1,,,3,,1,1,3,1,2,1,2,4,4,,1,4,,,1,,
1237,vt4_Oulu_Intiö,2020/07/03,2,"14 KAPP",2,1,3,1,1,3,13,10,16,16,11,21,20,18,17,18,15,14,12,4,8,4,1,
1237,vt4_Oulu_Intiö,2020/07/03,2,"15 KATP",10,9,8,10,13,21,26,33,34,35,48,35,49,32,46,39,26,17,30,18,14,10,12,5
1237,vt4_Oulu_Intiö,2020/07/03,2,"16 HA + PK",2,,1,1,2,4,15,19,21,42,44,44,67,65,60,65,64,56,32,40,19,6,12,7
1237,vt4_Oulu_Intiö,2020/07/03,2,"17 HA + AV",2,,1,,,2,7,3,6,8,10,9,4,13,11,13,9,6,4,3,8,2,5,2
1237,vt4_Oulu_Intiö,2020/07/04,1,"11 HA-PA",243,195,164,129,114,119,227,309,435,681,911,1186,1481,1535,1729,1641,1492,1396,1202,876,723,685,436,327
1237,vt4_Oulu_Intiö,2020/07/04,1,"12 KAIP",6,5,3,6,8,6,7,4,11,23,14,23,27,28,27,24,10,17,14,7,8,3,2,3
1237,vt4_Oulu_Intiö,2020/07/04,1,"13 Linja-autot",1,,,1,,2,1,3,4,,2,,2,2,,1,4,2,1,2,,2,1,1
1237,vt4_Oulu_Intiö,2020/07/04,1,"14 KAPP",,1,1,2,2,1,4,1,3,4,5,3,6,1,8,6,3,5,1,4,2,5,1,
1237,vt4_Oulu_Intiö,2020/07/04,1,"15 KATP",9,7,13,13,15,8,5,7,9,7,4,9,7,4,2,6,8,7,5,6,1,7,5,2
1237,vt4_Oulu_Intiö,2020/07/04,1,"16 HA + PK",6,2,3,2,1,,3,13,15,33,36,42,59,60,47,40,41,29,21,18,12,10,6,2
1237,vt4_Oulu_Intiö,2020/07/04,1,"17 HA + AV",2,1,1,,,,2,1,2,2,8,2,9,4,12,5,10,5,7,3,6,6,2,1
1237,vt4_Oulu_Intiö,2020/07/04,2,"11 HA-PA",248,185,150,97,87,150,280,331,435,802,1052,1289,1553,1638,1512,1491,1380,1286,1095,833,730,637,384,302
1237,vt4_Oulu_Intiö,2020/07/04,2,"12 KAIP",8,3,6,4,5,2,10,10,7,22,17,17,16,20,22,11,15,10,17,9,6,13,9,2
1237,vt4_Oulu_Intiö,2020/07/04,2,"13 Linja-autot",,,,,1,2,1,3,1,1,3,2,2,1,,1,,2,,,,2,2,2
1237,vt4_Oulu_Intiö,2020/07/04,2,"14 KAPP",2,4,,4,,3,3,4,1,8,1,8,5,7,11,7,10,2,5,2,2,2,2,2
1237,vt4_Oulu_Intiö,2020/07/04,2,"15 KATP",7,3,7,7,5,6,6,10,9,15,15,5,10,6,7,9,7,1,5,5,3,2,6,3
1237,vt4_Oulu_Intiö,2020/07/04,2,"16 HA + PK",6,,3,1,1,4,8,11,15,32,50,57,61,61,55,55,42,27,26,21,17,12,7,5
1237,vt4_Oulu_Intiö,2020/07/04,2,"17 HA + AV",2,,,,,,,1,3,4,4,4,9,3,7,8,9,8,6,2,4,5,1,3
1237,vt4_Oulu_Intiö,2020/07/05,1,"11 HA-PA",222,190,172,129,91,64,166,192,244,370,550,966,1277,1393,1748,1611,1610,1521,1393,1149,999,889,515,305
1237,vt4_Oulu_Intiö,2020/07/05,1,"12 KAIP",1,5,1,1,,1,2,1,7,6,3,12,8,19,17,21,17,28,15,18,14,11,12,7
1237,vt4_Oulu_Intiö,2020/07/05,1,"13 Linja-autot",1,,1,,,1,,,1,2,,3,3,,2,,1,2,2,1,1,3,1,
1237,vt4_Oulu_Intiö,2020/07/05,1,"14 KAPP",,,,,1,,,,2,,2,4,3,2,6,7,13,4,11,6,8,6,6,3
1237,vt4_Oulu_Intiö,2020/07/05,1,"15 KATP",1,,2,2,,2,,2,1,7,3,10,9,4,5,8,12,3,12,21,8,8,11,16
1237,vt4_Oulu_Intiö,2020/07/05,1,"16 HA + PK",,7,2,,,,2,5,10,11,17,35,29,42,51,41,35,42,32,24,25,14,13,10
1237,vt4_Oulu_Intiö,2020/07/05,1,"17 HA + AV",1,,,,,,,1,2,2,1,1,5,8,8,11,6,7,11,7,4,1,5,2
1237,vt4_Oulu_Intiö,2020/07/05,2,"11 HA-PA",226,181,137,97,81,97,241,201,293,508,758,1089,1419,1667,1600,1576,1500,1374,1271,1083,911,695,395,254
1237,vt4_Oulu_Intiö,2020/07/05,2,"12 KAIP",4,3,1,,4,,1,4,3,9,7,12,17,13,19,21,14,19,16,6,12,6,8,3
1237,vt4_Oulu_Intiö,2020/07/05,2,"13 Linja-autot",,,,1,,1,1,1,,3,1,,3,5,1,3,2,,1,,2,1,2,
1237,vt4_Oulu_Intiö,2020/07/05,2,"14 KAPP",1,,,,,,,5,,2,3,3,3,3,3,4,6,5,4,5,1,5,,1
1237,vt4_Oulu_Intiö,2020/07/05,2,"15 KATP",,1,,,1,3,3,6,5,6,6,5,6,12,13,9,6,9,8,6,13,3,10,4
1237,vt4_Oulu_Intiö,2020/07/05,2,"16 HA + PK",7,3,5,,,1,2,4,7,18,21,41,56,64,49,45,42,43,31,23,29,10,7,7
1237,vt4_Oulu_Intiö,2020/07/05,2,"17 HA + AV",,,,,,,1,,,1,4,7,16,9,12,5,3,7,7,4,7,2,4,2
1237,vt4_Oulu_Intiö,2020/07/06,1,"11 HA-PA",198,128,93,99,121,340,1030,1084,938,972,1085,1271,1486,1656,1802,2391,2203,1678,1489,1166,951,744,392,239
1237,vt4_Oulu_Intiö,2020/07/06,1,"12 KAIP",11,6,4,6,12,23,44,59,67,65,93,67,80,81,70,56,37,35,29,24,18,18,16,10
1237,vt4_Oulu_Intiö,2020/07/06,1,"13 Linja-autot",,,,,,3,4,2,1,5,6,6,7,2,4,2,,4,2,1,2,2,2,1
1237,vt4_Oulu_Intiö,2020/07/06,1,"14 KAPP",1,,,4,1,,13,8,15,14,13,20,16,13,18,5,16,12,8,5,4,5,4,3
1237,vt4_Oulu_Intiö,2020/07/06,1,"15 KATP",13,13,7,15,16,15,26,41,37,36,39,34,27,30,26,21,32,19,23,21,17,22,20,15
1237,vt4_Oulu_Intiö,2020/07/06,1,"16 HA + PK",6,2,,,,2,14,24,20,35,40,45,63,65,66,49,26,45,56,37,14,12,5,5
1237,vt4_Oulu_Intiö,2020/07/06,1,"17 HA + AV",1,,1,,,4,4,5,7,7,7,10,17,12,11,10,9,7,7,6,7,1,2,3
1237,vt4_Oulu_Intiö,2020/07/06,2,"11 HA-PA",182,101,73,93,167,448,1366,1516,1173,1170,1213,1505,1536,1559,1663,1968,1907,1424,1212,1001,841,544,309,205
1237,vt4_Oulu_Intiö,2020/07/06,2,"12 KAIP",4,6,9,6,10,23,63,61,69,69,79,85,63,79,66,50,30,25,30,17,14,18,4,13
1237,vt4_Oulu_Intiö,2020/07/06,2,"13 Linja-autot",1,,,,3,2,,1,3,7,3,7,2,3,2,3,,2,,3,,2,4,1
1237,vt4_Oulu_Intiö,2020/07/06,2,"14 KAPP",,1,,2,2,2,7,11,20,18,14,26,15,18,16,13,11,11,12,9,12,4,3,3
1237,vt4_Oulu_Intiö,2020/07/06,2,"15 KATP",5,8,7,3,9,15,34,24,45,46,46,46,41,51,41,45,33,35,37,37,23,22,18,12
1237,vt4_Oulu_Intiö,2020/07/06,2,"16 HA + PK",1,2,1,1,,1,9,27,32,31,43,47,51,53,68,49,47,43,28,39,18,13,3,8
1237,vt4_Oulu_Intiö,2020/07/06,2,"17 HA + AV",3,,,,,,3,2,9,12,9,8,10,11,8,17,10,5,3,5,4,2,,1
1237,vt4_Oulu_Intiö,2020/07/07,1,"11 HA-PA",128,109,66,86,119,297,942,1055,835,883,1040,1190,1415,1506,1759,2233,1977,1644,1500,1167,1076,739,408,243
1237,vt4_Oulu_Intiö,2020/07/07,1,"12 KAIP",10,9,9,13,12,14,49,50,51,68,72,77,63,75,85,71,50,35,37,19,23,17,19,4
1237,vt4_Oulu_Intiö,2020/07/07,1,"13 Linja-autot",,,,,1,3,4,1,,,,1,1,2,3,3,6,1,1,1,2,1,1,2
1237,vt4_Oulu_Intiö,2020/07/07,1,"14 KAPP",4,5,1,2,2,3,7,13,15,22,17,15,17,14,14,13,9,14,7,15,8,8,9,6
1237,vt4_Oulu_Intiö,2020/07/07,1,"15 KATP",23,15,17,30,21,25,32,43,39,46,37,32,39,31,27,24,28,21,24,26,14,20,20,11
1237,vt4_Oulu_Intiö,2020/07/07,1,"16 HA + PK",1,2,1,1,1,2,12,21,24,33,38,43,46,46,45,52,49,39,29,21,21,6,4,1
1237,vt4_Oulu_Intiö,2020/07/07,1,"17 HA + AV",3,2,1,,,1,4,2,8,6,3,10,10,10,8,6,16,7,11,5,5,5,2,3
1237,vt4_Oulu_Intiö,2020/07/07,2,"11 HA-PA",122,90,60,68,157,400,1362,1459,1134,1114,1146,1458,1454,1590,1516,1984,1782,1440,1213,1016,808,574,330,220
1237,vt4_Oulu_Intiö,2020/07/07,2,"12 KAIP",9,8,12,9,15,14,70,61,69,60,88,68,85,94,63,54,45,36,31,17,25,11,14,10
1237,vt4_Oulu_Intiö,2020/07/07,2,"13 Linja-autot",2,,,,3,4,1,1,3,1,,3,1,2,2,2,,1,,2,,2,1,1
1237,vt4_Oulu_Intiö,2020/07/07,2,"14 KAPP",3,5,3,2,2,4,6,20,8,12,24,18,19,29,20,20,20,18,14,5,7,8,9,5
1237,vt4_Oulu_Intiö,2020/07/07,2,"15 KATP",7,4,10,10,13,16,32,28,37,49,48,28,36,39,49,41,40,31,33,30,26,21,18,13
1237,vt4_Oulu_Intiö,2020/07/07,2,"16 HA + PK",4,2,,,2,2,17,14,29,38,47,45,54,58,50,42,44,35,30,25,21,11,3,1
