"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"11 HA-PA",88,40,53,29,36,113,320,375,402,433,565,707,828,913,1139,1547,1512,1144,925,747,513,403,264,135
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"12 KAIP",3,1,4,2,5,6,17,11,23,20,16,14,24,23,20,30,26,15,10,6,7,10,3,3
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"13 Linja-autot",,,,,5,5,4,,,,1,1,2,3,,,2,1,1,1,,1,,
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"14 KAPP",2,1,1,,2,2,6,7,10,4,10,8,8,12,10,10,8,6,5,2,1,4,7,2
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"15 KATP",7,12,5,9,9,11,20,23,25,20,17,16,22,20,16,10,16,23,16,14,15,15,11,7
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"16 HA + PK",1,3,1,1,,1,4,2,3,13,21,28,26,33,20,34,35,32,28,22,19,11,9,1
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,1,"17 HA + AV",,1,,1,,2,1,2,2,,3,5,5,1,8,5,8,9,7,4,2,2,,
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,2,"11 HA-PA",66,56,29,30,66,247,1080,1093,725,644,656,840,907,930,834,1015,1015,924,733,757,493,388,241,128
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,2,"12 KAIP",1,1,5,5,3,2,8,21,18,13,27,13,19,24,30,26,20,14,14,7,7,3,2,3
1246,vt4_Oulu_Kuivasjärvi,2020/07/01,2,"13 Linja-autot",3,,,,,,,2,1,,1,1,,,1,,,3,,2,2,1,4,4
