"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/07/01,1,"11 HA-PA",3,2,,,,3,10,,16,5,12,28,30,30,18,48,34,43,21,19,10,8,2,6
1253,st816_Hailuoto,2020/07/01,1,"12 KAIP",,,,,,3,1,,3,,1,,1,1,,1,,,,1,,,,
1253,st816_Hailuoto,2020/07/01,1,"13 Linja-autot",,,,,,1,,,,,1,1,,1,,,,1,,,,,,
1253,st816_Hailuoto,2020/07/01,1,"15 KATP",,,,,,1,,,,,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/07/01,1,"16 HA + PK",,,,,,,,,3,1,2,2,1,2,1,4,1,1,2,3,1,1,,
1253,st816_Hailuoto,2020/07/01,1,"17 HA + AV",,,,,,,,,3,,1,1,,,,,2,,,,,,,
1253,st816_Hailuoto,2020/07/01,2,"11 HA-PA",2,,2,,6,12,8,20,25,12,34,28,25,24,23,25,17,21,25,14,15,5,2,3
1253,st816_Hailuoto,2020/07/01,2,"12 KAIP",,,,,1,1,1,1,1,1,3,2,,2,1,,1,1,1,,,,1,
1253,st816_Hailuoto,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/07/01,2,"14 KAPP",,,,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/07/01,2,"15 KATP",,,,,,,,,1,,,,,1,,,,,,,,,,
1253,st816_Hailuoto,2020/07/01,2,"16 HA + PK",,,,,,,1,1,2,2,2,2,5,2,2,6,6,1,2,1,2,,2,
1253,st816_Hailuoto,2020/07/01,2,"17 HA + AV",,,,,,,,,,2,,,,1,,,1,,,,,,,
1253,st816_Hailuoto,2020/07/02,1,"11 HA-PA",1,1,,,,8,11,13,10,1,31,60,33,46,47,59,15,46,49,23,9,6,,6
1253,st816_Hailuoto,2020/07/02,1,"12 KAIP",,,,,,1,2,1,1,,1,1,,2,2,1,,1,1,2,,,1,
1253,st816_Hailuoto,2020/07/02,1,"13 Linja-autot",,,,,,1,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/07/02,1,"15 KATP",,,,,,,,,,,1,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/07/02,1,"16 HA + PK",,,,,,1,,,1,,4,5,1,2,2,3,1,3,2,1,1,1,,
1253,st816_Hailuoto,2020/07/02,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/07/02,2,"11 HA-PA",,,,,7,10,12,15,29,5,24,32,25,46,43,66,51,37,29,22,25,8,12,
1253,st816_Hailuoto,2020/07/02,2,"12 KAIP",,,,,,,,,3,,,1,,1,,,,,,,1,1,,1
1253,st816_Hailuoto,2020/07/02,2,"13 Linja-autot",,,,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/07/02,2,"15 KATP",,,,,,,,,1,1,,,,,,,,,,,1,,,
1253,st816_Hailuoto,2020/07/02,2,"16 HA + PK",,,,,,2,2,,2,,2,3,,,3,1,1,5,2,,3,,1,
1253,st816_Hailuoto,2020/07/02,2,"17 HA + AV",,,,,,,,,1,,,1,,,1,,,,,,,,,
1253,st816_Hailuoto,2020/07/03,1,"11 HA-PA",5,1,,,,2,8,15,5,,23,34,24,25,39,62,49,44,28,23,15,1,10,10
1253,st816_Hailuoto,2020/07/03,1,"12 KAIP",,,,,,1,,,1,,3,1,1,,1,2,,2,1,,,,,
1253,st816_Hailuoto,2020/07/03,1,"13 Linja-autot",,,,,,1,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/07/03,1,"14 KAPP",,,,,,1,,,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/07/03,1,"15 KATP",,,,,,,,,,,,,1,,,1,,,,,,,,
1253,st816_Hailuoto,2020/07/03,1,"16 HA + PK",1,,,1,,2,,2,2,,1,1,1,4,,3,3,2,2,1,6,,2,
1253,st816_Hailuoto,2020/07/03,1,"17 HA + AV",,,,,,,,1,,,,,1,,,,,,1,,,,1,
1253,st816_Hailuoto,2020/07/03,2,"11 HA-PA",,,,1,4,11,12,13,30,10,41,30,36,33,26,41,37,15,15,10,12,4,3,3
1253,st816_Hailuoto,2020/07/03,2,"12 KAIP",,,,,1,1,1,1,1,,,1,2,,1,,1,1,1,,,,,
1253,st816_Hailuoto,2020/07/03,2,"13 Linja-autot",,,,,,,1,,,,1,1,2,,,,,,1,,,,,
1253,st816_Hailuoto,2020/07/03,2,"15 KATP",,,,,,,,,,,,,,1,1,,1,,,,,,,
1253,st816_Hailuoto,2020/07/03,2,"16 HA + PK",,,,2,,1,1,,2,2,1,4,5,2,2,1,1,1,2,,,,1,
1253,st816_Hailuoto,2020/07/03,2,"17 HA + AV",,,,,,,,1,1,,,2,1,,,,,,,1,,,,
1253,st816_Hailuoto,2020/07/04,1,"11 HA-PA",1,,1,,,,2,8,14,2,38,79,50,39,18,43,44,27,23,15,11,5,1,2
