"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
128,kt50_Voutila,2020/07/01,1,"11 HA-PA",162,110,63,94,208,927,2288,2521,2011,1885,2004,2122,2134,2391,2717,3234,2578,2378,1881,1387,1100,957,652,327
128,kt50_Voutila,2020/07/01,1,"12 KAIP",14,13,15,19,37,59,134,156,187,173,244,205,194,224,231,231,114,104,65,63,48,42,29,18
128,kt50_Voutila,2020/07/01,1,"13 Linja-autot",,,,,2,11,8,9,12,5,6,7,8,11,14,7,7,7,5,3,1,2,4,2
128,kt50_Voutila,2020/07/01,1,"14 KAPP",8,10,8,5,10,13,27,41,66,79,101,102,99,89,86,84,72,39,42,47,28,33,54,14
128,kt50_Voutila,2020/07/01,1,"15 KATP",25,23,31,20,14,34,50,81,79,98,103,77,79,96,99,78,82,60,44,47,45,38,33,37
128,kt50_Voutila,2020/07/01,1,"16 HA + PK",2,1,,,2,1,12,29,36,15,42,35,29,47,62,47,46,34,30,29,9,14,6,2
128,kt50_Voutila,2020/07/01,1,"17 HA + AV",3,,,,,,9,6,10,7,5,5,11,13,9,12,3,10,8,3,2,2,2,
128,kt50_Voutila,2020/07/01,2,"11 HA-PA",232,112,81,59,119,519,1848,1946,1692,1452,1613,1811,2028,2215,2764,3582,3103,2529,2077,1890,1585,996,751,445
128,kt50_Voutila,2020/07/01,2,"12 KAIP",9,11,9,23,36,77,219,211,217,191,186,199,209,192,189,146,84,68,63,43,42,34,18,17
128,kt50_Voutila,2020/07/01,2,"13 Linja-autot",,1,1,,1,4,11,8,14,13,6,7,3,7,7,11,12,10,5,3,2,2,2,3
128,kt50_Voutila,2020/07/01,2,"14 KAPP",11,8,4,6,17,16,45,75,74,62,78,87,75,84,100,66,55,79,42,39,29,22,14,11
128,kt50_Voutila,2020/07/01,2,"15 KATP",30,27,31,10,21,25,72,81,84,96,101,75,90,80,81,109,84,69,70,51,45,50,35,25
128,kt50_Voutila,2020/07/01,2,"16 HA + PK",2,1,,1,5,10,19,47,40,53,45,45,46,67,66,82,52,55,38,42,28,21,7,7
128,kt50_Voutila,2020/07/01,2,"17 HA + AV",3,,2,3,1,2,21,17,25,12,15,16,14,13,12,20,11,8,11,11,10,2,1,1
128,kt50_Voutila,2020/07/02,1,"11 HA-PA",173,128,116,103,222,951,2220,2414,1968,1853,1922,2149,2105,2371,2559,3195,3040,2316,1990,1477,1037,865,588,272
128,kt50_Voutila,2020/07/02,1,"12 KAIP",12,11,15,18,29,62,135,185,189,236,225,191,217,220,242,240,157,107,77,53,38,29,22,15
128,kt50_Voutila,2020/07/02,1,"13 Linja-autot",,1,1,,3,7,10,8,3,4,5,6,4,4,7,6,8,9,7,2,2,1,2,3
128,kt50_Voutila,2020/07/02,1,"14 KAPP",9,15,5,6,8,12,28,36,77,115,124,94,90,82,73,76,74,59,48,45,24,28,53,15
128,kt50_Voutila,2020/07/02,1,"15 KATP",28,25,25,26,17,35,47,73,68,97,95,86,97,99,96,88,68,56,52,54,43,27,41,30
128,kt50_Voutila,2020/07/02,1,"16 HA + PK",2,,1,,,3,12,18,27,35,34,46,50,38,46,61,54,36,44,23,26,10,7,5
128,kt50_Voutila,2020/07/02,1,"17 HA + AV",1,,,,,2,13,5,5,9,11,6,8,10,16,15,21,11,4,5,,2,2,1
128,kt50_Voutila,2020/07/02,2,"11 HA-PA",231,130,125,93,131,509,1873,1869,1578,1446,1591,1761,1995,1957,2454,3492,3329,2551,2078,1760,1488,890,734,377
128,kt50_Voutila,2020/07/02,2,"12 KAIP",12,15,9,20,39,77,216,238,229,196,193,179,196,140,146,153,103,69,66,37,38,28,22,10
128,kt50_Voutila,2020/07/02,2,"13 Linja-autot",1,,,,,6,9,10,10,13,5,8,2,5,5,12,12,6,7,4,2,2,1,4
128,kt50_Voutila,2020/07/02,2,"14 KAPP",6,9,9,10,12,26,34,75,83,71,86,80,87,57,63,73,75,58,62,48,23,17,17,12
128,kt50_Voutila,2020/07/02,2,"15 KATP",33,22,30,18,16,21,81,87,82,89,89,79,98,97,106,110,74,78,63,45,38,39,51,29
128,kt50_Voutila,2020/07/02,2,"16 HA + PK",5,,2,,5,12,20,44,51,50,68,69,87,69,84,83,64,59,56,33,30,16,7,2
128,kt50_Voutila,2020/07/02,2,"17 HA + AV",2,,2,,5,3,11,13,18,16,21,28,42,22,37,18,13,5,11,7,7,6,2,1
128,kt50_Voutila,2020/07/03,1,"11 HA-PA",183,107,98,111,218,941,2078,2229,1767,1778,2052,2180,2080,2526,2918,2794,2811,2329,1907,1397,1027,944,728,438
128,kt50_Voutila,2020/07/03,1,"12 KAIP",10,15,11,19,38,65,121,159,149,187,226,229,191,220,201,135,116,93,55,48,30,17,15,12
128,kt50_Voutila,2020/07/03,1,"13 Linja-autot",,,,,4,8,9,11,7,6,2,6,6,9,9,6,8,5,6,2,2,1,3,1
128,kt50_Voutila,2020/07/03,1,"14 KAPP",6,13,11,4,10,12,32,46,68,101,94,111,88,79,97,61,60,51,37,28,19,23,57,7
128,kt50_Voutila,2020/07/03,1,"15 KATP",26,23,29,22,27,45,49,77,88,74,86,84,80,70,80,61,53,43,42,37,30,12,28,18
128,kt50_Voutila,2020/07/03,1,"16 HA + PK",1,,,1,1,5,16,21,28,46,36,47,50,43,76,47,48,48,29,21,25,13,6,3
128,kt50_Voutila,2020/07/03,1,"17 HA + AV",3,1,,,1,,7,4,5,6,14,9,10,9,11,15,9,5,9,1,,1,1,
128,kt50_Voutila,2020/07/03,2,"11 HA-PA",240,119,99,62,118,480,1784,1746,1431,1492,1670,1867,2033,2332,2986,3060,2961,2406,2040,1598,1360,1000,835,548
128,kt50_Voutila,2020/07/03,2,"12 KAIP",16,13,10,13,42,86,201,218,208,151,160,142,152,127,137,94,78,63,50,28,35,15,13,12
128,kt50_Voutila,2020/07/03,2,"13 Linja-autot",,,1,,2,5,11,11,10,10,4,7,5,5,8,8,7,12,5,6,2,1,2,3
128,kt50_Voutila,2020/07/03,2,"14 KAPP",11,1,8,12,16,15,35,65,54,62,74,69,69,74,73,44,40,33,32,20,16,11,9,5
128,kt50_Voutila,2020/07/03,2,"15 KATP",29,25,22,21,20,30,88,93,98,104,94,114,99,94,80,76,61,50,46,47,39,33,24,21
128,kt50_Voutila,2020/07/03,2,"16 HA + PK",5,1,,,2,14,25,49,57,67,68,86,80,80,74,63,72,47,44,42,19,9,12,3
128,kt50_Voutila,2020/07/03,2,"17 HA + AV",2,2,2,2,2,3,13,9,23,25,23,35,23,23,26,23,9,13,11,5,6,6,1,
128,kt50_Voutila,2020/07/04,1,"11 HA-PA",294,217,163,142,129,232,305,467,657,1091,1591,1898,2114,2290,2257,1967,1745,1424,1258,1046,865,807,569,322
128,kt50_Voutila,2020/07/04,1,"12 KAIP",10,8,16,13,13,11,10,18,18,23,20,27,24,14,21,18,10,12,7,6,5,5,7,4
128,kt50_Voutila,2020/07/04,1,"13 Linja-autot",,,,,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,2,1,1,2,
128,kt50_Voutila,2020/07/04,1,"14 KAPP",7,8,7,5,3,3,5,1,3,27,18,19,24,16,11,6,2,5,4,3,1,31,13,3
128,kt50_Voutila,2020/07/04,1,"15 KATP",19,14,14,9,6,10,8,9,5,29,14,9,11,7,10,7,2,5,2,3,2,4,11,7
128,kt50_Voutila,2020/07/04,1,"16 HA + PK",,3,,,1,1,3,7,14,21,29,36,31,34,25,25,21,23,12,18,6,5,2,2
128,kt50_Voutila,2020/07/04,1,"17 HA + AV",,,,,,1,,3,,4,2,4,8,8,4,3,2,1,3,1,,1,,1
128,kt50_Voutila,2020/07/04,2,"11 HA-PA",309,260,193,121,117,154,361,416,510,889,1189,1500,1733,1981,2086,2061,1932,1800,1656,1173,946,631,482,422
128,kt50_Voutila,2020/07/04,2,"12 KAIP",7,7,7,4,22,19,15,22,14,19,15,18,17,13,18,10,12,17,16,6,9,3,6,6
128,kt50_Voutila,2020/07/04,2,"13 Linja-autot",,,1,,2,,1,1,2,2,2,4,1,4,2,2,2,1,1,1,1,2,1,3
128,kt50_Voutila,2020/07/04,2,"14 KAPP",8,4,4,4,3,12,7,19,10,13,10,10,18,14,15,11,5,4,7,2,4,2,,5
128,kt50_Voutila,2020/07/04,2,"15 KATP",21,16,8,15,9,5,6,5,5,16,13,11,13,12,12,9,7,9,3,3,5,4,1,
128,kt50_Voutila,2020/07/04,2,"16 HA + PK",4,,2,1,1,2,3,7,13,30,28,25,39,33,32,30,23,26,26,19,18,5,4,3
128,kt50_Voutila,2020/07/04,2,"17 HA + AV",2,1,1,,,1,2,2,4,3,2,2,7,1,3,1,2,4,2,,5,,3,1
128,kt50_Voutila,2020/07/05,1,"11 HA-PA",310,228,274,130,105,160,173,227,301,590,941,1504,1834,2035,2111,2102,1958,1825,1709,1382,1023,803,526,261
128,kt50_Voutila,2020/07/05,1,"12 KAIP",2,,1,2,3,1,6,1,3,3,6,7,9,10,16,11,15,11,14,14,9,10,12,9
128,kt50_Voutila,2020/07/05,1,"13 Linja-autot",,,,,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1
128,kt50_Voutila,2020/07/05,1,"14 KAPP",1,1,,,,1,2,1,1,17,7,11,11,11,3,10,5,3,10,19,10,26,29,10
128,kt50_Voutila,2020/07/05,1,"15 KATP",,1,1,,,1,,1,4,16,11,8,18,9,16,10,15,14,17,19,15,32,19,14
128,kt50_Voutila,2020/07/05,1,"16 HA + PK",1,,2,,,1,2,2,4,9,15,25,45,28,39,32,26,29,22,17,14,16,5,7
128,kt50_Voutila,2020/07/05,1,"17 HA + AV",1,,1,,,,1,,,1,1,2,2,3,2,7,9,1,4,1,4,3,,1
128,kt50_Voutila,2020/07/05,2,"11 HA-PA",454,294,177,149,86,118,200,227,269,476,865,1223,1484,1716,1947,2058,1949,1878,1822,1460,1078,703,507,288
128,kt50_Voutila,2020/07/05,2,"12 KAIP",,,1,1,1,2,1,6,5,4,7,10,15,24,22,15,20,22,19,10,11,13,9,6
