"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
130,vt25_Keravanjärvi,2020/07/01,1,"11 HA-PA",10,5,9,7,12,75,142,161,153,150,223,227,236,275,241,335,324,263,165,156,135,98,65,31
130,vt25_Keravanjärvi,2020/07/01,1,"12 KAIP",1,,1,,2,3,11,9,6,10,8,11,12,14,15,10,15,9,8,7,6,1,4,
130,vt25_Keravanjärvi,2020/07/01,1,"13 Linja-autot",,,,,,,,,,3,,1,,,1,1,,,,,,,,
130,vt25_Keravanjärvi,2020/07/01,1,"14 KAPP",1,,1,,,1,6,5,13,10,14,14,16,10,21,7,9,8,10,2,3,5,2,1
130,vt25_Keravanjärvi,2020/07/01,1,"15 KATP",2,1,,,5,5,13,9,16,18,5,12,18,12,10,8,17,7,9,3,8,6,5,4
130,vt25_Keravanjärvi,2020/07/01,1,"16 HA + PK",1,1,1,1,,,5,5,4,6,7,5,18,10,10,14,11,4,9,6,6,2,1,
130,vt25_Keravanjärvi,2020/07/01,1,"17 HA + AV",1,,,,,,4,1,3,2,1,3,5,4,7,4,4,5,2,2,1,,1,
130,vt25_Keravanjärvi,2020/07/01,2,"11 HA-PA",14,11,8,6,12,60,192,170,133,135,155,166,185,218,270,311,329,253,232,158,146,99,75,24
130,vt25_Keravanjärvi,2020/07/01,2,"12 KAIP",1,,,3,1,4,8,13,8,12,11,7,9,10,11,13,8,7,6,2,1,4,,2
130,vt25_Keravanjärvi,2020/07/01,2,"13 Linja-autot",,,1,,,1,,,1,,,1,1,3,2,1,,,,,2,2,,
130,vt25_Keravanjärvi,2020/07/01,2,"14 KAPP",,,1,,3,3,9,4,9,7,3,12,10,6,12,19,9,8,6,7,6,1,,
130,vt25_Keravanjärvi,2020/07/01,2,"15 KATP",2,3,1,,,2,9,11,12,7,14,10,11,8,12,26,12,14,8,8,5,4,,1
130,vt25_Keravanjärvi,2020/07/01,2,"16 HA + PK",1,,,,,,3,3,3,4,6,4,9,9,5,10,12,11,9,4,11,4,2,2
130,vt25_Keravanjärvi,2020/07/01,2,"17 HA + AV",,,,,,,,1,3,4,3,1,,1,2,2,2,4,5,2,4,3,1,
130,vt25_Keravanjärvi,2020/07/02,1,"11 HA-PA",10,7,3,5,14,80,123,154,194,197,225,240,271,307,279,380,366,296,223,202,116,99,46,20
130,vt25_Keravanjärvi,2020/07/02,1,"12 KAIP",,,,2,1,2,11,13,11,5,7,8,8,7,11,11,14,1,6,2,9,1,4,1
130,vt25_Keravanjärvi,2020/07/02,1,"13 Linja-autot",,,,,,,1,,1,,1,2,1,,,,,1,1,,,,,1
130,vt25_Keravanjärvi,2020/07/02,1,"14 KAPP",,,,,1,,6,5,12,7,12,7,9,10,12,9,7,8,6,3,1,6,1,2
130,vt25_Keravanjärvi,2020/07/02,1,"15 KATP",1,,1,1,2,5,12,18,14,9,10,13,16,13,15,12,13,13,11,8,4,6,5,
130,vt25_Keravanjärvi,2020/07/02,1,"16 HA + PK",,,,,,3,5,9,11,15,9,12,15,16,9,8,16,13,14,14,7,1,,2
130,vt25_Keravanjärvi,2020/07/02,1,"17 HA + AV",,,,,,2,1,5,4,5,6,2,9,8,7,2,6,4,6,4,1,1,,1
130,vt25_Keravanjärvi,2020/07/02,2,"11 HA-PA",25,12,4,12,17,72,184,168,158,181,176,200,201,220,244,322,341,302,234,175,140,109,81,44
130,vt25_Keravanjärvi,2020/07/02,2,"12 KAIP",1,1,2,3,2,3,10,10,4,4,8,8,13,8,11,10,8,6,7,1,1,3,2,1
130,vt25_Keravanjärvi,2020/07/02,2,"13 Linja-autot",,,,,,2,1,,1,1,1,,,,2,2,1,,1,2,1,1,1,
130,vt25_Keravanjärvi,2020/07/02,2,"14 KAPP",1,,,,,7,7,5,12,10,5,1,8,9,10,8,6,9,12,5,10,3,1,2
130,vt25_Keravanjärvi,2020/07/02,2,"15 KATP",3,4,1,4,8,8,5,11,17,11,15,12,15,9,12,20,14,11,13,4,7,2,4,3
130,vt25_Keravanjärvi,2020/07/02,2,"16 HA + PK",,1,1,,,1,2,4,3,9,7,10,10,12,9,14,10,14,15,8,8,4,1,
130,vt25_Keravanjärvi,2020/07/02,2,"17 HA + AV",,,,1,1,,5,,4,1,5,3,2,4,3,4,3,2,2,2,1,1,3,3
130,vt25_Keravanjärvi,2020/07/03,1,"11 HA-PA",14,4,9,5,12,67,110,151,192,249,277,307,302,348,464,542,516,388,330,195,166,118,58,38
130,vt25_Keravanjärvi,2020/07/03,1,"12 KAIP",2,,1,1,3,2,13,14,11,15,9,6,12,13,19,9,11,10,5,7,4,2,2,
130,vt25_Keravanjärvi,2020/07/03,1,"13 Linja-autot",,,,,,,,1,1,,,,1,1,2,,,,,,,,,1
130,vt25_Keravanjärvi,2020/07/03,1,"14 KAPP",,,,,1,2,5,6,10,15,13,11,7,5,7,9,4,3,2,,2,,1,
130,vt25_Keravanjärvi,2020/07/03,1,"15 KATP",1,2,,1,,9,11,10,19,12,12,13,10,13,8,5,6,9,5,3,7,3,,2
130,vt25_Keravanjärvi,2020/07/03,1,"16 HA + PK",1,,,1,,1,3,8,9,6,11,13,16,12,16,23,22,23,11,11,8,1,3,4
130,vt25_Keravanjärvi,2020/07/03,1,"17 HA + AV",1,1,,,,2,3,1,4,3,4,5,3,7,2,2,11,1,4,1,1,3,3,1
130,vt25_Keravanjärvi,2020/07/03,2,"11 HA-PA",23,16,9,12,24,71,178,150,140,171,167,181,250,282,358,403,425,343,275,223,150,110,89,31
130,vt25_Keravanjärvi,2020/07/03,2,"12 KAIP",,1,,3,1,5,7,13,9,8,14,10,8,11,5,17,8,9,6,1,1,4,,1
130,vt25_Keravanjärvi,2020/07/03,2,"13 Linja-autot",,,,,,1,,,1,,1,3,1,1,3,1,,,,,,,,
130,vt25_Keravanjärvi,2020/07/03,2,"14 KAPP",,,,,1,6,2,9,4,8,8,8,5,6,10,9,10,7,,4,3,1,1,
130,vt25_Keravanjärvi,2020/07/03,2,"15 KATP",2,4,1,2,3,3,10,10,10,10,7,12,16,17,11,18,7,13,7,6,2,3,,5
130,vt25_Keravanjärvi,2020/07/03,2,"16 HA + PK",1,,1,,,,3,3,3,5,9,6,11,8,9,12,19,15,9,10,6,4,2,2
130,vt25_Keravanjärvi,2020/07/03,2,"17 HA + AV",1,,,,,,2,6,,,2,7,7,4,2,7,7,5,2,1,3,,3,
130,vt25_Keravanjärvi,2020/07/04,1,"11 HA-PA",24,15,10,6,10,31,44,101,177,247,326,307,322,310,247,246,229,191,190,131,95,98,56,31
130,vt25_Keravanjärvi,2020/07/04,1,"12 KAIP",,1,,1,,,1,3,3,5,3,4,4,8,1,3,,4,1,4,1,,2,
130,vt25_Keravanjärvi,2020/07/04,1,"13 Linja-autot",1,,,,,,,,,,,1,,,,,,1,,,,,,
130,vt25_Keravanjärvi,2020/07/04,1,"14 KAPP",,,,,,,1,,,,2,1,,,1,1,1,,,,,,1,
130,vt25_Keravanjärvi,2020/07/04,1,"15 KATP",2,,2,,,,3,1,1,2,2,2,2,1,,2,1,2,3,1,,,,
130,vt25_Keravanjärvi,2020/07/04,1,"16 HA + PK",1,,,,,1,1,5,10,16,17,14,17,16,11,11,7,8,12,3,,2,3,1
130,vt25_Keravanjärvi,2020/07/04,1,"17 HA + AV",,,,1,,,1,3,,3,6,4,7,6,3,5,2,2,2,3,1,,,
130,vt25_Keravanjärvi,2020/07/04,2,"11 HA-PA",21,19,9,4,6,14,35,61,81,142,202,240,286,298,290,275,321,252,224,174,142,102,51,41
130,vt25_Keravanjärvi,2020/07/04,2,"12 KAIP",,,,2,,1,1,1,1,5,6,5,1,4,2,6,1,4,1,2,2,,,
130,vt25_Keravanjärvi,2020/07/04,2,"13 Linja-autot",1,,,,1,,,,,,1,,,,,,1,,1,,,,,
130,vt25_Keravanjärvi,2020/07/04,2,"14 KAPP",,,2,,1,1,1,,1,2,1,2,2,1,1,1,,,,,,,,
130,vt25_Keravanjärvi,2020/07/04,2,"15 KATP",1,1,1,1,2,1,,,2,1,1,2,1,4,4,,2,3,2,,1,,,
130,vt25_Keravanjärvi,2020/07/04,2,"16 HA + PK",2,,1,,,,1,4,2,5,6,9,11,9,15,12,4,7,6,7,5,3,1,3
130,vt25_Keravanjärvi,2020/07/04,2,"17 HA + AV",,1,,,,,1,1,1,4,1,6,2,3,6,6,5,4,1,,2,,,
130,vt25_Keravanjärvi,2020/07/05,1,"11 HA-PA",26,14,11,4,6,15,27,44,77,139,204,290,309,363,355,292,290,338,287,214,153,101,52,41
130,vt25_Keravanjärvi,2020/07/05,1,"12 KAIP",,,,,,1,,1,2,2,2,7,2,5,2,6,5,3,8,3,4,1,1,1
130,vt25_Keravanjärvi,2020/07/05,1,"13 Linja-autot",1,,,,,,1,,,,,1,,,,,2,,1,,,1,,
130,vt25_Keravanjärvi,2020/07/05,1,"14 KAPP",,,,,,,,,1,,1,,2,1,1,,2,,6,1,1,,3,2
130,vt25_Keravanjärvi,2020/07/05,1,"15 KATP",,,,,,,1,1,,1,1,2,2,3,,2,1,3,3,1,2,,6,2
130,vt25_Keravanjärvi,2020/07/05,1,"16 HA + PK",,,,,,,1,2,2,9,12,10,17,14,16,9,13,11,10,11,12,2,2,
130,vt25_Keravanjärvi,2020/07/05,1,"17 HA + AV",,,,,,,,,2,5,4,3,3,6,1,6,2,2,5,8,2,1,,2
130,vt25_Keravanjärvi,2020/07/05,2,"11 HA-PA",28,11,11,12,5,13,32,39,75,106,186,241,327,319,339,369,411,425,433,365,223,160,81,38
130,vt25_Keravanjärvi,2020/07/05,2,"12 KAIP",,2,,,1,,,1,,1,5,1,,7,7,7,7,2,4,2,5,1,3,1
130,vt25_Keravanjärvi,2020/07/05,2,"13 Linja-autot",,,,,,1,,,1,,,1,,1,,1,,,1,1,,,,3
130,vt25_Keravanjärvi,2020/07/05,2,"14 KAPP",,,,,,,,,,,,,3,,2,,4,4,2,3,,1,2,
130,vt25_Keravanjärvi,2020/07/05,2,"15 KATP",,,1,,,,1,1,,,,2,3,3,1,2,5,,4,4,7,,,3
130,vt25_Keravanjärvi,2020/07/05,2,"16 HA + PK",,,,,,,,4,3,4,8,6,7,12,13,17,25,15,18,14,8,10,2,3
130,vt25_Keravanjärvi,2020/07/05,2,"17 HA + AV",,,,,,,,1,,1,2,1,2,7,6,4,7,1,5,5,8,3,1,1
130,vt25_Keravanjärvi,2020/07/06,1,"11 HA-PA",11,7,4,5,20,79,147,168,178,257,316,328,280,314,286,313,327,214,161,123,103,93,53,26
130,vt25_Keravanjärvi,2020/07/06,1,"12 KAIP",,,,1,3,3,11,9,10,10,4,10,12,8,13,15,11,5,5,3,6,3,1,1
130,vt25_Keravanjärvi,2020/07/06,1,"13 Linja-autot",,,,,,,,1,,,,1,1,2,1,,1,,,,,,,
130,vt25_Keravanjärvi,2020/07/06,1,"14 KAPP",,,,,1,2,4,5,,13,5,14,16,9,9,4,9,10,7,3,2,3,2,
130,vt25_Keravanjärvi,2020/07/06,1,"15 KATP",,,,1,3,6,12,16,11,12,12,13,15,16,11,7,15,10,7,7,3,4,3,5
130,vt25_Keravanjärvi,2020/07/06,1,"16 HA + PK",2,,,1,1,1,7,5,6,11,8,14,13,14,22,16,11,16,5,5,3,3,2,1
130,vt25_Keravanjärvi,2020/07/06,1,"17 HA + AV",,,,,,1,2,1,1,7,5,5,3,6,5,5,6,4,2,4,,1,1,
