"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1327,kt78_Aska,2020/07/01,1,"11 HA-PA",7,,,2,,2,2,10,6,10,16,24,28,32,16,20,21,20,19,10,17,4,4,2
1327,kt78_Aska,2020/07/01,1,"12 KAIP",,,,,,,,,1,,,1,3,1,,1,1,,2,,1,,,
1327,kt78_Aska,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1327,kt78_Aska,2020/07/01,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,,,
1327,kt78_Aska,2020/07/01,1,"15 KATP",,,,,,,1,,1,2,,1,,1,1,1,,,,3,1,2,,
1327,kt78_Aska,2020/07/01,1,"16 HA + PK",,,,,,,,,,,,,1,4,3,2,,5,4,,2,2,1,
1327,kt78_Aska,2020/07/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,2,,,1,,
1327,kt78_Aska,2020/07/01,2,"11 HA-PA",1,2,2,1,1,1,1,7,7,10,21,28,29,24,36,26,31,16,16,11,11,8,5,
1327,kt78_Aska,2020/07/01,2,"12 KAIP",,,,,,,1,,,1,1,,1,2,,1,1,1,2,,1,,,
1327,kt78_Aska,2020/07/01,2,"14 KAPP",,,,,,,,,,,,,,,,,1,1,1,,,,,
1327,kt78_Aska,2020/07/01,2,"15 KATP",,,1,,,,1,1,,1,1,3,1,,1,,2,,,,,,,
1327,kt78_Aska,2020/07/01,2,"16 HA + PK",,,1,,,,1,,,2,,,2,2,2,1,1,3,1,1,,2,,
1327,kt78_Aska,2020/07/01,2,"17 HA + AV",,,,,,,,,,,1,,,,2,1,,,1,,1,,,
1327,kt78_Aska,2020/07/02,1,"11 HA-PA",2,4,3,1,6,1,2,8,9,11,18,18,23,24,18,29,23,29,23,8,14,9,1,4
