"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1329,vt22_Mieslahti,2020/07/01,1,"11 HA-PA",10,4,3,6,10,39,78,63,67,85,98,108,137,149,125,134,115,96,63,59,48,43,22,16
1329,vt22_Mieslahti,2020/07/01,1,"12 KAIP",,,,1,1,2,3,1,4,7,2,6,3,4,1,3,6,5,1,1,1,,2,
1329,vt22_Mieslahti,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,1,1,2,1,1,,,,,1,1,,
1329,vt22_Mieslahti,2020/07/01,1,"14 KAPP",,,,,,1,1,,2,1,2,1,,1,,1,1,3,4,3,,,,1
1329,vt22_Mieslahti,2020/07/01,1,"15 KATP",3,1,,,3,3,5,3,4,5,7,5,9,10,6,7,6,6,6,5,4,3,3,1
1329,vt22_Mieslahti,2020/07/01,1,"16 HA + PK",,1,,,,2,1,3,10,4,3,11,7,5,8,9,3,5,6,1,3,,1,
1329,vt22_Mieslahti,2020/07/01,1,"17 HA + AV",,,,,,1,,,1,,1,2,1,1,,4,5,3,,1,,,1,
1329,vt22_Mieslahti,2020/07/01,2,"11 HA-PA",6,4,1,1,3,18,55,57,56,82,96,111,141,125,116,146,156,110,80,72,55,32,21,12
1329,vt22_Mieslahti,2020/07/01,2,"12 KAIP",1,,,1,,,3,1,4,5,4,1,2,3,4,3,3,6,1,4,2,1,1,3
1329,vt22_Mieslahti,2020/07/01,2,"13 Linja-autot",,,,,,,1,,1,,,,,2,,2,,,,,,,,
1329,vt22_Mieslahti,2020/07/01,2,"14 KAPP",,,,,,3,,1,,1,,1,,1,3,2,1,2,2,1,1,,,
1329,vt22_Mieslahti,2020/07/01,2,"15 KATP",1,1,2,1,4,6,2,6,5,8,5,3,13,10,4,7,4,5,2,2,2,2,4,1
1329,vt22_Mieslahti,2020/07/01,2,"16 HA + PK",,,,,,,,2,6,5,5,5,4,6,7,13,12,12,11,2,3,1,,2
1329,vt22_Mieslahti,2020/07/01,2,"17 HA + AV",,,,,,,,,2,1,2,1,1,1,3,3,1,1,,2,,,,
1329,vt22_Mieslahti,2020/07/02,1,"11 HA-PA",4,8,6,10,14,45,68,58,88,102,100,112,137,125,150,131,166,109,125,84,72,38,28,18
1329,vt22_Mieslahti,2020/07/02,1,"12 KAIP",,,2,,2,1,1,3,3,4,2,5,5,4,6,4,3,2,,2,1,4,3,
1329,vt22_Mieslahti,2020/07/02,1,"13 Linja-autot",,,,,,,1,1,,1,,1,,,,1,2,,,,,,,1
1329,vt22_Mieslahti,2020/07/02,1,"14 KAPP",1,,,,,,,1,1,2,1,2,1,,,,1,3,1,3,1,1,,1
