"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
134,kt51_Inkoo,2020/07/01,1,"11 HA-PA",16,4,5,2,5,17,81,119,135,177,222,271,315,315,298,383,401,318,286,222,174,106,61,44
134,kt51_Inkoo,2020/07/01,1,"12 KAIP",1,,1,1,1,2,5,8,5,6,7,10,5,5,8,9,8,10,6,,5,2,,
134,kt51_Inkoo,2020/07/01,1,"13 Linja-autot",1,,,,,1,,3,,2,2,2,2,1,2,1,,1,1,,,1,,
134,kt51_Inkoo,2020/07/01,1,"14 KAPP",1,,1,,,2,5,5,6,3,12,8,6,3,9,3,9,10,11,6,,2,2,1
134,kt51_Inkoo,2020/07/01,1,"15 KATP",1,1,,2,1,1,3,4,5,3,4,8,9,8,6,5,7,4,1,5,1,7,2,
134,kt51_Inkoo,2020/07/01,1,"16 HA + PK",,,,,,,2,,4,4,4,7,5,7,5,4,11,9,7,4,5,7,2,
134,kt51_Inkoo,2020/07/01,1,"17 HA + AV",,,,,,,1,1,1,1,4,4,2,5,4,3,3,6,3,2,1,,1,1
134,kt51_Inkoo,2020/07/01,2,"11 HA-PA",10,9,3,4,13,73,210,167,167,159,214,230,214,229,235,276,304,298,226,160,158,105,64,31
134,kt51_Inkoo,2020/07/01,2,"12 KAIP",,,,1,,3,6,7,6,7,6,7,2,10,5,4,4,3,4,3,3,2,1,1
134,kt51_Inkoo,2020/07/01,2,"13 Linja-autot",,,1,,,1,1,2,,1,2,4,1,3,1,2,3,1,1,,,,,
134,kt51_Inkoo,2020/07/01,2,"14 KAPP",1,,,,1,5,2,10,4,13,11,5,2,5,5,1,2,2,1,6,4,,,
134,kt51_Inkoo,2020/07/01,2,"15 KATP",2,,1,1,3,3,6,7,4,6,5,8,4,4,4,7,5,2,6,5,6,3,1,1
134,kt51_Inkoo,2020/07/01,2,"16 HA + PK",1,,,,,1,1,3,6,11,4,5,1,8,5,4,10,3,4,5,5,4,4,2
134,kt51_Inkoo,2020/07/01,2,"17 HA + AV",,,,,,1,1,5,2,2,,2,2,2,2,2,2,3,1,1,,2,,2
134,kt51_Inkoo,2020/07/02,1,"11 HA-PA",5,6,5,6,6,21,93,130,143,188,301,368,399,387,334,471,484,410,339,234,185,118,73,25
134,kt51_Inkoo,2020/07/02,1,"12 KAIP",,,,3,1,,9,8,7,11,7,10,8,10,10,5,6,3,4,5,2,4,1,
134,kt51_Inkoo,2020/07/02,1,"13 Linja-autot",,2,,,,,,3,1,1,4,,,1,2,,1,1,1,,1,,,
134,kt51_Inkoo,2020/07/02,1,"14 KAPP",2,,1,,,2,4,4,2,3,5,8,3,5,9,8,11,6,4,7,9,1,,1
