"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1425,kt78_Saukkokangas,2020/07/01,1,"11 HA-PA",8,5,8,3,5,11,18,16,26,40,40,53,54,53,74,67,61,40,31,28,36,16,20,6
1425,kt78_Saukkokangas,2020/07/01,1,"12 KAIP",,,1,,,,1,,2,1,1,2,6,1,3,3,2,1,1,3,1,,1,
1425,kt78_Saukkokangas,2020/07/01,1,"13 Linja-autot",,,,,,,1,,,,1,,,,1,1,1,,,,,,,
1425,kt78_Saukkokangas,2020/07/01,1,"15 KATP",,,,1,1,,4,1,1,2,3,3,,1,3,2,3,,2,3,,1,,
1425,kt78_Saukkokangas,2020/07/01,1,"16 HA + PK",1,,,,,,,2,1,1,6,1,3,6,1,6,5,5,,,5,,4,3
1425,kt78_Saukkokangas,2020/07/01,1,"17 HA + AV",,,,,,,,2,,1,1,,,,2,2,3,1,2,,,,,
1425,kt78_Saukkokangas,2020/07/01,2,"11 HA-PA",3,4,3,1,4,6,13,28,46,36,70,63,67,73,77,60,64,45,50,36,25,12,11,7
1425,kt78_Saukkokangas,2020/07/01,2,"12 KAIP",,,,,,1,,,8,1,8,3,3,2,2,1,4,2,3,2,,,1,1
1425,kt78_Saukkokangas,2020/07/01,2,"13 Linja-autot",,,,,,,,,1,,1,,,,,,,,1,1,,,,
1425,kt78_Saukkokangas,2020/07/01,2,"14 KAPP",,,,,,,,,,,1,,1,,1,1,1,,,,1,,,
1425,kt78_Saukkokangas,2020/07/01,2,"15 KATP",,,1,,,1,,2,2,2,1,2,3,1,4,,1,2,2,,1,2,,
1425,kt78_Saukkokangas,2020/07/01,2,"16 HA + PK",1,,,,,,,2,1,2,5,3,1,5,6,6,4,4,4,2,3,1,1,
1425,kt78_Saukkokangas,2020/07/01,2,"17 HA + AV",,,,,1,,,,1,,1,,6,,1,3,3,,1,1,2,,,
1425,kt78_Saukkokangas,2020/07/02,1,"11 HA-PA",8,3,1,6,4,5,20,12,27,43,38,44,47,59,87,85,71,79,70,50,39,31,19,10
1425,kt78_Saukkokangas,2020/07/02,1,"12 KAIP",,2,,,,,4,,1,3,4,2,2,1,1,3,1,2,1,1,3,2,,2
1425,kt78_Saukkokangas,2020/07/02,1,"13 Linja-autot",,,,,,,,,,,1,,1,,1,1,1,1,,,,1,1,
1425,kt78_Saukkokangas,2020/07/02,1,"14 KAPP",,1,,,,,,,,,,,,,1,,1,1,,1,1,,,
1425,kt78_Saukkokangas,2020/07/02,1,"15 KATP",2,1,,1,,,4,3,2,3,2,2,2,1,4,3,2,1,,,,1,1,
1425,kt78_Saukkokangas,2020/07/02,1,"16 HA + PK",,,,,,,4,1,1,3,2,3,6,6,1,5,5,4,2,4,2,1,,2
1425,kt78_Saukkokangas,2020/07/02,1,"17 HA + AV",,,2,,,1,2,,,,3,2,3,1,,2,4,2,2,3,,1,1,
1425,kt78_Saukkokangas,2020/07/02,2,"11 HA-PA",1,2,4,1,1,9,11,19,39,57,80,79,82,100,56,74,80,75,47,37,37,25,11,5
1425,kt78_Saukkokangas,2020/07/02,2,"12 KAIP",,,,,,,,1,,1,1,2,3,1,2,6,3,3,3,,1,,,
1425,kt78_Saukkokangas,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,1,,1,1,1,,1,,1,,,1,,1
1425,kt78_Saukkokangas,2020/07/02,2,"14 KAPP",1,,,,,,,,3,,,,,1,2,1,,,2,,,,1,1
1425,kt78_Saukkokangas,2020/07/02,2,"15 KATP",,,,,,,,2,1,2,3,,4,,1,1,1,,1,,1,1,,
1425,kt78_Saukkokangas,2020/07/02,2,"16 HA + PK",,,,,,,2,1,,2,3,3,5,6,2,4,4,5,2,4,2,2,1,
1425,kt78_Saukkokangas,2020/07/02,2,"17 HA + AV",,,,,,1,,1,2,1,2,1,3,1,,2,1,,1,1,1,1,,
1425,kt78_Saukkokangas,2020/07/03,1,"11 HA-PA",5,5,3,4,4,8,20,11,20,24,37,57,51,75,73,101,95,78,81,57,45,31,30,10
1425,kt78_Saukkokangas,2020/07/03,1,"12 KAIP",,,,1,,1,1,,1,4,2,1,2,2,1,1,4,1,1,1,2,1,1,
1425,kt78_Saukkokangas,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1425,kt78_Saukkokangas,2020/07/03,1,"15 KATP",1,,,1,1,,,1,,1,2,2,4,1,3,2,1,1,4,,2,,,
1425,kt78_Saukkokangas,2020/07/03,1,"16 HA + PK",,,1,,,,2,4,1,1,3,1,5,3,2,10,3,4,7,7,3,3,1,1
1425,kt78_Saukkokangas,2020/07/03,1,"17 HA + AV",2,,,,1,1,1,1,,2,,,2,1,1,2,3,1,3,1,,,,
1425,kt78_Saukkokangas,2020/07/03,2,"11 HA-PA",3,1,1,1,1,6,19,18,29,48,61,84,70,125,110,100,119,78,82,50,36,24,11,5
1425,kt78_Saukkokangas,2020/07/03,2,"12 KAIP",,,1,,,,2,1,2,1,2,2,1,1,2,3,3,1,3,3,2,,3,1
1425,kt78_Saukkokangas,2020/07/03,2,"13 Linja-autot",,,,,,,,1,,,,,,2,,1,1,,1,,,,,
1425,kt78_Saukkokangas,2020/07/03,2,"14 KAPP",,,,,,1,,1,,,,,1,1,,2,1,,,,,,,1
1425,kt78_Saukkokangas,2020/07/03,2,"15 KATP",1,,,,,1,,,2,,3,2,1,1,,3,1,3,,,,1,1,
1425,kt78_Saukkokangas,2020/07/03,2,"16 HA + PK",,,,,,,,,7,5,10,4,5,6,8,3,3,7,3,8,2,5,,2
1425,kt78_Saukkokangas,2020/07/03,2,"17 HA + AV",,,,,,1,,1,,,2,1,2,2,3,1,3,1,2,1,2,,,
1425,kt78_Saukkokangas,2020/07/04,1,"11 HA-PA",8,9,6,5,3,6,4,7,9,25,36,43,79,89,99,99,94,93,48,51,42,33,17,17
1425,kt78_Saukkokangas,2020/07/04,1,"12 KAIP",,1,,1,,,,,,,1,3,4,5,2,1,2,3,1,1,,2,,
