"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1426,vt5_Suomu,2020/07/01,1,"11 HA-PA",1,,,1,2,1,5,3,10,20,26,31,29,30,14,22,20,15,9,10,3,5,2,1
1426,vt5_Suomu,2020/07/01,1,"12 KAIP",,,,1,1,1,,,,1,1,,1,1,1,1,,,,,,,,
1426,vt5_Suomu,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1426,vt5_Suomu,2020/07/01,1,"14 KAPP",,,,,,,,1,,,,1,,,,,,,,1,,,,
1426,vt5_Suomu,2020/07/01,1,"15 KATP",,,,1,1,1,,,1,2,,2,1,1,1,1,2,,,1,1,1,2,1
1426,vt5_Suomu,2020/07/01,1,"16 HA + PK",,,,,,,,,,4,2,2,1,,2,,,,2,3,1,,,
1426,vt5_Suomu,2020/07/01,1,"17 HA + AV",,1,,,,,,1,,,,,,,,1,1,1,1,1,,,,
1426,vt5_Suomu,2020/07/01,2,"11 HA-PA",1,,1,,,3,1,3,3,11,20,15,22,31,25,22,17,20,17,7,7,9,4,1
1426,vt5_Suomu,2020/07/01,2,"12 KAIP",,1,,,,,,,1,,,1,1,,,1,2,,,2,,,,
1426,vt5_Suomu,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,1,,,,,,,
1426,vt5_Suomu,2020/07/01,2,"14 KAPP",,,,,,,,1,1,,,,1,,,1,,,,,,,,
1426,vt5_Suomu,2020/07/01,2,"15 KATP",1,,,1,2,1,,1,,,,2,1,1,1,1,1,3,2,1,2,1,,
1426,vt5_Suomu,2020/07/01,2,"16 HA + PK",,,1,,,,,1,1,1,1,2,3,,1,2,,1,,1,,,,
1426,vt5_Suomu,2020/07/01,2,"17 HA + AV",,,,,,,,,1,,3,1,,,1,2,,,,,,,,
1426,vt5_Suomu,2020/07/02,1,"11 HA-PA",1,,2,,1,2,6,9,12,11,18,31,16,19,18,16,23,20,12,15,12,4,3,2
1426,vt5_Suomu,2020/07/02,1,"12 KAIP",,,,,,,,1,,,,1,,1,,,1,3,1,1,1,1,,
1426,vt5_Suomu,2020/07/02,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/07/02,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,
1426,vt5_Suomu,2020/07/02,1,"15 KATP",,,,,1,1,,1,2,2,2,,,1,2,2,2,2,,1,2,1,2,1
1426,vt5_Suomu,2020/07/02,1,"16 HA + PK",,,,,,,,,,1,,1,6,2,3,,3,1,1,2,1,,2,
1426,vt5_Suomu,2020/07/02,1,"17 HA + AV",,,1,,,,,,1,,,,1,,,3,1,2,,,1,,,
1426,vt5_Suomu,2020/07/02,2,"11 HA-PA",2,1,3,,2,3,5,5,12,14,24,15,17,17,23,21,22,24,11,11,9,9,3,3
1426,vt5_Suomu,2020/07/02,2,"12 KAIP",,,,,,,,,,,1,,1,1,2,,1,1,,3,1,,,
1426,vt5_Suomu,2020/07/02,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1426,vt5_Suomu,2020/07/02,2,"15 KATP",,1,,,,1,2,3,,2,2,3,4,2,,4,1,1,2,7,,,1,1
1426,vt5_Suomu,2020/07/02,2,"16 HA + PK",,,,,,,,,4,,,,1,3,1,1,4,2,,1,1,1,,
1426,vt5_Suomu,2020/07/02,2,"17 HA + AV",,,,,,,,1,1,1,,,1,,,1,1,,1,1,1,,,
1426,vt5_Suomu,2020/07/03,1,"11 HA-PA",3,2,1,,2,1,6,3,13,24,27,21,27,28,29,32,18,17,15,11,12,9,5,3
1426,vt5_Suomu,2020/07/03,1,"12 KAIP",1,,1,,,1,,,,1,,,1,5,2,1,,,,,,,,
1426,vt5_Suomu,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,1,,,
1426,vt5_Suomu,2020/07/03,1,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,
1426,vt5_Suomu,2020/07/03,1,"15 KATP",,1,,,1,,,2,1,5,,5,1,2,1,3,2,1,,1,,,,
1426,vt5_Suomu,2020/07/03,1,"16 HA + PK",,,,,,,,,2,1,5,4,,2,4,3,1,2,3,3,,1,2,
1426,vt5_Suomu,2020/07/03,1,"17 HA + AV",,,,,,,,,,,,3,1,1,1,,1,,,,,,,
1426,vt5_Suomu,2020/07/03,2,"11 HA-PA",2,,2,,2,3,6,7,7,11,18,29,22,31,28,25,31,30,23,16,6,10,1,1
1426,vt5_Suomu,2020/07/03,2,"12 KAIP",,1,,,,,,,1,2,1,2,,,,2,,2,,,,2,1,
1426,vt5_Suomu,2020/07/03,2,"14 KAPP",,,,,,,,1,,,1,1,,,,,,1,,,1,,,
1426,vt5_Suomu,2020/07/03,2,"15 KATP",,1,,,,3,2,1,2,,2,4,4,1,,,,2,1,1,,1,,
1426,vt5_Suomu,2020/07/03,2,"16 HA + PK",1,1,,,,1,,,,,2,3,1,4,,2,2,5,1,3,1,,,
1426,vt5_Suomu,2020/07/03,2,"17 HA + AV",,,,,,,,,,2,2,2,,,,1,,2,,,,,,
1426,vt5_Suomu,2020/07/04,1,"11 HA-PA",1,,1,,1,3,1,6,10,19,25,24,31,29,33,30,30,20,21,16,9,5,4,
1426,vt5_Suomu,2020/07/04,1,"12 KAIP",,,,,,,,,,,1,1,,,,,4,,1,,1,,1,
1426,vt5_Suomu,2020/07/04,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/07/04,1,"14 KAPP",,,,,,,,,,,,,,,,,,,1,,,,,
1426,vt5_Suomu,2020/07/04,1,"15 KATP",,,,,,,1,1,,,,,1,,,1,,,1,,,,,
1426,vt5_Suomu,2020/07/04,1,"16 HA + PK",2,,,,,,,1,1,3,,2,4,2,3,1,2,7,2,,2,2,1,1
1426,vt5_Suomu,2020/07/04,1,"17 HA + AV",,,,,,,,,1,,,1,,,1,,1,,,,1,,,
1426,vt5_Suomu,2020/07/04,2,"11 HA-PA",1,,1,,1,1,2,1,4,13,22,18,30,36,30,24,26,24,16,16,10,2,1,3
1426,vt5_Suomu,2020/07/04,2,"12 KAIP",,,,,,,,,,1,,2,1,,1,,2,,,3,1,,,
1426,vt5_Suomu,2020/07/04,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1426,vt5_Suomu,2020/07/04,2,"15 KATP",,,,,,,1,,1,,1,1,,,,1,,,,,,,,
1426,vt5_Suomu,2020/07/04,2,"16 HA + PK",,,,,,,,2,1,,2,,3,1,6,5,3,5,3,1,1,,1,
1426,vt5_Suomu,2020/07/04,2,"17 HA + AV",,,,,,,,,,,,,,1,,1,1,,,,,,,
1426,vt5_Suomu,2020/07/05,1,"11 HA-PA",1,3,,1,2,,2,3,10,19,26,30,42,38,30,23,31,27,18,14,10,6,6,5
1426,vt5_Suomu,2020/07/05,1,"12 KAIP",,,1,1,,,,,,,1,2,3,2,,1,1,1,,,1,,1,
1426,vt5_Suomu,2020/07/05,1,"13 Linja-autot",,,,,,1,,,,,,1,,,,,,,1,,,,,
1426,vt5_Suomu,2020/07/05,1,"14 KAPP",,,,,,,,,,,,,,,,,,2,,,,1,,
1426,vt5_Suomu,2020/07/05,1,"15 KATP",,,,,,,,,,,,1,1,1,,,2,1,2,1,,,1,
1426,vt5_Suomu,2020/07/05,1,"16 HA + PK",,,,,,,,,,1,4,4,4,2,3,9,1,2,1,2,1,,1,
1426,vt5_Suomu,2020/07/05,1,"17 HA + AV",,,,,,,,,,,,2,2,1,,2,1,1,1,1,1,,,
1426,vt5_Suomu,2020/07/05,2,"11 HA-PA",1,3,,,,1,2,5,8,20,15,25,25,29,31,23,25,18,14,9,7,9,2,2
1426,vt5_Suomu,2020/07/05,2,"12 KAIP",1,,,,,,,,1,1,,1,2,1,1,,1,,,,,,,
1426,vt5_Suomu,2020/07/05,2,"15 KATP",,,,,,,1,,,,,,1,,,,1,1,1,,1,,,
1426,vt5_Suomu,2020/07/05,2,"16 HA + PK",1,,,,,,,,1,1,3,,1,2,2,4,1,1,,2,2,,1,
1426,vt5_Suomu,2020/07/05,2,"17 HA + AV",,,,,,,1,,,,1,1,,2,,,,2,2,,,,,
1426,vt5_Suomu,2020/07/06,1,"11 HA-PA",3,1,,1,,5,12,3,11,25,36,32,31,28,38,35,24,21,23,13,11,14,8,1
1426,vt5_Suomu,2020/07/06,1,"12 KAIP",,,,,,,,,,,,1,1,1,,,1,3,1,1,,,,
1426,vt5_Suomu,2020/07/06,1,"13 Linja-autot",,,,,,,,,,1,,1,,1,,,1,,,1,,,,
1426,vt5_Suomu,2020/07/06,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,,,
1426,vt5_Suomu,2020/07/06,1,"15 KATP",1,,,,,1,2,,,,3,1,1,,2,1,1,,1,1,1,1,4,1
1426,vt5_Suomu,2020/07/06,1,"16 HA + PK",3,,,,,,2,1,2,1,,3,3,5,5,4,2,3,2,,,1,2,2
1426,vt5_Suomu,2020/07/06,1,"17 HA + AV",,,,,,,,1,,1,,,3,1,5,2,1,1,,2,,,,1
1426,vt5_Suomu,2020/07/06,2,"11 HA-PA",2,,3,,1,3,6,6,12,19,15,17,21,23,23,27,28,17,20,14,6,4,3,2
1426,vt5_Suomu,2020/07/06,2,"12 KAIP",,,,,,,,1,1,2,2,,,1,3,2,1,1,,1,,2,,
1426,vt5_Suomu,2020/07/06,2,"13 Linja-autot",,,,,,1,,1,1,,,,,,,,,,,,,,,
1426,vt5_Suomu,2020/07/06,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1426,vt5_Suomu,2020/07/06,2,"15 KATP",1,1,,,,,1,,1,,,2,2,,,,2,1,,,2,1,,1
1426,vt5_Suomu,2020/07/06,2,"16 HA + PK",,1,,,,1,,1,1,,2,1,1,4,3,1,2,5,2,3,1,1,2,1
1426,vt5_Suomu,2020/07/06,2,"17 HA + AV",,,,,,,,,,,,1,,1,2,,4,1,,,4,,,1
1426,vt5_Suomu,2020/07/07,1,"11 HA-PA",2,2,4,1,,1,6,7,11,23,25,30,39,33,32,17,30,28,19,10,5,8,3,1
1426,vt5_Suomu,2020/07/07,1,"12 KAIP",,,1,1,,,,,1,1,1,1,,1,2,3,,1,2,1,2,,1,
1426,vt5_Suomu,2020/07/07,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1426,vt5_Suomu,2020/07/07,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,,
1426,vt5_Suomu,2020/07/07,1,"15 KATP",,,,,,1,,2,2,1,3,3,2,1,1,,,,2,,,1,,
1426,vt5_Suomu,2020/07/07,1,"16 HA + PK",,,,,,,2,1,1,1,4,1,1,1,,1,2,3,3,1,,1,,
1426,vt5_Suomu,2020/07/07,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,2,1,,
1426,vt5_Suomu,2020/07/07,2,"11 HA-PA",2,,,,1,6,2,7,9,18,17,19,18,24,21,30,24,18,11,9,11,5,5,5
1426,vt5_Suomu,2020/07/07,2,"12 KAIP",,,1,,,,,,1,,1,1,1,,2,,1,2,1,,,,,
1426,vt5_Suomu,2020/07/07,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1426,vt5_Suomu,2020/07/07,2,"14 KAPP",,,,,,,,,1,,,,,1,,1,,,,,,,,
1426,vt5_Suomu,2020/07/07,2,"15 KATP",,,1,,,,1,4,1,2,2,2,,4,,1,,2,,,1,,,1
1426,vt5_Suomu,2020/07/07,2,"16 HA + PK",1,,,,1,,,1,,2,1,2,,2,2,2,,,3,,,2,1,1
1426,vt5_Suomu,2020/07/07,2,"17 HA + AV",,,,,,,,,,,,,2,1,,1,,1,1,1,,,1,
1426,vt5_Suomu,2020/07/08,1,"11 HA-PA",2,2,,,1,1,3,8,13,20,33,39,37,26,20,28,24,24,33,20,12,7,7,3
1426,vt5_Suomu,2020/07/08,1,"12 KAIP",,,,,,,,,,,,1,1,1,1,2,,1,,,1,,,
1426,vt5_Suomu,2020/07/08,1,"13 Linja-autot",,,,1,,,,,,,1,,,,1,,,,,,,,,
1426,vt5_Suomu,2020/07/08,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,1,,,,,
1426,vt5_Suomu,2020/07/08,1,"15 KATP",,1,,,,,2,1,1,1,2,1,3,,1,1,1,1,1,1,,1,,
1426,vt5_Suomu,2020/07/08,1,"16 HA + PK",,1,,,,,,,2,1,1,3,4,4,3,1,,1,3,1,1,,,
1426,vt5_Suomu,2020/07/08,1,"17 HA + AV",,,,,,,,,,,3,2,,,2,1,,1,1,,,,,
1426,vt5_Suomu,2020/07/08,2,"11 HA-PA",3,1,1,,,3,5,8,4,20,18,23,23,24,15,35,21,30,13,23,12,12,8,9
1426,vt5_Suomu,2020/07/08,2,"12 KAIP",,,,,,,,1,,,,1,,1,,3,,,1,1,1,2,1,2
1426,vt5_Suomu,2020/07/08,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,1
1426,vt5_Suomu,2020/07/08,2,"14 KAPP",,,,,,,,1,,,,,,1,,,,,,,,,,
1426,vt5_Suomu,2020/07/08,2,"15 KATP",1,1,,,1,1,2,1,1,3,6,2,1,2,1,,1,1,,1,,,,1
1426,vt5_Suomu,2020/07/08,2,"16 HA + PK",1,,,,1,1,,1,,1,2,2,1,1,1,5,,3,,1,,1,,
1426,vt5_Suomu,2020/07/08,2,"17 HA + AV",,,,,,,,,,,,1,1,1,3,2,3,2,,,,,,
1426,vt5_Suomu,2020/07/09,1,"11 HA-PA",4,1,1,1,,2,7,8,9,17,34,28,27,34,28,27,31,31,18,17,13,9,2,1
1426,vt5_Suomu,2020/07/09,1,"12 KAIP",1,,,1,1,,,,,1,,,2,,,1,1,,1,,1,,,
1426,vt5_Suomu,2020/07/09,1,"14 KAPP",,,,,,,,,,,,,,1,,1,,,,,,,,
1426,vt5_Suomu,2020/07/09,1,"15 KATP",,1,,,,,,2,1,,1,1,4,1,,1,,,,3,1,,1,
1426,vt5_Suomu,2020/07/09,1,"16 HA + PK",1,,,,,,,1,3,2,,4,1,,2,,,1,3,1,1,1,,
