"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
145,st101_Kannelmäki,2020/07/01,1,"11 HA-PA",194,122,67,66,121,511,1887,2178,2193,1963,2136,2273,2431,2641,3157,4147,3872,3145,2511,1977,1708,1256,811,462
145,st101_Kannelmäki,2020/07/01,1,"12 KAIP",8,9,4,4,13,27,77,75,91,85,117,83,117,127,95,82,72,62,29,31,31,27,13,6
145,st101_Kannelmäki,2020/07/01,1,"13 Linja-autot",3,,,,2,5,3,6,5,9,3,11,4,8,4,5,7,5,6,7,3,9,1,10
145,st101_Kannelmäki,2020/07/01,1,"14 KAPP",4,21,4,4,8,5,21,14,47,32,59,18,19,29,40,17,35,13,15,24,9,32,47,3
145,st101_Kannelmäki,2020/07/01,1,"15 KATP",3,8,3,5,3,8,19,14,35,29,33,35,32,35,42,27,30,15,8,18,8,19,8,5
145,st101_Kannelmäki,2020/07/01,1,"16 HA + PK",,2,,2,2,2,9,15,21,29,34,32,32,39,53,34,47,30,40,32,24,19,6,1
145,st101_Kannelmäki,2020/07/01,1,"17 HA + AV",3,2,2,,1,1,4,4,8,6,8,8,10,10,10,6,2,6,3,5,1,8,2,1
145,st101_Kannelmäki,2020/07/01,2,"11 HA-PA",254,151,104,81,128,775,3102,2902,2531,2050,2037,2275,2360,2489,2985,3484,3662,3195,2428,1833,1664,1288,888,486
145,st101_Kannelmäki,2020/07/01,2,"12 KAIP",10,5,6,13,33,67,149,142,129,104,113,111,110,86,102,80,74,51,33,28,17,15,9,6
145,st101_Kannelmäki,2020/07/01,2,"13 Linja-autot",,,,2,7,15,12,1,4,6,5,4,8,2,6,5,1,7,6,4,4,3,,
145,st101_Kannelmäki,2020/07/01,2,"14 KAPP",5,2,3,9,10,22,38,31,37,20,39,45,42,47,45,30,32,44,22,30,16,10,5,3
145,st101_Kannelmäki,2020/07/01,2,"15 KATP",1,6,6,2,4,12,42,26,30,27,18,31,31,27,26,28,8,16,3,9,9,7,6,5
145,st101_Kannelmäki,2020/07/01,2,"16 HA + PK",,,1,,1,,12,21,39,13,20,30,44,22,24,26,39,36,26,23,19,10,5,1
145,st101_Kannelmäki,2020/07/01,2,"17 HA + AV",1,1,,,2,2,2,12,6,5,6,7,4,3,5,3,4,6,4,1,1,2,1,
145,st101_Kannelmäki,2020/07/02,1,"11 HA-PA",242,109,89,71,110,506,1890,2214,2150,1965,2096,2227,2398,2710,3302,4388,3825,3127,2588,2138,1578,1082,700,417
145,st101_Kannelmäki,2020/07/02,1,"12 KAIP",3,7,2,4,10,22,72,103,101,115,124,116,110,137,120,98,93,48,37,33,26,13,7,1
145,st101_Kannelmäki,2020/07/02,1,"13 Linja-autot",6,3,2,,1,3,5,6,6,9,5,7,6,3,7,2,4,4,4,3,4,8,1,7
145,st101_Kannelmäki,2020/07/02,1,"14 KAPP",8,21,5,4,4,8,21,21,32,43,53,24,26,47,40,22,27,7,15,18,8,28,29,3
145,st101_Kannelmäki,2020/07/02,1,"15 KATP",7,4,3,3,3,8,10,31,42,35,39,33,27,38,29,30,39,21,13,17,10,13,9,6
145,st101_Kannelmäki,2020/07/02,1,"16 HA + PK",,1,,1,1,3,13,14,24,27,38,36,48,37,46,40,30,31,27,22,19,9,4,
145,st101_Kannelmäki,2020/07/02,1,"17 HA + AV",,,,1,1,,8,10,9,8,7,8,13,8,11,17,4,4,6,3,3,1,2,4
145,st101_Kannelmäki,2020/07/02,2,"11 HA-PA",273,162,141,82,127,782,3121,2853,2494,1993,1937,2225,2305,2419,2867,3705,3592,3140,2646,2144,1833,1234,840,436
