"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
151,st120_Pitäjänmäki,2020/07/01,1,"11 HA-PA",68,47,44,27,22,73,211,353,466,452,554,666,696,771,954,1222,1042,797,584,500,442,292,192,138
151,st120_Pitäjänmäki,2020/07/01,1,"12 KAIP",1,1,2,2,2,2,9,23,33,22,39,30,29,26,25,22,18,6,8,5,9,8,4,2
151,st120_Pitäjänmäki,2020/07/01,1,"13 Linja-autot",,,,,3,6,7,6,10,8,12,10,10,8,10,7,11,8,6,7,4,6,4,4
151,st120_Pitäjänmäki,2020/07/01,1,"14 KAPP",3,3,,,1,2,7,10,5,13,7,8,3,5,8,8,5,8,9,6,5,5,4,2
151,st120_Pitäjänmäki,2020/07/01,1,"15 KATP",,,,,,,,,1,2,1,2,4,1,,,1,,2,,1,1,,
151,st120_Pitäjänmäki,2020/07/01,1,"16 HA + PK",,1,,,,,2,1,3,4,2,6,3,5,6,4,10,8,2,4,3,1,,
151,st120_Pitäjänmäki,2020/07/01,1,"17 HA + AV",,,,1,,,,1,2,1,,3,1,,,1,3,1,,,1,,,
151,st120_Pitäjänmäki,2020/07/01,2,"11 HA-PA",50,48,31,21,42,226,689,925,822,643,572,605,710,671,659,731,677,599,502,425,367,227,172,81
151,st120_Pitäjänmäki,2020/07/01,2,"12 KAIP",1,2,2,2,6,7,21,33,30,36,27,29,33,26,19,15,6,7,6,5,1,4,2,1
151,st120_Pitäjänmäki,2020/07/01,2,"13 Linja-autot",7,4,3,,,4,10,10,11,6,8,5,7,9,7,7,7,6,7,6,5,6,6,6
151,st120_Pitäjänmäki,2020/07/01,2,"14 KAPP",4,1,,,,6,5,9,7,7,4,7,8,3,6,4,7,6,4,5,4,4,1,2
151,st120_Pitäjänmäki,2020/07/01,2,"15 KATP",,,1,,,,1,1,,2,2,2,2,,,,,1,,,,,,
151,st120_Pitäjänmäki,2020/07/01,2,"16 HA + PK",,,,,1,,5,1,4,4,3,4,7,3,3,3,2,5,2,1,1,,,
151,st120_Pitäjänmäki,2020/07/01,2,"17 HA + AV",,,,,,,1,,4,1,,3,1,1,1,,3,2,2,,,,,
151,st120_Pitäjänmäki,2020/07/02,1,"11 HA-PA",83,60,52,40,38,73,180,376,438,449,545,597,663,720,943,1257,963,762,628,512,398,258,229,123
151,st120_Pitäjänmäki,2020/07/02,1,"12 KAIP",1,1,1,,7,4,9,21,31,24,28,29,21,28,22,24,21,10,8,5,6,4,2,1
151,st120_Pitäjänmäki,2020/07/02,1,"13 Linja-autot",,1,,1,3,6,7,8,16,13,10,7,8,11,8,8,10,8,6,8,4,6,4,4
151,st120_Pitäjänmäki,2020/07/02,1,"14 KAPP",4,2,,,2,3,6,11,5,10,7,5,6,4,7,6,8,7,9,7,6,4,4,2
151,st120_Pitäjänmäki,2020/07/02,1,"15 KATP",,,,1,,1,,,2,3,1,,,1,1,2,1,3,1,,,1,,
151,st120_Pitäjänmäki,2020/07/02,1,"16 HA + PK",,,,,,,2,2,,7,4,1,2,7,5,5,6,2,1,2,3,,,2
151,st120_Pitäjänmäki,2020/07/02,1,"17 HA + AV",,,,,,,,2,1,1,1,,4,1,1,1,,1,,1,,,,
151,st120_Pitäjänmäki,2020/07/02,2,"11 HA-PA",57,49,46,30,43,218,655,826,786,605,578,606,690,652,612,730,656,551,527,461,331,260,154,78
151,st120_Pitäjänmäki,2020/07/02,2,"12 KAIP",,3,1,5,4,12,24,34,34,22,31,29,27,20,19,13,15,7,8,5,2,2,2,1
151,st120_Pitäjänmäki,2020/07/02,2,"13 Linja-autot",4,2,3,,2,3,6,11,8,9,5,8,7,7,9,5,9,6,6,4,6,5,5,5
151,st120_Pitäjänmäki,2020/07/02,2,"14 KAPP",5,1,,,3,6,10,8,11,6,5,8,7,8,4,7,5,7,5,9,3,4,3,3
151,st120_Pitäjänmäki,2020/07/02,2,"15 KATP",,,,1,,,1,2,4,2,1,,,1,1,,1,2,,,1,,,
151,st120_Pitäjänmäki,2020/07/02,2,"16 HA + PK",,,,1,1,,4,3,2,6,2,1,,3,4,3,5,4,7,2,2,,,
151,st120_Pitäjänmäki,2020/07/02,2,"17 HA + AV",,,,,,,,3,3,3,4,1,5,4,,3,,,,1,,,,
151,st120_Pitäjänmäki,2020/07/03,1,"11 HA-PA",90,54,39,27,21,60,201,338,385,409,519,652,735,824,985,1069,771,630,451,418,340,295,206,163
151,st120_Pitäjänmäki,2020/07/03,1,"12 KAIP",1,1,2,2,3,5,8,15,28,31,25,25,23,27,32,19,17,13,5,4,6,1,4,
151,st120_Pitäjänmäki,2020/07/03,1,"13 Linja-autot",,,,3,2,9,7,11,14,16,7,8,8,11,11,8,10,8,6,9,5,6,5,4
151,st120_Pitäjänmäki,2020/07/03,1,"14 KAPP",4,2,,,1,2,5,10,4,7,4,6,4,5,10,7,5,9,9,5,7,4,3,2
151,st120_Pitäjänmäki,2020/07/03,1,"15 KATP",,,,,,,,,,,1,1,1,,,1,,,,,,1,,
151,st120_Pitäjänmäki,2020/07/03,1,"16 HA + PK",,,,,,,1,1,1,8,1,1,4,7,3,1,3,2,3,2,3,2,4,1
151,st120_Pitäjänmäki,2020/07/03,1,"17 HA + AV",,,,,,,1,,1,,1,,,1,3,2,,1,,,,,,
151,st120_Pitäjänmäki,2020/07/03,2,"11 HA-PA",59,39,30,27,49,185,639,742,708,534,564,585,633,616,679,653,598,521,427,371,332,261,166,114
151,st120_Pitäjänmäki,2020/07/03,2,"12 KAIP",,3,1,7,3,10,24,30,37,32,24,25,21,25,11,19,10,6,4,8,3,3,,
151,st120_Pitäjänmäki,2020/07/03,2,"13 Linja-autot",5,2,4,1,,7,8,13,8,7,7,11,8,9,10,6,10,6,6,4,6,6,3,4
151,st120_Pitäjänmäki,2020/07/03,2,"14 KAPP",3,2,1,,,6,8,3,10,5,6,4,3,5,5,5,3,7,3,5,5,3,3,2
151,st120_Pitäjänmäki,2020/07/03,2,"15 KATP",,,,,,,2,1,1,1,2,,1,,1,1,,,,,,,,
151,st120_Pitäjänmäki,2020/07/03,2,"16 HA + PK",,,,,,,,4,2,3,3,4,4,5,1,7,1,1,5,1,1,,,1
151,st120_Pitäjänmäki,2020/07/03,2,"17 HA + AV",,,,,,,,1,,1,,,,2,,1,,,,,1,,,
151,st120_Pitäjänmäki,2020/07/04,1,"11 HA-PA",128,129,149,93,56,58,57,101,114,179,292,357,442,428,502,449,399,373,313,286,255,191,176,126
151,st120_Pitäjänmäki,2020/07/04,1,"12 KAIP",,2,1,,,1,1,2,3,2,4,4,6,6,5,4,,1,1,2,,,,
151,st120_Pitäjänmäki,2020/07/04,1,"13 Linja-autot",,,,,,2,4,1,4,2,4,4,3,4,3,2,5,2,3,4,2,4,1,3
151,st120_Pitäjänmäki,2020/07/04,1,"14 KAPP",3,2,,,,1,4,3,3,5,6,3,4,3,5,5,3,5,4,3,4,4,5,2
151,st120_Pitäjänmäki,2020/07/04,1,"16 HA + PK",,,,,,,1,,,2,2,3,1,5,4,3,1,,3,,,1,,
151,st120_Pitäjänmäki,2020/07/04,1,"17 HA + AV",,,,,,,,,,,,1,1,,2,,,,,1,,,,
151,st120_Pitäjänmäki,2020/07/04,2,"11 HA-PA",107,90,124,67,47,72,116,125,118,241,264,390,388,408,450,438,367,366,370,250,255,163,140,106
151,st120_Pitäjänmäki,2020/07/04,2,"12 KAIP",1,,1,,1,1,3,3,5,,9,3,4,1,,,,1,1,,1,,,
151,st120_Pitäjänmäki,2020/07/04,2,"13 Linja-autot",6,3,3,,,,2,3,1,3,4,2,7,3,3,3,3,4,4,3,4,2,4,4
151,st120_Pitäjänmäki,2020/07/04,2,"14 KAPP",4,2,,,,1,2,4,4,4,3,5,1,4,4,4,4,4,3,4,3,5,2,3
151,st120_Pitäjänmäki,2020/07/04,2,"16 HA + PK",1,,,,,,,2,,3,1,1,2,4,4,1,2,1,,1,1,1,,
151,st120_Pitäjänmäki,2020/07/04,2,"17 HA + AV",,,,,,,,,,1,,,,1,,,,,1,,,,,
151,st120_Pitäjänmäki,2020/07/05,1,"11 HA-PA",101,121,139,82,43,44,54,90,71,112,174,275,319,406,438,468,411,416,417,391,278,205,145,99
151,st120_Pitäjänmäki,2020/07/05,1,"12 KAIP",,1,2,,,,,1,,1,1,1,1,1,1,3,1,3,2,4,1,,,3
151,st120_Pitäjänmäki,2020/07/05,1,"13 Linja-autot",2,,,,,2,4,1,4,3,2,4,2,3,3,3,4,2,3,3,3,4,2,3
151,st120_Pitäjänmäki,2020/07/05,1,"14 KAPP",2,,,,1,,4,3,3,4,4,4,6,3,5,4,3,5,4,5,5,3,5,2
151,st120_Pitäjänmäki,2020/07/05,1,"16 HA + PK",,,,,,,1,,2,2,2,,3,1,,2,1,,3,2,1,,,
151,st120_Pitäjänmäki,2020/07/05,1,"17 HA + AV",,,,,,,,,,,,1,2,1,,,1,,2,2,,,,1
151,st120_Pitäjänmäki,2020/07/05,2,"11 HA-PA",95,88,95,64,27,65,83,82,83,121,214,295,356,420,417,411,393,406,436,336,272,188,113,67
151,st120_Pitäjänmäki,2020/07/05,2,"12 KAIP",,1,,,,,,,1,,,1,,1,2,3,,3,2,1,3,2,2,
151,st120_Pitäjänmäki,2020/07/05,2,"13 Linja-autot",2,1,,1,,,2,3,2,3,3,2,4,2,3,3,2,4,4,4,3,2,4,3
151,st120_Pitäjänmäki,2020/07/05,2,"14 KAPP",3,1,2,,,1,2,4,4,3,4,5,4,5,4,4,5,3,4,4,4,5,2,4
151,st120_Pitäjänmäki,2020/07/05,2,"16 HA + PK",,,,,,,,,,,,2,1,1,2,1,1,2,4,1,1,1,,
151,st120_Pitäjänmäki,2020/07/05,2,"17 HA + AV",,,,,,,,,,,1,,1,,,,1,2,,,,,,
151,st120_Pitäjänmäki,2020/07/06,1,"11 HA-PA",63,51,34,17,22,74,187,383,393,467,545,613,666,723,904,1208,925,722,528,460,394,250,194,130
151,st120_Pitäjänmäki,2020/07/06,1,"12 KAIP",,2,1,2,1,6,6,24,18,33,32,23,32,19,31,14,14,12,7,4,5,8,3,2
151,st120_Pitäjänmäki,2020/07/06,1,"13 Linja-autot",1,,,,3,7,7,9,10,11,8,11,14,11,9,9,10,8,6,8,4,4,6,4
151,st120_Pitäjänmäki,2020/07/06,1,"14 KAPP",2,,1,,3,3,7,9,4,10,7,6,4,7,5,8,7,9,9,4,7,5,2,2
151,st120_Pitäjänmäki,2020/07/06,1,"15 KATP",,,,,,,,,3,,1,,,2,,2,,1,,,1,1,,1
151,st120_Pitäjänmäki,2020/07/06,1,"16 HA + PK",,,,,,,1,1,,5,3,8,8,1,5,4,3,6,1,2,1,,,
151,st120_Pitäjänmäki,2020/07/06,1,"17 HA + AV",,,,,,,,,,,2,1,,2,2,,,1,1,,,,,
151,st120_Pitäjänmäki,2020/07/06,2,"11 HA-PA",49,34,31,26,36,230,616,736,730,604,583,597,697,618,673,637,657,546,456,386,344,254,153,83
151,st120_Pitäjänmäki,2020/07/06,2,"12 KAIP",1,4,1,5,6,9,24,29,30,32,23,36,23,15,22,13,4,7,6,5,4,4,1,1
151,st120_Pitäjänmäki,2020/07/06,2,"13 Linja-autot",3,2,1,,1,5,9,12,9,7,6,7,7,8,9,7,9,5,8,5,6,6,5,4
151,st120_Pitäjänmäki,2020/07/06,2,"14 KAPP",3,2,1,,,8,10,4,7,5,5,5,6,8,3,8,5,8,2,4,3,3,2,2
151,st120_Pitäjänmäki,2020/07/06,2,"15 KATP",,,,,,1,1,,,,1,1,2,,3,,,,,1,,,,1
151,st120_Pitäjänmäki,2020/07/06,2,"16 HA + PK",,,,,,,1,2,2,3,5,2,6,3,2,2,6,6,3,2,,,,2
151,st120_Pitäjänmäki,2020/07/06,2,"17 HA + AV",,,,,,,,,1,,1,1,,1,1,,1,,,,,,,
151,st120_Pitäjänmäki,2020/07/07,1,"11 HA-PA",54,51,34,21,29,63,164,338,383,444,515,566,637,763,929,1218,977,757,564,442,369,261,200,119
151,st120_Pitäjänmäki,2020/07/07,1,"12 KAIP",,1,,3,2,4,12,23,26,24,32,25,25,35,17,19,11,10,7,4,4,3,6,1
151,st120_Pitäjänmäki,2020/07/07,1,"13 Linja-autot",,,,,3,6,6,10,8,16,12,7,9,6,8,9,12,11,7,7,6,4,4,5
151,st120_Pitäjänmäki,2020/07/07,1,"14 KAPP",3,3,,,3,3,9,9,5,11,7,4,5,8,7,7,6,10,7,5,5,5,4,1
151,st120_Pitäjänmäki,2020/07/07,1,"15 KATP",,,,,,,,3,3,1,,1,1,,,1,2,,,1,,,,
151,st120_Pitäjänmäki,2020/07/07,1,"16 HA + PK",,1,,,,,1,,1,1,2,4,3,6,9,6,4,2,5,5,2,1,,
151,st120_Pitäjänmäki,2020/07/07,1,"17 HA + AV",,,,,,,,,1,,1,,,,1,2,,1,1,,,,,1
151,st120_Pitäjänmäki,2020/07/07,2,"11 HA-PA",63,38,24,23,43,195,691,825,776,535,570,628,666,625,682,674,650,600,463,387,343,199,154,80
151,st120_Pitäjänmäki,2020/07/07,2,"12 KAIP",1,2,2,4,9,11,26,32,32,27,21,21,20,20,17,13,4,7,5,5,1,1,1,1
151,st120_Pitäjänmäki,2020/07/07,2,"13 Linja-autot",4,2,3,,,3,8,11,9,11,7,5,7,11,8,8,5,7,6,7,5,8,4,7
151,st120_Pitäjänmäki,2020/07/07,2,"14 KAPP",4,,,,,6,8,7,10,5,5,7,7,5,4,6,7,7,4,3,5,2,3,2
151,st120_Pitäjänmäki,2020/07/07,2,"15 KATP",,,,,,1,2,5,3,2,2,2,2,1,1,2,,,,,,,,
151,st120_Pitäjänmäki,2020/07/07,2,"16 HA + PK",,,,,1,,1,3,2,4,4,3,3,3,1,2,5,4,2,3,1,1,1,1
151,st120_Pitäjänmäki,2020/07/07,2,"17 HA + AV",,,,,,,1,3,,,1,1,1,1,,,,,,,,,,
