"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
205,vt8_Raisio,2020/07/01,1,"11 HA-PA",48,28,26,18,59,127,330,545,475,493,608,703,823,906,1042,1597,1481,1144,879,754,595,322,226,113
205,vt8_Raisio,2020/07/01,1,"12 KAIP",2,1,1,4,5,6,22,25,35,35,39,34,43,35,33,33,21,19,7,9,10,1,5,2
205,vt8_Raisio,2020/07/01,1,"13 Linja-autot",,,,,2,1,2,2,3,2,1,4,2,4,3,2,4,1,,4,,3,,1
205,vt8_Raisio,2020/07/01,1,"14 KAPP",2,1,2,1,1,3,7,13,14,16,11,10,10,7,14,7,16,11,7,9,9,4,7,1
205,vt8_Raisio,2020/07/01,1,"15 KATP",4,9,4,10,7,2,12,16,16,17,18,20,13,22,13,13,12,13,19,16,13,4,9,7
205,vt8_Raisio,2020/07/01,1,"16 HA + PK",,1,,,,,1,7,11,14,17,21,27,24,25,34,33,30,25,18,13,7,3,3
205,vt8_Raisio,2020/07/01,1,"17 HA + AV",,1,1,,,,,3,3,3,1,5,2,6,2,3,5,4,4,2,1,2,2,1
205,vt8_Raisio,2020/07/01,2,"11 HA-PA",51,25,17,23,73,350,998,999,736,665,796,800,869,864,835,1033,1053,913,673,555,425,345,197,107
205,vt8_Raisio,2020/07/01,2,"12 KAIP",,2,,5,3,5,32,36,27,38,31,38,37,42,40,28,13,19,18,4,9,7,4,2
205,vt8_Raisio,2020/07/01,2,"13 Linja-autot",2,,,,,1,2,4,2,3,5,1,3,2,1,5,4,,2,2,1,1,2,1
205,vt8_Raisio,2020/07/01,2,"14 KAPP",2,1,,,2,1,5,11,7,5,14,14,7,9,12,13,13,10,7,15,2,6,,5
205,vt8_Raisio,2020/07/01,2,"15 KATP",7,9,5,5,7,9,16,20,17,22,16,19,13,24,13,14,14,15,13,12,8,9,6,8
205,vt8_Raisio,2020/07/01,2,"16 HA + PK",,,,,1,3,8,14,10,26,32,30,21,27,25,24,29,19,11,11,8,6,7,5
205,vt8_Raisio,2020/07/01,2,"17 HA + AV",1,2,1,1,2,1,5,7,5,1,6,5,6,2,5,3,4,2,2,2,2,3,1,
205,vt8_Raisio,2020/07/02,1,"11 HA-PA",83,39,28,13,54,121,354,552,476,492,685,732,838,863,1104,1506,1437,1135,852,768,556,353,209,118
205,vt8_Raisio,2020/07/02,1,"12 KAIP",,,4,4,2,11,15,34,27,38,43,31,37,47,38,32,18,13,9,7,11,4,4,2
205,vt8_Raisio,2020/07/02,1,"13 Linja-autot",1,,,,3,1,3,2,2,1,1,3,3,4,2,1,3,2,1,2,1,2,,
205,vt8_Raisio,2020/07/02,1,"14 KAPP",6,,,2,1,3,4,10,23,16,12,14,13,11,16,12,18,11,6,11,10,3,4,2
205,vt8_Raisio,2020/07/02,1,"15 KATP",3,8,10,8,8,3,11,17,23,17,17,16,12,14,24,24,11,18,16,16,6,11,7,6
205,vt8_Raisio,2020/07/02,1,"16 HA + PK",1,1,,1,2,,4,2,14,18,27,22,34,31,19,25,27,32,20,11,12,2,4,2
205,vt8_Raisio,2020/07/02,1,"17 HA + AV",,1,,1,,,2,1,2,,2,4,7,4,7,6,7,5,3,1,4,3,2,
205,vt8_Raisio,2020/07/02,2,"11 HA-PA",63,29,18,25,62,347,952,960,700,681,711,776,792,811,849,1030,1096,930,691,508,429,328,176,96
205,vt8_Raisio,2020/07/02,2,"12 KAIP",,,3,2,3,8,26,26,37,38,36,44,44,37,34,39,18,15,15,7,5,5,4,1
205,vt8_Raisio,2020/07/02,2,"13 Linja-autot",2,,,,,,1,3,2,3,4,2,1,2,1,4,4,,2,3,2,1,,
205,vt8_Raisio,2020/07/02,2,"14 KAPP",1,4,,,3,5,6,4,6,21,8,13,13,10,15,13,11,13,14,7,8,3,2,1
205,vt8_Raisio,2020/07/02,2,"15 KATP",12,7,4,5,9,10,20,18,17,15,12,29,21,18,15,19,16,13,15,8,7,8,6,10
205,vt8_Raisio,2020/07/02,2,"16 HA + PK",2,,1,,1,2,8,15,9,18,33,16,30,22,23,32,18,26,20,14,6,11,5,1
205,vt8_Raisio,2020/07/02,2,"17 HA + AV",2,,1,,1,3,2,6,1,1,2,3,3,4,2,4,2,2,4,3,6,1,,
205,vt8_Raisio,2020/07/03,1,"11 HA-PA",74,35,38,19,59,130,337,478,435,547,699,916,998,1087,1287,1723,1624,1401,998,865,615,393,247,186
205,vt8_Raisio,2020/07/03,1,"12 KAIP",2,1,3,3,8,14,22,45,29,39,47,35,39,41,41,28,18,17,9,8,2,6,3,4
205,vt8_Raisio,2020/07/03,1,"13 Linja-autot",,,,,2,3,3,2,2,2,1,1,2,5,3,4,2,2,,2,,2,,
205,vt8_Raisio,2020/07/03,1,"14 KAPP",3,1,1,2,,2,6,11,17,14,11,14,15,10,9,4,6,3,4,3,2,2,2,
205,vt8_Raisio,2020/07/03,1,"15 KATP",7,4,7,5,4,7,14,20,15,21,17,15,14,15,14,11,12,11,11,8,6,6,4,1
205,vt8_Raisio,2020/07/03,1,"16 HA + PK",,,,,,1,4,3,13,26,26,31,35,35,30,37,38,34,28,23,21,11,2,3
205,vt8_Raisio,2020/07/03,1,"17 HA + AV",2,,1,,,1,3,2,4,3,1,2,2,5,8,10,8,5,4,5,1,2,1,1
205,vt8_Raisio,2020/07/03,2,"11 HA-PA",61,38,26,25,68,313,925,921,688,684,819,830,896,857,1034,1064,1013,872,743,631,507,391,239,198
205,vt8_Raisio,2020/07/03,2,"12 KAIP",,3,,5,7,8,28,38,45,40,55,32,46,40,34,37,22,26,14,7,6,1,3,2
205,vt8_Raisio,2020/07/03,2,"13 Linja-autot",3,,,1,,,2,2,2,3,3,3,1,1,4,4,2,3,1,3,,,2,
205,vt8_Raisio,2020/07/03,2,"14 KAPP",4,,1,,,3,4,4,7,11,14,18,16,18,8,15,15,10,11,6,3,,3,
205,vt8_Raisio,2020/07/03,2,"15 KATP",7,8,4,4,7,10,14,15,16,20,21,26,11,17,15,24,16,12,7,9,4,3,,2
205,vt8_Raisio,2020/07/03,2,"16 HA + PK",,1,1,1,2,1,16,12,20,20,37,36,30,30,26,32,33,34,24,16,8,5,7,1
205,vt8_Raisio,2020/07/03,2,"17 HA + AV",2,1,,,2,2,5,6,3,5,5,3,4,5,7,6,3,3,3,,2,3,2,1
205,vt8_Raisio,2020/07/04,1,"11 HA-PA",98,99,99,59,32,46,75,182,318,409,615,822,855,962,938,953,786,786,646,496,364,253,206,153
205,vt8_Raisio,2020/07/04,1,"12 KAIP",3,,1,,1,3,5,3,3,5,7,5,3,10,6,6,7,6,2,1,,,2,
205,vt8_Raisio,2020/07/04,1,"13 Linja-autot",,,,,,,,1,1,2,3,,2,1,1,2,1,1,,1,,,,
205,vt8_Raisio,2020/07/04,1,"14 KAPP",1,,,,,,,4,4,2,2,3,3,1,,,1,1,,4,2,,,
205,vt8_Raisio,2020/07/04,1,"15 KATP",1,,3,4,5,,1,6,4,,4,1,6,3,2,2,4,2,,3,,,,
205,vt8_Raisio,2020/07/04,1,"16 HA + PK",,,,,1,2,1,5,6,18,26,23,19,24,30,20,12,19,9,18,4,6,2,1
205,vt8_Raisio,2020/07/04,1,"17 HA + AV",,,,,,,1,1,1,5,3,6,4,3,5,2,1,3,2,1,1,1,,
205,vt8_Raisio,2020/07/04,2,"11 HA-PA",119,99,59,42,51,74,138,150,260,477,672,930,1003,1002,868,781,705,698,580,469,324,266,207,165
205,vt8_Raisio,2020/07/04,2,"12 KAIP",5,1,1,3,1,3,2,5,5,6,6,8,13,8,11,7,7,5,3,2,2,1,2,2
205,vt8_Raisio,2020/07/04,2,"13 Linja-autot",3,,,,,,,,,1,1,1,1,1,2,,3,,1,2,,1,,
205,vt8_Raisio,2020/07/04,2,"14 KAPP",,,,,1,,1,1,,,1,1,2,3,2,,2,,,4,,,,
205,vt8_Raisio,2020/07/04,2,"15 KATP",4,7,,1,2,2,1,5,2,5,4,5,1,5,3,4,,3,1,2,1,,2,1
205,vt8_Raisio,2020/07/04,2,"16 HA + PK",1,1,1,,,,,3,15,22,30,35,37,21,24,23,20,17,7,5,6,3,4,1
205,vt8_Raisio,2020/07/04,2,"17 HA + AV",,,,,,,,,3,4,3,6,4,5,1,,3,5,2,2,1,,,
205,vt8_Raisio,2020/07/05,1,"11 HA-PA",118,125,100,42,41,29,70,137,169,320,544,650,824,856,842,805,858,766,693,542,431,242,165,77
205,vt8_Raisio,2020/07/05,1,"12 KAIP",,,,,,,,1,1,2,7,5,2,3,4,5,6,5,6,5,1,2,2,3
205,vt8_Raisio,2020/07/05,1,"13 Linja-autot",,,,,,,,,1,,,1,2,,1,1,2,,2,2,2,,,
205,vt8_Raisio,2020/07/05,1,"14 KAPP",,,,,,,1,2,,,1,1,3,3,1,5,2,3,6,4,8,6,7,
205,vt8_Raisio,2020/07/05,1,"15 KATP",,2,,,,1,1,,,2,1,,4,1,2,4,2,7,2,3,3,1,2,1
205,vt8_Raisio,2020/07/05,1,"16 HA + PK",2,,,,2,,,3,4,4,7,25,20,18,17,19,19,21,17,18,7,7,2,
205,vt8_Raisio,2020/07/05,1,"17 HA + AV",,,,,,,,,,1,3,2,6,3,4,2,2,1,4,3,2,1,,2
205,vt8_Raisio,2020/07/05,2,"11 HA-PA",125,108,71,38,50,34,100,100,118,301,447,722,888,958,1043,1170,1152,1104,875,752,457,318,162,73
205,vt8_Raisio,2020/07/05,2,"12 KAIP",,,,,1,1,,,1,1,1,4,3,7,5,14,2,4,11,2,3,4,2,2
205,vt8_Raisio,2020/07/05,2,"13 Linja-autot",1,,,,,,,,,,,1,,2,1,,1,,,1,2,3,,1
205,vt8_Raisio,2020/07/05,2,"14 KAPP",1,,,,,,,,1,1,,,2,,1,2,1,2,3,3,,5,2,1
205,vt8_Raisio,2020/07/05,2,"15 KATP",,,,3,2,2,1,2,3,4,,3,1,2,2,4,1,3,11,4,2,7,1,2
205,vt8_Raisio,2020/07/05,2,"16 HA + PK",,,1,,,,1,3,6,5,18,15,18,30,27,21,25,24,20,22,11,8,4,
205,vt8_Raisio,2020/07/05,2,"17 HA + AV",,,,,,,,1,,1,2,4,3,3,5,5,7,4,5,1,2,,1,
205,vt8_Raisio,2020/07/06,1,"11 HA-PA",43,22,19,21,63,126,342,466,485,496,620,722,815,865,1064,1549,1428,1041,775,665,540,299,165,97
205,vt8_Raisio,2020/07/06,1,"12 KAIP",1,2,1,3,2,7,21,32,28,51,49,31,50,29,35,33,18,10,7,8,8,6,3,4
205,vt8_Raisio,2020/07/06,1,"13 Linja-autot",,,,1,4,1,1,2,2,2,1,2,1,5,1,2,3,2,,3,,3,,
205,vt8_Raisio,2020/07/06,1,"14 KAPP",1,,4,2,2,5,7,14,8,19,17,9,20,14,13,10,11,10,5,5,4,4,1,5
205,vt8_Raisio,2020/07/06,1,"15 KATP",,,6,5,6,2,16,17,13,20,16,14,21,11,23,10,12,10,12,16,12,5,8,4
205,vt8_Raisio,2020/07/06,1,"16 HA + PK",,,1,1,,,5,4,9,15,17,32,33,22,22,36,31,36,23,21,9,3,5,3
205,vt8_Raisio,2020/07/06,1,"17 HA + AV",,,,,,2,2,3,1,3,3,3,5,5,4,5,5,7,3,2,4,3,1,1
205,vt8_Raisio,2020/07/06,2,"11 HA-PA",37,25,17,17,78,346,974,987,696,678,786,834,877,880,852,988,967,833,665,516,392,262,186,91
205,vt8_Raisio,2020/07/06,2,"12 KAIP",,1,,4,6,7,25,26,45,39,40,33,38,37,27,38,20,29,16,8,7,3,5,1
205,vt8_Raisio,2020/07/06,2,"13 Linja-autot",,,,,2,,1,3,1,6,2,2,1,1,1,3,3,,3,1,1,,,2
205,vt8_Raisio,2020/07/06,2,"14 KAPP",,,,,3,2,8,12,10,9,14,12,11,14,13,5,15,17,13,6,3,5,2,3
205,vt8_Raisio,2020/07/06,2,"15 KATP",2,4,1,2,3,5,14,16,18,16,24,17,21,16,13,17,18,19,6,11,11,13,11,8
205,vt8_Raisio,2020/07/06,2,"16 HA + PK",2,1,,1,1,3,11,15,20,30,28,29,34,21,35,27,29,23,21,19,9,3,3,3
205,vt8_Raisio,2020/07/06,2,"17 HA + AV",,,,,1,2,6,3,,3,3,7,9,5,6,10,3,1,,2,4,4,1,1
205,vt8_Raisio,2020/07/07,1,"11 HA-PA",57,31,22,16,53,113,346,491,458,484,649,750,822,868,984,1477,1347,1004,825,706,522,352,159,103
205,vt8_Raisio,2020/07/07,1,"12 KAIP",,1,2,2,7,11,17,38,45,31,48,31,41,38,31,37,17,8,8,12,5,4,2,5
205,vt8_Raisio,2020/07/07,1,"13 Linja-autot",,,,1,3,3,1,2,5,3,3,5,1,3,1,4,9,1,,2,1,2,,2
205,vt8_Raisio,2020/07/07,1,"14 KAPP",6,1,1,1,,2,8,7,15,19,12,10,15,9,13,8,10,16,2,5,9,3,5,1
205,vt8_Raisio,2020/07/07,1,"15 KATP",4,7,7,5,6,7,11,20,14,21,11,16,13,9,14,17,10,8,18,7,9,10,11,6
205,vt8_Raisio,2020/07/07,1,"16 HA + PK",2,,,,,,7,8,13,13,24,28,35,28,31,24,27,26,14,9,12,9,4,2
205,vt8_Raisio,2020/07/07,1,"17 HA + AV",,1,,,,,1,3,4,2,5,4,11,3,10,9,8,9,4,4,1,1,3,
205,vt8_Raisio,2020/07/07,2,"11 HA-PA",60,17,15,25,51,309,914,921,617,642,817,810,870,783,838,1001,1086,814,631,501,414,300,173,110
205,vt8_Raisio,2020/07/07,2,"12 KAIP",2,,1,4,6,8,30,38,43,37,34,33,32,37,40,38,24,14,13,8,6,8,2,
205,vt8_Raisio,2020/07/07,2,"13 Linja-autot",2,,,,1,,1,2,3,7,4,2,1,3,2,5,3,,2,1,2,2,1,1
205,vt8_Raisio,2020/07/07,2,"14 KAPP",1,1,5,1,2,2,7,10,9,12,11,12,10,14,12,16,13,9,7,8,4,3,,3
205,vt8_Raisio,2020/07/07,2,"15 KATP",8,5,5,4,4,6,13,16,11,26,15,14,19,24,23,12,11,13,10,9,11,8,11,8
205,vt8_Raisio,2020/07/07,2,"16 HA + PK",,,,,1,4,9,9,13,20,25,27,28,36,24,20,27,14,15,12,8,13,1,2
205,vt8_Raisio,2020/07/07,2,"17 HA + AV",,1,,1,,2,1,7,3,4,5,4,1,6,3,6,5,3,2,4,2,2,3,1
205,vt8_Raisio,2020/07/08,1,"11 HA-PA",38,33,23,19,52,110,323,486,463,508,624,708,843,866,1024,1483,1401,1100,841,685,536,299,187,96
205,vt8_Raisio,2020/07/08,1,"12 KAIP",,3,3,5,5,5,12,40,35,42,36,30,33,35,31,31,14,15,13,8,8,4,4,3
205,vt8_Raisio,2020/07/08,1,"13 Linja-autot",1,,,1,2,3,1,1,2,1,1,2,1,4,2,2,4,2,1,3,2,2,,1
205,vt8_Raisio,2020/07/08,1,"14 KAPP",4,1,1,,1,3,9,16,18,14,12,11,18,15,11,22,7,5,4,7,8,4,2,3
205,vt8_Raisio,2020/07/08,1,"15 KATP",5,6,10,7,7,4,10,17,13,25,14,16,12,12,21,16,20,11,9,11,13,9,10,3
205,vt8_Raisio,2020/07/08,1,"16 HA + PK",,,,,,,1,5,11,14,16,27,30,25,25,28,28,41,22,20,15,11,4,1
205,vt8_Raisio,2020/07/08,1,"17 HA + AV",1,1,1,,,,3,,4,4,7,2,6,2,4,5,12,8,2,,3,1,2,
205,vt8_Raisio,2020/07/08,2,"11 HA-PA",64,21,19,26,66,304,876,930,617,652,717,807,798,795,831,936,973,860,652,606,474,356,173,98
205,vt8_Raisio,2020/07/08,2,"12 KAIP",,2,3,2,8,10,29,38,35,39,41,35,31,27,37,25,15,18,13,6,5,13,3,2
205,vt8_Raisio,2020/07/08,2,"13 Linja-autot",2,,,,,,1,2,1,4,2,3,1,1,3,4,2,,2,2,1,,,1
205,vt8_Raisio,2020/07/08,2,"14 KAPP",,2,,2,2,2,5,10,10,17,15,16,14,13,15,17,11,9,10,6,3,5,1,2
205,vt8_Raisio,2020/07/08,2,"15 KATP",5,6,5,7,6,12,11,14,15,16,26,6,8,21,19,13,11,9,14,15,9,5,10,7
205,vt8_Raisio,2020/07/08,2,"16 HA + PK",2,,,,,3,10,15,16,19,23,16,25,35,24,36,26,33,16,18,14,6,1,3
205,vt8_Raisio,2020/07/08,2,"17 HA + AV",,2,,1,1,2,7,6,2,7,1,5,5,6,6,7,3,6,2,1,3,3,2,
205,vt8_Raisio,2020/07/09,1,"11 HA-PA",50,39,31,19,56,114,315,514,481,499,685,779,830,879,1033,1502,1451,1115,901,743,559,345,194,130
205,vt8_Raisio,2020/07/09,1,"12 KAIP",1,3,,2,5,10,12,41,35,33,48,32,45,40,35,26,19,14,9,10,10,5,4,2
205,vt8_Raisio,2020/07/09,1,"13 Linja-autot",,,,,4,2,1,1,4,2,1,3,2,3,2,2,2,2,,2,,2,,1
205,vt8_Raisio,2020/07/09,1,"14 KAPP",4,1,,1,,4,6,14,7,16,14,16,15,22,13,12,10,13,4,3,9,4,4,1
205,vt8_Raisio,2020/07/09,1,"15 KATP",3,4,8,5,3,4,11,15,9,16,12,12,15,20,10,6,9,15,8,7,13,6,4,3
205,vt8_Raisio,2020/07/09,1,"16 HA + PK",,,,,2,,3,10,9,14,18,31,23,27,31,26,39,21,17,22,13,11,,1
205,vt8_Raisio,2020/07/09,1,"17 HA + AV",2,,2,,,2,,3,3,5,2,1,2,7,4,6,11,2,4,,1,1,,
205,vt8_Raisio,2020/07/09,2,"11 HA-PA",47,26,17,26,68,311,851,892,648,631,739,768,823,823,853,1021,1050,880,688,503,468,415,195,133
205,vt8_Raisio,2020/07/09,2,"12 KAIP",2,4,,3,7,7,26,45,34,41,37,26,43,39,31,29,16,16,12,7,5,4,6,2
205,vt8_Raisio,2020/07/09,2,"13 Linja-autot",2,,,,,,1,2,2,3,3,1,1,2,1,6,3,,3,2,1,,1,
205,vt8_Raisio,2020/07/09,2,"14 KAPP",2,1,2,,2,,7,8,13,11,12,10,12,12,18,10,11,17,9,7,8,1,,2
205,vt8_Raisio,2020/07/09,2,"15 KATP",6,8,6,6,6,4,18,10,11,18,16,14,15,23,8,17,12,12,7,13,11,6,8,5
205,vt8_Raisio,2020/07/09,2,"16 HA + PK",2,2,,,2,2,12,17,15,17,28,36,18,34,19,36,31,20,17,15,16,8,4,1
205,vt8_Raisio,2020/07/09,2,"17 HA + AV",1,,1,,2,2,4,1,4,6,4,4,,3,1,6,4,4,2,1,2,,,1
205,vt8_Raisio,2020/07/10,1,"11 HA-PA",66,33,29,24,60,107,290,429,442,546,754,860,946,1069,1297,1620,1525,1242,888,794,611,391,223,183
205,vt8_Raisio,2020/07/10,1,"12 KAIP",2,,2,4,8,5,23,39,42,39,41,26,39,33,34,30,22,17,5,5,1,3,3,
205,vt8_Raisio,2020/07/10,1,"13 Linja-autot",1,,,1,5,,1,2,2,2,4,3,2,6,2,3,2,1,2,2,,2,,1
205,vt8_Raisio,2020/07/10,1,"14 KAPP",2,1,,,,2,5,9,15,15,7,8,9,9,7,5,7,7,1,,1,,1,
205,vt8_Raisio,2020/07/10,1,"15 KATP",9,5,7,4,8,10,9,12,18,15,9,9,12,19,14,10,14,11,9,2,4,4,3,1
205,vt8_Raisio,2020/07/10,1,"16 HA + PK",,,1,,,,3,5,6,13,34,31,28,35,37,41,47,50,27,28,15,13,5,
205,vt8_Raisio,2020/07/10,1,"17 HA + AV",,,,,,,1,2,,4,4,8,5,5,8,9,8,7,4,3,3,3,1,
205,vt8_Raisio,2020/07/10,2,"11 HA-PA",60,27,29,29,54,271,789,861,653,666,727,841,837,853,901,1055,1037,943,775,580,442,406,268,178
205,vt8_Raisio,2020/07/10,2,"12 KAIP",1,1,1,5,9,11,19,43,33,38,38,36,33,36,29,23,21,14,12,6,3,4,2,1
