"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
208,vt9_Aura,2020/07/01,1,"11 HA-PA",24,15,9,8,16,68,121,190,225,220,245,259,280,309,374,527,512,410,279,212,213,135,75,52
208,vt9_Aura,2020/07/01,1,"12 KAIP",2,1,1,1,1,8,9,11,11,10,11,19,11,9,17,19,26,11,10,11,9,6,6,1
208,vt9_Aura,2020/07/01,1,"13 Linja-autot",1,,,,,,,,2,,5,2,3,1,2,7,2,2,1,2,1,,1,
208,vt9_Aura,2020/07/01,1,"14 KAPP",,,,,2,2,5,5,18,11,13,5,9,8,4,9,6,4,2,3,7,3,4,
208,vt9_Aura,2020/07/01,1,"15 KATP",5,8,3,8,6,10,15,17,21,31,24,21,18,16,19,21,22,21,13,14,21,27,10,5
208,vt9_Aura,2020/07/01,1,"16 HA + PK",,,,1,,,3,10,12,11,13,8,8,5,15,15,19,10,9,8,6,5,,2
208,vt9_Aura,2020/07/01,1,"17 HA + AV",,,,1,1,,2,2,4,2,2,2,7,2,6,6,19,8,2,4,3,1,1,1
208,vt9_Aura,2020/07/01,2,"11 HA-PA",31,17,8,12,24,181,431,324,243,240,281,335,287,279,343,404,371,349,237,202,203,134,91,41
208,vt9_Aura,2020/07/01,2,"12 KAIP",3,,2,1,3,6,20,16,15,15,10,15,8,12,15,8,14,11,9,7,7,4,6,4
208,vt9_Aura,2020/07/01,2,"13 Linja-autot",,,,,1,,1,,,1,,1,,,2,,,,1,1,1,,,
208,vt9_Aura,2020/07/01,2,"14 KAPP",,1,,,1,2,7,3,5,9,7,7,5,11,7,6,6,6,4,4,5,2,1,2
208,vt9_Aura,2020/07/01,2,"15 KATP",9,6,7,7,9,13,29,16,16,20,23,15,22,24,14,21,20,21,14,20,12,6,6,6
208,vt9_Aura,2020/07/01,2,"16 HA + PK",1,,1,1,,3,9,8,11,7,9,8,11,14,13,12,17,9,12,8,9,4,5,1
208,vt9_Aura,2020/07/01,2,"17 HA + AV",,2,1,,,,6,6,3,2,1,3,6,5,8,3,6,2,6,1,1,1,,
208,vt9_Aura,2020/07/02,1,"11 HA-PA",25,21,13,10,17,61,116,217,240,254,281,286,311,296,361,519,509,366,301,256,215,130,67,46
208,vt9_Aura,2020/07/02,1,"12 KAIP",1,1,1,2,3,5,7,5,16,15,21,17,26,13,16,19,18,15,11,18,9,4,,4
208,vt9_Aura,2020/07/02,1,"13 Linja-autot",,,,,,1,,,1,,5,3,6,2,3,2,5,3,,1,2,1,1,
208,vt9_Aura,2020/07/02,1,"14 KAPP",1,,,1,2,2,4,6,16,10,12,9,8,5,10,3,9,3,4,5,6,6,3,1
208,vt9_Aura,2020/07/02,1,"15 KATP",6,4,4,5,4,13,20,13,35,24,16,21,23,20,15,28,18,15,22,11,19,12,10,5
208,vt9_Aura,2020/07/02,1,"16 HA + PK",1,,,,,2,5,9,9,11,10,11,16,11,15,15,8,11,11,12,5,5,3,1
208,vt9_Aura,2020/07/02,1,"17 HA + AV",,,,,,1,,4,6,4,2,6,6,3,8,5,7,3,5,4,2,,,
208,vt9_Aura,2020/07/02,2,"11 HA-PA",31,12,12,17,26,178,433,311,248,243,243,247,240,294,301,373,394,384,263,234,186,118,72,39
208,vt9_Aura,2020/07/02,2,"12 KAIP",1,,2,1,1,1,18,16,17,17,6,13,14,9,20,13,12,12,10,10,3,2,5,2
208,vt9_Aura,2020/07/02,2,"13 Linja-autot",1,,,,,,,,,4,,1,1,,,1,1,1,,2,1,,,
208,vt9_Aura,2020/07/02,2,"14 KAPP",,1,1,,,3,8,4,7,8,2,10,3,11,11,8,3,2,8,4,4,2,1,3
208,vt9_Aura,2020/07/02,2,"15 KATP",4,5,7,11,7,16,25,23,17,18,26,18,18,21,15,25,16,14,9,11,12,5,7,7
208,vt9_Aura,2020/07/02,2,"16 HA + PK",,,,,,1,15,9,5,4,11,12,14,12,12,17,12,19,14,13,5,4,3,1
