"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
223,vt8_Eurajoki,2020/07/01,1,"11 HA-PA",19,13,7,3,21,154,481,433,269,248,252,264,304,317,405,570,503,379,274,192,214,158,111,74
223,vt8_Eurajoki,2020/07/01,1,"12 KAIP",4,1,,3,1,5,10,13,8,17,11,12,13,13,9,11,13,13,8,4,1,1,,
223,vt8_Eurajoki,2020/07/01,1,"13 Linja-autot",1,,,,,,,1,,2,1,1,,,4,1,1,1,1,,,1,,1
223,vt8_Eurajoki,2020/07/01,1,"14 KAPP",,1,,,1,,3,5,11,12,8,4,13,6,4,10,8,9,3,6,1,3,1,2
223,vt8_Eurajoki,2020/07/01,1,"15 KATP",5,2,2,1,6,9,13,23,24,18,26,20,21,27,28,16,18,19,13,14,16,8,8,8
223,vt8_Eurajoki,2020/07/01,1,"16 HA + PK",,,,,,,3,4,4,6,8,15,7,10,14,20,16,11,10,7,6,2,,
223,vt8_Eurajoki,2020/07/01,1,"17 HA + AV",,,,,,,,2,1,2,7,3,5,1,1,4,2,3,7,4,,2,,
223,vt8_Eurajoki,2020/07/01,2,"11 HA-PA",17,19,9,7,27,136,320,299,273,241,252,268,312,356,427,641,565,565,381,255,175,121,86,33
223,vt8_Eurajoki,2020/07/01,2,"12 KAIP",,1,,1,7,1,14,22,15,13,10,12,6,11,13,15,9,9,8,8,4,2,1,
223,vt8_Eurajoki,2020/07/01,2,"13 Linja-autot",,,,,,,1,2,,1,,3,1,1,2,2,2,2,2,,,,1,
223,vt8_Eurajoki,2020/07/01,2,"14 KAPP",1,,,,,,6,2,4,10,2,12,10,8,9,8,10,8,7,6,1,1,1,
223,vt8_Eurajoki,2020/07/01,2,"15 KATP",11,3,4,4,7,17,21,19,19,29,11,13,26,23,16,19,23,19,10,14,16,9,7,8
223,vt8_Eurajoki,2020/07/01,2,"16 HA + PK",3,,,,,2,7,4,6,4,10,14,22,12,11,11,11,8,10,6,4,8,2,2
223,vt8_Eurajoki,2020/07/01,2,"17 HA + AV",1,,,1,,1,1,,,,3,5,2,2,2,7,3,1,,3,1,1,,
223,vt8_Eurajoki,2020/07/02,1,"11 HA-PA",18,18,8,9,19,148,479,417,289,253,230,309,336,377,380,567,519,401,288,212,207,149,93,62
223,vt8_Eurajoki,2020/07/02,1,"12 KAIP",3,,,3,,4,6,11,10,14,22,16,16,15,17,11,11,9,4,4,3,1,,
223,vt8_Eurajoki,2020/07/02,1,"13 Linja-autot",,,,,,,,2,2,3,1,1,1,,1,,1,1,3,1,1,1,,
223,vt8_Eurajoki,2020/07/02,1,"14 KAPP",,1,,,1,3,5,8,9,14,9,8,9,8,13,8,6,8,4,3,1,5,1,1
223,vt8_Eurajoki,2020/07/02,1,"15 KATP",3,,2,2,5,5,8,9,13,24,23,15,16,13,17,16,13,17,19,11,17,10,7,9
223,vt8_Eurajoki,2020/07/02,1,"16 HA + PK",1,1,,,1,1,4,5,1,9,9,11,14,13,10,8,9,11,11,12,3,2,1,
223,vt8_Eurajoki,2020/07/02,1,"17 HA + AV",,,,,,2,1,,1,1,6,4,2,6,7,6,2,,2,,,1,1,
223,vt8_Eurajoki,2020/07/02,2,"11 HA-PA",23,3,7,11,30,129,318,309,267,221,283,308,300,357,399,584,556,540,379,255,188,127,87,37
223,vt8_Eurajoki,2020/07/02,2,"12 KAIP",,,,1,3,1,19,11,16,14,16,13,12,20,13,14,10,10,7,2,4,,3,
223,vt8_Eurajoki,2020/07/02,2,"13 Linja-autot",,,,,,,1,2,,3,1,1,,,1,1,2,2,3,2,,,1,
223,vt8_Eurajoki,2020/07/02,2,"14 KAPP",,,,,,2,1,5,12,6,9,11,5,9,4,13,6,9,2,7,3,1,,
223,vt8_Eurajoki,2020/07/02,2,"15 KATP",5,4,2,2,7,9,12,13,22,20,13,18,19,17,16,22,13,13,9,15,11,9,9,2
223,vt8_Eurajoki,2020/07/02,2,"16 HA + PK",1,,,,,,5,5,8,7,6,12,16,15,15,11,23,9,9,7,3,4,3,1
223,vt8_Eurajoki,2020/07/02,2,"17 HA + AV",,,,,1,1,2,1,2,3,,2,6,3,3,1,5,3,3,5,1,1,,
223,vt8_Eurajoki,2020/07/03,1,"11 HA-PA",25,10,9,10,18,150,463,336,253,238,257,321,380,406,527,597,477,398,339,249,205,169,127,91
223,vt8_Eurajoki,2020/07/03,1,"12 KAIP",1,,1,2,1,5,5,17,16,15,12,17,12,11,11,11,11,8,5,2,3,1,2,
223,vt8_Eurajoki,2020/07/03,1,"13 Linja-autot",2,,,,,2,2,2,,1,3,,1,,2,2,1,4,1,1,,1,,
223,vt8_Eurajoki,2020/07/03,1,"14 KAPP",,1,,1,1,2,3,5,6,12,10,3,7,6,7,7,6,1,,2,,1,,
223,vt8_Eurajoki,2020/07/03,1,"15 KATP",6,3,7,3,2,10,13,14,16,17,20,17,20,17,18,22,14,13,12,8,7,10,3,4
223,vt8_Eurajoki,2020/07/03,1,"16 HA + PK",1,,,,,3,2,5,4,8,4,13,13,9,19,12,16,23,11,6,6,5,4,
223,vt8_Eurajoki,2020/07/03,1,"17 HA + AV",,,,,,,,3,4,3,2,2,7,4,2,1,5,5,2,2,1,1,,
223,vt8_Eurajoki,2020/07/03,2,"11 HA-PA",33,20,10,13,26,153,280,293,228,245,289,328,353,406,499,560,568,428,316,261,214,160,92,67
223,vt8_Eurajoki,2020/07/03,2,"12 KAIP",1,,,1,3,3,15,14,10,12,21,21,18,13,9,10,18,8,3,4,2,1,1,1
223,vt8_Eurajoki,2020/07/03,2,"13 Linja-autot",,,,,1,1,2,3,,1,1,1,2,,3,2,1,2,2,,,,2,
223,vt8_Eurajoki,2020/07/03,2,"14 KAPP",,,,,2,1,2,3,6,8,11,6,6,12,16,9,4,3,2,3,,2,1,
223,vt8_Eurajoki,2020/07/03,2,"15 KATP",6,5,1,4,5,9,15,15,14,25,23,14,23,14,22,12,12,10,11,7,8,3,2,4
223,vt8_Eurajoki,2020/07/03,2,"16 HA + PK",,1,1,,1,1,11,9,3,5,10,9,7,19,18,19,12,13,9,14,9,4,2,1
223,vt8_Eurajoki,2020/07/03,2,"17 HA + AV",,,,,,,1,,3,1,1,5,3,8,3,2,6,1,2,1,2,2,,
223,vt8_Eurajoki,2020/07/04,1,"11 HA-PA",43,47,29,16,23,46,92,71,132,206,233,320,348,362,357,306,276,273,224,177,154,115,79,72
223,vt8_Eurajoki,2020/07/04,1,"12 KAIP",,,,,,3,3,1,3,5,5,2,5,5,3,3,2,1,2,2,2,,,
223,vt8_Eurajoki,2020/07/04,1,"13 Linja-autot",1,,,,1,,,,1,2,,1,,1,,1,,2,1,,,,,
223,vt8_Eurajoki,2020/07/04,1,"14 KAPP",,,,,1,,1,1,1,1,1,1,1,1,2,,,,,,1,2,,
223,vt8_Eurajoki,2020/07/04,1,"15 KATP",1,5,2,,2,1,1,3,6,4,5,5,4,5,5,2,4,,1,1,3,,,
223,vt8_Eurajoki,2020/07/04,1,"16 HA + PK",1,1,,,1,1,,2,4,6,12,10,14,7,9,9,9,7,3,3,,,,
223,vt8_Eurajoki,2020/07/04,1,"17 HA + AV",,,,,,1,2,1,,2,1,2,2,,3,1,,,1,1,1,,,
223,vt8_Eurajoki,2020/07/04,2,"11 HA-PA",42,36,21,17,20,38,53,49,99,209,241,295,311,316,299,299,303,316,247,200,138,131,99,74
223,vt8_Eurajoki,2020/07/04,2,"12 KAIP",1,1,,1,1,1,4,3,3,3,2,4,5,5,8,4,5,1,,2,2,5,,
223,vt8_Eurajoki,2020/07/04,2,"13 Linja-autot",,,,,,1,,1,,1,1,,2,,2,1,,2,,,1,,,
223,vt8_Eurajoki,2020/07/04,2,"14 KAPP",,,,,,,,,1,,,1,3,1,,1,,2,3,,,1,,2
223,vt8_Eurajoki,2020/07/04,2,"15 KATP",4,2,1,2,1,1,2,4,3,6,5,2,7,5,2,1,2,3,2,1,2,1,,2
223,vt8_Eurajoki,2020/07/04,2,"16 HA + PK",1,1,,,,,1,1,3,8,7,8,14,13,8,8,8,5,7,2,2,,1,1
223,vt8_Eurajoki,2020/07/04,2,"17 HA + AV",,,,,,,,,2,2,2,1,1,2,2,1,,6,2,,,1,1,
223,vt8_Eurajoki,2020/07/05,1,"11 HA-PA",66,37,31,18,12,31,47,38,86,138,193,270,291,367,365,383,339,322,292,208,142,126,62,27
223,vt8_Eurajoki,2020/07/05,1,"12 KAIP",,,,,,2,,,1,2,2,5,2,5,3,4,3,1,1,2,2,2,,1
223,vt8_Eurajoki,2020/07/05,1,"13 Linja-autot",1,,,,,,,,,1,1,1,1,,1,1,,2,4,1,1,1,,
223,vt8_Eurajoki,2020/07/05,1,"14 KAPP",,,,,,,,,,,1,2,2,1,1,,,2,1,3,2,2,1,
223,vt8_Eurajoki,2020/07/05,1,"15 KATP",1,,,,1,,2,1,2,1,2,3,6,3,4,6,2,5,2,2,3,1,6,1
223,vt8_Eurajoki,2020/07/05,1,"16 HA + PK",,,1,,,,,2,6,10,4,7,5,8,8,8,4,11,5,11,4,2,2,
223,vt8_Eurajoki,2020/07/05,1,"17 HA + AV",1,,,,,,,1,2,1,2,2,6,4,2,4,2,3,2,3,1,2,,
223,vt8_Eurajoki,2020/07/05,2,"11 HA-PA",48,40,35,30,19,26,39,38,37,84,153,279,292,333,330,335,357,393,361,291,179,128,75,37
223,vt8_Eurajoki,2020/07/05,2,"12 KAIP",,,1,,,,,1,1,,1,1,1,7,3,3,6,6,1,,3,2,,1
223,vt8_Eurajoki,2020/07/05,2,"13 Linja-autot",,,,,,,,,1,,1,,4,1,1,3,,1,1,2,2,,,
223,vt8_Eurajoki,2020/07/05,2,"14 KAPP",,,,,,,,,,,,,,,1,,2,3,,,1,,,
223,vt8_Eurajoki,2020/07/05,2,"15 KATP",,,3,1,3,,5,,1,2,2,,1,2,1,1,7,7,2,4,4,4,4,2
223,vt8_Eurajoki,2020/07/05,2,"16 HA + PK",,,,,,1,1,,2,2,4,7,11,9,9,11,9,8,15,9,7,2,,1
223,vt8_Eurajoki,2020/07/05,2,"17 HA + AV",1,,,,,,,,1,,2,2,4,3,,8,1,2,,2,1,,1,1
223,vt8_Eurajoki,2020/07/06,1,"11 HA-PA",12,5,6,3,24,181,464,371,243,249,254,293,315,348,400,530,465,296,248,206,151,132,70,47
223,vt8_Eurajoki,2020/07/06,1,"12 KAIP",,,1,5,2,3,9,15,6,15,16,15,15,13,9,8,10,6,4,5,2,2,2,
223,vt8_Eurajoki,2020/07/06,1,"13 Linja-autot",,,,1,1,1,2,1,,,1,,2,1,2,2,2,3,1,,,1,,
223,vt8_Eurajoki,2020/07/06,1,"14 KAPP",,,,2,,3,12,4,5,6,11,7,7,5,10,5,9,6,5,5,3,,,1
223,vt8_Eurajoki,2020/07/06,1,"15 KATP",1,1,4,4,1,6,6,7,17,16,24,13,13,18,18,25,20,16,11,13,6,7,10,8
223,vt8_Eurajoki,2020/07/06,1,"16 HA + PK",,1,,,1,1,2,5,10,7,8,14,9,5,10,8,13,7,5,3,5,1,,1
223,vt8_Eurajoki,2020/07/06,1,"17 HA + AV",,1,,,,,,1,,1,3,3,,2,1,4,1,1,5,,3,2,,
223,vt8_Eurajoki,2020/07/06,2,"11 HA-PA",18,11,3,12,31,149,319,289,227,245,237,301,309,333,394,518,467,487,338,226,187,104,64,38
223,vt8_Eurajoki,2020/07/06,2,"12 KAIP",3,,,2,4,5,12,16,18,11,12,13,20,16,9,11,4,9,5,5,2,2,,
223,vt8_Eurajoki,2020/07/06,2,"13 Linja-autot",,,,,1,,2,,,3,1,3,1,1,1,2,2,1,1,,,,1,
