"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"11 HA-PA",41,28,20,17,15,117,566,548,435,403,441,503,543,538,526,657,740,653,486,406,344,220,127,103
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"12 KAIP",4,2,,1,4,4,13,18,11,12,9,13,14,13,9,13,5,6,6,4,1,4,1,3
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"13 Linja-autot",,1,,,,,1,2,1,1,,1,2,,2,2,3,2,2,1,2,2,2,
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"14 KAPP",,,,,,,2,3,2,4,4,4,3,6,3,5,5,1,,1,2,1,1,
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"15 KATP",2,4,,2,1,1,4,8,3,6,7,5,6,,9,13,5,7,4,3,2,,3,1
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"16 HA + PK",,,,,,,2,4,5,7,12,9,10,8,10,15,12,9,11,2,10,4,,1
240,vt1_Kaarina_Piikkiö,2020/07/01,1,"17 HA + AV",,,1,,,,1,1,1,1,1,1,1,1,2,2,1,1,,,,,2,
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"11 HA-PA",25,15,11,13,27,105,242,456,337,340,361,449,453,491,641,897,817,666,475,440,376,211,148,55
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"12 KAIP",2,1,1,4,1,1,15,15,16,12,9,14,11,7,9,13,10,6,10,4,2,2,1,3
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"13 Linja-autot",,,1,,1,2,1,3,2,2,2,1,2,2,2,4,4,1,2,,,,,1
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"14 KAPP",,,,,2,,,4,2,6,2,3,3,5,3,3,1,3,1,2,1,1,,
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"15 KATP",1,,1,,1,1,3,2,9,7,2,6,5,7,2,4,7,4,5,3,2,,,1
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"16 HA + PK",1,,,,,,2,9,5,8,2,11,8,9,12,10,11,9,13,9,4,2,,
240,vt1_Kaarina_Piikkiö,2020/07/01,2,"17 HA + AV",,,,,,,1,1,,2,,2,1,,1,,1,1,1,1,,,,
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"11 HA-PA",60,31,21,11,21,107,566,584,446,382,442,525,524,562,559,674,757,682,487,434,327,259,163,85
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"12 KAIP",4,1,,1,1,8,10,9,13,13,12,15,12,12,14,11,8,9,3,4,,1,,4
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"13 Linja-autot",,1,,,,,1,4,1,1,,1,3,,3,1,2,2,2,2,2,1,2,1
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"14 KAPP",,,,,,,6,3,5,4,9,2,8,8,5,4,6,7,2,2,3,1,,
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"15 KATP",3,1,1,2,2,2,5,3,4,3,,8,5,5,8,5,9,1,4,3,1,1,4,3
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"16 HA + PK",1,1,1,,1,,2,9,8,5,9,10,10,5,11,10,12,3,5,10,4,4,2,1
240,vt1_Kaarina_Piikkiö,2020/07/02,1,"17 HA + AV",,,,,,1,,,,1,2,1,1,3,,2,1,,2,1,,,1,
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"11 HA-PA",34,19,18,12,18,102,236,460,327,333,410,457,480,517,592,953,882,648,483,452,372,214,130,66
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"12 KAIP",2,2,1,1,1,1,9,16,14,8,10,14,13,12,12,9,14,7,3,2,4,6,1,1
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"13 Linja-autot",,,1,,,2,2,1,2,2,1,1,4,,3,4,3,1,2,,1,1,,
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"14 KAPP",,,,,,1,1,3,6,1,9,12,3,8,5,7,3,3,1,3,2,3,1,
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"15 KATP",1,1,1,,,2,,3,9,7,5,7,5,5,5,3,6,3,2,4,1,,,1
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"16 HA + PK",1,,,,,,2,7,9,8,6,5,8,11,8,9,11,12,4,5,5,2,2,1
240,vt1_Kaarina_Piikkiö,2020/07/02,2,"17 HA + AV",1,,,,,,,1,2,,4,,1,2,2,1,5,1,1,1,,,,
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"11 HA-PA",59,31,29,14,18,108,525,517,411,401,466,547,582,601,719,806,893,865,737,559,408,332,206,122
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"12 KAIP",3,,1,,2,6,9,8,6,10,11,10,15,11,13,10,9,4,3,5,1,1,1,2
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"13 Linja-autot",,1,,,,,1,2,1,3,1,2,2,,3,1,3,2,3,3,4,2,1,1
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"14 KAPP",,,,,,,3,6,3,3,11,6,6,6,2,3,4,1,6,2,1,,,
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"15 KATP",4,2,2,1,,1,7,3,4,6,2,8,6,5,10,13,8,3,2,2,2,4,,1
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"16 HA + PK",1,1,1,,,1,6,4,7,5,13,9,11,13,10,20,15,12,9,8,3,1,,3
240,vt1_Kaarina_Piikkiö,2020/07/03,1,"17 HA + AV",,,,,,,2,1,1,1,2,1,1,,1,2,6,2,3,2,,,,
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"11 HA-PA",30,16,21,20,27,90,238,403,342,386,413,484,613,637,764,1028,866,695,635,492,388,233,140,87
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"12 KAIP",2,,2,,3,2,8,11,18,13,10,6,11,13,14,13,4,9,4,5,2,4,1,1
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"13 Linja-autot",,,1,,,2,3,1,3,3,2,1,3,1,3,3,3,3,2,1,1,,1,
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"14 KAPP",,,,2,1,,,4,6,5,6,8,7,4,6,5,,,,1,1,4,,
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"15 KATP",1,1,2,2,,,2,6,5,5,7,5,3,5,4,,7,3,2,2,,1,,2
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"16 HA + PK",1,,,,,,1,4,3,8,6,8,7,9,14,9,12,12,16,13,7,2,1,1
240,vt1_Kaarina_Piikkiö,2020/07/03,2,"17 HA + AV",,,,,,,,1,1,,4,,4,,4,2,,1,,2,1,,,
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"11 HA-PA",102,54,40,35,27,33,125,175,120,250,410,588,709,712,659,606,517,491,438,368,299,216,151,106
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"12 KAIP",3,1,1,,1,1,2,2,1,2,2,4,6,3,2,1,3,,4,,1,,,1
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"13 Linja-autot",,1,1,,,,,,,1,1,2,2,,2,1,3,1,2,1,3,,1,1
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"14 KAPP",,,,,,,,1,,,,,,1,,2,1,,,,,,,
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"15 KATP",1,1,2,,2,,1,3,,1,1,,1,,3,2,1,,2,,,,,
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"16 HA + PK",,,,,,,,4,,4,8,8,4,11,7,6,8,11,10,3,2,,1,
240,vt1_Kaarina_Piikkiö,2020/07/04,1,"17 HA + AV",,,,,,,1,,,,,1,,,1,1,,2,1,,,,,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"11 HA-PA",70,82,56,32,24,37,78,188,231,321,458,521,566,541,547,583,501,504,378,350,336,141,124,94
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"12 KAIP",1,1,1,1,1,1,,3,3,1,3,1,3,3,3,3,1,3,,2,3,2,,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"13 Linja-autot",,,,1,,1,,3,2,1,,2,3,,2,1,2,1,2,1,,1,1,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"14 KAPP",,1,,,1,,,,1,1,,1,,1,,,1,1,,,,1,,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"15 KATP",,,1,,,1,,1,1,,3,,,,,,1,,1,,2,1,,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"16 HA + PK",1,,1,,,,3,1,1,10,9,10,7,7,7,4,6,9,4,7,3,1,,
240,vt1_Kaarina_Piikkiö,2020/07/04,2,"17 HA + AV",,,,,,,,1,,,,1,1,,,3,,1,,1,,,,
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"11 HA-PA",76,64,58,35,18,27,94,94,93,176,276,417,519,626,589,646,724,683,631,506,404,283,161,84
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"12 KAIP",3,,,,,,,,1,1,1,,4,,,,,1,2,1,2,2,,1
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"13 Linja-autot",,1,1,,,,,,,,,1,2,2,2,,3,1,2,1,3,3,2,2
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"14 KAPP",,,,,,,,1,,,,,,,1,1,2,1,,1,1,,,
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"15 KATP",,,,,,,,1,,1,,2,1,1,4,2,3,2,2,3,1,3,,
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"16 HA + PK",,,,,,,1,3,1,3,4,6,10,14,13,8,10,13,13,5,7,4,,1
240,vt1_Kaarina_Piikkiö,2020/07/05,1,"17 HA + AV",,,,,,,,,,,1,,1,2,1,,1,1,,,,,,
240,vt1_Kaarina_Piikkiö,2020/07/05,2,"11 HA-PA",67,63,48,40,22,31,65,137,136,233,363,506,650,673,644,752,706,667,564,473,449,172,87,36
240,vt1_Kaarina_Piikkiö,2020/07/05,2,"12 KAIP",,,,,,,,1,,1,,3,3,5,4,3,,2,3,3,1,1,1,
240,vt1_Kaarina_Piikkiö,2020/07/05,2,"13 Linja-autot",1,,,1,1,,1,,1,,,2,3,,2,2,2,2,2,2,,1,,1
240,vt1_Kaarina_Piikkiö,2020/07/05,2,"14 KAPP",,,,,,,,2,3,,,,,,,1,1,1,1,,4,,,
