"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"11 HA-PA",31,33,14,16,26,129,493,408,359,355,403,474,499,501,533,625,674,615,426,353,342,208,146,113
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"12 KAIP",3,3,2,1,4,7,8,13,15,17,16,19,17,15,20,11,17,17,10,15,3,8,2,4
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"13 Linja-autot",,1,,1,,,2,3,3,2,2,1,3,,4,1,4,2,3,1,3,,1,
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"14 KAPP",2,3,3,2,3,7,12,8,17,23,18,26,16,23,34,33,24,20,14,23,12,6,7,9
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"15 KATP",12,13,13,13,16,6,12,25,17,18,26,27,22,22,14,31,31,31,35,24,12,13,12,11
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"16 HA + PK",3,,,,1,3,1,,7,3,11,12,17,9,14,13,14,12,6,4,8,5,2,2
243,vt1_Paimio_Paimionmäki,2020/07/01,1,"17 HA + AV",1,,,,,,2,7,3,2,3,2,4,1,13,6,4,4,4,,5,,3,
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"11 HA-PA",22,14,14,13,27,107,213,462,358,320,377,413,457,481,520,755,732,562,451,347,372,180,124,48
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"12 KAIP",5,4,2,3,3,5,18,34,23,23,19,24,17,22,24,27,24,14,9,17,12,7,3,4
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"13 Linja-autot",,,,1,1,1,,1,2,2,3,1,2,3,2,4,4,2,3,,2,,1,
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"14 KAPP",2,4,4,,5,1,6,20,45,42,21,31,26,27,13,13,17,12,12,17,51,15,5,5
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"15 KATP",6,8,6,3,8,10,12,31,63,48,24,39,28,28,21,30,24,25,16,13,38,28,14,12
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"16 HA + PK",,2,,2,1,1,7,9,7,6,13,13,19,14,16,21,18,14,17,8,10,6,,2
243,vt1_Paimio_Paimionmäki,2020/07/01,2,"17 HA + AV",,,1,1,2,1,1,4,8,8,5,5,6,1,3,9,6,2,6,3,,,,1
243,vt1_Paimio_Paimionmäki,2020/07/02,1,"11 HA-PA",49,30,21,10,26,125,482,424,317,328,431,488,470,537,565,649,701,715,454,438,329,252,173,94
243,vt1_Paimio_Paimionmäki,2020/07/02,1,"12 KAIP",4,3,2,5,3,6,14,15,12,15,13,19,13,21,20,21,14,12,12,4,4,2,5,4
