"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
428,kt54_Loppi,2020/07/01,1,"11 HA-PA",5,4,2,5,16,53,66,74,62,83,98,109,101,128,114,119,110,113,87,66,74,42,15,12
428,kt54_Loppi,2020/07/01,1,"12 KAIP",,,,,,2,6,6,3,5,7,3,2,1,3,4,5,3,,4,3,,1,
428,kt54_Loppi,2020/07/01,1,"13 Linja-autot",,,,,,,1,,,,,,1,1,2,,,,,,,,,
428,kt54_Loppi,2020/07/01,1,"14 KAPP",,,,,1,,1,2,2,2,2,2,5,4,7,2,1,3,3,2,2,2,,1
428,kt54_Loppi,2020/07/01,1,"15 KATP",5,1,1,1,6,7,14,11,8,12,11,9,12,10,19,9,11,14,10,12,12,13,7,4
428,kt54_Loppi,2020/07/01,1,"16 HA + PK",,2,,,,3,2,,3,5,3,7,5,9,8,4,4,4,4,5,6,6,,1
428,kt54_Loppi,2020/07/01,1,"17 HA + AV",,,,,,,,,1,1,,,,,2,1,,,,,1,,,
428,kt54_Loppi,2020/07/01,2,"11 HA-PA",6,1,1,5,3,9,22,39,57,66,75,105,118,140,156,175,177,153,111,83,50,48,19,10
428,kt54_Loppi,2020/07/01,2,"12 KAIP",,1,,,1,2,,1,6,5,5,2,2,5,4,1,3,1,1,5,2,3,1,1
428,kt54_Loppi,2020/07/01,2,"13 Linja-autot",,,,,1,,,,1,,,1,1,1,,,,1,,,,,,
428,kt54_Loppi,2020/07/01,2,"14 KAPP",1,,,1,1,1,2,1,1,2,1,2,4,,3,2,7,5,5,,1,,,
428,kt54_Loppi,2020/07/01,2,"15 KATP",3,4,4,4,4,5,3,8,13,13,15,13,11,10,16,16,13,11,4,10,10,5,7,3
428,kt54_Loppi,2020/07/01,2,"16 HA + PK",,,,,,,3,6,4,7,6,6,7,5,8,8,14,10,8,,4,3,,
428,kt54_Loppi,2020/07/01,2,"17 HA + AV",,,,,,,1,,1,,1,,1,1,1,1,,,1,1,,,,
428,kt54_Loppi,2020/07/02,1,"11 HA-PA",5,3,2,2,13,51,76,59,61,96,94,112,106,116,125,122,136,137,102,83,72,33,13,8
428,kt54_Loppi,2020/07/02,1,"12 KAIP",,,,1,1,1,4,,2,6,7,4,6,7,5,3,3,3,4,1,2,1,1,1
428,kt54_Loppi,2020/07/02,1,"14 KAPP",,1,,,,1,3,2,2,1,5,3,,4,4,1,2,2,,3,1,1,3,1
428,kt54_Loppi,2020/07/02,1,"15 KATP",1,4,,,3,8,12,6,13,12,10,15,12,14,12,6,18,12,8,7,5,10,6,5
428,kt54_Loppi,2020/07/02,1,"16 HA + PK",,,,,1,2,,3,3,4,3,5,6,7,7,9,10,13,6,11,2,3,,2
428,kt54_Loppi,2020/07/02,1,"17 HA + AV",,,,,,,,1,,,,1,1,2,2,3,1,2,1,,2,,,
428,kt54_Loppi,2020/07/02,2,"11 HA-PA",6,2,4,2,7,11,32,37,61,79,115,131,131,142,161,173,192,150,108,79,61,44,28,10
