"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
431,vt12_Kangasala_Suorama,2020/07/01,1,"11 HA-PA",30,12,12,13,21,89,211,246,293,226,313,366,390,465,494,758,687,567,453,348,293,172,117,50
431,vt12_Kangasala_Suorama,2020/07/01,1,"12 KAIP",1,,,2,,7,14,15,15,13,12,14,10,8,13,9,15,14,4,6,2,2,,1
431,vt12_Kangasala_Suorama,2020/07/01,1,"13 Linja-autot",,,,,,,,1,,1,,,1,1,1,1,2,,1,,,,,
431,vt12_Kangasala_Suorama,2020/07/01,1,"14 KAPP",2,1,,,,,3,4,3,4,4,3,10,4,2,5,4,6,2,5,4,3,,
431,vt12_Kangasala_Suorama,2020/07/01,1,"15 KATP",2,5,1,1,2,6,4,9,9,14,17,16,15,16,13,20,13,9,14,3,7,7,4,4
431,vt12_Kangasala_Suorama,2020/07/01,1,"16 HA + PK",,1,,1,,1,1,1,6,6,6,5,7,14,7,10,11,11,1,1,10,3,,1
431,vt12_Kangasala_Suorama,2020/07/01,1,"17 HA + AV",,,,,,,2,2,,4,1,4,3,7,6,4,3,4,1,1,2,,,1
431,vt12_Kangasala_Suorama,2020/07/01,2,"11 HA-PA",23,15,18,12,29,141,499,547,438,385,402,463,481,474,528,607,551,512,371,320,276,212,122,66
431,vt12_Kangasala_Suorama,2020/07/01,2,"12 KAIP",1,1,2,,,3,19,24,17,19,17,21,4,16,17,12,11,7,4,10,,5,4,2
431,vt12_Kangasala_Suorama,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,,2,,2,1,1,1,2,2,,1,,,
431,vt12_Kangasala_Suorama,2020/07/01,2,"14 KAPP",,,,1,1,1,2,,4,4,6,4,7,5,6,7,2,7,3,3,2,,1,2
431,vt12_Kangasala_Suorama,2020/07/01,2,"15 KATP",1,5,4,3,4,8,11,13,12,12,11,13,15,10,11,12,12,12,11,7,10,5,6,5
431,vt12_Kangasala_Suorama,2020/07/01,2,"16 HA + PK",,1,1,,,1,,5,7,11,9,9,10,9,13,6,14,5,5,4,2,3,1,1
431,vt12_Kangasala_Suorama,2020/07/01,2,"17 HA + AV",,1,1,,,,2,2,3,2,1,7,7,5,2,5,6,3,5,5,1,1,1,1
431,vt12_Kangasala_Suorama,2020/07/02,1,"11 HA-PA",35,29,17,15,16,92,223,266,285,314,348,355,444,462,521,775,769,557,471,397,285,179,92,51
431,vt12_Kangasala_Suorama,2020/07/02,1,"12 KAIP",3,1,,2,2,5,14,12,14,18,15,15,12,16,11,21,13,16,8,3,4,1,1,
431,vt12_Kangasala_Suorama,2020/07/02,1,"13 Linja-autot",,,,,,1,2,1,,,1,1,1,,1,1,1,,1,,,,,
431,vt12_Kangasala_Suorama,2020/07/02,1,"14 KAPP",2,,,,,,3,4,8,7,4,8,5,9,6,4,3,5,2,2,1,3,,
431,vt12_Kangasala_Suorama,2020/07/02,1,"15 KATP",3,6,2,,2,1,8,16,12,12,9,13,11,15,13,13,12,7,6,3,9,5,5,1
431,vt12_Kangasala_Suorama,2020/07/02,1,"16 HA + PK",,,,,,2,5,3,8,10,10,9,20,14,13,18,20,12,17,10,5,5,3,
431,vt12_Kangasala_Suorama,2020/07/02,1,"17 HA + AV",,,,,,1,1,3,1,3,1,5,8,3,2,4,3,9,4,,1,,1,
431,vt12_Kangasala_Suorama,2020/07/02,2,"11 HA-PA",50,16,12,21,21,139,493,550,400,363,392,460,489,496,556,620,584,542,429,359,283,214,113,70
431,vt12_Kangasala_Suorama,2020/07/02,2,"12 KAIP",,,2,,2,7,14,19,17,11,18,12,13,14,11,13,20,11,11,5,2,2,2,1
431,vt12_Kangasala_Suorama,2020/07/02,2,"13 Linja-autot",,,,,,,,1,,2,1,4,,1,1,,,1,,,1,,,
431,vt12_Kangasala_Suorama,2020/07/02,2,"14 KAPP",1,,,3,1,1,1,2,5,6,5,7,8,4,5,2,2,6,5,2,1,,1,2
431,vt12_Kangasala_Suorama,2020/07/02,2,"15 KATP",5,3,2,5,2,6,14,8,9,8,19,17,10,15,14,13,13,10,9,11,11,9,9,6
431,vt12_Kangasala_Suorama,2020/07/02,2,"16 HA + PK",1,1,,,,1,4,8,10,14,11,19,12,9,11,21,16,6,11,4,12,5,,2
431,vt12_Kangasala_Suorama,2020/07/02,2,"17 HA + AV",,,,,,,1,3,,3,3,3,2,2,5,3,3,2,4,1,1,1,1,1
431,vt12_Kangasala_Suorama,2020/07/03,1,"11 HA-PA",29,18,13,5,22,78,186,251,249,305,343,435,517,551,649,806,766,624,493,380,296,195,109,85
431,vt12_Kangasala_Suorama,2020/07/03,1,"12 KAIP",2,,,1,2,3,11,19,19,18,18,19,20,19,14,17,7,2,5,5,2,,,2
