"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
527,vt15_Valkeala,2020/07/01,1,"11 HA-PA",2,,,,3,10,20,25,46,45,68,88,83,93,81,91,103,97,66,60,21,25,14,2
527,vt15_Valkeala,2020/07/01,1,"12 KAIP",2,,,1,,,,2,4,2,2,2,3,1,1,1,1,,1,2,2,3,1,1
527,vt15_Valkeala,2020/07/01,1,"13 Linja-autot",,,,,,,,1,,,,1,,,,,,,,,,,,
527,vt15_Valkeala,2020/07/01,1,"14 KAPP",,,,,,2,2,3,,1,,2,4,1,5,,2,3,1,2,1,1,,
527,vt15_Valkeala,2020/07/01,1,"15 KATP",2,2,3,1,5,2,5,3,5,7,12,8,8,4,8,5,1,3,4,5,9,3,5,1
527,vt15_Valkeala,2020/07/01,1,"16 HA + PK",,,,,,,,2,2,5,5,3,6,6,3,11,6,5,3,4,2,2,1,
527,vt15_Valkeala,2020/07/01,1,"17 HA + AV",,,,,,,,,,1,,,2,1,,1,,,,,1,,1,
527,vt15_Valkeala,2020/07/01,2,"11 HA-PA",6,2,1,2,4,7,30,37,42,49,70,78,74,70,75,72,80,67,69,45,30,27,22,8
527,vt15_Valkeala,2020/07/01,2,"12 KAIP",2,,,1,,,1,2,3,3,2,1,,4,6,2,2,,3,,2,2,,
527,vt15_Valkeala,2020/07/01,2,"13 Linja-autot",,,,,,,,1,1,1,,,,2,,,,,,,,,,
527,vt15_Valkeala,2020/07/01,2,"14 KAPP",,,,,,,,,1,,7,,,6,3,2,1,,1,1,2,1,1,
527,vt15_Valkeala,2020/07/01,2,"15 KATP",2,4,2,3,5,11,5,7,8,6,7,15,11,9,10,10,6,10,4,7,6,2,10,4
527,vt15_Valkeala,2020/07/01,2,"16 HA + PK",,,,,,,,,,3,2,7,7,7,1,3,4,4,10,4,1,,1,
527,vt15_Valkeala,2020/07/01,2,"17 HA + AV",,,,,,,,,1,,2,,3,1,,2,1,,,,,,,
527,vt15_Valkeala,2020/07/02,1,"11 HA-PA",4,4,1,3,6,11,23,32,44,99,98,93,115,113,115,109,115,126,95,78,58,26,10,9
527,vt15_Valkeala,2020/07/02,1,"12 KAIP",,1,,1,,,1,1,,1,2,5,2,6,,1,,3,2,,,,2,1
527,vt15_Valkeala,2020/07/02,1,"13 Linja-autot",,,,,,,,,1,,,1,,1,,,,,,2,,,,
527,vt15_Valkeala,2020/07/02,1,"14 KAPP",,,,,3,1,3,3,4,2,1,,3,4,4,3,3,6,2,1,,,,
527,vt15_Valkeala,2020/07/02,1,"15 KATP",3,,2,1,3,,6,1,2,8,12,7,7,7,3,5,5,7,4,10,6,,1,3
527,vt15_Valkeala,2020/07/02,1,"16 HA + PK",1,,,,,,1,2,6,8,7,7,7,11,6,4,11,11,10,5,4,2,,3
527,vt15_Valkeala,2020/07/02,1,"17 HA + AV",,,,,,,,,1,,,2,1,,1,2,1,1,,,1,,1,
527,vt15_Valkeala,2020/07/02,2,"11 HA-PA",2,4,1,1,4,10,20,33,39,62,76,86,68,67,80,84,78,85,72,60,52,37,14,7
527,vt15_Valkeala,2020/07/02,2,"12 KAIP",1,,,,,,2,,1,,1,4,3,2,4,2,3,,2,1,,2,,
527,vt15_Valkeala,2020/07/02,2,"13 Linja-autot",,,,,,,,1,1,,,,,1,,,,1,,,,,,
527,vt15_Valkeala,2020/07/02,2,"14 KAPP",,1,,2,1,,,1,3,5,10,2,5,3,6,2,3,4,2,2,1,,,1
527,vt15_Valkeala,2020/07/02,2,"15 KATP",1,2,,3,2,4,6,7,9,11,4,13,13,3,14,11,8,6,8,6,2,4,5,3
527,vt15_Valkeala,2020/07/02,2,"16 HA + PK",1,,,,,,,2,4,5,3,2,6,5,5,4,3,12,5,1,4,1,2,
527,vt15_Valkeala,2020/07/02,2,"17 HA + AV",,,,1,,1,,,,,1,2,4,1,,,1,,1,1,1,,2,1
527,vt15_Valkeala,2020/07/03,1,"11 HA-PA",2,1,,4,5,6,24,19,42,72,109,121,123,132,158,222,192,213,192,127,81,39,26,8
527,vt15_Valkeala,2020/07/03,1,"12 KAIP",1,2,,1,,2,1,1,1,,2,1,3,3,2,4,2,2,2,,,1,1,1
