"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
595,vt6_Puhjo,2020/07/01,1,"11 HA-PA",22,20,13,15,17,73,214,250,237,257,347,424,427,417,471,437,486,366,313,218,184,123,86,64
595,vt6_Puhjo,2020/07/01,1,"12 KAIP",,,4,1,3,5,13,13,9,12,18,12,14,14,11,18,7,13,8,1,4,5,3,1
595,vt6_Puhjo,2020/07/01,1,"13 Linja-autot",,,,,,,,,,2,3,1,2,,1,,,,,3,,,,1
595,vt6_Puhjo,2020/07/01,1,"14 KAPP",8,3,2,2,2,7,8,10,4,8,15,23,20,17,11,14,18,12,8,8,3,3,2,5
595,vt6_Puhjo,2020/07/01,1,"15 KATP",18,16,9,9,11,12,25,18,32,26,35,27,31,32,30,24,23,22,22,33,24,22,17,23
595,vt6_Puhjo,2020/07/01,1,"16 HA + PK",1,,2,,,1,4,5,7,16,10,10,16,19,20,18,33,14,11,8,8,6,5,1
595,vt6_Puhjo,2020/07/01,1,"17 HA + AV",1,,1,,1,,1,4,3,1,2,7,3,5,6,6,8,4,5,1,5,,1,
595,vt6_Puhjo,2020/07/01,2,"11 HA-PA",19,15,11,14,22,120,179,167,181,219,289,288,350,403,429,490,491,366,284,224,168,114,61,34
595,vt6_Puhjo,2020/07/01,2,"12 KAIP",2,,1,1,2,5,5,19,9,9,6,11,13,17,7,15,9,9,6,2,2,2,4,3
595,vt6_Puhjo,2020/07/01,2,"13 Linja-autot",,1,,,,,,1,,,1,2,1,3,1,1,,,,2,1,,,
595,vt6_Puhjo,2020/07/01,2,"14 KAPP",2,,1,4,1,6,4,7,12,13,16,6,16,16,13,16,19,16,7,10,7,4,2,3
595,vt6_Puhjo,2020/07/01,2,"15 KATP",16,14,7,11,14,22,24,19,30,33,25,29,25,35,30,23,39,43,41,29,19,18,10,11
595,vt6_Puhjo,2020/07/01,2,"16 HA + PK",,1,1,,1,3,7,10,9,7,11,18,11,13,14,18,16,15,13,9,7,2,1,1
595,vt6_Puhjo,2020/07/01,2,"17 HA + AV",1,,,,,1,2,5,2,3,5,5,7,6,3,4,,3,2,3,2,,2,
595,vt6_Puhjo,2020/07/02,1,"11 HA-PA",31,16,12,13,26,84,193,268,273,321,376,456,426,485,510,477,533,426,376,274,198,149,91,66
595,vt6_Puhjo,2020/07/02,1,"12 KAIP",2,1,1,2,2,8,7,16,11,11,15,12,14,6,16,19,11,10,8,6,3,2,8,
595,vt6_Puhjo,2020/07/02,1,"13 Linja-autot",1,,,,,,,,,2,1,1,,,2,2,2,,1,2,,,,
595,vt6_Puhjo,2020/07/02,1,"14 KAPP",3,3,2,1,1,6,2,8,10,8,17,14,17,16,13,15,13,13,10,5,5,8,4,7
595,vt6_Puhjo,2020/07/02,1,"15 KATP",15,16,10,13,8,20,18,33,22,27,29,33,18,33,30,36,25,16,36,32,21,22,9,19
595,vt6_Puhjo,2020/07/02,1,"16 HA + PK",3,,,1,1,2,8,12,10,12,21,14,19,10,26,33,26,15,22,17,16,8,4,3
595,vt6_Puhjo,2020/07/02,1,"17 HA + AV",,,1,,,1,3,1,6,1,6,6,4,3,6,9,3,5,4,6,,4,2,
595,vt6_Puhjo,2020/07/02,2,"11 HA-PA",16,23,12,13,22,117,165,196,185,209,272,327,359,353,384,503,532,413,315,267,208,144,78,45
595,vt6_Puhjo,2020/07/02,2,"12 KAIP",4,,2,2,1,3,3,14,8,14,8,10,14,17,19,7,11,8,7,2,7,1,5,2
595,vt6_Puhjo,2020/07/02,2,"13 Linja-autot",1,1,,,,,,2,1,2,1,,2,1,,1,4,4,,1,,,,
595,vt6_Puhjo,2020/07/02,2,"14 KAPP",4,1,1,5,2,13,9,6,8,12,7,12,17,12,24,23,17,16,10,11,11,3,4,3
595,vt6_Puhjo,2020/07/02,2,"15 KATP",14,12,9,12,11,22,23,23,24,28,26,49,27,26,42,39,32,37,29,37,13,18,11,9
595,vt6_Puhjo,2020/07/02,2,"16 HA + PK",,,,,,1,3,3,8,13,18,17,15,17,17,15,18,13,16,8,8,7,7,1
595,vt6_Puhjo,2020/07/02,2,"17 HA + AV",1,,,1,,2,2,3,4,2,1,5,3,3,2,3,2,3,1,1,1,2,1,2
595,vt6_Puhjo,2020/07/03,1,"11 HA-PA",21,18,23,17,12,74,175,244,225,273,461,501,557,597,659,662,751,753,586,376,257,174,116,71
595,vt6_Puhjo,2020/07/03,1,"12 KAIP",1,,2,2,6,7,10,14,12,8,18,13,5,16,21,17,15,11,10,8,4,3,1,2
