"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
597,vt13_Nuijamaa_rask,2020/07/01,1,"11 HA-PA",1,,1,,,1,1,1,2,1,2,1,1,1,,,,2,,,4,3,,
597,vt13_Nuijamaa_rask,2020/07/01,1,"12 KAIP",,,,,,,,,,,1,,1,,1,,,,,,,,,1
597,vt13_Nuijamaa_rask,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
597,vt13_Nuijamaa_rask,2020/07/01,1,"14 KAPP",,6,7,4,4,4,5,3,4,12,8,5,15,13,12,12,5,5,7,6,5,6,4,6
597,vt13_Nuijamaa_rask,2020/07/01,1,"15 KATP",,,,,,,,,,,,,,,2,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/01,1,"16 HA + PK",,,,,,,,,,,1,,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/01,1,"17 HA + AV",,,,,,,,,,,1,1,,1,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/01,2,"11 HA-PA",,,2,,1,2,1,,,,3,2,,3,3,3,,1,1,,2,,1,
597,vt13_Nuijamaa_rask,2020/07/01,2,"12 KAIP",,,,,,,,,,,1,1,1,,2,,,,,,,2,,
597,vt13_Nuijamaa_rask,2020/07/01,2,"13 Linja-autot",1,3,,2,1,1,,1,4,4,3,1,1,1,3,1,,,,1,,,,
597,vt13_Nuijamaa_rask,2020/07/01,2,"14 KAPP",8,8,8,6,6,6,4,5,2,7,8,6,8,8,5,7,5,6,2,1,6,6,18,11
597,vt13_Nuijamaa_rask,2020/07/01,2,"15 KATP",,,,,,,,,,,,,2,1,,1,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/01,2,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,1,,,
597,vt13_Nuijamaa_rask,2020/07/01,2,"17 HA + AV",,,,,,,2,,,,,,1,,,,,,,,1,,,
597,vt13_Nuijamaa_rask,2020/07/02,1,"11 HA-PA",2,1,,,,2,,3,1,1,,,2,1,,,2,3,,,,1,,2
597,vt13_Nuijamaa_rask,2020/07/02,1,"12 KAIP",,,,,,,,,,,2,,,,1,1,1,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/02,1,"14 KAPP",1,2,5,3,6,1,3,9,7,12,6,9,10,9,10,13,5,10,8,7,9,2,7,6
597,vt13_Nuijamaa_rask,2020/07/02,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/02,1,"16 HA + PK",,,,,,,,,,1,1,,,,,,,,1,,,,,
597,vt13_Nuijamaa_rask,2020/07/02,1,"17 HA + AV",,,,,,,,,,,,1,,,,1,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/02,2,"11 HA-PA",,1,,,,1,,2,2,,1,2,,1,3,1,,2,,,,2,,
597,vt13_Nuijamaa_rask,2020/07/02,2,"12 KAIP",,,,,,,1,,,,,2,,,2,1,,,1,,1,1,,1
597,vt13_Nuijamaa_rask,2020/07/02,2,"13 Linja-autot",2,1,2,,,,,,,1,,,,,2,,,,,,,,2,1
597,vt13_Nuijamaa_rask,2020/07/02,2,"14 KAPP",6,2,8,7,4,14,8,12,3,2,9,4,4,6,13,5,8,10,6,6,13,5,8,13
597,vt13_Nuijamaa_rask,2020/07/02,2,"15 KATP",,,,,,,1,,,,2,,,,,,1,,,,,,1,
597,vt13_Nuijamaa_rask,2020/07/02,2,"17 HA + AV",,,,,,,,,,1,,,,,1,,,,,,,,1,
597,vt13_Nuijamaa_rask,2020/07/03,1,"11 HA-PA",,,,2,,1,1,1,2,1,2,,1,1,,,,,,1,,1,,
597,vt13_Nuijamaa_rask,2020/07/03,1,"12 KAIP",,,,,1,,,,1,,,3,,,1,,1,1,,1,,,,
597,vt13_Nuijamaa_rask,2020/07/03,1,"13 Linja-autot",1,,,,,,,,,,,,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/03,1,"14 KAPP",6,8,4,7,3,5,4,6,1,14,8,4,9,6,7,11,7,8,8,8,7,3,4,2
597,vt13_Nuijamaa_rask,2020/07/03,1,"15 KATP",,,1,,,1,,,,1,,,1,,,1,,,,,,1,,
597,vt13_Nuijamaa_rask,2020/07/03,1,"17 HA + AV",,,,,,,,,,,2,1,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/03,2,"11 HA-PA",1,,,,,1,1,,,2,1,,2,5,4,,,2,,,,2,2,
597,vt13_Nuijamaa_rask,2020/07/03,2,"12 KAIP",,,1,,,,,,,1,,1,1,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/03,2,"13 Linja-autot",,3,,1,2,1,,,,,,,1,,,,1,1,1,1,1,1,1,
597,vt13_Nuijamaa_rask,2020/07/03,2,"14 KAPP",11,9,9,2,8,6,5,7,3,,,1,7,11,6,10,8,5,5,7,5,1,4,3
597,vt13_Nuijamaa_rask,2020/07/03,2,"15 KATP",,,,,,,,,1,,,,,,1,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/03,2,"17 HA + AV",,,,,,1,,,,,,,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/04,1,"11 HA-PA",,,,,,1,,,1,,,,2,2,,1,1,,,,,1,,
597,vt13_Nuijamaa_rask,2020/07/04,1,"14 KAPP",14,6,11,3,10,7,3,5,6,15,6,11,3,11,6,8,8,6,5,5,8,9,5,5
597,vt13_Nuijamaa_rask,2020/07/04,1,"15 KATP",,,,,,,,,,,,,,,,,,1,,,,,,
597,vt13_Nuijamaa_rask,2020/07/04,2,"11 HA-PA",,,1,,,1,1,2,1,,,1,1,2,1,1,,1,,1,,,2,
597,vt13_Nuijamaa_rask,2020/07/04,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,,,
597,vt13_Nuijamaa_rask,2020/07/04,2,"13 Linja-autot",5,2,4,1,1,,1,2,,,,2,,,1,,1,,,,1,,4,
597,vt13_Nuijamaa_rask,2020/07/04,2,"14 KAPP",4,3,4,7,5,3,1,10,3,5,9,6,8,2,6,8,7,8,5,8,6,2,7,5
597,vt13_Nuijamaa_rask,2020/07/04,2,"15 KATP",,1,,,,,1,,,,1,,,1,,,1,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/05,1,"11 HA-PA",,,,,,2,,,,1,,,,2,1,,,,1,,1,2,,
597,vt13_Nuijamaa_rask,2020/07/05,1,"14 KAPP",9,1,12,8,2,5,7,4,5,5,6,5,3,2,3,6,3,8,3,8,5,12,5,6
597,vt13_Nuijamaa_rask,2020/07/05,1,"15 KATP",,,,,1,,,,,,,,,2,,,,,,,,1,,
597,vt13_Nuijamaa_rask,2020/07/05,2,"11 HA-PA",1,,,1,,,1,1,,,2,1,,3,,,,1,1,,1,2,,
597,vt13_Nuijamaa_rask,2020/07/05,2,"12 KAIP",,,,,,,,,,1,,1,2,,,,,1,1,,,1,,1
597,vt13_Nuijamaa_rask,2020/07/05,2,"13 Linja-autot",1,5,1,,1,,1,1,,2,4,1,,1,1,3,2,,,2,1,2,,1
597,vt13_Nuijamaa_rask,2020/07/05,2,"14 KAPP",5,7,5,,9,6,2,7,1,8,8,6,10,11,15,7,11,15,9,4,13,8,7,13
597,vt13_Nuijamaa_rask,2020/07/05,2,"15 KATP",,,,,1,,,,,,2,,,,,,1,1,,,1,,,
597,vt13_Nuijamaa_rask,2020/07/05,2,"16 HA + PK",,,,,,,,,,,,,,,,,2,,,,1,,,
597,vt13_Nuijamaa_rask,2020/07/05,2,"17 HA + AV",,,,,,,,,,,,,2,,,,1,,1,,,,,
597,vt13_Nuijamaa_rask,2020/07/06,1,"11 HA-PA",1,,,,,1,,1,,,1,1,1,1,,,,2,,,,3,1,1
597,vt13_Nuijamaa_rask,2020/07/06,1,"12 KAIP",,,,,,,,,,,1,2,3,1,,,2,1,,,,,,
597,vt13_Nuijamaa_rask,2020/07/06,1,"13 Linja-autot",,,,,,,,,,,,,1,,1,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/06,1,"14 KAPP",6,5,10,6,3,4,4,1,8,9,5,9,11,10,15,10,9,11,6,3,6,2,4,7
597,vt13_Nuijamaa_rask,2020/07/06,1,"15 KATP",,,,,,,,1,,,,,,1,1,,1,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/06,1,"16 HA + PK",,,,,,,,,,1,,1,,,,,,,,,,,,
597,vt13_Nuijamaa_rask,2020/07/06,1,"17 HA + AV",,,,,,,,,,,1,1,,,,,1,,,1,,,,
597,vt13_Nuijamaa_rask,2020/07/06,2,"11 HA-PA",2,,,3,2,3,,1,1,1,1,2,1,1,,,1,2,,,2,1,1,
597,vt13_Nuijamaa_rask,2020/07/06,2,"12 KAIP",,,,1,,,,,1,,,,,1,1,2,,,,,,,1,
