"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
633,vt5_Mikkeli,2020/07/01,1,"11 HA-PA",39,30,27,15,26,107,266,343,390,344,378,423,462,494,486,654,650,525,383,289,238,152,125,60
633,vt5_Mikkeli,2020/07/01,1,"12 KAIP",2,2,3,,9,11,19,24,20,19,33,18,27,27,28,23,13,18,6,6,6,1,3,5
633,vt5_Mikkeli,2020/07/01,1,"13 Linja-autot",,,,,1,,,,,,,,1,,,3,2,,,1,,1,,
633,vt5_Mikkeli,2020/07/01,1,"14 KAPP",2,2,2,5,,2,7,5,4,8,9,10,3,7,7,13,8,12,5,15,10,7,3,1
633,vt5_Mikkeli,2020/07/01,1,"15 KATP",27,19,7,12,9,14,10,17,22,19,21,19,22,15,21,30,18,26,31,21,23,21,25,22
633,vt5_Mikkeli,2020/07/01,1,"16 HA + PK",1,,1,,,1,6,15,16,13,19,25,21,17,22,29,20,25,16,13,5,5,6,1
633,vt5_Mikkeli,2020/07/01,1,"17 HA + AV",,,,,,,1,,4,2,1,,5,1,4,2,3,2,,3,2,2,,
633,vt5_Mikkeli,2020/07/01,2,"11 HA-PA",39,27,21,16,51,143,308,340,314,334,410,497,537,574,587,649,621,510,447,355,241,168,127,67
633,vt5_Mikkeli,2020/07/01,2,"12 KAIP",1,2,2,1,5,7,15,12,16,28,21,23,22,23,28,22,27,19,12,9,7,6,4,3
633,vt5_Mikkeli,2020/07/01,2,"13 Linja-autot",,,,,,,1,,,1,2,5,1,,2,1,,,,,,,,
633,vt5_Mikkeli,2020/07/01,2,"14 KAPP",1,2,3,3,,,,5,11,8,3,12,14,9,14,13,10,12,13,5,4,3,3,
633,vt5_Mikkeli,2020/07/01,2,"15 KATP",12,16,11,8,8,10,11,21,14,21,26,17,26,16,26,18,20,19,14,19,19,16,15,12
633,vt5_Mikkeli,2020/07/01,2,"16 HA + PK",1,2,,,1,,5,11,13,14,24,15,19,21,22,21,12,24,17,5,6,2,6,5
633,vt5_Mikkeli,2020/07/01,2,"17 HA + AV",,,,,1,1,,2,1,1,4,6,1,3,2,8,5,5,1,2,2,1,,2
633,vt5_Mikkeli,2020/07/02,1,"11 HA-PA",66,36,26,18,28,87,288,351,325,454,525,665,733,726,755,815,837,638,542,463,336,297,162,101
633,vt5_Mikkeli,2020/07/02,1,"12 KAIP",1,2,,5,3,4,29,21,26,31,22,26,27,29,23,26,22,10,6,5,4,8,3,6
633,vt5_Mikkeli,2020/07/02,1,"13 Linja-autot",1,,,,1,,,1,1,,,3,,3,2,,2,1,,,1,2,1,
633,vt5_Mikkeli,2020/07/02,1,"14 KAPP",2,1,1,1,3,5,5,6,9,12,7,20,9,11,11,10,10,16,4,11,4,6,2,4
633,vt5_Mikkeli,2020/07/02,1,"15 KATP",16,14,7,12,12,15,11,16,13,11,14,18,25,17,9,24,20,29,16,25,18,31,22,27
