"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
931,vt18_Petäjävesi,2020/07/01,1,"11 HA-PA",11,4,3,4,22,55,172,145,97,120,130,171,183,190,197,205,209,164,119,120,109,46,46,20
931,vt18_Petäjävesi,2020/07/01,1,"12 KAIP",,,,1,,2,6,6,1,7,5,6,8,10,4,10,4,4,1,3,,4,3,
931,vt18_Petäjävesi,2020/07/01,1,"13 Linja-autot",,,,,,,,,,1,1,,,,,,,,,,,,,
931,vt18_Petäjävesi,2020/07/01,1,"14 KAPP",,,,,,,,,,,,3,3,2,3,1,,3,2,,1,1,,
931,vt18_Petäjävesi,2020/07/01,1,"15 KATP",2,2,2,1,1,4,5,8,7,8,7,5,7,6,7,10,8,4,7,4,7,7,10,4
931,vt18_Petäjävesi,2020/07/01,1,"16 HA + PK",1,1,1,,,,8,7,4,1,9,14,10,8,5,12,11,4,3,7,5,3,1,1
931,vt18_Petäjävesi,2020/07/01,1,"17 HA + AV",,,,,,,1,1,,1,1,1,5,1,,3,1,1,1,2,1,1,,
931,vt18_Petäjävesi,2020/07/01,2,"11 HA-PA",15,9,9,3,8,24,60,91,108,111,123,167,158,178,202,259,307,245,175,123,106,69,34,28
931,vt18_Petäjävesi,2020/07/01,2,"12 KAIP",,,,,1,3,6,4,4,5,3,9,8,3,2,5,6,10,4,,1,2,,2
931,vt18_Petäjävesi,2020/07/01,2,"13 Linja-autot",,,,,,,2,,1,,,,1,1,,,2,,1,2,,,,
931,vt18_Petäjävesi,2020/07/01,2,"14 KAPP",,,,,,1,1,1,1,3,1,1,3,,3,1,1,2,,3,5,,,
931,vt18_Petäjävesi,2020/07/01,2,"15 KATP",4,7,2,3,2,5,3,5,10,12,9,7,7,9,5,7,6,4,14,8,3,5,3,3
931,vt18_Petäjävesi,2020/07/01,2,"16 HA + PK",2,,,,1,,2,2,8,1,5,5,6,17,4,10,12,4,7,7,5,1,5,1
931,vt18_Petäjävesi,2020/07/01,2,"17 HA + AV",,,,,,,,,,2,,1,2,3,3,1,2,,2,2,1,1,,
931,vt18_Petäjävesi,2020/07/02,1,"11 HA-PA",18,10,5,4,20,51,149,133,108,132,136,162,176,185,190,220,233,189,167,178,123,100,55,24
931,vt18_Petäjävesi,2020/07/02,1,"12 KAIP",,,,1,,2,7,10,,2,3,4,5,8,6,9,4,6,3,2,5,4,3,1
931,vt18_Petäjävesi,2020/07/02,1,"13 Linja-autot",,,,,,,1,2,,,,1,1,1,,1,1,,,1,,,,
931,vt18_Petäjävesi,2020/07/02,1,"14 KAPP",,,,,1,,,1,,1,2,1,2,,1,1,2,2,1,1,1,1,1,
931,vt18_Petäjävesi,2020/07/02,1,"15 KATP",3,1,1,3,,4,6,8,9,9,9,8,9,6,8,9,17,6,7,4,6,9,6,4
931,vt18_Petäjävesi,2020/07/02,1,"16 HA + PK",1,,3,,1,1,8,5,4,6,15,8,13,12,4,10,13,18,7,7,3,6,5,
931,vt18_Petäjävesi,2020/07/02,1,"17 HA + AV",,,,,,,,2,,,1,2,1,2,2,2,4,2,1,1,1,,,1
931,vt18_Petäjävesi,2020/07/02,2,"11 HA-PA",11,2,6,2,14,26,64,102,118,154,211,189,202,189,217,280,283,229,193,141,102,80,51,18
931,vt18_Petäjävesi,2020/07/02,2,"12 KAIP",2,,,1,,1,6,3,1,4,5,5,3,3,5,7,5,5,5,5,1,1,2,4
931,vt18_Petäjävesi,2020/07/02,2,"13 Linja-autot",,,,,,,,,1,,,,1,2,,,,2,,,,,,
931,vt18_Petäjävesi,2020/07/02,2,"14 KAPP",,,1,,,,,,2,5,3,,5,,1,1,2,2,1,,,,,1
931,vt18_Petäjävesi,2020/07/02,2,"15 KATP",4,9,2,2,3,6,8,9,11,9,6,7,13,11,7,13,5,9,6,10,2,2,2,4
931,vt18_Petäjävesi,2020/07/02,2,"16 HA + PK",,1,,,,,6,3,3,5,11,13,9,9,6,14,11,14,8,6,8,5,,1
931,vt18_Petäjävesi,2020/07/02,2,"17 HA + AV",,,,,,,1,,2,,1,2,1,1,3,1,,4,,1,1,,,
