"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
101,kt51_Hanasaari,2020/06/01,1,"11 HA-PA",137,130,28,13,37,104,434,953,1426,1331,1377,1404,1478,1602,2008,2872,2857,2253,1944,1597,1184,843,558,262
101,kt51_Hanasaari,2020/06/01,1,"12 KAIP",3,2,4,1,1,3,9,28,50,58,50,43,60,48,50,42,20,15,11,12,5,10,7,2
101,kt51_Hanasaari,2020/06/01,1,"13 Linja-autot",12,9,,,,4,11,18,20,19,6,3,5,3,13,20,18,20,13,4,2,4,3,6
101,kt51_Hanasaari,2020/06/01,1,"14 KAPP",22,1,,,,1,1,4,60,26,77,3,3,4,25,54,56,6,26,,1,97,37,1
101,kt51_Hanasaari,2020/06/01,1,"15 KATP",2,,,,,1,1,8,9,12,9,6,9,16,8,21,6,2,7,2,1,2,4,
101,kt51_Hanasaari,2020/06/01,1,"16 HA + PK",,1,,,,,,3,7,5,10,9,8,7,15,8,10,11,7,3,9,4,7,2
101,kt51_Hanasaari,2020/06/01,1,"17 HA + AV",,,,,,,,2,4,,1,1,4,2,2,4,1,,1,,1,3,2,
101,kt51_Hanasaari,2020/06/01,2,"11 HA-PA",99,50,30,12,58,309,1368,1833,2383,1724,1427,1450,1410,1421,1531,1804,1954,1765,1619,1378,1087,765,387,204
101,kt51_Hanasaari,2020/06/01,2,"12 KAIP",3,2,1,1,5,5,27,43,48,42,41,47,28,40,44,26,15,18,9,7,9,4,3,2
101,kt51_Hanasaari,2020/06/01,2,"13 Linja-autot",8,3,,,4,11,22,19,19,21,6,3,4,5,24,20,19,22,4,3,3,1,2,7
101,kt51_Hanasaari,2020/06/01,2,"14 KAPP",,,,,,1,9,13,18,13,8,17,23,41,32,23,9,5,17,20,13,6,1,1
101,kt51_Hanasaari,2020/06/01,2,"15 KATP",,,,,1,2,9,17,17,9,11,16,20,15,13,9,3,4,6,5,3,1,1,
101,kt51_Hanasaari,2020/06/01,2,"16 HA + PK",,,,,,2,5,9,11,17,12,10,14,8,10,9,5,7,11,9,6,2,,
101,kt51_Hanasaari,2020/06/01,2,"17 HA + AV",,,,,,,3,1,2,2,,4,3,2,5,3,2,,,,1,,,
101,kt51_Hanasaari,2020/06/02,1,"11 HA-PA",121,79,39,30,44,104,465,1002,1368,1266,1335,1392,1581,1728,2119,2929,2949,2542,1926,1540,1240,843,612,281
101,kt51_Hanasaari,2020/06/02,1,"12 KAIP",4,4,1,1,2,3,21,33,40,58,65,59,45,57,44,40,25,16,6,16,5,13,6,1
101,kt51_Hanasaari,2020/06/02,1,"13 Linja-autot",14,16,1,,,6,10,16,18,15,5,3,6,3,13,21,19,20,14,4,3,6,2,5
101,kt51_Hanasaari,2020/06/02,1,"14 KAPP",2,,,,,1,3,9,69,37,70,10,4,3,42,39,53,5,2,,1,58,82,1
101,kt51_Hanasaari,2020/06/02,1,"15 KATP",,,,,,1,4,6,9,13,11,13,7,14,9,11,9,1,,2,1,4,8,3
101,kt51_Hanasaari,2020/06/02,1,"16 HA + PK",,,,,,,3,,2,7,5,9,8,8,10,9,14,12,13,7,1,4,6,1
101,kt51_Hanasaari,2020/06/02,1,"17 HA + AV",,,,,,,,1,1,3,1,2,1,2,2,1,6,1,,1,,,2,
101,kt51_Hanasaari,2020/06/02,2,"11 HA-PA",96,64,33,24,59,315,1373,1892,2353,1791,1428,1485,1402,1455,1536,1808,2017,1882,1494,1408,1142,838,461,221
101,kt51_Hanasaari,2020/06/02,2,"12 KAIP",4,1,,1,6,13,42,45,46,39,50,33,39,35,31,37,18,16,10,13,8,4,3,5
101,kt51_Hanasaari,2020/06/02,2,"13 Linja-autot",11,9,,,4,9,25,23,19,18,4,5,5,3,21,18,23,19,5,4,4,1,2,5
101,kt51_Hanasaari,2020/06/02,2,"14 KAPP",2,,,,,4,22,41,60,23,10,11,30,36,45,26,18,10,13,21,23,10,3,1
101,kt51_Hanasaari,2020/06/02,2,"15 KATP",,,,,,1,15,13,13,11,12,7,18,10,13,10,3,5,7,4,12,5,1,3
101,kt51_Hanasaari,2020/06/02,2,"16 HA + PK",1,,,,1,2,9,5,13,10,11,8,21,9,16,11,5,11,3,9,7,7,2,
101,kt51_Hanasaari,2020/06/02,2,"17 HA + AV",,,,,,,5,4,3,3,3,1,2,3,1,1,2,3,1,1,2,2,,1
101,kt51_Hanasaari,2020/06/03,1,"11 HA-PA",117,64,56,28,47,107,446,995,1372,1357,1357,1421,1592,1709,2174,2921,3018,2457,1991,1615,1336,951,668,292
101,kt51_Hanasaari,2020/06/03,1,"12 KAIP",4,5,4,,1,7,17,34,43,54,58,41,46,38,47,31,16,7,9,11,7,5,10,1
101,kt51_Hanasaari,2020/06/03,1,"13 Linja-autot",11,11,2,,,4,9,17,22,17,6,3,7,3,13,18,18,17,11,6,2,7,5,4
101,kt51_Hanasaari,2020/06/03,1,"14 KAPP",4,1,,1,,1,3,6,42,46,51,7,2,2,22,64,55,4,3,1,1,39,86,2
101,kt51_Hanasaari,2020/06/03,1,"15 KATP",,1,1,,,2,1,10,14,11,8,8,5,18,11,11,12,1,,,1,5,6,1
101,kt51_Hanasaari,2020/06/03,1,"16 HA + PK",,,,,,,2,3,6,5,4,14,3,12,10,9,17,8,11,9,1,6,5,
101,kt51_Hanasaari,2020/06/03,1,"17 HA + AV",,,,,,2,,,,3,3,1,,2,2,5,1,5,1,,,2,3,
101,kt51_Hanasaari,2020/06/03,2,"11 HA-PA",99,61,42,22,70,301,1417,1863,2351,1882,1495,1457,1497,1438,1527,1903,2172,1870,1607,1434,1206,896,486,271
101,kt51_Hanasaari,2020/06/03,2,"12 KAIP",4,6,1,3,2,9,42,45,49,50,31,31,38,35,21,20,17,7,9,8,5,3,3,1
101,kt51_Hanasaari,2020/06/03,2,"13 Linja-autot",12,6,,,4,11,22,25,21,17,7,4,3,4,18,22,20,22,6,4,5,1,3,8
101,kt51_Hanasaari,2020/06/03,2,"14 KAPP",,,,1,,2,23,44,40,16,6,11,22,45,31,26,11,14,22,25,31,6,2,1
101,kt51_Hanasaari,2020/06/03,2,"15 KATP",1,1,,1,,4,19,20,16,12,8,8,19,5,16,12,2,,6,9,7,5,1,
101,kt51_Hanasaari,2020/06/03,2,"16 HA + PK",,1,,,1,1,4,8,17,8,8,11,10,11,15,13,8,6,7,9,11,6,1,2
101,kt51_Hanasaari,2020/06/03,2,"17 HA + AV",,1,,1,,,2,3,3,2,1,1,,3,7,1,3,3,,,1,,,
101,kt51_Hanasaari,2020/06/04,1,"11 HA-PA",142,89,55,35,42,116,440,966,1363,1262,1301,1454,1634,1760,2120,2770,2919,2650,2013,1621,1259,874,516,273
101,kt51_Hanasaari,2020/06/04,1,"12 KAIP",1,3,2,1,2,2,16,31,40,51,50,53,48,52,42,34,18,17,8,3,6,7,6,2
101,kt51_Hanasaari,2020/06/04,1,"13 Linja-autot",13,13,2,,,6,13,16,18,19,7,4,6,4,12,18,20,18,14,3,2,5,2,6
101,kt51_Hanasaari,2020/06/04,1,"14 KAPP",2,1,,,,,1,12,54,54,18,8,7,4,47,55,23,3,15,,1,73,15,
101,kt51_Hanasaari,2020/06/04,1,"15 KATP",,,,,,,1,8,12,4,11,5,8,7,11,10,6,3,2,1,,10,3,
101,kt51_Hanasaari,2020/06/04,1,"16 HA + PK",,,,,,,1,1,9,8,4,6,6,8,12,15,10,10,7,6,9,4,1,1
101,kt51_Hanasaari,2020/06/04,1,"17 HA + AV",,,,,,,,2,5,4,3,,4,1,4,3,3,,1,,,,,
