"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1051,vt3_Laihia_Perälä,2020/06/01,1,"11 HA-PA",8,5,3,5,10,69,170,127,89,110,87,98,101,108,114,130,153,124,93,101,82,58,26,18
1051,vt3_Laihia_Perälä,2020/06/01,1,"12 KAIP",,1,,,,2,9,7,2,3,2,1,10,2,2,1,6,1,4,,2,,,
1051,vt3_Laihia_Perälä,2020/06/01,1,"13 Linja-autot",,,,,,,,,1,1,,,,,,,,,,,,,1,
1051,vt3_Laihia_Perälä,2020/06/01,1,"14 KAPP",,,,,,,,,3,3,4,4,3,1,2,1,2,1,3,1,,2,1,2
1051,vt3_Laihia_Perälä,2020/06/01,1,"15 KATP",,,1,,,4,4,7,9,5,3,7,6,7,8,7,2,3,2,3,5,2,,2
1051,vt3_Laihia_Perälä,2020/06/01,1,"16 HA + PK",1,,,,,2,5,5,3,4,6,5,7,10,7,11,8,2,5,4,1,1,,
1051,vt3_Laihia_Perälä,2020/06/01,1,"17 HA + AV",,,,,,1,,1,,1,,,,,1,,,1,1,,2,,1,
1051,vt3_Laihia_Perälä,2020/06/01,2,"11 HA-PA",6,,,3,8,17,52,64,77,102,87,121,103,96,149,191,216,149,112,109,77,44,29,16
1051,vt3_Laihia_Perälä,2020/06/01,2,"12 KAIP",,,,1,1,,2,1,2,3,1,4,5,5,4,5,4,6,2,2,2,1,,
1051,vt3_Laihia_Perälä,2020/06/01,2,"13 Linja-autot",,,,,,,,1,,,1,,,1,,,,,,,,,,
1051,vt3_Laihia_Perälä,2020/06/01,2,"14 KAPP",,,,,1,1,1,2,2,2,,4,4,4,1,3,2,,2,,,1,,
1051,vt3_Laihia_Perälä,2020/06/01,2,"15 KATP",,,,,2,2,3,6,11,8,9,10,10,9,6,9,4,9,3,8,2,,2,1
1051,vt3_Laihia_Perälä,2020/06/01,2,"16 HA + PK",,,,,1,1,,6,4,6,5,4,7,8,9,8,10,6,6,1,4,,,1
1051,vt3_Laihia_Perälä,2020/06/01,2,"17 HA + AV",,,,,,,,1,,,,,1,,,1,1,,,,1,,1,
1051,vt3_Laihia_Perälä,2020/06/02,1,"11 HA-PA",9,6,5,3,10,61,161,122,91,101,87,101,78,93,133,121,145,142,116,87,87,51,27,17
1051,vt3_Laihia_Perälä,2020/06/02,1,"12 KAIP",1,1,,,1,1,5,5,6,8,5,2,9,4,1,3,4,1,5,,1,1,,
1051,vt3_Laihia_Perälä,2020/06/02,1,"13 Linja-autot",,,,,,,,,,1,,1,,,,,1,,,,,2,,
1051,vt3_Laihia_Perälä,2020/06/02,1,"14 KAPP",1,,2,,,,1,2,3,1,1,,6,1,1,3,2,2,,,,2,,
1051,vt3_Laihia_Perälä,2020/06/02,1,"15 KATP",1,3,3,4,2,1,8,4,7,8,8,6,6,5,8,8,8,2,5,4,,2,1,2
1051,vt3_Laihia_Perälä,2020/06/02,1,"16 HA + PK",,,,,,1,10,4,2,1,1,4,4,4,3,1,7,6,5,3,10,3,3,1
1051,vt3_Laihia_Perälä,2020/06/02,1,"17 HA + AV",1,,,,,,,1,2,2,,,,1,1,,,,,,1,,,
1051,vt3_Laihia_Perälä,2020/06/02,2,"11 HA-PA",8,10,2,2,14,17,49,71,84,75,86,98,107,118,134,228,217,153,116,92,66,40,28,20
1051,vt3_Laihia_Perälä,2020/06/02,2,"12 KAIP",,,,1,1,2,1,8,5,7,5,4,1,5,2,2,4,3,4,,2,1,,
1051,vt3_Laihia_Perälä,2020/06/02,2,"13 Linja-autot",,,,,,,1,,1,,,,,,,,,,1,,,,,1
1051,vt3_Laihia_Perälä,2020/06/02,2,"14 KAPP",,,,,,,1,2,2,6,2,,2,3,2,5,1,1,1,,,,,
1051,vt3_Laihia_Perälä,2020/06/02,2,"15 KATP",,,1,,,,4,5,11,8,11,10,5,6,4,9,9,7,4,7,2,,,
1051,vt3_Laihia_Perälä,2020/06/02,2,"16 HA + PK",,,,,,,2,2,7,2,,4,3,8,4,13,11,8,7,4,4,,1,
1051,vt3_Laihia_Perälä,2020/06/02,2,"17 HA + AV",,,,,,,,,,1,2,,1,1,,2,1,,,,,1,1,
1051,vt3_Laihia_Perälä,2020/06/03,1,"11 HA-PA",7,6,2,4,10,57,155,131,86,91,78,95,105,114,126,126,130,110,114,123,89,56,33,17
1051,vt3_Laihia_Perälä,2020/06/03,1,"12 KAIP",,,1,1,1,1,6,7,3,4,2,7,4,7,2,5,3,4,,1,1,,,
1051,vt3_Laihia_Perälä,2020/06/03,1,"13 Linja-autot",,,,,,,1,,,,1,,,,,,,2,1,,,1,,
1051,vt3_Laihia_Perälä,2020/06/03,1,"14 KAPP",,,,,1,,2,2,1,,3,1,2,1,,1,2,1,1,,,,,
1051,vt3_Laihia_Perälä,2020/06/03,1,"15 KATP",2,1,3,2,1,2,6,4,6,3,8,5,11,4,8,5,3,5,2,4,6,2,3,
1051,vt3_Laihia_Perälä,2020/06/03,1,"16 HA + PK",,,,,,1,5,6,4,9,3,9,8,5,7,6,5,4,6,8,4,1,,
1051,vt3_Laihia_Perälä,2020/06/03,1,"17 HA + AV",,,,,,1,1,,1,,,,,1,2,1,2,1,,,1,2,,1
1051,vt3_Laihia_Perälä,2020/06/03,2,"11 HA-PA",13,9,4,3,8,18,46,64,63,89,93,108,113,108,135,227,219,154,117,89,69,50,23,12
1051,vt3_Laihia_Perälä,2020/06/03,2,"12 KAIP",,,,2,,2,,3,2,,6,4,5,3,2,3,3,4,3,4,,,,
1051,vt3_Laihia_Perälä,2020/06/03,2,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,,1,1,1,,,
1051,vt3_Laihia_Perälä,2020/06/03,2,"14 KAPP",,,,,,,1,1,4,5,2,1,4,7,4,3,3,,3,,1,,,
1051,vt3_Laihia_Perälä,2020/06/03,2,"15 KATP",,1,,,2,1,4,1,8,12,5,6,13,8,16,10,2,7,6,3,6,3,,
1051,vt3_Laihia_Perälä,2020/06/03,2,"16 HA + PK",,1,,,,,,3,5,7,6,7,6,6,10,9,4,11,5,6,4,1,1,
1051,vt3_Laihia_Perälä,2020/06/03,2,"17 HA + AV",,,,,,,1,3,1,,1,,2,1,,1,1,2,1,,,1,,1
1051,vt3_Laihia_Perälä,2020/06/04,1,"11 HA-PA",7,6,3,5,9,68,152,118,100,85,85,94,106,98,111,149,149,127,119,118,93,74,37,18
1051,vt3_Laihia_Perälä,2020/06/04,1,"12 KAIP",,,,2,,2,8,5,5,6,2,4,3,1,4,2,4,2,3,3,2,1,,
1051,vt3_Laihia_Perälä,2020/06/04,1,"13 Linja-autot",,,,,,,,,,,,,,1,,1,,,,,,,,
1051,vt3_Laihia_Perälä,2020/06/04,1,"14 KAPP",1,1,,,,,,1,1,3,2,1,3,4,1,1,1,1,1,,2,4,,
1051,vt3_Laihia_Perälä,2020/06/04,1,"15 KATP",2,1,5,3,2,1,8,4,11,7,4,10,6,5,5,7,3,5,5,9,2,4,4,4
1051,vt3_Laihia_Perälä,2020/06/04,1,"16 HA + PK",1,,,,,1,9,2,2,2,4,6,3,9,4,4,1,7,3,2,4,5,2,2
1051,vt3_Laihia_Perälä,2020/06/04,1,"17 HA + AV",,,,,,,,,,1,,1,,,5,1,2,,1,1,1,,,1
1051,vt3_Laihia_Perälä,2020/06/04,2,"11 HA-PA",5,11,,2,5,26,44,63,76,96,86,94,116,100,147,269,212,132,125,100,82,46,25,17
1051,vt3_Laihia_Perälä,2020/06/04,2,"12 KAIP",,,,,1,,3,3,2,4,5,2,5,2,3,5,5,5,5,,1,1,,1
1051,vt3_Laihia_Perälä,2020/06/04,2,"14 KAPP",,1,,,2,,,,1,3,1,4,3,5,6,4,2,,,,,,,
1051,vt3_Laihia_Perälä,2020/06/04,2,"15 KATP",,1,,,1,2,6,7,11,9,17,5,9,10,6,4,6,7,2,6,2,3,,1
1051,vt3_Laihia_Perälä,2020/06/04,2,"16 HA + PK",,,,,1,1,2,3,5,7,4,5,5,12,6,8,12,7,5,4,5,2,1,
1051,vt3_Laihia_Perälä,2020/06/04,2,"17 HA + AV",,1,,,,1,1,1,,,2,,,1,1,2,,,,,,,,1
1051,vt3_Laihia_Perälä,2020/06/05,1,"11 HA-PA",5,7,5,5,19,58,132,107,90,89,108,104,134,118,135,143,171,142,125,140,103,85,46,26
1051,vt3_Laihia_Perälä,2020/06/05,1,"12 KAIP",,,1,,1,2,3,5,3,7,4,4,9,2,4,8,1,3,2,3,,2,,1
1051,vt3_Laihia_Perälä,2020/06/05,1,"13 Linja-autot",,,1,,,,,,,,,,,,,,1,,,1,,,,
1051,vt3_Laihia_Perälä,2020/06/05,1,"14 KAPP",1,1,,,,,,2,3,2,3,1,1,,3,1,5,1,,,,,,
1051,vt3_Laihia_Perälä,2020/06/05,1,"15 KATP",1,1,5,5,,1,6,,4,7,7,7,8,10,6,3,2,4,1,2,,4,1,2
1051,vt3_Laihia_Perälä,2020/06/05,1,"16 HA + PK",1,,,,,3,3,2,3,6,6,8,6,3,4,7,12,4,7,5,5,3,3,2
1051,vt3_Laihia_Perälä,2020/06/05,1,"17 HA + AV",,,,,,,,1,,,2,1,2,1,2,,,4,,,2,,,
1051,vt3_Laihia_Perälä,2020/06/05,2,"11 HA-PA",14,6,2,,4,23,48,72,71,86,120,141,129,156,182,256,222,201,134,109,90,47,23,18
1051,vt3_Laihia_Perälä,2020/06/05,2,"12 KAIP",,,1,1,,,5,2,3,6,6,,8,4,6,1,3,6,3,,,1,,1
1051,vt3_Laihia_Perälä,2020/06/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,1,,,,,,
1051,vt3_Laihia_Perälä,2020/06/05,2,"14 KAPP",,,1,,1,1,1,,1,2,3,4,1,1,3,1,,1,1,,,,,
1051,vt3_Laihia_Perälä,2020/06/05,2,"15 KATP",,1,,,2,3,3,3,6,6,5,12,8,6,5,6,5,3,7,2,1,,,1
1051,vt3_Laihia_Perälä,2020/06/05,2,"16 HA + PK",,,1,,,,3,4,4,5,6,12,5,5,12,7,4,8,4,5,3,2,,
1051,vt3_Laihia_Perälä,2020/06/05,2,"17 HA + AV",,,,,,1,,,1,1,2,1,2,2,4,2,3,,,,1,1,,
1051,vt3_Laihia_Perälä,2020/06/06,1,"11 HA-PA",14,11,6,10,9,8,17,27,62,71,113,129,138,167,128,119,115,124,117,117,88,46,47,31
1051,vt3_Laihia_Perälä,2020/06/06,1,"12 KAIP",,,,,,1,,,3,3,3,2,2,1,,2,,,1,2,,,1,
1051,vt3_Laihia_Perälä,2020/06/06,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1051,vt3_Laihia_Perälä,2020/06/06,1,"14 KAPP",,,,,,,,1,,,1,,,,,,,1,,1,,,,
1051,vt3_Laihia_Perälä,2020/06/06,1,"15 KATP",,3,4,5,,,2,1,2,2,2,2,1,1,1,2,1,1,1,1,,,1,
1051,vt3_Laihia_Perälä,2020/06/06,1,"16 HA + PK",,,,,1,,2,3,5,7,2,6,10,4,7,6,5,5,4,5,4,2,,1
1051,vt3_Laihia_Perälä,2020/06/06,1,"17 HA + AV",,,,,,,1,,1,,1,,1,,1,,,1,,,1,,,
1051,vt3_Laihia_Perälä,2020/06/06,2,"11 HA-PA",20,11,13,9,5,7,17,35,70,113,147,149,135,135,125,139,121,104,106,74,62,37,33,23
