"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"11 HA-PA",7,3,4,9,16,36,97,107,101,107,103,121,120,107,90,135,131,110,77,72,35,38,19,17
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"12 KAIP",,1,1,,,,4,5,5,8,,5,4,1,1,5,2,1,4,2,2,2,1,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"14 KAPP",1,,,,,1,3,3,,2,2,1,,1,3,,1,,,1,,,,1
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"15 KATP",1,1,1,1,2,1,3,5,7,8,4,4,4,5,5,6,2,3,6,4,3,2,3,1
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"16 HA + PK",,,,,1,2,3,3,5,6,7,8,7,4,4,5,7,6,4,1,3,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,1,"17 HA + AV",,,,,,1,,,,1,5,1,1,3,1,1,1,1,1,1,,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"11 HA-PA",8,2,2,3,17,20,62,74,64,72,63,109,104,121,133,159,173,121,85,90,70,65,33,13
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"12 KAIP",1,,,,1,1,1,2,4,4,6,1,5,4,6,5,7,2,4,2,3,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,1,,,,,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"14 KAPP",,,,,,1,,2,3,3,4,1,2,1,1,2,4,,1,1,1,,,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"15 KATP",1,,2,,,1,5,3,3,7,6,6,5,7,6,6,5,4,5,1,2,1,2,
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"16 HA + PK",1,,,1,,,1,1,2,2,7,6,8,9,8,6,11,7,7,7,4,3,1,1
1056,vt18_Alavus_Kuivaskylä,2020/06/01,2,"17 HA + AV",,,,,,,,,1,3,,1,2,,3,1,1,1,,,2,,,1
1056,vt18_Alavus_Kuivaskylä,2020/06/02,1,"11 HA-PA",11,4,1,6,12,27,79,119,90,88,82,95,107,115,95,123,157,133,87,83,58,32,28,10
