"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1104,vt27_Alavieska,2020/06/01,1,"11 HA-PA",1,3,5,4,15,47,102,108,82,76,90,88,69,94,93,113,126,72,70,47,47,32,16,13
1104,vt27_Alavieska,2020/06/01,1,"12 KAIP",,3,2,,,1,4,4,1,3,6,1,2,2,2,5,4,2,3,1,,2,,
1104,vt27_Alavieska,2020/06/01,1,"13 Linja-autot",,,,,,1,,,,,,,,1,,,1,,,,,,,
1104,vt27_Alavieska,2020/06/01,1,"14 KAPP",1,,,,,,2,1,1,1,,,1,1,3,1,,,2,,,,,
1104,vt27_Alavieska,2020/06/01,1,"15 KATP",,,,1,,2,4,4,2,5,4,4,6,5,7,4,4,5,2,12,,1,1,
1104,vt27_Alavieska,2020/06/01,1,"16 HA + PK",,,,,,,,4,4,,3,2,5,3,2,3,6,4,,1,1,4,,
1104,vt27_Alavieska,2020/06/01,1,"17 HA + AV",,,,,,,,1,1,1,1,,,2,1,1,1,1,,,,,,1
1104,vt27_Alavieska,2020/06/01,2,"11 HA-PA",5,1,2,2,6,28,79,77,47,48,70,81,79,97,105,142,136,80,67,62,47,31,27,13
1104,vt27_Alavieska,2020/06/01,2,"12 KAIP",,,,1,1,,2,1,3,4,4,,5,2,6,2,3,4,1,1,,1,,
1104,vt27_Alavieska,2020/06/01,2,"13 Linja-autot",,,,,,,,,,2,2,,1,,,,1,2,,,,1,,
1104,vt27_Alavieska,2020/06/01,2,"14 KAPP",,,,,,,,1,,2,1,,1,2,2,,,,1,,,,,
1104,vt27_Alavieska,2020/06/01,2,"15 KATP",,,1,2,,3,1,3,7,5,3,4,3,3,3,5,5,6,3,3,1,1,,
1104,vt27_Alavieska,2020/06/01,2,"16 HA + PK",,,,,,1,1,2,4,1,5,3,3,1,6,3,4,5,3,2,2,,1,2
1104,vt27_Alavieska,2020/06/01,2,"17 HA + AV",,,,,,,,1,2,,,2,2,,,,2,1,1,,,,,
1104,vt27_Alavieska,2020/06/02,1,"11 HA-PA",5,4,3,3,8,48,88,103,63,67,63,64,77,87,85,127,120,80,64,65,56,34,11,14
1104,vt27_Alavieska,2020/06/02,1,"12 KAIP",,2,1,,,1,2,3,5,2,7,,5,5,2,5,4,1,,1,1,,,
1104,vt27_Alavieska,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,,2,1,,,,,,,
1104,vt27_Alavieska,2020/06/02,1,"14 KAPP",,,,,,,,2,,1,,,,1,3,1,,1,1,,,1,,
1104,vt27_Alavieska,2020/06/02,1,"15 KATP",1,,1,1,4,1,4,6,10,4,6,6,5,6,4,8,8,3,3,2,1,1,1,
1104,vt27_Alavieska,2020/06/02,1,"16 HA + PK",1,,,,,,,1,1,1,2,4,4,2,3,5,5,5,2,3,2,,,
1104,vt27_Alavieska,2020/06/02,1,"17 HA + AV",1,,,,,,,,,,,,1,,2,,,2,2,,1,,,
1104,vt27_Alavieska,2020/06/02,2,"11 HA-PA",6,5,2,2,2,27,59,66,42,46,81,64,76,77,100,117,136,94,74,62,39,49,25,10
1104,vt27_Alavieska,2020/06/02,2,"12 KAIP",1,,1,,,1,2,2,,3,,3,1,3,3,4,1,3,6,1,1,1,,1
1104,vt27_Alavieska,2020/06/02,2,"13 Linja-autot",,,,,,,,,,,,,1,,,1,1,2,1,,1,,,
1104,vt27_Alavieska,2020/06/02,2,"14 KAPP",,,,,,,1,,3,1,1,1,1,2,3,3,1,1,2,1,,,,
1104,vt27_Alavieska,2020/06/02,2,"15 KATP",1,,1,1,2,,2,7,3,10,8,6,4,6,7,7,3,5,3,5,3,2,,
1104,vt27_Alavieska,2020/06/02,2,"16 HA + PK",,,,,,,1,,,1,1,4,5,3,3,2,4,4,4,3,1,2,,
1104,vt27_Alavieska,2020/06/02,2,"17 HA + AV",,,,,,,,,1,,,1,,,,,,3,,3,,,,
1104,vt27_Alavieska,2020/06/03,1,"11 HA-PA",4,8,3,6,5,49,94,103,90,73,86,79,85,83,90,123,101,81,74,49,36,33,21,11
1104,vt27_Alavieska,2020/06/03,1,"12 KAIP",1,2,,,,,3,1,5,4,5,1,6,10,4,2,3,2,2,1,1,4,,
1104,vt27_Alavieska,2020/06/03,1,"14 KAPP",,,,,,,,1,2,,1,2,,1,2,,2,,1,,,,,
1104,vt27_Alavieska,2020/06/03,1,"15 KATP",,1,,2,2,3,2,6,5,8,11,2,5,3,7,3,3,4,3,4,2,,1,2
