"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1124,vt8_Rahvo,2020/06/01,1,"11 HA-PA",4,2,4,3,7,37,83,71,72,69,70,86,85,85,91,96,87,80,66,75,60,34,14,12
1124,vt8_Rahvo,2020/06/01,1,"12 KAIP",1,,1,,3,,5,6,7,3,5,10,3,3,6,6,4,8,2,3,2,1,1,3
1124,vt8_Rahvo,2020/06/01,1,"13 Linja-autot",,,,,,,,,,1,,,2,,1,,,,,,,,,
1124,vt8_Rahvo,2020/06/01,1,"14 KAPP",,,,,,1,1,1,4,2,3,4,3,4,1,1,2,1,,1,3,1,,
1124,vt8_Rahvo,2020/06/01,1,"15 KATP",1,1,,1,4,5,4,10,5,9,10,5,11,8,6,7,12,7,10,11,7,6,1,5
1124,vt8_Rahvo,2020/06/01,1,"16 HA + PK",,1,,,2,2,5,4,4,9,2,6,6,3,4,6,3,5,4,1,3,1,1,1
1124,vt8_Rahvo,2020/06/01,1,"17 HA + AV",,,,,,,1,3,3,2,3,2,3,1,,,,1,1,,2,1,,
1124,vt8_Rahvo,2020/06/01,2,"11 HA-PA",7,2,2,4,4,30,51,65,72,52,74,91,80,84,98,116,110,100,66,57,54,32,29,5
1124,vt8_Rahvo,2020/06/01,2,"12 KAIP",1,,,1,1,1,6,5,5,7,5,5,7,4,8,8,5,3,4,3,1,1,1,1
1124,vt8_Rahvo,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,,1,,,,,,,,
1124,vt8_Rahvo,2020/06/01,2,"14 KAPP",,,,,,3,1,,1,2,4,4,3,3,1,5,2,1,,,,,2,
1124,vt8_Rahvo,2020/06/01,2,"15 KATP",,1,3,2,,1,4,5,11,8,9,9,8,10,11,4,8,6,11,10,8,7,3,3
1124,vt8_Rahvo,2020/06/01,2,"16 HA + PK",,,,,,1,,2,3,8,6,4,4,6,4,2,4,8,3,2,4,2,1,
1124,vt8_Rahvo,2020/06/01,2,"17 HA + AV",,,,,,,,1,2,1,3,,1,,3,2,,1,1,1,1,,3,1
