"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
116,st101_Leppävaara,2020/06/01,1,"11 HA-PA",175,115,56,70,164,503,1665,2163,2299,1673,1505,1506,1475,1673,2100,2456,1911,2188,1723,1485,1147,904,475,279
116,st101_Leppävaara,2020/06/01,1,"12 KAIP",5,2,4,2,11,15,41,55,56,65,75,79,96,85,99,64,37,40,29,28,17,18,19,2
116,st101_Leppävaara,2020/06/01,1,"13 Linja-autot",1,1,,,1,4,3,4,2,7,6,3,4,1,3,5,2,3,5,2,2,7,3,3
116,st101_Leppävaara,2020/06/01,1,"14 KAPP",1,,2,14,14,3,25,9,38,40,47,15,26,43,29,30,37,11,19,19,7,45,40,1
116,st101_Leppävaara,2020/06/01,1,"15 KATP",4,1,2,2,3,8,9,12,14,24,24,11,24,24,21,11,8,10,13,7,6,5,4,6
116,st101_Leppävaara,2020/06/01,1,"16 HA + PK",,,,,1,1,7,4,11,15,13,23,19,23,17,13,9,16,18,16,21,12,4,2
116,st101_Leppävaara,2020/06/01,1,"17 HA + AV",,,,,,,2,6,3,4,2,5,4,2,1,4,7,1,4,4,3,4,3,
116,st101_Leppävaara,2020/06/01,2,"11 HA-PA",179,66,54,35,87,538,2272,1914,1812,1662,1488,1625,1686,1674,1934,1695,1965,2180,1767,1521,1166,820,516,267
116,st101_Leppävaara,2020/06/01,2,"12 KAIP",7,3,5,5,24,33,117,81,78,85,90,90,91,86,91,42,22,25,28,13,17,15,13,8
116,st101_Leppävaara,2020/06/01,2,"13 Linja-autot",,,,,2,7,2,3,2,2,,,,1,,1,1,,1,2,2,1,2,
116,st101_Leppävaara,2020/06/01,2,"14 KAPP",1,,1,1,7,3,15,18,33,24,18,29,34,44,43,24,4,8,17,27,14,8,2,5
