"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1239,st815_Lentokentäntie,2020/06/01,1,"11 HA-PA",29,19,25,5,11,76,259,378,346,274,308,365,378,444,472,781,730,634,499,436,377,261,131,75
1239,st815_Lentokentäntie,2020/06/01,1,"12 KAIP",,1,1,,1,4,7,14,15,15,7,15,9,10,13,11,6,3,4,5,3,1,,1
1239,st815_Lentokentäntie,2020/06/01,1,"13 Linja-autot",1,,,,1,4,3,2,2,2,2,1,3,2,3,3,3,2,2,2,2,2,1,1
1239,st815_Lentokentäntie,2020/06/01,1,"14 KAPP",,,,,,,1,,,2,,,,,,,,1,,,,,,
1239,st815_Lentokentäntie,2020/06/01,1,"15 KATP",,,1,,1,2,1,5,3,2,5,,1,3,1,1,1,1,1,1,,1,,2
1239,st815_Lentokentäntie,2020/06/01,1,"16 HA + PK",1,2,,1,,4,3,12,10,10,7,14,14,17,15,18,22,21,11,14,7,7,5,1
1239,st815_Lentokentäntie,2020/06/01,1,"17 HA + AV",,,,,,,,1,,1,1,,1,2,,1,,,,,1,,2,
1239,st815_Lentokentäntie,2020/06/01,2,"11 HA-PA",47,22,16,14,28,133,442,592,469,380,350,405,385,398,467,575,549,503,466,412,301,208,134,72
1239,st815_Lentokentäntie,2020/06/01,2,"12 KAIP",,1,1,1,1,2,5,8,12,17,13,7,9,14,14,8,8,4,3,3,3,,2,2
1239,st815_Lentokentäntie,2020/06/01,2,"13 Linja-autot",,1,,,,2,3,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,2
1239,st815_Lentokentäntie,2020/06/01,2,"14 KAPP",,,,,,,1,,,1,2,,,,,,1,,,,,,,
1239,st815_Lentokentäntie,2020/06/01,2,"15 KATP",,,,,,,,2,3,5,1,4,2,3,1,1,2,,1,,,,1,
1239,st815_Lentokentäntie,2020/06/01,2,"16 HA + PK",1,,,,1,4,11,18,6,17,15,13,15,24,13,16,23,18,14,9,4,5,2,
1239,st815_Lentokentäntie,2020/06/01,2,"17 HA + AV",,,,,,,,1,,,,,,,1,,,,1,,,1,,
1239,st815_Lentokentäntie,2020/06/02,1,"11 HA-PA",47,19,22,14,11,83,238,359,360,311,337,409,409,448,459,712,745,580,563,472,347,257,129,74
1239,st815_Lentokentäntie,2020/06/02,1,"12 KAIP",1,,1,,1,3,9,13,14,13,17,8,8,12,14,9,4,5,6,,1,1,1,
1239,st815_Lentokentäntie,2020/06/02,1,"13 Linja-autot",1,,,,1,4,2,2,3,3,1,3,1,2,3,2,3,2,2,2,2,2,1,1
1239,st815_Lentokentäntie,2020/06/02,1,"14 KAPP",,,,,,1,,4,1,,,1,,,,,,1,,,,1,,
1239,st815_Lentokentäntie,2020/06/02,1,"15 KATP",,1,,1,2,1,,4,5,4,3,1,1,3,2,3,3,2,,1,,,,2
1239,st815_Lentokentäntie,2020/06/02,1,"16 HA + PK",,1,,,,,5,11,12,11,17,17,15,12,16,15,23,21,15,15,10,13,4,2
1239,st815_Lentokentäntie,2020/06/02,1,"17 HA + AV",,,,,,,,1,1,,1,,1,1,1,4,,,2,,,,,
1239,st815_Lentokentäntie,2020/06/02,2,"11 HA-PA",25,22,13,10,23,116,439,589,462,375,337,437,415,426,448,611,546,507,512,437,300,228,144,82
1239,st815_Lentokentäntie,2020/06/02,2,"12 KAIP",,,,1,,2,9,10,17,13,17,14,11,10,14,4,9,3,4,3,1,2,,1
1239,st815_Lentokentäntie,2020/06/02,2,"13 Linja-autot",,1,,,,2,3,3,2,2,3,2,2,3,1,2,2,3,2,1,2,2,3,2
1239,st815_Lentokentäntie,2020/06/02,2,"14 KAPP",,,,,,,,,1,2,,,,,1,,,,,,,,,
1239,st815_Lentokentäntie,2020/06/02,2,"15 KATP",1,1,,,,,2,2,4,6,3,3,2,2,2,3,3,3,,,1,1,,
1239,st815_Lentokentäntie,2020/06/02,2,"16 HA + PK",,,,,1,1,7,18,12,16,16,14,14,16,13,21,19,16,15,11,7,4,3,1
1239,st815_Lentokentäntie,2020/06/02,2,"17 HA + AV",,,,,,,1,1,,2,1,,1,,1,1,1,1,,,,,,
1239,st815_Lentokentäntie,2020/06/03,1,"11 HA-PA",47,19,20,11,14,72,224,345,363,274,288,371,357,446,494,739,774,609,547,409,362,248,114,64
1239,st815_Lentokentäntie,2020/06/03,1,"12 KAIP",,2,,,1,5,6,15,13,9,12,12,14,7,7,14,8,6,1,4,2,,1,1
1239,st815_Lentokentäntie,2020/06/03,1,"13 Linja-autot",1,,,,1,4,2,3,2,3,1,3,2,2,2,2,4,2,2,2,2,2,1,1
1239,st815_Lentokentäntie,2020/06/03,1,"14 KAPP",,,1,,,,,,1,,,,,,,1,,,,,1,1,,
1239,st815_Lentokentäntie,2020/06/03,1,"15 KATP",,,1,1,,,1,3,,1,2,2,3,4,,5,1,1,1,2,,1,,
1239,st815_Lentokentäntie,2020/06/03,1,"16 HA + PK",,1,,,,,2,10,6,10,15,19,12,16,17,24,20,15,23,11,12,4,2,
1239,st815_Lentokentäntie,2020/06/03,1,"17 HA + AV",,,,,,,1,1,1,,1,2,2,,,1,3,,,1,1,,,
1239,st815_Lentokentäntie,2020/06/03,2,"11 HA-PA",38,17,15,14,28,121,464,556,454,393,324,381,379,414,476,565,578,515,476,364,292,205,128,65
1239,st815_Lentokentäntie,2020/06/03,2,"12 KAIP",,1,,1,,1,7,8,13,11,14,9,17,15,10,3,6,9,6,3,2,4,1,1
1239,st815_Lentokentäntie,2020/06/03,2,"13 Linja-autot",,1,,,,2,2,3,2,3,2,2,2,3,1,3,2,2,2,2,2,2,3,2
1239,st815_Lentokentäntie,2020/06/03,2,"14 KAPP",,,,,,,1,,,1,,1,,,,,,,,,1,1,,
1239,st815_Lentokentäntie,2020/06/03,2,"15 KATP",,,1,,,,,,5,,1,,3,5,2,2,1,,,1,1,1,,1
1239,st815_Lentokentäntie,2020/06/03,2,"16 HA + PK",,,1,,1,1,8,8,10,14,10,18,16,21,12,24,13,10,11,13,3,1,,
1239,st815_Lentokentäntie,2020/06/03,2,"17 HA + AV",,,,,,,1,1,,1,,2,1,,,2,3,2,,,1,,,
1239,st815_Lentokentäntie,2020/06/04,1,"11 HA-PA",44,18,18,12,17,66,212,362,363,286,304,364,415,472,526,713,803,645,546,470,390,247,158,111
1239,st815_Lentokentäntie,2020/06/04,1,"12 KAIP",1,,,1,,2,7,8,16,8,7,12,14,8,8,16,7,2,4,1,2,2,1,
1239,st815_Lentokentäntie,2020/06/04,1,"13 Linja-autot",1,,,,1,4,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,1,1
1239,st815_Lentokentäntie,2020/06/04,1,"14 KAPP",,,,,,,,,,,1,,,,1,1,,,1,1,,,,
1239,st815_Lentokentäntie,2020/06/04,1,"15 KATP",1,,,2,1,,3,,2,3,1,,2,1,2,2,1,1,3,,1,1,3,
1239,st815_Lentokentäntie,2020/06/04,1,"16 HA + PK",1,,,,,,2,7,4,17,11,8,18,15,15,13,20,18,30,19,7,9,3,
1239,st815_Lentokentäntie,2020/06/04,1,"17 HA + AV",,,,,,,,,,1,,1,,2,,1,2,,,1,,,,
1239,st815_Lentokentäntie,2020/06/04,2,"11 HA-PA",28,20,13,12,31,130,465,559,448,401,347,413,432,440,458,575,523,551,543,407,278,242,160,73
1239,st815_Lentokentäntie,2020/06/04,2,"12 KAIP",,,,,,2,7,5,18,10,6,9,10,13,16,8,4,5,6,5,2,3,,1
1239,st815_Lentokentäntie,2020/06/04,2,"13 Linja-autot",,1,,,,1,2,3,2,2,4,2,2,3,1,2,4,2,2,2,2,2,3,3
1239,st815_Lentokentäntie,2020/06/04,2,"14 KAPP",1,,,1,,,,,,,1,,,,1,,,,,,,,,
1239,st815_Lentokentäntie,2020/06/04,2,"15 KATP",,,,,,1,1,2,3,1,2,1,,,3,,1,3,1,3,,1,2,
1239,st815_Lentokentäntie,2020/06/04,2,"16 HA + PK",,,,,,2,3,6,16,13,20,15,14,15,15,19,10,17,21,11,7,5,1,
1239,st815_Lentokentäntie,2020/06/04,2,"17 HA + AV",,,,,,,1,,,2,,1,2,1,2,1,1,1,,1,1,,,
1239,st815_Lentokentäntie,2020/06/05,1,"11 HA-PA",54,38,21,10,14,81,227,342,344,271,290,366,412,484,597,747,720,602,530,397,374,252,146,105
1239,st815_Lentokentäntie,2020/06/05,1,"12 KAIP",2,,,1,2,,9,13,17,11,9,9,11,13,17,9,4,1,1,3,3,,1,2
1239,st815_Lentokentäntie,2020/06/05,1,"13 Linja-autot",1,,,,1,4,2,2,2,4,1,2,2,2,2,2,3,2,2,4,2,2,1,1
1239,st815_Lentokentäntie,2020/06/05,1,"14 KAPP",,,,,,1,,,,,,,2,,1,,1,,1,,1,,,
1239,st815_Lentokentäntie,2020/06/05,1,"15 KATP",,,,2,1,1,1,1,2,1,2,2,2,2,3,4,1,2,1,1,1,1,,
1239,st815_Lentokentäntie,2020/06/05,1,"16 HA + PK",,,,,,,1,11,6,18,10,20,14,16,25,26,22,18,22,18,7,7,1,
1239,st815_Lentokentäntie,2020/06/05,1,"17 HA + AV",,,,,,,,1,1,,,,3,1,1,4,1,,,2,2,1,,
1239,st815_Lentokentäntie,2020/06/05,2,"11 HA-PA",40,31,13,12,38,126,444,536,458,390,361,390,462,482,493,570,537,470,444,332,294,211,158,96
1239,st815_Lentokentäntie,2020/06/05,2,"12 KAIP",1,,,1,,2,7,8,13,17,11,11,15,13,12,8,8,4,6,2,1,2,,1
