"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1254,vt20_Rusko2,2020/06/01,1,"11 HA-PA",26,24,20,22,29,95,233,312,334,383,387,524,524,577,695,1042,941,659,539,433,330,243,140,65
1254,vt20_Rusko2,2020/06/01,1,"12 KAIP",1,4,1,4,6,5,15,12,16,16,22,20,20,24,16,20,15,9,10,13,4,1,1,2
1254,vt20_Rusko2,2020/06/01,1,"13 Linja-autot",,,,,1,1,2,1,3,2,1,3,1,2,2,3,3,1,1,1,1,1,1,1
1254,vt20_Rusko2,2020/06/01,1,"14 KAPP",,,1,,1,1,1,1,2,3,6,4,3,3,1,2,2,3,2,1,,1,1,
1254,vt20_Rusko2,2020/06/01,1,"15 KATP",1,2,,3,1,9,10,18,13,12,16,16,16,11,16,11,5,10,8,1,5,3,5,3
1254,vt20_Rusko2,2020/06/01,1,"16 HA + PK",1,,,,1,,9,20,29,33,49,34,39,36,37,38,30,35,35,33,18,5,,1
1254,vt20_Rusko2,2020/06/01,1,"17 HA + AV",1,1,,,,,3,3,7,3,3,4,5,5,5,4,1,5,1,3,2,1,,
1254,vt20_Rusko2,2020/06/01,2,"11 HA-PA",29,19,22,16,60,253,822,753,503,444,418,506,481,480,516,561,612,556,447,398,269,199,119,72
1254,vt20_Rusko2,2020/06/01,2,"12 KAIP",,2,1,2,3,10,19,15,7,25,16,20,26,21,17,17,17,11,9,2,5,1,1,
1254,vt20_Rusko2,2020/06/01,2,"13 Linja-autot",,,,,,1,2,2,2,1,2,1,1,4,1,2,2,2,1,1,2,1,2,1
1254,vt20_Rusko2,2020/06/01,2,"14 KAPP",1,,,,1,2,,1,4,3,2,6,3,2,3,2,4,1,4,3,,,1,
1254,vt20_Rusko2,2020/06/01,2,"15 KATP",1,1,1,1,3,11,21,7,16,13,16,10,11,15,17,14,13,5,6,3,2,3,2,1
1254,vt20_Rusko2,2020/06/01,2,"16 HA + PK",3,1,,,1,7,29,19,28,27,39,43,27,28,37,39,23,30,20,22,6,7,2,2
1254,vt20_Rusko2,2020/06/01,2,"17 HA + AV",,,,,,1,6,5,2,5,2,2,5,6,2,10,1,2,1,3,3,3,2,
1254,vt20_Rusko2,2020/06/02,1,"11 HA-PA",32,23,18,19,25,100,232,349,298,323,402,471,528,572,654,1075,907,662,545,442,308,244,152,61
1254,vt20_Rusko2,2020/06/02,1,"12 KAIP",1,2,1,5,5,9,10,16,14,17,16,17,21,21,18,26,16,3,10,6,3,2,,1
1254,vt20_Rusko2,2020/06/02,1,"13 Linja-autot",,,,,1,1,2,2,3,1,2,1,1,2,2,3,2,2,1,1,,1,1,1
1254,vt20_Rusko2,2020/06/02,1,"14 KAPP",,,1,,,,2,3,4,2,5,5,3,2,2,2,,,2,1,1,,1,
1254,vt20_Rusko2,2020/06/02,1,"15 KATP",1,4,1,2,6,4,9,12,13,13,14,8,13,15,8,10,12,6,4,3,5,4,6,5
1254,vt20_Rusko2,2020/06/02,1,"16 HA + PK",1,,,,1,1,3,14,16,21,34,31,28,25,25,42,39,48,21,16,17,5,6,
1254,vt20_Rusko2,2020/06/02,1,"17 HA + AV",,,,,,2,2,7,5,7,1,3,3,2,5,4,2,,1,1,1,1,,
1254,vt20_Rusko2,2020/06/02,2,"11 HA-PA",32,24,23,22,66,253,816,667,507,430,364,463,444,496,480,587,578,521,468,381,287,221,106,67
1254,vt20_Rusko2,2020/06/02,2,"12 KAIP",1,1,3,1,1,9,26,16,14,10,21,21,25,27,23,18,13,12,10,8,4,1,1,1
1254,vt20_Rusko2,2020/06/02,2,"13 Linja-autot",,,,,,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1
1254,vt20_Rusko2,2020/06/02,2,"14 KAPP",,,,,,1,3,1,4,4,2,1,4,5,2,3,2,2,5,1,2,1,,
1254,vt20_Rusko2,2020/06/02,2,"15 KATP",2,1,3,1,5,9,15,8,12,12,14,10,15,16,11,17,11,10,3,8,1,,1,1
1254,vt20_Rusko2,2020/06/02,2,"16 HA + PK",1,1,,,1,9,13,22,22,27,19,23,20,23,24,26,30,28,29,22,19,6,1,2
1254,vt20_Rusko2,2020/06/02,2,"17 HA + AV",,,,,,,4,10,5,3,7,3,3,3,4,3,,,6,,,2,1,
1254,vt20_Rusko2,2020/06/03,1,"11 HA-PA",34,30,16,22,31,97,241,306,332,339,372,428,445,587,683,1055,964,671,555,429,323,240,122,62
1254,vt20_Rusko2,2020/06/03,1,"12 KAIP",1,4,,7,2,8,21,15,22,19,14,16,26,20,18,21,7,13,10,2,5,,2,2
1254,vt20_Rusko2,2020/06/03,1,"13 Linja-autot",,,,,1,1,2,2,3,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1
1254,vt20_Rusko2,2020/06/03,1,"14 KAPP",,,,1,1,,2,3,3,3,2,1,,1,,1,5,4,2,,2,,1,1
1254,vt20_Rusko2,2020/06/03,1,"15 KATP",1,,3,4,7,6,12,22,16,15,15,14,13,11,10,11,11,7,9,4,4,5,9,6
1254,vt20_Rusko2,2020/06/03,1,"16 HA + PK",,,,1,,2,6,11,25,24,30,28,32,28,39,44,37,29,34,27,16,8,1,
1254,vt20_Rusko2,2020/06/03,1,"17 HA + AV",,,,,,1,,3,5,3,3,6,3,10,5,7,6,3,4,3,1,1,1,
1254,vt20_Rusko2,2020/06/03,2,"11 HA-PA",35,17,21,20,54,249,815,683,533,393,402,449,455,472,472,580,646,556,451,410,274,217,117,61
1254,vt20_Rusko2,2020/06/03,2,"12 KAIP",,1,3,2,4,8,30,20,14,15,17,19,23,24,24,18,8,9,6,3,3,,1,
1254,vt20_Rusko2,2020/06/03,2,"13 Linja-autot",,,,,,1,2,2,2,1,3,1,2,1,3,2,2,2,1,1,2,1,1,2
1254,vt20_Rusko2,2020/06/03,2,"14 KAPP",,,,1,,1,1,4,3,3,1,2,5,2,4,2,,,1,2,,,,1
1254,vt20_Rusko2,2020/06/03,2,"15 KATP",2,3,2,2,2,6,15,11,16,17,7,20,10,12,19,12,9,9,7,9,1,6,2,4
1254,vt20_Rusko2,2020/06/03,2,"16 HA + PK",,,,1,3,3,13,18,16,26,25,31,20,20,31,33,33,34,37,20,13,8,4,1
1254,vt20_Rusko2,2020/06/03,2,"17 HA + AV",,,,,1,,2,4,3,6,2,2,2,4,5,5,1,4,4,2,2,2,1,1
1254,vt20_Rusko2,2020/06/04,1,"11 HA-PA",42,22,20,14,26,96,252,339,306,355,382,481,502,559,687,1075,996,726,570,458,363,262,157,83
1254,vt20_Rusko2,2020/06/04,1,"12 KAIP",1,4,,4,6,6,8,20,18,13,19,23,22,15,24,29,22,13,9,8,,,2,1
1254,vt20_Rusko2,2020/06/04,1,"13 Linja-autot",,,,,1,2,2,2,3,2,1,1,3,4,2,3,3,1,1,1,1,2,1,1
1254,vt20_Rusko2,2020/06/04,1,"14 KAPP",,1,,,,1,1,4,2,2,2,,4,4,,2,3,1,,,2,,2,
1254,vt20_Rusko2,2020/06/04,1,"15 KATP",2,3,3,2,3,8,10,13,15,15,11,14,9,8,12,8,12,16,6,9,6,7,8,7
1254,vt20_Rusko2,2020/06/04,1,"16 HA + PK",2,1,1,,,,6,13,15,24,33,33,28,30,42,37,45,40,39,22,23,6,6,2
1254,vt20_Rusko2,2020/06/04,1,"17 HA + AV",,,,,,1,2,2,7,6,4,5,4,10,3,4,2,3,3,3,1,2,,
1254,vt20_Rusko2,2020/06/04,2,"11 HA-PA",37,24,16,17,65,232,780,722,498,425,422,497,490,487,483,614,630,567,488,416,316,234,107,86
1254,vt20_Rusko2,2020/06/04,2,"12 KAIP",1,3,4,,4,12,23,14,16,20,14,23,27,21,19,22,19,10,8,6,2,2,,
1254,vt20_Rusko2,2020/06/04,2,"13 Linja-autot",,,,,,1,2,2,2,1,2,1,1,2,1,4,3,2,1,1,2,1,3,1
1254,vt20_Rusko2,2020/06/04,2,"14 KAPP",,,,,1,3,2,2,2,4,5,2,2,4,8,3,3,2,,1,,,,
1254,vt20_Rusko2,2020/06/04,2,"15 KATP",5,,2,5,4,12,11,5,10,10,10,8,7,16,10,14,11,12,13,8,6,3,6,5
1254,vt20_Rusko2,2020/06/04,2,"16 HA + PK",2,,,,1,6,16,17,29,15,16,22,34,23,26,34,26,35,24,22,14,11,2,2
1254,vt20_Rusko2,2020/06/04,2,"17 HA + AV",,,,,,,5,5,3,5,2,2,4,2,7,3,3,3,5,1,,,,
1254,vt20_Rusko2,2020/06/05,1,"11 HA-PA",48,24,17,17,20,92,217,305,284,384,383,563,565,761,954,1134,969,785,663,469,321,266,138,101
1254,vt20_Rusko2,2020/06/05,1,"12 KAIP",,2,3,4,4,10,16,19,13,23,20,23,32,20,17,24,17,5,3,6,2,6,,5
1254,vt20_Rusko2,2020/06/05,1,"13 Linja-autot",,,,,1,1,2,2,3,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1
1254,vt20_Rusko2,2020/06/05,1,"14 KAPP",,,1,,1,1,1,2,4,4,3,4,3,,5,2,1,,,,,2,,
1254,vt20_Rusko2,2020/06/05,1,"15 KATP",3,2,5,6,3,11,9,13,7,13,14,17,6,12,16,11,6,5,5,5,5,4,6,1
1254,vt20_Rusko2,2020/06/05,1,"16 HA + PK",,1,1,,1,2,4,12,19,26,38,38,43,44,52,83,69,70,47,34,18,14,7,2
1254,vt20_Rusko2,2020/06/05,1,"17 HA + AV",,,,,,1,2,1,4,4,6,3,3,6,6,9,6,6,4,3,2,,1,
1254,vt20_Rusko2,2020/06/05,2,"11 HA-PA",26,24,24,13,58,258,741,707,509,451,476,495,535,552,585,664,584,478,395,367,290,195,115,84
1254,vt20_Rusko2,2020/06/05,2,"12 KAIP",1,2,2,3,4,13,26,15,19,17,21,19,29,20,16,12,12,13,6,6,4,2,1,2
1254,vt20_Rusko2,2020/06/05,2,"13 Linja-autot",,1,,,,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,3,1
