"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1255,vt8_Hurnasperä,2020/06/01,1,"11 HA-PA",9,6,3,5,17,80,154,103,82,93,90,100,117,119,115,120,130,110,85,75,61,46,29,16
1255,vt8_Hurnasperä,2020/06/01,1,"12 KAIP",2,,,1,3,2,10,3,5,3,7,10,7,3,4,12,4,7,5,2,4,3,2,2
1255,vt8_Hurnasperä,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,1,,,
1255,vt8_Hurnasperä,2020/06/01,1,"14 KAPP",,,,,1,,2,4,3,3,6,4,2,6,,1,4,2,,1,3,,1,
1255,vt8_Hurnasperä,2020/06/01,1,"15 KATP",1,1,,,3,8,7,9,15,9,17,8,13,12,14,5,10,9,7,5,7,5,2,1
1255,vt8_Hurnasperä,2020/06/01,1,"16 HA + PK",,,,,,1,1,1,3,9,5,1,9,1,4,4,3,5,3,2,5,1,,1
1255,vt8_Hurnasperä,2020/06/01,1,"17 HA + AV",1,,,,,,1,,3,,,1,1,,,,,1,,,2,1,1,
1255,vt8_Hurnasperä,2020/06/01,2,"11 HA-PA",5,2,4,8,11,58,81,103,78,74,81,108,109,115,145,179,173,117,87,60,45,52,37,11
1255,vt8_Hurnasperä,2020/06/01,2,"12 KAIP",,,,,,1,9,6,7,6,6,3,2,8,4,8,5,5,4,1,3,4,2,2
1255,vt8_Hurnasperä,2020/06/01,2,"13 Linja-autot",,,,,,,,1,,,,,,,2,,,,,,,,,
1255,vt8_Hurnasperä,2020/06/01,2,"14 KAPP",,,1,,,3,2,2,4,2,3,1,3,3,4,3,5,2,2,1,,,1,1
1255,vt8_Hurnasperä,2020/06/01,2,"15 KATP",1,2,2,2,1,3,6,11,10,12,17,16,10,15,13,6,9,10,9,11,5,5,4,2
1255,vt8_Hurnasperä,2020/06/01,2,"16 HA + PK",,,,,,,1,1,1,3,6,4,3,4,1,7,6,1,3,1,3,,1,
1255,vt8_Hurnasperä,2020/06/01,2,"17 HA + AV",,,1,,,,,2,2,2,,,,,1,1,2,,1,1,,,1,1
1255,vt8_Hurnasperä,2020/06/02,1,"11 HA-PA",8,3,4,4,16,70,135,99,77,90,77,87,101,103,109,132,164,105,94,55,73,34,38,8
1255,vt8_Hurnasperä,2020/06/02,1,"12 KAIP",1,,,1,,3,3,6,6,3,4,4,13,7,3,4,6,5,8,4,2,3,3,
1255,vt8_Hurnasperä,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,1,
1255,vt8_Hurnasperä,2020/06/02,1,"14 KAPP",,,,,,1,1,,,1,,1,4,1,3,1,4,6,1,2,3,,,
1255,vt8_Hurnasperä,2020/06/02,1,"15 KATP",4,2,1,5,3,11,7,4,12,9,8,14,6,17,9,9,4,9,9,10,6,3,,1
1255,vt8_Hurnasperä,2020/06/02,1,"16 HA + PK",1,,,,,,,1,4,3,7,4,2,4,10,6,6,1,3,2,4,,2,
1255,vt8_Hurnasperä,2020/06/02,1,"17 HA + AV",,,,,,,1,,,3,3,1,2,1,2,,2,,1,,,1,1,1
1255,vt8_Hurnasperä,2020/06/02,2,"11 HA-PA",10,2,2,4,5,42,62,111,88,72,87,83,84,108,134,176,158,97,94,68,54,65,33,12
1255,vt8_Hurnasperä,2020/06/02,2,"12 KAIP",1,,,,,1,8,7,5,5,8,4,9,6,7,6,2,2,4,2,3,2,3,2
1255,vt8_Hurnasperä,2020/06/02,2,"13 Linja-autot",,,,,,,,,,2,2,,,,,1,1,,,,,,,
1255,vt8_Hurnasperä,2020/06/02,2,"14 KAPP",,,,,,,,4,1,2,2,4,4,3,2,2,2,4,1,3,1,,,
1255,vt8_Hurnasperä,2020/06/02,2,"15 KATP",2,3,1,2,3,4,8,10,7,8,12,11,9,13,6,17,13,10,11,8,4,6,3,1
1255,vt8_Hurnasperä,2020/06/02,2,"16 HA + PK",,,,,,1,,1,,4,4,3,3,5,3,7,10,4,1,5,2,2,3,
1255,vt8_Hurnasperä,2020/06/02,2,"17 HA + AV",,,,,,,1,,1,,,1,1,2,2,1,2,,,,,1,,
1255,vt8_Hurnasperä,2020/06/03,1,"11 HA-PA",4,6,5,4,8,63,133,85,91,67,90,77,123,110,94,137,164,111,98,53,65,56,32,9
1255,vt8_Hurnasperä,2020/06/03,1,"12 KAIP",,1,2,,2,,9,2,2,6,6,5,5,4,5,5,7,4,3,2,1,,3,
1255,vt8_Hurnasperä,2020/06/03,1,"13 Linja-autot",,,,,,,1,,,,,,1,,,,,,,1,1,,,
1255,vt8_Hurnasperä,2020/06/03,1,"14 KAPP",2,,,,,,1,3,3,4,,7,3,4,1,2,1,3,1,2,,,1,
1255,vt8_Hurnasperä,2020/06/03,1,"15 KATP",4,1,,3,2,8,7,6,6,12,12,11,11,7,6,9,5,7,7,10,7,6,6,1
1255,vt8_Hurnasperä,2020/06/03,1,"16 HA + PK",,,,,,3,,2,1,2,5,6,2,1,3,3,7,4,4,2,4,,1,
1255,vt8_Hurnasperä,2020/06/03,1,"17 HA + AV",,,,,,,1,1,2,2,1,3,2,3,3,2,3,2,2,3,,,1,1
1255,vt8_Hurnasperä,2020/06/03,2,"11 HA-PA",10,5,3,3,3,40,64,97,80,81,77,89,106,108,154,158,148,133,105,73,64,38,34,9
1255,vt8_Hurnasperä,2020/06/03,2,"12 KAIP",,,,,1,,3,7,8,7,4,7,3,8,10,10,4,6,1,3,2,,4,
1255,vt8_Hurnasperä,2020/06/03,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1255,vt8_Hurnasperä,2020/06/03,2,"14 KAPP",,,1,,,,3,1,5,4,1,2,,5,,4,2,3,,3,2,2,2,
1255,vt8_Hurnasperä,2020/06/03,2,"15 KATP",3,3,3,3,2,5,10,5,14,12,14,12,14,11,12,18,7,14,8,11,6,4,6,
1255,vt8_Hurnasperä,2020/06/03,2,"16 HA + PK",,,,,1,1,1,3,3,2,4,1,5,1,5,6,7,6,4,5,4,,2,
1255,vt8_Hurnasperä,2020/06/03,2,"17 HA + AV",,1,,,,,1,,2,2,2,,,,,3,,1,,1,,,,
