"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
139,vt1_Nupuri,2020/06/01,1,"11 HA-PA",70,44,31,20,37,174,569,783,816,783,890,915,1003,1102,1495,2668,2273,1469,1069,875,641,451,274,128
139,vt1_Nupuri,2020/06/01,1,"12 KAIP",4,1,4,2,11,11,34,118,134,120,150,92,139,141,124,120,56,34,23,13,13,11,9,6
139,vt1_Nupuri,2020/06/01,1,"13 Linja-autot",,,,1,2,2,2,6,5,7,2,4,4,6,8,4,8,6,5,3,3,1,1,
139,vt1_Nupuri,2020/06/01,1,"14 KAPP",7,6,2,6,5,6,8,24,48,36,42,44,31,49,43,47,56,25,33,13,17,17,21,7
139,vt1_Nupuri,2020/06/01,1,"15 KATP",5,8,7,2,3,16,24,54,41,63,53,54,55,62,52,68,47,33,25,20,17,20,14,20
139,vt1_Nupuri,2020/06/01,1,"16 HA + PK",3,,,,1,2,9,14,21,24,31,23,28,22,42,27,36,44,30,14,25,4,8,2
139,vt1_Nupuri,2020/06/01,1,"17 HA + AV",,,,,,,2,8,7,9,7,9,5,8,6,17,5,5,2,2,6,4,5,2
139,vt1_Nupuri,2020/06/01,2,"11 HA-PA",101,39,33,31,126,700,2198,2014,1502,1055,826,886,888,884,896,1136,1265,1053,957,831,766,518,315,137
139,vt1_Nupuri,2020/06/01,2,"12 KAIP",2,2,2,2,10,45,96,99,112,129,135,102,129,136,129,92,50,34,17,23,20,7,5,4
139,vt1_Nupuri,2020/06/01,2,"13 Linja-autot",1,1,,,,2,12,8,8,4,5,5,7,6,3,8,6,6,4,2,2,2,,1
139,vt1_Nupuri,2020/06/01,2,"14 KAPP",2,1,1,2,5,10,28,30,35,55,66,38,33,36,42,27,29,18,24,13,11,23,5,11
139,vt1_Nupuri,2020/06/01,2,"15 KATP",5,4,7,6,13,18,64,48,61,70,68,72,62,50,58,57,38,43,33,35,23,19,24,21
139,vt1_Nupuri,2020/06/01,2,"16 HA + PK",2,,,,1,10,37,38,41,29,32,34,43,27,27,39,44,39,24,24,22,8,12,1
139,vt1_Nupuri,2020/06/01,2,"17 HA + AV",,,,,,7,14,14,12,16,8,11,5,11,6,9,7,5,6,7,3,6,4,5
139,vt1_Nupuri,2020/06/02,1,"11 HA-PA",86,43,21,18,39,156,562,848,825,859,912,957,923,1105,1541,2680,2378,1486,1059,918,685,466,292,147
139,vt1_Nupuri,2020/06/02,1,"12 KAIP",4,4,4,4,11,13,49,128,122,120,121,124,144,134,143,110,50,38,23,22,18,10,18,8
139,vt1_Nupuri,2020/06/02,1,"13 Linja-autot",,,,,1,2,1,8,2,5,2,4,4,6,7,6,8,7,6,2,3,1,1,
139,vt1_Nupuri,2020/06/02,1,"14 KAPP",11,5,7,6,8,5,11,28,45,38,62,33,32,25,43,34,37,26,19,20,17,9,31,5
139,vt1_Nupuri,2020/06/02,1,"15 KATP",21,16,18,2,13,21,29,55,58,60,63,47,62,58,66,45,37,30,24,20,16,24,15,16
139,vt1_Nupuri,2020/06/02,1,"16 HA + PK",2,1,2,,,,4,11,15,11,18,24,22,16,29,32,29,36,22,17,20,8,8,4
139,vt1_Nupuri,2020/06/02,1,"17 HA + AV",3,3,2,1,,1,4,5,6,5,6,6,3,8,6,15,9,8,4,4,6,5,6,5
139,vt1_Nupuri,2020/06/02,2,"11 HA-PA",67,29,32,29,107,673,2063,1856,1446,961,786,834,831,888,937,1121,1260,1147,986,891,846,571,341,148
139,vt1_Nupuri,2020/06/02,2,"12 KAIP",4,2,4,3,9,34,125,101,139,106,119,100,132,130,129,112,47,32,23,16,25,11,5,8
139,vt1_Nupuri,2020/06/02,2,"13 Linja-autot",,1,,,,3,7,4,6,5,7,8,8,5,10,9,8,6,3,1,3,2,,2
