"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1425,kt78_Saukkokangas,2020/06/01,1,"11 HA-PA",8,,1,5,7,10,30,26,29,25,33,30,40,31,37,46,34,49,37,30,24,16,15,5
1425,kt78_Saukkokangas,2020/06/01,1,"12 KAIP",,,,,1,,2,1,2,1,1,5,2,,4,1,1,3,,2,1,1,,1
1425,kt78_Saukkokangas,2020/06/01,1,"13 Linja-autot",,,,,,,1,,,,1,,,,,,,,,,,,,
1425,kt78_Saukkokangas,2020/06/01,1,"14 KAPP",,,,,,,,,,1,,,,2,,,1,,,,,,,
1425,kt78_Saukkokangas,2020/06/01,1,"15 KATP",,1,,,1,,1,2,2,1,1,,1,1,3,1,4,1,2,1,,1,,2
1425,kt78_Saukkokangas,2020/06/01,1,"16 HA + PK",,,1,,1,2,,2,4,1,4,4,7,1,7,2,3,2,4,2,2,1,1,
1425,kt78_Saukkokangas,2020/06/01,1,"17 HA + AV",,,,,,,,1,,1,,1,1,2,3,1,,,2,,,,,
1425,kt78_Saukkokangas,2020/06/01,2,"11 HA-PA",4,2,1,5,8,11,20,29,28,32,35,34,38,36,27,40,32,41,29,22,19,14,5,1
1425,kt78_Saukkokangas,2020/06/01,2,"12 KAIP",,,,,,,1,1,2,1,1,3,4,2,1,,3,,1,,,,,1
1425,kt78_Saukkokangas,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
1425,kt78_Saukkokangas,2020/06/01,2,"14 KAPP",,,,,,,,,,1,1,1,1,,1,1,1,,,,,,1,
1425,kt78_Saukkokangas,2020/06/01,2,"15 KATP",,,,,1,,,4,2,1,,1,1,1,,2,1,3,1,4,1,1,1,1
1425,kt78_Saukkokangas,2020/06/01,2,"16 HA + PK",,,,,,,1,,5,,2,5,6,3,7,4,4,4,6,1,2,1,,
1425,kt78_Saukkokangas,2020/06/01,2,"17 HA + AV",,,,,,,,1,,,2,1,,,,,1,3,,,1,,,1
1425,kt78_Saukkokangas,2020/06/02,1,"11 HA-PA",5,1,,,2,11,17,21,21,22,27,30,20,33,43,45,46,26,27,25,22,15,9,6
1425,kt78_Saukkokangas,2020/06/02,1,"12 KAIP",,,,1,,,3,1,1,2,1,,1,,1,1,4,3,1,1,1,1,,
1425,kt78_Saukkokangas,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1425,kt78_Saukkokangas,2020/06/02,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,1,,,,,
