"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1438,vt4_mp2_Jokisuu,2020/06/01,2,"11 HA-PA",21,6,9,7,16,85,267,227,178,150,174,168,230,241,242,374,258,208,205,124,133,85,60,32
1438,vt4_mp2_Jokisuu,2020/06/01,2,"12 KAIP",2,1,,,,,9,9,3,4,8,15,2,11,3,19,7,7,4,10,1,1,3,2
1438,vt4_mp2_Jokisuu,2020/06/01,2,"13 Linja-autot",,,,,,1,,,,,,1,,1,,1,1,,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/01,2,"14 KAPP",1,,,,,1,1,2,6,3,4,3,8,8,7,3,5,5,5,3,4,,1,1
1438,vt4_mp2_Jokisuu,2020/06/01,2,"15 KATP",2,1,1,2,2,6,12,19,13,16,13,23,22,21,25,23,18,23,11,8,11,10,5,4
1438,vt4_mp2_Jokisuu,2020/06/01,2,"16 HA + PK",1,,,,1,3,5,7,6,6,8,12,14,7,10,16,11,6,7,7,6,5,,1
1438,vt4_mp2_Jokisuu,2020/06/01,2,"17 HA + AV",,,,,,,1,2,,1,,3,3,3,3,2,1,1,2,2,1,,,
1438,vt4_mp2_Jokisuu,2020/06/02,2,"11 HA-PA",18,7,18,4,18,77,261,211,160,146,155,191,231,241,251,379,276,213,225,150,143,141,55,38
1438,vt4_mp2_Jokisuu,2020/06/02,2,"12 KAIP",1,,1,1,1,1,4,10,5,7,8,8,11,7,9,10,4,8,4,4,7,1,,2
1438,vt4_mp2_Jokisuu,2020/06/02,2,"13 Linja-autot",,,,,,,,,,1,1,,,,3,1,,,,1,,,,
1438,vt4_mp2_Jokisuu,2020/06/02,2,"14 KAPP",2,,,,,2,,1,5,5,6,3,6,3,12,5,7,9,10,3,3,1,,4
1438,vt4_mp2_Jokisuu,2020/06/02,2,"15 KATP",2,4,8,5,2,6,17,18,13,18,25,17,24,32,20,15,25,15,14,17,14,18,5,9
1438,vt4_mp2_Jokisuu,2020/06/02,2,"16 HA + PK",,,2,,1,2,4,5,8,9,13,8,10,11,16,13,12,16,4,12,4,2,2,2
1438,vt4_mp2_Jokisuu,2020/06/02,2,"17 HA + AV",,,,,,,,1,1,3,,1,1,1,1,2,4,2,1,2,,1,,
1438,vt4_mp2_Jokisuu,2020/06/03,2,"11 HA-PA",17,8,7,6,11,67,246,208,170,166,177,198,221,252,282,363,290,257,241,154,124,90,58,36
1438,vt4_mp2_Jokisuu,2020/06/03,2,"12 KAIP",1,,,,,1,12,8,7,14,9,8,9,17,10,15,10,7,8,4,3,1,4,
1438,vt4_mp2_Jokisuu,2020/06/03,2,"13 Linja-autot",,,,,,,1,,,,2,,2,,,1,,,,,,,1,
1438,vt4_mp2_Jokisuu,2020/06/03,2,"14 KAPP",2,1,1,,1,1,2,5,6,5,6,3,10,10,8,8,8,6,7,7,7,6,6,
1438,vt4_mp2_Jokisuu,2020/06/03,2,"15 KATP",4,6,6,4,9,12,14,13,18,25,30,26,26,20,14,22,21,20,19,24,18,8,6,6
1438,vt4_mp2_Jokisuu,2020/06/03,2,"16 HA + PK",3,,,,1,,4,9,9,8,10,11,14,8,12,17,10,9,6,7,2,,1,2
1438,vt4_mp2_Jokisuu,2020/06/03,2,"17 HA + AV",,,,1,,,1,2,4,,1,1,2,4,1,4,3,2,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/04,2,"11 HA-PA",11,17,8,6,8,73,219,215,162,142,172,205,222,295,296,393,320,231,225,150,142,108,56,39
1438,vt4_mp2_Jokisuu,2020/06/04,2,"12 KAIP",,,,,2,2,10,2,8,6,4,6,10,7,11,16,10,11,9,3,2,4,,1
1438,vt4_mp2_Jokisuu,2020/06/04,2,"13 Linja-autot",,,,,,,1,1,1,,1,,1,,,1,,1,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/04,2,"14 KAPP",3,5,,1,4,1,2,2,3,7,12,8,12,9,10,8,8,8,7,5,5,5,4,3
1438,vt4_mp2_Jokisuu,2020/06/04,2,"15 KATP",2,8,2,5,4,7,8,15,15,17,32,25,24,19,25,16,17,17,14,10,17,11,5,4
1438,vt4_mp2_Jokisuu,2020/06/04,2,"16 HA + PK",,1,,,,,2,6,7,8,6,17,10,25,9,17,13,10,11,6,5,7,4,3
1438,vt4_mp2_Jokisuu,2020/06/04,2,"17 HA + AV",,,,,,,,1,1,2,4,3,,2,1,,4,2,2,2,,,,
1438,vt4_mp2_Jokisuu,2020/06/05,2,"11 HA-PA",23,14,9,10,17,74,220,193,160,177,196,201,259,331,364,437,374,332,253,185,146,95,59,40
1438,vt4_mp2_Jokisuu,2020/06/05,2,"12 KAIP",1,1,,,1,2,9,4,11,10,13,17,6,14,14,12,14,7,8,6,5,1,2,3
1438,vt4_mp2_Jokisuu,2020/06/05,2,"13 Linja-autot",1,,,,,1,,,,,,,2,1,1,2,,,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/05,2,"14 KAPP",4,3,2,1,1,,1,7,6,5,5,6,6,6,6,5,7,5,3,5,5,3,1,1
1438,vt4_mp2_Jokisuu,2020/06/05,2,"15 KATP",8,4,4,5,5,7,12,16,11,21,24,23,17,23,21,19,15,14,13,6,4,8,3,5
1438,vt4_mp2_Jokisuu,2020/06/05,2,"16 HA + PK",1,,1,1,1,2,4,5,10,12,9,9,10,19,16,22,12,15,11,8,7,3,,1
1438,vt4_mp2_Jokisuu,2020/06/05,2,"17 HA + AV",,1,,,,,,,3,1,1,,2,1,3,4,1,2,4,,2,,,
1438,vt4_mp2_Jokisuu,2020/06/06,2,"11 HA-PA",32,15,19,13,11,47,76,54,75,152,173,228,264,312,277,273,271,243,223,146,122,120,59,29
1438,vt4_mp2_Jokisuu,2020/06/06,2,"12 KAIP",,,,,,,,1,1,1,6,4,3,3,8,4,5,,2,4,4,,,
1438,vt4_mp2_Jokisuu,2020/06/06,2,"13 Linja-autot",,,,,,,,1,,,,1,,,1,1,,,,,,1,,
1438,vt4_mp2_Jokisuu,2020/06/06,2,"14 KAPP",1,,3,1,1,,1,3,2,2,1,4,4,3,8,1,2,4,3,4,1,2,1,
1438,vt4_mp2_Jokisuu,2020/06/06,2,"15 KATP",4,3,,3,1,4,3,4,10,11,12,11,4,5,9,6,5,4,1,3,2,1,2,3
1438,vt4_mp2_Jokisuu,2020/06/06,2,"16 HA + PK",,1,,1,1,,2,4,6,10,14,8,11,11,7,9,19,14,8,14,7,3,5,4
1438,vt4_mp2_Jokisuu,2020/06/06,2,"17 HA + AV",,,,,,,,,,,2,3,3,2,1,2,1,3,2,1,2,4,,
1438,vt4_mp2_Jokisuu,2020/06/07,2,"11 HA-PA",22,25,20,12,9,35,49,34,54,86,132,182,217,264,304,294,275,236,223,185,116,111,42,11
1438,vt4_mp2_Jokisuu,2020/06/07,2,"12 KAIP",1,,,1,,,1,2,2,1,3,1,3,7,4,4,3,1,4,1,1,2,3,1
1438,vt4_mp2_Jokisuu,2020/06/07,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,1,,,,,
1438,vt4_mp2_Jokisuu,2020/06/07,2,"14 KAPP",,,,,1,,3,1,1,1,1,,,1,1,2,,2,3,1,1,2,,
1438,vt4_mp2_Jokisuu,2020/06/07,2,"15 KATP",,3,,1,2,1,2,3,3,3,5,4,6,7,8,4,7,6,6,5,6,2,4,
1438,vt4_mp2_Jokisuu,2020/06/07,2,"16 HA + PK",2,1,,,2,2,2,2,4,6,10,14,10,21,20,22,21,13,12,16,5,4,3,
1438,vt4_mp2_Jokisuu,2020/06/07,2,"17 HA + AV",,,,,,1,1,,,1,2,2,3,2,4,5,,2,3,,,,,
1438,vt4_mp2_Jokisuu,2020/06/08,2,"11 HA-PA",9,7,6,6,12,98,250,226,152,154,161,187,250,256,275,375,283,222,198,137,121,112,63,28
1438,vt4_mp2_Jokisuu,2020/06/08,2,"12 KAIP",,,,,1,,11,14,10,9,7,8,8,10,10,14,6,11,7,5,3,1,2,1
1438,vt4_mp2_Jokisuu,2020/06/08,2,"13 Linja-autot",,,,,,,,,,1,,,,1,,,,,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/08,2,"14 KAPP",2,1,,,,1,,2,2,4,7,5,7,5,5,6,4,5,4,9,1,3,2,2
1438,vt4_mp2_Jokisuu,2020/06/08,2,"15 KATP",2,3,1,,2,8,10,11,24,23,29,19,27,14,21,22,17,14,20,24,17,19,8,8
1438,vt4_mp2_Jokisuu,2020/06/08,2,"16 HA + PK",1,,,,,1,5,5,12,6,15,10,8,8,10,16,6,12,13,9,4,5,3,1
1438,vt4_mp2_Jokisuu,2020/06/08,2,"17 HA + AV",1,,,,1,,2,2,3,2,4,2,2,1,2,2,1,1,1,,,2,,
1438,vt4_mp2_Jokisuu,2020/06/09,2,"11 HA-PA",20,11,12,11,8,83,239,204,150,159,162,185,248,250,265,390,272,231,199,119,126,102,51,28
1438,vt4_mp2_Jokisuu,2020/06/09,2,"12 KAIP",,,,,,3,5,7,7,8,8,15,9,9,7,10,10,7,7,5,3,,3,2
1438,vt4_mp2_Jokisuu,2020/06/09,2,"13 Linja-autot",,1,,,,,,,,1,2,1,1,1,,,,,,,,,,
1438,vt4_mp2_Jokisuu,2020/06/09,2,"14 KAPP",1,1,2,2,,1,3,5,2,10,6,7,8,8,4,3,3,4,2,5,1,2,2,3
1438,vt4_mp2_Jokisuu,2020/06/09,2,"15 KATP",4,3,5,4,3,6,17,14,17,23,21,32,29,21,13,14,18,19,19,17,18,21,15,10
1438,vt4_mp2_Jokisuu,2020/06/09,2,"16 HA + PK",1,,,1,1,2,3,7,9,10,7,6,7,14,14,12,16,10,21,9,6,6,,
1438,vt4_mp2_Jokisuu,2020/06/09,2,"17 HA + AV",,,,,,,,,2,1,2,1,,2,2,1,1,1,1,,,1,,
1438,vt4_mp2_Jokisuu,2020/06/10,2,"11 HA-PA",11,10,9,3,9,76,230,232,157,169,181,191,222,305,286,387,321,240,219,190,133,108,49,24
1438,vt4_mp2_Jokisuu,2020/06/10,2,"12 KAIP",,,,,1,1,4,8,4,8,8,12,7,11,11,10,11,8,7,5,2,,1,
1438,vt4_mp2_Jokisuu,2020/06/10,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,1,,,,
1438,vt4_mp2_Jokisuu,2020/06/10,2,"14 KAPP",,3,3,1,,,3,3,5,5,4,10,7,12,13,10,9,6,8,9,6,4,3,1
1438,vt4_mp2_Jokisuu,2020/06/10,2,"15 KATP",4,3,4,7,9,10,11,15,20,17,25,22,24,23,24,20,18,29,16,16,15,24,12,6
1438,vt4_mp2_Jokisuu,2020/06/10,2,"16 HA + PK",,,1,2,1,,2,6,7,3,13,13,12,9,12,13,13,8,9,6,3,5,3,1
1438,vt4_mp2_Jokisuu,2020/06/10,2,"17 HA + AV",,,,,,,2,,1,3,1,2,3,2,2,,3,1,,,,1,,
1438,vt4_mp2_Jokisuu,2020/06/11,2,"11 HA-PA",18,7,11,7,10,71,228,204,173,152,191,188,260,308,308,422,345,240,242,169,148,98,57,34
1438,vt4_mp2_Jokisuu,2020/06/11,2,"12 KAIP",1,,,,,2,4,10,8,5,5,12,9,13,13,8,8,7,7,3,3,2,3,5
1438,vt4_mp2_Jokisuu,2020/06/11,2,"13 Linja-autot",,,,,,,,1,,,,,1,1,1,,,,1,2,,,,
1438,vt4_mp2_Jokisuu,2020/06/11,2,"14 KAPP",2,2,2,1,2,3,2,2,7,7,7,6,5,14,3,7,9,5,7,3,4,3,3,
1438,vt4_mp2_Jokisuu,2020/06/11,2,"15 KATP",4,3,10,3,8,11,14,13,20,23,26,19,28,29,24,18,18,23,8,22,16,19,7,5
1438,vt4_mp2_Jokisuu,2020/06/11,2,"16 HA + PK",1,,,,1,2,1,3,8,9,9,17,17,8,14,14,15,12,7,7,10,6,3,4
1438,vt4_mp2_Jokisuu,2020/06/11,2,"17 HA + AV",,,,,,,2,1,,1,2,2,,3,2,2,2,2,,2,1,2,,1
1438,vt4_mp2_Jokisuu,2020/06/12,2,"11 HA-PA",12,13,15,7,12,83,219,187,158,175,197,234,301,348,389,447,336,284,233,198,139,137,74,54
1438,vt4_mp2_Jokisuu,2020/06/12,2,"12 KAIP",1,,,1,,2,9,10,4,8,13,10,10,12,11,11,17,8,4,2,2,3,4,
1438,vt4_mp2_Jokisuu,2020/06/12,2,"13 Linja-autot",,,,,,,,1,,,,,,1,,,,1,1,,1,,,
1438,vt4_mp2_Jokisuu,2020/06/12,2,"14 KAPP",,2,2,1,2,3,4,1,6,5,9,9,10,3,9,9,4,7,4,2,3,4,2,
1438,vt4_mp2_Jokisuu,2020/06/12,2,"15 KATP",9,7,3,7,5,6,17,12,19,25,22,20,26,21,21,28,17,13,12,15,14,10,8,3
1438,vt4_mp2_Jokisuu,2020/06/12,2,"16 HA + PK",2,,,,1,2,2,6,6,17,11,12,15,16,17,18,17,16,13,12,5,9,4,4
1438,vt4_mp2_Jokisuu,2020/06/12,2,"17 HA + AV",,1,,,,1,,,1,3,2,3,,2,1,2,2,2,1,2,,2,3,
1438,vt4_mp2_Jokisuu,2020/06/13,2,"11 HA-PA",42,19,22,12,12,46,79,56,116,152,192,233,274,289,296,262,240,200,203,160,124,98,66,55
1438,vt4_mp2_Jokisuu,2020/06/13,2,"12 KAIP",1,,,,,,,2,5,3,6,9,5,9,4,2,3,3,2,5,2,1,2,2
1438,vt4_mp2_Jokisuu,2020/06/13,2,"13 Linja-autot",,,,,,,,,,,2,,,1,1,,,1,,,,1,,
1438,vt4_mp2_Jokisuu,2020/06/13,2,"14 KAPP",,1,1,2,3,1,1,1,,7,5,9,8,1,4,3,1,1,3,2,1,1,1,1
