"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1460,kt79_Ylikylä,2020/06/01,1,"11 HA-PA",10,2,6,6,11,27,46,89,88,99,124,135,164,171,171,246,283,171,132,122,92,51,29,17
1460,kt79_Ylikylä,2020/06/01,1,"12 KAIP",,,,,,,3,5,3,8,9,10,4,8,9,10,6,3,3,3,1,,,
1460,kt79_Ylikylä,2020/06/01,1,"13 Linja-autot",,,,,,,,,2,,1,1,1,,,3,,2,,1,1,1,,
1460,kt79_Ylikylä,2020/06/01,1,"14 KAPP",,,,,,,,,,,1,,1,1,2,,,,1,,,,,
1460,kt79_Ylikylä,2020/06/01,1,"15 KATP",,,,2,1,3,3,8,4,4,4,3,4,2,4,2,5,6,2,2,,2,2,1
1460,kt79_Ylikylä,2020/06/01,1,"16 HA + PK",1,1,,,,4,2,4,7,13,11,13,21,8,13,17,20,23,13,11,3,1,3,1
1460,kt79_Ylikylä,2020/06/01,1,"17 HA + AV",,,1,,,,2,1,2,2,,2,,,,1,3,2,,1,1,,,1
1460,kt79_Ylikylä,2020/06/01,2,"11 HA-PA",10,5,7,4,7,33,165,178,156,155,126,174,159,132,110,146,151,134,115,113,93,50,27,16
1460,kt79_Ylikylä,2020/06/01,2,"12 KAIP",,,,,,3,4,2,2,2,6,10,6,5,6,10,1,7,3,1,1,1,1,
1460,kt79_Ylikylä,2020/06/01,2,"13 Linja-autot",,,,,,,,,1,1,1,1,,1,,,,,2,,,,,
1460,kt79_Ylikylä,2020/06/01,2,"14 KAPP",,,,,,,,,,2,,,,,,1,1,4,,2,,2,,
1460,kt79_Ylikylä,2020/06/01,2,"15 KATP",1,,,1,1,1,2,1,2,2,2,3,2,4,5,2,2,1,1,1,2,3,1,2
1460,kt79_Ylikylä,2020/06/01,2,"16 HA + PK",2,,,,2,2,10,15,12,24,18,17,10,15,12,11,11,13,14,12,6,6,3,1
1460,kt79_Ylikylä,2020/06/01,2,"17 HA + AV",,,,,,1,3,3,1,,1,,2,2,1,,1,2,,1,1,1,,
1460,kt79_Ylikylä,2020/06/02,1,"11 HA-PA",10,8,5,3,7,17,33,81,102,84,107,143,151,134,185,243,291,164,136,114,87,63,23,13
1460,kt79_Ylikylä,2020/06/02,1,"12 KAIP",,,,,,2,5,6,1,4,4,2,10,4,5,8,3,6,2,,5,2,1,
1460,kt79_Ylikylä,2020/06/02,1,"13 Linja-autot",,,,,,,,1,3,,2,1,,,,3,2,4,,,,,,
1460,kt79_Ylikylä,2020/06/02,1,"14 KAPP",,,,,,,,,1,,,,,,,,,1,,,1,,2,
1460,kt79_Ylikylä,2020/06/02,1,"15 KATP",,,2,,3,1,2,6,4,,2,4,1,4,1,4,3,2,2,1,2,2,2,1
1460,kt79_Ylikylä,2020/06/02,1,"16 HA + PK",,,,,,1,7,8,5,9,11,14,10,15,12,15,15,10,14,11,2,5,,1
1460,kt79_Ylikylä,2020/06/02,1,"17 HA + AV",,,,,,,3,,,1,1,2,2,2,1,,3,1,2,,1,,,
1460,kt79_Ylikylä,2020/06/02,2,"11 HA-PA",6,5,3,2,7,33,160,168,155,132,116,143,153,137,141,126,141,129,126,135,98,52,26,11
1460,kt79_Ylikylä,2020/06/02,2,"12 KAIP",,,,,1,5,5,6,5,3,7,6,8,4,3,5,8,2,3,3,2,2,,1
1460,kt79_Ylikylä,2020/06/02,2,"13 Linja-autot",,,,,,,1,1,,1,2,,,1,,1,1,,,1,,,,
1460,kt79_Ylikylä,2020/06/02,2,"14 KAPP",,,,,,,,1,1,,,2,,,,,2,,,,,,1,
1460,kt79_Ylikylä,2020/06/02,2,"15 KATP",,2,,,2,1,2,3,2,3,1,3,1,4,8,8,2,2,5,1,,1,3,2
1460,kt79_Ylikylä,2020/06/02,2,"16 HA + PK",1,,,1,,3,7,10,11,11,8,10,16,12,12,16,11,14,12,11,8,7,2,
1460,kt79_Ylikylä,2020/06/02,2,"17 HA + AV",1,,,,,,1,2,,1,1,2,3,,1,2,,,2,,,2,1,
1460,kt79_Ylikylä,2020/06/03,1,"11 HA-PA",8,4,1,2,4,14,33,65,74,99,102,122,159,135,173,233,319,225,189,128,83,67,26,20
1460,kt79_Ylikylä,2020/06/03,1,"12 KAIP",,,,,,2,3,5,5,3,6,4,4,2,3,3,7,2,3,3,2,2,,1
1460,kt79_Ylikylä,2020/06/03,1,"13 Linja-autot",,,,,,,,1,1,1,,1,1,,1,1,4,,1,,2,,,
1460,kt79_Ylikylä,2020/06/03,1,"14 KAPP",,,,,,,,,1,,,,,,1,2,,,,1,2,,,
1460,kt79_Ylikylä,2020/06/03,1,"15 KATP",1,,3,2,1,4,4,5,4,3,3,2,3,1,1,4,3,1,2,1,4,,,
1460,kt79_Ylikylä,2020/06/03,1,"16 HA + PK",,,1,1,,1,7,8,7,6,10,13,8,15,12,18,17,21,10,16,2,1,1,1
1460,kt79_Ylikylä,2020/06/03,1,"17 HA + AV",,,,,,,1,3,2,2,,1,3,1,,2,1,,,,,2,,
1460,kt79_Ylikylä,2020/06/03,2,"11 HA-PA",9,2,2,1,9,24,170,176,137,126,161,165,160,169,132,148,149,140,118,104,86,48,35,14
1460,kt79_Ylikylä,2020/06/03,2,"12 KAIP",,,,,,1,2,4,3,6,2,4,4,3,4,2,6,2,3,1,1,1,1,1
1460,kt79_Ylikylä,2020/06/03,2,"13 Linja-autot",,,,,,,1,1,1,,1,3,,,1,,,2,1,,,,,
1460,kt79_Ylikylä,2020/06/03,2,"14 KAPP",,,,,,1,,,,,1,2,,,1,,1,,,,,2,2,
1460,kt79_Ylikylä,2020/06/03,2,"15 KATP",,1,2,1,,2,2,3,5,6,5,2,,9,6,5,1,4,5,1,2,2,1,1
1460,kt79_Ylikylä,2020/06/03,2,"16 HA + PK",1,2,,,,4,12,5,11,9,11,10,12,13,10,15,8,15,7,9,6,5,2,1
1460,kt79_Ylikylä,2020/06/03,2,"17 HA + AV",,,,,,1,1,1,2,1,,2,3,1,1,1,,1,,,2,,,1
1460,kt79_Ylikylä,2020/06/04,1,"11 HA-PA",7,6,2,2,3,11,31,65,97,101,94,123,133,153,156,260,295,240,157,119,70,49,28,14
1460,kt79_Ylikylä,2020/06/04,1,"12 KAIP",1,1,,1,,,7,2,5,3,5,4,4,4,,5,8,2,2,4,3,,3,
1460,kt79_Ylikylä,2020/06/04,1,"13 Linja-autot",,,,,,,,1,1,2,2,1,1,2,2,1,2,,,,1,1,,
1460,kt79_Ylikylä,2020/06/04,1,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,1,
1460,kt79_Ylikylä,2020/06/04,1,"15 KATP",,1,1,,2,2,4,7,2,4,4,2,4,6,3,4,6,8,3,3,3,1,4,
1460,kt79_Ylikylä,2020/06/04,1,"16 HA + PK",1,1,,,,1,4,6,7,14,14,13,13,11,18,16,23,15,14,9,4,2,5,2
1460,kt79_Ylikylä,2020/06/04,1,"17 HA + AV",,,,,,,,2,1,2,1,1,5,1,4,4,,1,1,2,,1,1,
1460,kt79_Ylikylä,2020/06/04,2,"11 HA-PA",7,3,4,2,8,32,144,188,133,133,143,144,136,122,119,156,121,149,127,117,108,57,22,24
1460,kt79_Ylikylä,2020/06/04,2,"12 KAIP",,,,,,1,6,3,4,2,3,4,4,2,3,10,3,4,3,4,3,1,3,1
1460,kt79_Ylikylä,2020/06/04,2,"13 Linja-autot",,,,,,,,1,,2,,1,,,,,,1,,2,,,1,
1460,kt79_Ylikylä,2020/06/04,2,"14 KAPP",,,,,,,,,,,,,,,2,,1,,1,,,,,
1460,kt79_Ylikylä,2020/06/04,2,"15 KATP",,,1,,1,1,3,4,8,1,5,2,4,3,2,8,8,3,6,9,2,3,1,1
1460,kt79_Ylikylä,2020/06/04,2,"16 HA + PK",,,,1,,1,7,7,9,12,20,12,11,11,11,16,16,15,9,9,3,12,1,1
1460,kt79_Ylikylä,2020/06/04,2,"17 HA + AV",,,,,,,2,1,1,2,1,3,2,2,2,4,2,5,3,,1,1,,
1460,kt79_Ylikylä,2020/06/05,1,"11 HA-PA",8,5,10,9,6,11,39,60,96,95,94,154,166,208,232,269,293,257,181,146,85,76,30,35
1460,kt79_Ylikylä,2020/06/05,1,"12 KAIP",,1,,,,1,2,4,3,2,6,4,6,2,4,3,7,3,6,1,3,1,,
1460,kt79_Ylikylä,2020/06/05,1,"13 Linja-autot",,,,,,,,1,1,,1,1,2,1,1,2,2,,,2,,,,
1460,kt79_Ylikylä,2020/06/05,1,"14 KAPP",,,,,,,,1,,,,,1,1,,,1,,,,,,,
1460,kt79_Ylikylä,2020/06/05,1,"15 KATP",,,1,1,3,3,5,1,4,4,4,,2,3,4,7,7,4,3,3,,,1,
1460,kt79_Ylikylä,2020/06/05,1,"16 HA + PK",1,,,,2,1,2,4,11,11,13,9,12,22,19,23,29,22,14,3,7,5,2,2
1460,kt79_Ylikylä,2020/06/05,1,"17 HA + AV",,1,,,,,,3,2,2,2,,3,1,2,1,1,1,1,1,2,1,,
1460,kt79_Ylikylä,2020/06/05,2,"11 HA-PA",9,5,4,5,14,27,143,175,136,137,158,150,199,160,149,155,165,133,123,100,66,46,28,27
1460,kt79_Ylikylä,2020/06/05,2,"12 KAIP",,,,,,,7,3,4,3,2,4,7,2,3,5,5,5,2,1,1,,,
1460,kt79_Ylikylä,2020/06/05,2,"13 Linja-autot",,,,,,,,1,1,1,1,,,,1,,1,1,,1,,,,
1460,kt79_Ylikylä,2020/06/05,2,"14 KAPP",,,,,,,,1,2,1,,1,,2,1,,1,,,1,,,,
1460,kt79_Ylikylä,2020/06/05,2,"15 KATP",,,1,2,1,2,4,1,5,3,2,5,3,5,4,3,3,4,2,3,4,1,,3
1460,kt79_Ylikylä,2020/06/05,2,"16 HA + PK",1,1,1,,,3,6,14,13,18,9,15,19,17,15,18,7,10,10,7,2,1,1,1
1460,kt79_Ylikylä,2020/06/05,2,"17 HA + AV",,,,,,,,1,,1,2,3,2,2,1,,3,3,,,,,2,1
1460,kt79_Ylikylä,2020/06/06,1,"11 HA-PA",14,13,17,9,2,6,11,32,50,79,124,149,157,160,174,180,145,144,115,107,75,52,34,24
1460,kt79_Ylikylä,2020/06/06,1,"12 KAIP",,,1,,,1,,1,,1,4,3,3,4,2,4,2,1,3,2,4,1,,
1460,kt79_Ylikylä,2020/06/06,1,"13 Linja-autot",,,,,,,,,1,,,,,1,1,,1,,,,1,,,
1460,kt79_Ylikylä,2020/06/06,1,"14 KAPP",,,,,1,,,,1,,1,,2,,,,,,,,,,,
1460,kt79_Ylikylä,2020/06/06,1,"15 KATP",,,,,,,1,2,1,1,,,3,1,,,4,2,1,2,1,1,,1
1460,kt79_Ylikylä,2020/06/06,1,"16 HA + PK",2,,,,,1,,2,6,8,21,18,10,19,17,23,14,12,7,7,5,3,1,2
1460,kt79_Ylikylä,2020/06/06,1,"17 HA + AV",,,,,,,1,2,,,,1,1,1,1,,1,2,1,,1,,,
1460,kt79_Ylikylä,2020/06/06,2,"11 HA-PA",20,10,11,4,6,5,25,22,49,102,116,163,130,140,132,126,126,135,114,108,107,59,35,29
1460,kt79_Ylikylä,2020/06/06,2,"12 KAIP",,,,,,,1,1,,1,,,6,4,3,3,2,1,4,2,3,2,,2
1460,kt79_Ylikylä,2020/06/06,2,"13 Linja-autot",,,,,,,,,,,1,,1,1,,,,,,1,,1,,
1460,kt79_Ylikylä,2020/06/06,2,"14 KAPP",,,,,,,,,1,,,2,,,,1,,,,,1,,,
1460,kt79_Ylikylä,2020/06/06,2,"15 KATP",1,2,1,,,1,1,1,1,,2,3,1,4,1,1,3,1,1,,1,1,,1
1460,kt79_Ylikylä,2020/06/06,2,"16 HA + PK",1,,,,1,1,1,2,7,7,11,7,13,15,10,5,9,15,17,9,6,5,2,
1460,kt79_Ylikylä,2020/06/06,2,"17 HA + AV",,,1,,,,,,,3,,3,,,2,2,2,2,1,,,,,1
1460,kt79_Ylikylä,2020/06/07,1,"11 HA-PA",21,17,6,11,7,5,13,16,21,42,59,75,100,108,105,133,135,150,154,88,69,46,30,13
1460,kt79_Ylikylä,2020/06/07,1,"12 KAIP",,,,,,,,,1,,,2,,2,,2,2,5,3,2,,1,,
1460,kt79_Ylikylä,2020/06/07,1,"13 Linja-autot",,,,,,,,,1,,,,,,,1,1,2,1,,1,,,
1460,kt79_Ylikylä,2020/06/07,1,"14 KAPP",,,,,,,,,,,,,,,,,,,1,1,,,,
1460,kt79_Ylikylä,2020/06/07,1,"15 KATP",,,,,1,,,1,,,2,,1,,3,2,2,,4,1,1,2,,
1460,kt79_Ylikylä,2020/06/07,1,"16 HA + PK",,,,1,1,,1,3,3,3,7,8,9,7,6,6,4,7,9,12,2,3,,
1460,kt79_Ylikylä,2020/06/07,1,"17 HA + AV",,,,,,,,,,,,1,1,,2,1,,,1,,,,1,
1460,kt79_Ylikylä,2020/06/07,2,"11 HA-PA",20,16,7,8,5,9,18,22,31,37,91,103,182,169,168,167,162,146,133,114,84,51,17,13
1460,kt79_Ylikylä,2020/06/07,2,"12 KAIP",1,,,,,,,,,,1,3,2,,1,5,6,4,3,3,1,,1,
1460,kt79_Ylikylä,2020/06/07,2,"13 Linja-autot",1,,,,,,,2,,,,2,1,,,2,,1,,1,,,,
1460,kt79_Ylikylä,2020/06/07,2,"14 KAPP",,,,,,,,,,,,,,,1,1,1,,,,,,,2
1460,kt79_Ylikylä,2020/06/07,2,"15 KATP",,,,,1,,,,1,,,2,4,3,2,2,4,1,,2,1,1,,1
1460,kt79_Ylikylä,2020/06/07,2,"16 HA + PK",1,,,,,1,2,1,2,7,5,9,12,17,12,20,10,12,7,8,5,4,1,
1460,kt79_Ylikylä,2020/06/07,2,"17 HA + AV",,,,,,,,,,1,,,1,,3,1,1,,1,,,,,
