"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
154,vt4_Viikinmäki,2020/06/01,1,"11 HA-PA",148,118,59,33,53,150,458,710,861,827,957,1054,1052,1175,1772,2658,2273,1544,1129,946,814,555,405,255
154,vt4_Viikinmäki,2020/06/01,1,"12 KAIP",2,5,5,5,8,7,32,43,54,60,67,62,68,71,66,66,39,28,26,19,10,10,10,5
154,vt4_Viikinmäki,2020/06/01,1,"13 Linja-autot",9,5,1,,2,6,21,30,35,30,16,16,18,18,22,31,41,34,25,16,15,13,9,11
154,vt4_Viikinmäki,2020/06/01,1,"14 KAPP",7,6,3,1,1,6,17,21,24,21,37,20,21,23,16,16,15,17,19,24,22,12,16,12
154,vt4_Viikinmäki,2020/06/01,1,"15 KATP",1,,,1,3,2,8,8,14,13,13,16,11,13,9,18,15,11,6,4,5,2,2,3
154,vt4_Viikinmäki,2020/06/01,1,"16 HA + PK",,,1,2,,2,6,6,6,14,9,11,13,10,11,18,17,11,6,9,10,3,,2
154,vt4_Viikinmäki,2020/06/01,1,"17 HA + AV",,,,,,1,,2,4,1,4,5,3,4,5,6,5,2,,3,1,,,
154,vt4_Viikinmäki,2020/06/01,2,"11 HA-PA",106,41,52,50,103,644,2384,2001,1911,1447,1104,1200,1107,1068,1015,1194,1346,1069,1020,884,656,515,322,163
154,vt4_Viikinmäki,2020/06/01,2,"12 KAIP",5,8,3,8,22,58,103,82,80,66,53,61,57,42,39,17,17,12,14,15,13,5,8,6
154,vt4_Viikinmäki,2020/06/01,2,"13 Linja-autot",8,3,,,4,24,39,35,26,28,23,20,22,25,30,36,37,30,21,16,16,15,11,8
154,vt4_Viikinmäki,2020/06/01,2,"14 KAPP",3,2,2,,2,17,22,18,25,18,16,29,22,17,19,11,19,16,19,9,11,9,2,6
154,vt4_Viikinmäki,2020/06/01,2,"15 KATP",1,2,,,,5,13,12,10,9,11,13,4,11,9,10,7,4,2,5,1,3,,4
154,vt4_Viikinmäki,2020/06/01,2,"16 HA + PK",,,1,,,3,10,11,12,14,9,12,12,12,9,12,7,7,7,5,5,1,2,
154,vt4_Viikinmäki,2020/06/01,2,"17 HA + AV",,,,,,1,2,3,4,2,3,3,1,2,2,1,1,,2,1,,,2,
154,vt4_Viikinmäki,2020/06/02,1,"11 HA-PA",129,83,55,52,59,152,464,726,799,778,897,977,1079,1224,1769,2493,2270,1645,1208,1006,798,627,488,254
154,vt4_Viikinmäki,2020/06/02,1,"12 KAIP",6,5,4,6,4,11,22,53,52,57,69,65,65,62,72,53,42,31,28,15,7,10,9,3
