"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1604,vt1_Lahnajärvi,2020/06/01,1,"11 HA-PA",23,16,10,4,13,64,136,223,255,278,303,313,289,298,300,391,458,371,261,227,185,121,89,43
1604,vt1_Lahnajärvi,2020/06/01,1,"12 KAIP",2,3,1,3,2,4,6,8,11,8,14,10,12,9,16,11,17,9,9,4,8,4,8,4
1604,vt1_Lahnajärvi,2020/06/01,1,"13 Linja-autot",,,,,,,,,1,,,2,,1,1,,1,,1,,1,,1,
1604,vt1_Lahnajärvi,2020/06/01,1,"14 KAPP",1,4,1,3,7,8,8,9,23,23,16,19,15,26,27,33,40,29,25,17,2,21,16,7
1604,vt1_Lahnajärvi,2020/06/01,1,"15 KATP",6,4,9,2,7,6,14,13,18,12,20,19,24,25,35,18,27,36,23,26,18,11,15,15
1604,vt1_Lahnajärvi,2020/06/01,1,"16 HA + PK",2,,,,,3,1,4,7,6,15,15,15,10,9,11,9,7,7,6,4,2,1,4
1604,vt1_Lahnajärvi,2020/06/01,1,"17 HA + AV",,,,,,1,2,4,7,6,2,1,3,1,2,2,,3,1,,,,1,1
1604,vt1_Lahnajärvi,2020/06/01,2,"11 HA-PA",25,14,8,12,44,275,341,385,353,265,234,249,251,261,273,315,288,331,306,254,236,136,74,35
1604,vt1_Lahnajärvi,2020/06/01,2,"12 KAIP",2,1,1,1,8,8,10,11,17,11,15,10,16,14,12,5,6,6,6,9,2,5,1,
1604,vt1_Lahnajärvi,2020/06/01,2,"13 Linja-autot",,,,,,,,1,1,,,1,1,2,1,2,1,,,2,,,,
1604,vt1_Lahnajärvi,2020/06/01,2,"14 KAPP",,,2,2,5,10,6,18,42,53,34,21,26,29,17,13,14,16,13,13,14,14,3,5
1604,vt1_Lahnajärvi,2020/06/01,2,"15 KATP",1,3,3,10,8,17,23,23,34,31,25,23,25,19,17,23,22,25,19,12,19,19,11,11
1604,vt1_Lahnajärvi,2020/06/01,2,"16 HA + PK",1,1,,,1,5,7,11,9,10,15,10,2,5,11,12,8,8,9,9,8,5,4,
1604,vt1_Lahnajärvi,2020/06/01,2,"17 HA + AV",,,,,,2,3,3,1,1,,,,2,2,1,,2,4,1,2,2,,
1604,vt1_Lahnajärvi,2020/06/02,1,"11 HA-PA",27,11,6,8,5,33,115,215,255,261,300,285,254,288,289,400,427,400,279,263,152,129,91,45
1604,vt1_Lahnajärvi,2020/06/02,1,"12 KAIP",5,1,1,,1,5,3,7,8,9,15,10,11,7,11,15,16,12,13,2,5,7,6,5
1604,vt1_Lahnajärvi,2020/06/02,1,"13 Linja-autot",,,,,,,,,1,,,,,1,1,,,,1,,1,1,1,
1604,vt1_Lahnajärvi,2020/06/02,1,"14 KAPP",,4,1,1,4,8,8,11,10,26,19,35,19,23,22,31,33,22,22,17,14,9,9,11
1604,vt1_Lahnajärvi,2020/06/02,1,"15 KATP",12,19,14,14,6,13,9,12,18,30,28,22,25,37,29,36,37,28,19,25,17,8,18,13
1604,vt1_Lahnajärvi,2020/06/02,1,"16 HA + PK",1,,2,,,1,1,4,4,9,6,5,13,9,8,9,14,11,7,7,5,3,2,2
1604,vt1_Lahnajärvi,2020/06/02,1,"17 HA + AV",,,,1,,1,1,,2,6,2,2,2,1,5,1,4,3,1,,1,,3,4
1604,vt1_Lahnajärvi,2020/06/02,2,"11 HA-PA",17,12,7,9,30,183,243,301,280,237,210,211,208,235,287,297,363,320,264,237,224,174,63,42
1604,vt1_Lahnajärvi,2020/06/02,2,"12 KAIP",1,2,1,,3,3,6,15,11,21,14,8,8,12,11,9,7,11,9,8,2,5,2,2
1604,vt1_Lahnajärvi,2020/06/02,2,"13 Linja-autot",,,,1,,,,,1,,1,1,2,1,,1,1,,1,1,,,,
1604,vt1_Lahnajärvi,2020/06/02,2,"14 KAPP",2,,2,3,2,8,11,10,41,50,26,20,21,20,23,14,15,13,13,4,18,37,7,3
1604,vt1_Lahnajärvi,2020/06/02,2,"15 KATP",6,11,11,5,7,16,15,21,34,39,36,30,19,21,24,23,27,25,13,19,15,28,20,9
1604,vt1_Lahnajärvi,2020/06/02,2,"16 HA + PK",,,,,,2,4,1,6,10,8,7,9,6,13,6,12,13,7,8,9,3,2,1
1604,vt1_Lahnajärvi,2020/06/02,2,"17 HA + AV",,,,,,1,2,2,1,2,2,2,,8,1,2,3,,1,,4,1,,
1604,vt1_Lahnajärvi,2020/06/03,1,"11 HA-PA",29,9,8,9,8,35,92,207,233,246,272,291,263,295,310,448,492,407,323,236,163,123,76,54
1604,vt1_Lahnajärvi,2020/06/03,1,"12 KAIP",1,2,2,2,1,4,5,7,6,7,9,9,12,15,12,15,10,10,7,8,8,2,,5
1604,vt1_Lahnajärvi,2020/06/03,1,"13 Linja-autot",,,,,,,,,2,,,,,2,1,2,1,,1,,1,,,1
1604,vt1_Lahnajärvi,2020/06/03,1,"14 KAPP",1,1,2,3,3,9,10,9,23,19,23,27,17,29,24,29,25,22,23,14,10,7,4,11
1604,vt1_Lahnajärvi,2020/06/03,1,"15 KATP",17,16,10,14,8,8,14,13,15,11,25,20,25,27,23,23,34,24,34,18,19,23,17,7
1604,vt1_Lahnajärvi,2020/06/03,1,"16 HA + PK",1,,1,,,,,3,5,3,5,8,7,10,12,13,7,9,9,7,5,2,1,1
1604,vt1_Lahnajärvi,2020/06/03,1,"17 HA + AV",,,,,,,,2,,1,,1,2,3,3,6,2,2,4,,1,,1,3
1604,vt1_Lahnajärvi,2020/06/03,2,"11 HA-PA",9,11,4,9,27,163,230,305,333,244,213,253,256,277,295,307,363,335,326,237,192,164,74,38
1604,vt1_Lahnajärvi,2020/06/03,2,"12 KAIP",2,2,1,1,4,6,9,7,16,15,6,10,6,13,16,13,13,11,3,5,3,8,1,2
1604,vt1_Lahnajärvi,2020/06/03,2,"13 Linja-autot",,,,,,,1,,2,1,1,,,1,1,1,1,,1,1,,,,
1604,vt1_Lahnajärvi,2020/06/03,2,"14 KAPP",3,1,5,,,5,11,7,41,44,29,31,21,21,17,13,15,21,13,9,25,59,8,5
1604,vt1_Lahnajärvi,2020/06/03,2,"15 KATP",9,6,9,7,11,17,20,21,34,43,38,29,25,19,17,22,20,19,14,19,15,25,16,12
1604,vt1_Lahnajärvi,2020/06/03,2,"16 HA + PK",,1,,,,2,4,3,8,5,7,6,5,3,8,8,11,6,3,7,8,2,1,2
1604,vt1_Lahnajärvi,2020/06/03,2,"17 HA + AV",,,,,1,4,2,3,3,2,,6,3,,,5,,1,2,2,3,,1,1
1604,vt1_Lahnajärvi,2020/06/04,1,"11 HA-PA",24,8,8,8,8,53,98,190,231,227,289,268,285,352,398,524,612,468,462,271,225,156,98,61
1604,vt1_Lahnajärvi,2020/06/04,1,"12 KAIP",5,1,3,1,,3,5,13,15,9,12,16,11,17,15,18,18,13,7,11,5,5,7,7
1604,vt1_Lahnajärvi,2020/06/04,1,"13 Linja-autot",,,,,,,,,1,,1,,,1,1,1,2,,2,,2,,1,
1604,vt1_Lahnajärvi,2020/06/04,1,"14 KAPP",5,1,5,4,4,8,10,4,12,29,26,27,21,25,21,21,31,22,27,15,6,3,7,3
1604,vt1_Lahnajärvi,2020/06/04,1,"15 KATP",18,10,18,13,6,12,10,22,16,18,24,19,28,17,23,18,33,25,29,17,16,12,12,14
1604,vt1_Lahnajärvi,2020/06/04,1,"16 HA + PK",1,,,,,1,1,2,4,8,8,8,10,13,5,13,15,11,11,12,6,2,2,1
1604,vt1_Lahnajärvi,2020/06/04,1,"17 HA + AV",,1,,,,1,,1,1,4,,1,2,1,3,1,2,6,3,4,2,1,1,
1604,vt1_Lahnajärvi,2020/06/04,2,"11 HA-PA",17,7,6,16,28,167,241,302,319,225,219,215,275,304,318,374,388,431,290,226,200,144,63,39
1604,vt1_Lahnajärvi,2020/06/04,2,"12 KAIP",,1,,3,3,5,11,12,14,19,6,12,8,10,7,10,8,9,12,8,4,6,4,2
1604,vt1_Lahnajärvi,2020/06/04,2,"13 Linja-autot",,,,,,,,,2,,1,,1,1,,1,1,1,,1,,,,
1604,vt1_Lahnajärvi,2020/06/04,2,"14 KAPP",3,3,2,3,1,8,10,9,38,66,32,22,25,26,25,22,26,15,8,9,23,66,12,6
1604,vt1_Lahnajärvi,2020/06/04,2,"15 KATP",11,5,9,8,8,13,19,13,47,53,31,27,24,20,21,21,27,19,19,15,15,33,14,17
1604,vt1_Lahnajärvi,2020/06/04,2,"16 HA + PK",1,,,,,1,1,6,5,6,5,8,10,7,9,8,8,11,10,11,10,1,2,1
1604,vt1_Lahnajärvi,2020/06/04,2,"17 HA + AV",,,,1,2,2,2,2,4,1,2,3,2,3,1,2,3,2,2,,3,1,3,
1604,vt1_Lahnajärvi,2020/06/05,1,"11 HA-PA",41,12,11,11,4,36,103,162,241,268,346,372,442,516,682,910,1052,976,757,554,268,186,109,66
1604,vt1_Lahnajärvi,2020/06/05,1,"12 KAIP",2,1,1,3,1,2,8,8,7,6,8,14,13,14,12,14,19,16,8,8,9,4,3,1
1604,vt1_Lahnajärvi,2020/06/05,1,"13 Linja-autot",,,,,,,,,3,,,,,1,1,2,2,1,3,1,3,,1,1
1604,vt1_Lahnajärvi,2020/06/05,1,"14 KAPP",3,2,3,1,5,8,5,8,14,19,17,21,18,17,15,35,19,28,17,4,8,5,5,1
1604,vt1_Lahnajärvi,2020/06/05,1,"15 KATP",14,13,16,6,10,11,9,11,11,19,26,29,16,20,19,22,26,27,24,14,15,7,14,6
1604,vt1_Lahnajärvi,2020/06/05,1,"16 HA + PK",2,,,,,,,4,4,4,11,10,17,23,12,33,22,24,24,14,4,2,3,
1604,vt1_Lahnajärvi,2020/06/05,1,"17 HA + AV",1,,,,,1,,2,2,2,4,2,3,2,4,5,5,3,1,3,2,1,,
1604,vt1_Lahnajärvi,2020/06/05,2,"11 HA-PA",21,7,7,9,23,146,205,234,266,196,229,274,308,391,413,461,516,496,378,294,231,164,84,58
1604,vt1_Lahnajärvi,2020/06/05,2,"12 KAIP",2,2,,1,5,3,4,1,12,14,13,10,14,6,18,7,8,10,4,10,5,7,1,
1604,vt1_Lahnajärvi,2020/06/05,2,"13 Linja-autot",,,,,,,,,1,,3,1,2,2,2,2,3,,,1,1,,,1
1604,vt1_Lahnajärvi,2020/06/05,2,"14 KAPP",1,2,3,4,1,9,13,9,44,67,37,23,26,22,21,21,11,16,13,4,20,61,8,
1604,vt1_Lahnajärvi,2020/06/05,2,"15 KATP",13,10,8,3,10,12,24,18,36,38,29,21,22,23,14,18,17,11,17,7,10,18,7,7
1604,vt1_Lahnajärvi,2020/06/05,2,"16 HA + PK",,,,,,1,5,7,4,7,12,8,6,9,7,8,8,12,7,6,5,5,4,1
1604,vt1_Lahnajärvi,2020/06/05,2,"17 HA + AV",1,,,1,1,2,1,3,2,2,2,1,1,,3,3,1,4,,5,3,7,,
1604,vt1_Lahnajärvi,2020/06/06,1,"11 HA-PA",41,20,13,8,4,20,73,52,157,317,447,591,593,557,459,347,403,332,273,278,158,117,92,64
1604,vt1_Lahnajärvi,2020/06/06,1,"12 KAIP",4,,,1,,,2,1,4,2,2,3,5,8,4,6,4,4,3,2,2,1,1,4
1604,vt1_Lahnajärvi,2020/06/06,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,2,,,,1,,1,
1604,vt1_Lahnajärvi,2020/06/06,1,"14 KAPP",3,1,2,2,2,1,2,,1,,4,3,3,3,5,2,9,8,6,6,1,1,2,7
1604,vt1_Lahnajärvi,2020/06/06,1,"15 KATP",13,10,11,6,4,4,2,1,3,9,2,3,,4,8,1,3,6,6,6,4,1,4,2
1604,vt1_Lahnajärvi,2020/06/06,1,"16 HA + PK",,,,,1,,4,1,8,15,10,24,17,14,13,10,12,12,9,6,5,5,2,2
1604,vt1_Lahnajärvi,2020/06/06,1,"17 HA + AV",,,,,,,2,,1,,1,1,2,4,1,1,3,3,,1,,,,
1604,vt1_Lahnajärvi,2020/06/06,2,"11 HA-PA",32,13,10,10,22,28,41,80,173,224,278,367,392,429,402,347,432,323,329,252,257,190,131,49
1604,vt1_Lahnajärvi,2020/06/06,2,"12 KAIP",2,1,,1,,1,2,,8,7,9,6,1,4,5,3,3,1,2,1,3,3,1,
1604,vt1_Lahnajärvi,2020/06/06,2,"13 Linja-autot",,,,,,,,,,,,1,,1,,1,,1,,,,,,1
1604,vt1_Lahnajärvi,2020/06/06,2,"14 KAPP",1,2,3,3,2,1,5,1,27,22,11,2,3,2,1,2,2,,,,32,23,3,1
1604,vt1_Lahnajärvi,2020/06/06,2,"15 KATP",6,8,6,,2,3,1,5,15,13,7,6,2,,2,2,2,1,,,4,6,1,
1604,vt1_Lahnajärvi,2020/06/06,2,"16 HA + PK",1,,,,,1,5,3,8,10,10,15,20,10,8,9,13,11,8,6,10,5,3,1
1604,vt1_Lahnajärvi,2020/06/06,2,"17 HA + AV",,,,,,1,1,,3,1,1,3,3,,3,1,4,1,1,,15,3,1,
1604,vt1_Lahnajärvi,2020/06/07,1,"11 HA-PA",43,20,16,10,7,13,31,32,95,174,314,408,396,421,358,411,433,471,433,387,300,198,117,78
1604,vt1_Lahnajärvi,2020/06/07,1,"12 KAIP",,1,1,,,1,1,,2,,2,,,4,5,8,6,4,9,4,10,3,4,3
1604,vt1_Lahnajärvi,2020/06/07,1,"13 Linja-autot",,,,,,,,,,,,,,1,1,,1,,,,1,,2,2
1604,vt1_Lahnajärvi,2020/06/07,1,"14 KAPP",3,1,1,1,2,7,4,,,,4,1,2,8,5,5,15,12,9,17,6,2,9,6
1604,vt1_Lahnajärvi,2020/06/07,1,"15 KATP",1,,2,1,1,2,,1,,2,1,1,5,5,3,7,5,8,9,11,4,5,5,6
1604,vt1_Lahnajärvi,2020/06/07,1,"16 HA + PK",1,,,,1,,1,2,4,5,9,9,12,16,11,9,16,12,14,5,5,2,6,2
1604,vt1_Lahnajärvi,2020/06/07,1,"17 HA + AV",,,,,,,1,1,,,1,2,3,2,3,4,1,3,,2,1,,1,
1604,vt1_Lahnajärvi,2020/06/07,2,"11 HA-PA",34,21,10,11,9,17,39,51,112,141,223,347,456,590,589,773,921,1085,1034,893,638,402,197,61
1604,vt1_Lahnajärvi,2020/06/07,2,"12 KAIP",,,,,1,2,,6,4,6,3,3,,4,8,2,6,5,5,8,6,2,4,
1604,vt1_Lahnajärvi,2020/06/07,2,"13 Linja-autot",,,,,,,,,1,,,1,,1,1,1,2,1,1,1,2,,,
1604,vt1_Lahnajärvi,2020/06/07,2,"14 KAPP",1,,,,,,,1,13,6,1,1,2,6,,2,5,3,6,2,41,26,4,4
1604,vt1_Lahnajärvi,2020/06/07,2,"15 KATP",,,,,1,,1,,12,3,7,5,2,6,7,1,8,10,7,10,23,19,9,5
1604,vt1_Lahnajärvi,2020/06/07,2,"16 HA + PK",1,,,,,,,3,2,8,6,13,17,17,24,18,23,27,20,29,12,19,10,3
1604,vt1_Lahnajärvi,2020/06/07,2,"17 HA + AV",1,,,,,,,1,2,1,1,3,3,1,3,1,4,3,2,2,12,1,,
1604,vt1_Lahnajärvi,2020/06/08,1,"11 HA-PA",31,16,11,9,10,68,153,219,286,274,327,283,304,301,279,392,455,362,279,215,166,128,88,40
1604,vt1_Lahnajärvi,2020/06/08,1,"12 KAIP",,3,1,3,,4,3,8,13,9,16,6,10,14,15,15,8,11,12,6,12,4,2,4
1604,vt1_Lahnajärvi,2020/06/08,1,"13 Linja-autot",,,,,,,,,1,1,,,,1,,,1,,2,,1,,1,1
1604,vt1_Lahnajärvi,2020/06/08,1,"14 KAPP",5,2,,4,6,4,4,14,16,25,25,25,21,28,26,27,37,27,23,20,12,12,8,7
1604,vt1_Lahnajärvi,2020/06/08,1,"15 KATP",5,3,10,9,5,7,12,12,14,19,16,23,26,22,26,34,31,31,25,19,14,17,21,17
1604,vt1_Lahnajärvi,2020/06/08,1,"16 HA + PK",,1,,1,,,2,3,4,7,7,7,4,7,8,6,8,5,8,8,6,7,2,
1604,vt1_Lahnajärvi,2020/06/08,1,"17 HA + AV",,,,,,,2,,1,3,2,1,3,5,2,1,1,2,2,1,,1,,2
1604,vt1_Lahnajärvi,2020/06/08,2,"11 HA-PA",25,12,6,13,61,290,339,408,340,271,269,253,254,302,301,336,297,327,299,243,226,155,66,29
1604,vt1_Lahnajärvi,2020/06/08,2,"12 KAIP",,3,,2,4,11,13,18,6,14,12,8,5,7,8,8,11,12,7,5,6,5,,2
1604,vt1_Lahnajärvi,2020/06/08,2,"13 Linja-autot",,,,,1,,,1,1,,1,,2,1,1,1,2,,,1,,1,,
1604,vt1_Lahnajärvi,2020/06/08,2,"14 KAPP",3,1,2,3,4,9,15,17,43,41,35,23,26,32,27,12,28,17,11,11,15,14,4,6
1604,vt1_Lahnajärvi,2020/06/08,2,"15 KATP",7,3,4,8,6,18,18,22,28,28,28,30,19,22,24,26,27,21,26,20,15,19,13,13
1604,vt1_Lahnajärvi,2020/06/08,2,"16 HA + PK",1,,,,2,5,10,8,11,6,9,8,3,6,13,12,10,8,10,7,7,5,1,
1604,vt1_Lahnajärvi,2020/06/08,2,"17 HA + AV",,,,,1,3,4,2,2,2,4,2,,2,3,1,2,2,1,1,3,5,,
1604,vt1_Lahnajärvi,2020/06/09,1,"11 HA-PA",24,14,6,5,6,44,100,190,284,254,307,329,326,280,338,464,494,387,274,222,189,136,91,67
1604,vt1_Lahnajärvi,2020/06/09,1,"12 KAIP",4,2,3,1,1,4,6,10,11,10,9,10,12,9,12,10,17,11,9,7,10,3,2,4
1604,vt1_Lahnajärvi,2020/06/09,1,"13 Linja-autot",,,,,,,,,1,,,1,,,1,1,1,,3,1,2,,1,
1604,vt1_Lahnajärvi,2020/06/09,1,"14 KAPP",5,3,3,4,2,7,8,11,15,29,17,31,18,26,22,25,32,29,16,21,17,3,9,7
1604,vt1_Lahnajärvi,2020/06/09,1,"15 KATP",16,13,14,13,10,12,15,15,16,14,30,24,20,27,24,29,29,27,30,29,18,17,17,12
1604,vt1_Lahnajärvi,2020/06/09,1,"16 HA + PK",,,,1,,,2,1,6,8,6,8,7,8,4,10,6,9,10,6,3,3,1,
1604,vt1_Lahnajärvi,2020/06/09,1,"17 HA + AV",,,,,,,,,2,1,1,1,1,3,3,5,2,4,3,1,2,1,1,
1604,vt1_Lahnajärvi,2020/06/09,2,"11 HA-PA",20,8,8,9,42,169,256,340,337,226,197,205,253,293,303,309,334,322,268,248,195,177,71,42
1604,vt1_Lahnajärvi,2020/06/09,2,"12 KAIP",,2,1,3,2,7,8,10,19,13,9,6,14,7,13,9,16,5,4,6,8,9,8,1
1604,vt1_Lahnajärvi,2020/06/09,2,"13 Linja-autot",,,,,,2,,,1,1,2,,1,1,,1,2,,,2,,,,
1604,vt1_Lahnajärvi,2020/06/09,2,"14 KAPP",1,2,,1,3,4,6,11,31,59,32,27,17,21,26,12,23,16,15,8,21,50,9,6
