"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
167,vt1_Sepänkylä,2020/06/01,1,"11 HA-PA",125,109,53,33,45,198,666,1152,1167,1209,1183,1408,1550,1659,2070,3282,3025,2199,1739,1555,1104,750,470,285
167,vt1_Sepänkylä,2020/06/01,1,"12 KAIP",,2,1,1,3,9,29,70,79,102,111,67,103,102,104,99,44,27,22,15,8,12,7,3
167,vt1_Sepänkylä,2020/06/01,1,"13 Linja-autot",,,,,8,20,6,9,7,9,7,5,6,11,12,12,16,9,8,7,4,4,4,3
167,vt1_Sepänkylä,2020/06/01,1,"14 KAPP",3,4,1,,1,3,1,11,23,10,29,7,17,16,16,24,17,1,6,2,4,11,11,5
167,vt1_Sepänkylä,2020/06/01,1,"15 KATP",4,2,1,1,1,6,11,34,30,24,37,30,38,30,27,31,24,11,4,8,10,4,1,8
167,vt1_Sepänkylä,2020/06/01,1,"16 HA + PK",2,1,,,,1,4,14,27,30,29,20,23,32,36,40,29,26,23,8,25,4,5,1
167,vt1_Sepänkylä,2020/06/01,1,"17 HA + AV",1,,,,2,,1,4,6,1,6,3,5,6,3,6,4,3,1,1,2,3,3,2
167,vt1_Sepänkylä,2020/06/01,2,"11 HA-PA",150,78,37,31,121,668,2338,2571,2221,1652,1357,1421,1413,1478,1448,1943,2017,1635,1571,1331,1217,831,456,233
167,vt1_Sepänkylä,2020/06/01,2,"12 KAIP",1,2,1,2,9,19,79,92,104,96,92,75,84,106,83,55,35,25,18,10,12,7,2,3
167,vt1_Sepänkylä,2020/06/01,2,"13 Linja-autot",7,2,,,,3,7,8,5,12,8,8,9,8,10,8,10,10,8,7,8,3,6,6
167,vt1_Sepänkylä,2020/06/01,2,"14 KAPP",3,1,,1,,4,13,15,13,19,19,15,14,15,19,6,15,8,14,6,9,5,7,11
167,vt1_Sepänkylä,2020/06/01,2,"15 KATP",,,3,,1,6,38,18,33,30,26,26,32,19,22,12,13,9,5,7,1,4,5,4
167,vt1_Sepänkylä,2020/06/01,2,"16 HA + PK",2,,,,2,4,12,25,27,19,17,18,20,15,17,20,22,23,20,15,13,8,5,
167,vt1_Sepänkylä,2020/06/01,2,"17 HA + AV",,,,,,1,2,4,3,5,3,,,,4,1,3,1,,1,,1,1,3
167,vt1_Sepänkylä,2020/06/02,1,"11 HA-PA",138,77,45,44,38,184,701,1155,1163,1232,1249,1388,1560,1622,2197,3385,3122,2342,1807,1541,1172,828,494,260
167,vt1_Sepänkylä,2020/06/02,1,"12 KAIP",4,1,5,5,5,10,24,85,81,109,108,93,93,102,109,84,48,34,22,17,13,5,8,4
167,vt1_Sepänkylä,2020/06/02,1,"13 Linja-autot",,,,,7,20,10,11,10,9,9,9,6,8,12,12,15,8,9,8,4,5,4,2
167,vt1_Sepänkylä,2020/06/02,1,"14 KAPP",4,8,6,4,4,2,2,7,31,15,36,18,13,10,22,16,19,4,,2,7,4,18,1
167,vt1_Sepänkylä,2020/06/02,1,"15 KATP",1,4,5,4,6,12,9,22,31,34,27,27,17,20,27,25,23,14,13,6,4,9,8,1
167,vt1_Sepänkylä,2020/06/02,1,"16 HA + PK",3,,,,,1,7,19,21,23,27,31,34,40,28,37,31,27,19,18,13,13,8,5
167,vt1_Sepänkylä,2020/06/02,1,"17 HA + AV",5,2,,4,1,,6,8,1,4,6,2,8,2,3,7,6,1,,2,1,,1,
167,vt1_Sepänkylä,2020/06/02,2,"11 HA-PA",115,69,44,33,108,650,2439,2517,2179,1598,1309,1412,1412,1478,1517,1870,1980,1789,1580,1398,1225,931,544,260
167,vt1_Sepänkylä,2020/06/02,2,"12 KAIP",3,5,5,3,12,16,81,99,115,93,91,93,91,90,96,60,41,26,21,13,9,5,4,4
167,vt1_Sepänkylä,2020/06/02,2,"13 Linja-autot",6,4,1,,,4,11,10,7,10,6,10,8,11,6,8,12,7,11,8,8,4,9,7
167,vt1_Sepänkylä,2020/06/02,2,"14 KAPP",9,6,3,3,1,5,13,19,23,14,13,18,24,15,26,10,13,8,10,7,8,9,2,1
167,vt1_Sepänkylä,2020/06/02,2,"15 KATP",4,5,2,3,1,9,29,22,30,23,35,20,17,24,14,14,5,6,4,4,7,2,3,1
167,vt1_Sepänkylä,2020/06/02,2,"16 HA + PK",,,,1,1,2,12,24,16,17,23,17,20,22,12,14,20,21,23,15,17,11,1,3
167,vt1_Sepänkylä,2020/06/02,2,"17 HA + AV",2,3,1,2,,,3,4,1,3,2,4,2,4,3,3,1,2,3,,,,,1
167,vt1_Sepänkylä,2020/06/03,1,"11 HA-PA",131,69,68,41,57,183,705,1188,1216,1221,1305,1399,1528,1726,2215,3445,3061,2358,1950,1605,1221,842,499,285
167,vt1_Sepänkylä,2020/06/03,1,"12 KAIP",2,,,1,5,14,32,87,82,88,95,95,108,110,112,90,42,30,18,20,11,4,9,4
167,vt1_Sepänkylä,2020/06/03,1,"13 Linja-autot",,,,,8,22,10,10,7,7,12,11,9,13,11,8,11,10,9,5,4,2,5,2
167,vt1_Sepänkylä,2020/06/03,1,"14 KAPP",1,1,,3,2,2,4,16,23,13,18,6,8,11,10,14,14,3,1,3,7,2,19,4
167,vt1_Sepänkylä,2020/06/03,1,"15 KATP",1,3,3,1,1,9,11,33,21,26,30,21,22,28,18,34,24,16,11,3,7,1,6,2
167,vt1_Sepänkylä,2020/06/03,1,"16 HA + PK",1,,,,,4,5,14,28,25,25,24,28,22,34,34,28,31,25,23,18,6,7,4
167,vt1_Sepänkylä,2020/06/03,1,"17 HA + AV",,1,,,,,3,5,9,5,3,4,6,4,5,9,6,3,1,1,,1,1,
167,vt1_Sepänkylä,2020/06/03,2,"11 HA-PA",123,72,54,45,120,640,2377,2410,2172,1608,1373,1435,1456,1441,1609,1952,1998,1918,1624,1462,1333,951,503,263
167,vt1_Sepänkylä,2020/06/03,2,"12 KAIP",5,3,1,3,6,15,91,90,112,94,90,76,91,86,78,40,38,20,20,17,11,9,6,3
167,vt1_Sepänkylä,2020/06/03,2,"13 Linja-autot",6,1,2,,,6,11,8,8,11,8,9,7,5,8,8,10,10,10,6,5,5,7,4
167,vt1_Sepänkylä,2020/06/03,2,"14 KAPP",3,2,1,2,,,22,11,20,19,13,16,18,21,11,13,8,9,18,11,10,10,9,4
167,vt1_Sepänkylä,2020/06/03,2,"15 KATP",3,,1,1,3,6,36,15,24,24,28,21,24,18,24,18,6,11,4,4,2,4,3,1
167,vt1_Sepänkylä,2020/06/03,2,"16 HA + PK",,,,1,,3,15,13,17,18,18,11,16,17,20,25,13,16,15,22,18,16,6,2
167,vt1_Sepänkylä,2020/06/03,2,"17 HA + AV",,,,,,,4,2,7,7,6,1,4,4,7,,1,3,2,1,1,1,1,
167,vt1_Sepänkylä,2020/06/04,1,"11 HA-PA",143,84,52,34,52,198,646,1144,1148,1198,1165,1385,1560,1742,2234,3438,2934,2377,1930,1519,1206,789,467,229
167,vt1_Sepänkylä,2020/06/04,1,"12 KAIP",4,1,,1,2,5,34,57,88,110,89,90,120,119,107,85,51,28,23,11,12,6,4,4
167,vt1_Sepänkylä,2020/06/04,1,"13 Linja-autot",,,,,8,20,10,12,7,6,7,9,9,12,11,12,12,10,10,4,4,2,3,2
167,vt1_Sepänkylä,2020/06/04,1,"14 KAPP",1,1,1,1,2,4,3,16,21,17,28,12,10,15,21,16,11,2,8,1,6,7,10,1
167,vt1_Sepänkylä,2020/06/04,1,"15 KATP",,2,2,2,1,12,13,29,32,22,29,21,29,27,41,36,18,21,12,6,5,4,5,
167,vt1_Sepänkylä,2020/06/04,1,"16 HA + PK",,,,,,3,9,13,18,24,22,22,30,32,36,39,35,38,24,19,11,5,5,4
167,vt1_Sepänkylä,2020/06/04,1,"17 HA + AV",,,1,1,2,,2,8,8,6,7,3,6,15,4,6,4,1,,2,1,,,
167,vt1_Sepänkylä,2020/06/04,2,"11 HA-PA",150,81,49,44,114,659,2348,2410,2160,1548,1298,1425,1485,1486,1627,1930,2000,1858,1546,1385,1126,766,419,216
167,vt1_Sepänkylä,2020/06/04,2,"12 KAIP",3,3,2,3,9,17,82,89,107,102,100,77,103,115,82,49,19,22,14,13,11,7,2,1
167,vt1_Sepänkylä,2020/06/04,2,"13 Linja-autot",5,1,,,,4,9,9,7,11,8,9,9,11,10,12,7,8,11,6,5,4,8,5
167,vt1_Sepänkylä,2020/06/04,2,"14 KAPP",2,1,1,2,2,2,18,13,18,24,20,14,21,21,19,10,12,12,21,10,12,7,8,5
167,vt1_Sepänkylä,2020/06/04,2,"15 KATP",1,,3,2,1,10,28,15,31,30,34,22,25,24,27,10,6,7,5,5,5,4,2,4
167,vt1_Sepänkylä,2020/06/04,2,"16 HA + PK",,,,,1,2,14,29,17,26,17,17,31,18,13,19,15,14,16,19,16,14,1,4
167,vt1_Sepänkylä,2020/06/04,2,"17 HA + AV",1,,,,,,3,6,4,4,3,6,8,4,3,2,1,3,2,2,,,,
167,vt1_Sepänkylä,2020/06/05,1,"11 HA-PA",127,88,52,34,37,185,604,993,1119,1077,1197,1477,1809,2153,2794,3756,3276,2539,2011,1490,1184,744,539,422
