"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
189,vt7_Loviisa_Itä,2020/06/01,1,"11 HA-PA",15,3,5,1,11,30,134,181,140,166,172,161,153,156,170,325,272,191,160,113,83,56,58,30
189,vt7_Loviisa_Itä,2020/06/01,1,"12 KAIP",3,,,1,5,8,16,10,11,12,5,11,8,5,4,12,9,4,12,5,5,2,1,1
189,vt7_Loviisa_Itä,2020/06/01,1,"13 Linja-autot",,,,,,,,1,,1,1,,,3,,1,2,2,,,,,,
189,vt7_Loviisa_Itä,2020/06/01,1,"14 KAPP",3,,1,3,4,1,3,6,9,15,21,24,16,11,17,12,10,13,7,7,8,3,2,3
189,vt7_Loviisa_Itä,2020/06/01,1,"15 KATP",3,1,4,1,3,5,4,13,20,30,23,23,24,17,25,21,26,15,12,8,11,8,6,4
189,vt7_Loviisa_Itä,2020/06/01,1,"16 HA + PK",2,,,,1,,4,5,8,7,6,6,10,7,8,13,12,12,4,3,3,2,2,1
189,vt7_Loviisa_Itä,2020/06/01,1,"17 HA + AV",1,,,,,,2,2,1,1,1,2,2,,1,1,5,,4,2,1,,1,2
189,vt7_Loviisa_Itä,2020/06/01,2,"11 HA-PA",11,12,5,7,31,175,307,240,146,151,171,161,169,219,184,246,244,170,158,120,93,67,33,10
189,vt7_Loviisa_Itä,2020/06/01,2,"12 KAIP",2,,3,,3,4,12,6,5,9,8,5,12,8,9,4,7,6,3,4,1,2,3,1
189,vt7_Loviisa_Itä,2020/06/01,2,"13 Linja-autot",,,,1,,1,,1,1,1,2,2,1,,1,2,,,1,,1,,,
189,vt7_Loviisa_Itä,2020/06/01,2,"14 KAPP",,1,2,1,4,8,8,11,7,20,16,13,21,24,28,16,13,11,17,7,13,15,7,1
189,vt7_Loviisa_Itä,2020/06/01,2,"15 KATP",1,3,3,1,3,9,10,15,14,20,20,20,20,13,19,19,12,10,21,7,11,3,8,5
189,vt7_Loviisa_Itä,2020/06/01,2,"16 HA + PK",,,,,1,3,5,4,1,4,10,7,5,5,10,9,3,10,4,1,6,1,1,2
189,vt7_Loviisa_Itä,2020/06/01,2,"17 HA + AV",,,,,,3,1,1,2,,,1,,3,,2,3,1,1,1,1,,,
189,vt7_Loviisa_Itä,2020/06/02,1,"11 HA-PA",17,10,1,7,1,13,101,157,116,162,178,183,159,149,174,311,269,175,173,116,77,55,48,34
189,vt7_Loviisa_Itä,2020/06/02,1,"12 KAIP",,,1,,,4,6,14,4,10,11,14,11,14,12,14,13,9,5,4,2,1,3,3
189,vt7_Loviisa_Itä,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,2,,2,1,2,2,1,2,,,,,
189,vt7_Loviisa_Itä,2020/06/02,1,"14 KAPP",,2,,1,4,3,8,4,7,20,15,26,15,20,21,16,11,9,4,7,2,3,2,7
189,vt7_Loviisa_Itä,2020/06/02,1,"15 KATP",3,2,4,4,3,11,6,10,27,27,21,17,16,20,32,23,19,22,13,8,7,9,3,5
189,vt7_Loviisa_Itä,2020/06/02,1,"16 HA + PK",1,,,,1,1,4,6,4,9,5,7,6,9,12,8,7,6,7,6,5,3,2,2
189,vt7_Loviisa_Itä,2020/06/02,1,"17 HA + AV",,,,,,1,,4,2,,5,1,1,,3,5,5,1,2,1,1,1,2,
189,vt7_Loviisa_Itä,2020/06/02,2,"11 HA-PA",8,6,6,4,23,126,250,181,132,121,129,120,155,197,196,232,203,207,148,130,102,57,39,10
189,vt7_Loviisa_Itä,2020/06/02,2,"12 KAIP",3,,,1,1,7,7,7,11,7,13,8,6,9,6,7,9,1,8,3,2,2,1,
189,vt7_Loviisa_Itä,2020/06/02,2,"13 Linja-autot",,,,,,1,1,,1,,1,,,,1,1,1,,,1,,,,
189,vt7_Loviisa_Itä,2020/06/02,2,"14 KAPP",2,,,,,6,8,14,9,6,18,15,9,17,16,16,16,8,15,9,5,5,3,
189,vt7_Loviisa_Itä,2020/06/02,2,"15 KATP",2,3,3,2,6,10,10,18,19,15,25,25,19,20,20,19,16,15,13,15,8,11,8,
189,vt7_Loviisa_Itä,2020/06/02,2,"16 HA + PK",,,,,,2,7,4,3,6,6,3,3,6,9,7,3,7,4,7,4,1,,
189,vt7_Loviisa_Itä,2020/06/02,2,"17 HA + AV",1,1,,,,1,,1,2,,3,3,2,,2,1,,,3,1,,1,,
189,vt7_Loviisa_Itä,2020/06/03,1,"11 HA-PA",21,9,3,,8,22,97,144,130,138,188,176,144,178,173,329,281,226,162,126,98,79,44,38
189,vt7_Loviisa_Itä,2020/06/03,1,"12 KAIP",,2,,,1,6,13,8,11,8,7,17,6,9,8,15,14,5,6,5,5,4,5,
189,vt7_Loviisa_Itä,2020/06/03,1,"13 Linja-autot",,,,,,,,1,1,,1,,,1,,1,,2,,3,,,,
189,vt7_Loviisa_Itä,2020/06/03,1,"14 KAPP",1,2,2,2,1,2,9,10,7,17,13,13,18,15,15,14,18,14,8,6,5,2,2,9
189,vt7_Loviisa_Itä,2020/06/03,1,"15 KATP",2,4,1,5,3,8,7,14,22,29,15,20,20,28,16,23,18,21,19,6,13,11,9,8
189,vt7_Loviisa_Itä,2020/06/03,1,"16 HA + PK",,,,,1,,1,4,5,3,11,9,6,11,8,15,6,7,8,6,1,3,6,2
189,vt7_Loviisa_Itä,2020/06/03,1,"17 HA + AV",,,,,,,1,2,1,1,3,3,3,1,1,2,2,4,1,5,,1,,1
189,vt7_Loviisa_Itä,2020/06/03,2,"11 HA-PA",9,3,4,5,17,113,266,168,158,120,135,137,141,199,186,232,257,202,162,132,119,69,42,27
189,vt7_Loviisa_Itä,2020/06/03,2,"12 KAIP",4,,1,1,1,4,9,8,13,13,10,3,12,12,10,8,7,3,6,4,5,1,1,
189,vt7_Loviisa_Itä,2020/06/03,2,"13 Linja-autot",,,,,,1,1,,,,,,,1,,,1,,,,,,,
189,vt7_Loviisa_Itä,2020/06/03,2,"14 KAPP",1,,,,3,8,11,12,12,13,18,22,15,12,14,17,15,16,7,8,5,2,2,1
189,vt7_Loviisa_Itä,2020/06/03,2,"15 KATP",1,,3,2,6,11,13,13,10,25,28,13,17,18,16,19,19,7,18,14,12,8,8,5
189,vt7_Loviisa_Itä,2020/06/03,2,"16 HA + PK",1,,,,1,,3,3,2,3,8,7,2,5,10,7,11,6,3,4,5,1,1,1
189,vt7_Loviisa_Itä,2020/06/03,2,"17 HA + AV",,,,,,2,,1,,1,1,,4,1,1,,,,1,,,1,,1
189,vt7_Loviisa_Itä,2020/06/04,1,"11 HA-PA",17,6,9,1,4,22,97,114,122,128,153,169,160,184,219,349,300,278,232,177,114,68,54,29
189,vt7_Loviisa_Itä,2020/06/04,1,"12 KAIP",,,,,,5,11,5,12,7,7,11,7,14,7,16,13,8,11,4,2,1,1,4
189,vt7_Loviisa_Itä,2020/06/04,1,"13 Linja-autot",,,,,,,,,,,1,1,,1,,,1,4,,1,1,,,
189,vt7_Loviisa_Itä,2020/06/04,1,"14 KAPP",2,1,2,2,3,3,3,7,10,13,14,21,23,19,18,13,13,8,9,4,6,4,4,7
189,vt7_Loviisa_Itä,2020/06/04,1,"15 KATP",6,3,1,6,2,4,12,9,22,20,21,24,25,18,21,27,24,25,10,8,10,7,5,4
189,vt7_Loviisa_Itä,2020/06/04,1,"16 HA + PK",1,1,1,,1,,2,6,4,3,7,7,7,15,6,9,7,12,13,3,7,2,3,
189,vt7_Loviisa_Itä,2020/06/04,1,"17 HA + AV",,,,,,1,1,3,4,3,3,2,2,1,1,3,4,2,2,,1,,,
189,vt7_Loviisa_Itä,2020/06/04,2,"11 HA-PA",9,5,9,4,20,98,263,196,137,140,146,160,201,216,229,238,250,207,188,127,99,62,34,17
189,vt7_Loviisa_Itä,2020/06/04,2,"12 KAIP",1,,1,1,,4,5,6,9,5,11,8,10,9,13,10,10,6,2,5,3,2,2,
189,vt7_Loviisa_Itä,2020/06/04,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,1,,,,
189,vt7_Loviisa_Itä,2020/06/04,2,"14 KAPP",1,,,2,5,6,11,10,17,14,18,20,9,19,15,17,29,7,16,4,3,3,2,
189,vt7_Loviisa_Itä,2020/06/04,2,"15 KATP",2,1,3,2,3,10,9,15,16,21,15,22,11,21,26,10,17,10,13,11,11,7,4,1
