"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
250,vt8_Masku,2020/06/01,1,"11 HA-PA",32,12,10,12,60,110,239,350,286,274,309,360,381,388,537,778,776,556,425,359,302,147,96,53
250,vt8_Masku,2020/06/01,1,"12 KAIP",,,,2,5,4,12,13,16,15,21,20,19,17,23,29,21,14,5,6,5,1,1,3
250,vt8_Masku,2020/06/01,1,"13 Linja-autot",,,,,2,1,2,,1,1,1,1,,2,1,2,,,3,,1,1,,
250,vt8_Masku,2020/06/01,1,"14 KAPP",3,1,,,,2,6,7,12,19,17,4,8,7,5,6,3,11,7,5,2,1,1,
250,vt8_Masku,2020/06/01,1,"15 KATP",3,,6,8,4,10,18,19,13,23,10,21,16,11,16,11,10,9,13,13,11,4,7,2
250,vt8_Masku,2020/06/01,1,"16 HA + PK",1,1,1,,2,2,4,5,13,10,8,13,18,15,17,17,22,15,17,16,12,5,4,2
250,vt8_Masku,2020/06/01,1,"17 HA + AV",,,1,1,1,,2,2,1,2,1,2,2,1,2,2,9,1,,2,,,,
250,vt8_Masku,2020/06/01,2,"11 HA-PA",21,11,7,14,50,285,758,588,418,360,345,368,402,343,387,537,552,409,391,275,209,173,71,22
250,vt8_Masku,2020/06/01,2,"12 KAIP",1,1,2,3,2,11,18,21,20,12,15,13,18,23,18,14,10,11,6,5,2,3,3,
250,vt8_Masku,2020/06/01,2,"13 Linja-autot",,,,,,,2,1,1,1,3,,1,2,,1,,1,,1,,,,
250,vt8_Masku,2020/06/01,2,"14 KAPP",,1,,,,3,6,5,5,7,6,8,12,15,8,13,10,6,11,7,6,1,1,
250,vt8_Masku,2020/06/01,2,"15 KATP",2,4,2,4,3,3,10,22,18,14,13,14,14,11,9,20,19,15,10,7,7,7,4,6
250,vt8_Masku,2020/06/01,2,"16 HA + PK",,1,1,,,8,15,11,14,15,10,14,16,13,17,15,21,13,12,12,9,4,1,
250,vt8_Masku,2020/06/01,2,"17 HA + AV",,,,,,1,1,1,1,,,1,,4,2,3,,2,1,,3,,1,
250,vt8_Masku,2020/06/02,1,"11 HA-PA",23,17,16,7,47,97,227,345,312,255,290,366,352,405,478,850,798,514,418,358,284,159,96,54
250,vt8_Masku,2020/06/02,1,"12 KAIP",3,,1,1,1,1,11,15,15,15,16,13,18,18,15,19,18,9,10,6,6,2,1,3
250,vt8_Masku,2020/06/02,1,"13 Linja-autot",,,,,2,,1,2,,1,1,2,,1,1,1,2,,1,,,1,1,
250,vt8_Masku,2020/06/02,1,"14 KAPP",3,,2,,,3,3,10,8,9,4,11,13,10,6,8,6,4,14,5,4,2,,1
250,vt8_Masku,2020/06/02,1,"15 KATP",2,5,2,5,4,11,9,13,19,20,17,17,21,20,15,16,7,13,11,16,15,8,9,4
250,vt8_Masku,2020/06/02,1,"16 HA + PK",2,1,,,1,2,5,11,8,10,14,22,14,17,10,14,24,11,17,7,10,6,3,1
250,vt8_Masku,2020/06/02,1,"17 HA + AV",1,,,,,1,3,1,1,3,1,2,2,3,,1,2,1,,,,,,1
250,vt8_Masku,2020/06/02,2,"11 HA-PA",32,9,12,12,41,255,658,601,423,328,300,372,343,358,387,503,595,457,358,293,214,152,100,61
250,vt8_Masku,2020/06/02,2,"12 KAIP",2,3,1,2,2,4,17,19,14,18,12,12,12,16,12,18,12,5,5,2,2,4,,1
250,vt8_Masku,2020/06/02,2,"13 Linja-autot",,,,,,1,,1,2,,1,,1,2,,2,,1,,1,,,,
250,vt8_Masku,2020/06/02,2,"14 KAPP",,1,,,,2,6,11,9,16,7,11,10,16,6,8,6,11,6,3,7,4,,3
250,vt8_Masku,2020/06/02,2,"15 KATP",6,2,2,3,3,6,12,19,10,16,18,5,23,8,16,18,14,14,16,9,5,9,4,5
250,vt8_Masku,2020/06/02,2,"16 HA + PK",,,,,,3,7,8,12,9,16,9,11,4,12,7,17,7,10,8,4,4,1,1
250,vt8_Masku,2020/06/02,2,"17 HA + AV",,,,,,1,3,1,,1,2,3,2,1,2,,,2,,1,,1,,
250,vt8_Masku,2020/06/03,1,"11 HA-PA",26,13,15,11,53,93,227,334,264,265,315,360,359,426,503,841,831,566,429,409,275,162,95,46
250,vt8_Masku,2020/06/03,1,"12 KAIP",,2,3,,4,7,14,23,19,11,15,15,22,12,17,24,19,15,14,4,4,4,2,2
250,vt8_Masku,2020/06/03,1,"13 Linja-autot",,1,,,2,,1,1,2,,1,2,1,2,1,1,4,1,1,,1,1,1,
250,vt8_Masku,2020/06/03,1,"14 KAPP",2,,,,1,2,7,8,11,13,6,12,13,13,9,12,4,4,10,4,9,3,3,
250,vt8_Masku,2020/06/03,1,"15 KATP",3,2,2,6,6,10,10,16,16,20,10,22,13,17,18,17,25,16,10,17,10,6,6,1
250,vt8_Masku,2020/06/03,1,"16 HA + PK",,1,1,,,3,5,6,11,9,13,13,14,19,20,21,20,22,14,11,14,5,2,
250,vt8_Masku,2020/06/03,1,"17 HA + AV",,,1,,,1,4,1,2,2,1,4,4,1,3,4,2,4,1,1,1,2,,
250,vt8_Masku,2020/06/03,2,"11 HA-PA",18,11,8,19,31,246,714,550,399,360,326,387,350,373,428,552,584,469,391,291,231,142,90,57
250,vt8_Masku,2020/06/03,2,"12 KAIP",1,1,3,4,6,11,15,15,23,12,15,16,19,14,12,19,11,10,6,8,3,3,2,
250,vt8_Masku,2020/06/03,2,"13 Linja-autot",,,,,,,1,,1,,1,,,1,,1,,1,,,,,,1
250,vt8_Masku,2020/06/03,2,"14 KAPP",1,,,,,4,6,11,4,11,12,10,14,17,11,13,11,7,12,10,3,3,,2
250,vt8_Masku,2020/06/03,2,"15 KATP",4,6,3,1,4,8,10,15,7,22,18,17,12,13,24,9,15,9,16,14,9,8,7,7
250,vt8_Masku,2020/06/03,2,"16 HA + PK",,1,,,1,5,11,6,11,7,7,14,10,12,7,19,14,14,8,12,7,5,2,2
250,vt8_Masku,2020/06/03,2,"17 HA + AV",,,,,,,1,1,2,2,2,5,2,3,2,2,3,1,1,2,1,,,
250,vt8_Masku,2020/06/04,1,"11 HA-PA",34,20,7,10,53,86,220,350,283,279,307,321,366,421,533,807,852,603,464,385,281,206,120,47
250,vt8_Masku,2020/06/04,1,"12 KAIP",,2,1,2,2,4,16,15,17,16,11,19,12,24,25,23,19,14,9,8,6,2,3,1
250,vt8_Masku,2020/06/04,1,"13 Linja-autot",2,,,,2,1,,1,1,,1,1,,2,,2,3,2,2,,1,2,1,
