"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
404,vt9_Kangasala_Suinula,2020/06/01,1,"11 HA-PA",16,15,8,6,33,86,179,240,279,281,297,308,297,320,347,459,454,301,228,188,142,97,53,26
404,vt9_Kangasala_Suinula,2020/06/01,1,"12 KAIP",2,2,,2,3,3,15,10,16,15,16,14,12,6,19,11,5,5,9,4,4,4,3,2
404,vt9_Kangasala_Suinula,2020/06/01,1,"13 Linja-autot",,,,,,,,1,1,,1,1,1,2,1,2,1,3,,1,,,,
404,vt9_Kangasala_Suinula,2020/06/01,1,"14 KAPP",2,,3,1,1,1,1,8,2,11,13,7,8,9,7,3,2,4,3,5,4,1,,1
404,vt9_Kangasala_Suinula,2020/06/01,1,"15 KATP",2,4,1,2,5,4,10,20,18,29,25,22,19,20,16,15,18,25,23,17,15,16,16,13
404,vt9_Kangasala_Suinula,2020/06/01,1,"16 HA + PK",2,,,,1,,4,12,11,24,19,17,26,15,17,18,17,13,10,9,2,2,4,1
404,vt9_Kangasala_Suinula,2020/06/01,1,"17 HA + AV",,,,,,1,4,3,3,6,5,2,4,2,6,2,1,2,2,3,2,1,1,1
404,vt9_Kangasala_Suinula,2020/06/01,2,"11 HA-PA",37,18,11,14,37,115,339,309,287,282,239,256,292,239,293,280,352,321,238,198,205,122,76,39
404,vt9_Kangasala_Suinula,2020/06/01,2,"12 KAIP",1,1,,,,4,8,12,14,9,13,16,11,15,11,8,11,9,7,11,3,3,4,2
404,vt9_Kangasala_Suinula,2020/06/01,2,"13 Linja-autot",,,,,,,2,,1,,,,,,1,1,2,2,1,1,,,,
404,vt9_Kangasala_Suinula,2020/06/01,2,"14 KAPP",,,1,1,3,,1,1,2,3,4,5,5,11,8,7,7,6,11,3,1,2,3,2
404,vt9_Kangasala_Suinula,2020/06/01,2,"15 KATP",4,4,2,4,3,6,17,16,12,10,17,16,21,19,22,25,17,15,17,12,19,8,12,8
