"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
407,vt12_Hollola,2020/06/01,1,"11 HA-PA",13,4,5,5,18,54,202,179,184,173,149,154,152,147,127,185,168,159,136,100,80,60,32,10
407,vt12_Hollola,2020/06/01,1,"12 KAIP",,,,,2,4,10,6,6,8,8,9,4,5,8,5,9,8,7,3,1,1,1,2
407,vt12_Hollola,2020/06/01,1,"13 Linja-autot",1,,,,,,,1,,2,,,2,,,2,,2,2,,,,,
407,vt12_Hollola,2020/06/01,1,"14 KAPP",1,3,,,1,2,2,3,6,2,8,10,9,7,12,8,3,1,3,2,3,4,2,1
407,vt12_Hollola,2020/06/01,1,"15 KATP",,,3,3,4,7,10,11,22,13,17,23,17,22,17,20,16,17,9,15,9,12,9,7
407,vt12_Hollola,2020/06/01,1,"16 HA + PK",,,,,1,2,5,5,6,6,7,9,15,10,9,10,8,7,7,7,1,3,1,1
407,vt12_Hollola,2020/06/01,1,"17 HA + AV",,,,,,,,2,2,4,3,4,3,2,2,,2,1,3,2,1,1,,1
407,vt12_Hollola,2020/06/01,2,"11 HA-PA",6,4,9,4,11,50,97,115,123,142,146,141,161,162,174,250,270,206,118,108,72,64,34,17
407,vt12_Hollola,2020/06/01,2,"12 KAIP",,,,,3,3,6,4,8,9,8,8,8,6,4,7,4,7,5,2,2,1,,
407,vt12_Hollola,2020/06/01,2,"13 Linja-autot",,,,,,,,1,1,2,1,,1,1,,2,2,,1,1,,,,
407,vt12_Hollola,2020/06/01,2,"14 KAPP",1,2,,,3,,2,1,7,,7,6,4,9,6,5,9,4,2,,4,1,5,
407,vt12_Hollola,2020/06/01,2,"15 KATP",4,1,3,3,8,14,20,15,11,9,14,18,12,14,15,19,10,23,10,14,8,17,5,2
407,vt12_Hollola,2020/06/01,2,"16 HA + PK",,,,1,,,3,1,11,5,7,7,2,10,14,10,7,8,7,6,6,1,1,1
407,vt12_Hollola,2020/06/01,2,"17 HA + AV",,,,,,2,3,1,,3,4,,,2,2,4,,5,1,1,,,,1
407,vt12_Hollola,2020/06/02,1,"11 HA-PA",2,1,3,5,14,53,159,188,143,145,107,137,141,136,147,185,192,170,141,106,71,74,38,11
407,vt12_Hollola,2020/06/02,1,"12 KAIP",,,,,1,3,8,4,7,5,5,10,9,6,5,14,10,8,1,3,6,4,4,1
407,vt12_Hollola,2020/06/02,1,"13 Linja-autot",,,,,,,,1,,1,1,1,1,1,,2,,1,3,1,,,,1
407,vt12_Hollola,2020/06/02,1,"14 KAPP",1,,,,3,1,,2,2,12,12,8,6,9,7,3,6,2,5,1,3,4,3,1
407,vt12_Hollola,2020/06/02,1,"15 KATP",2,6,5,8,5,4,11,9,23,14,18,19,18,16,23,14,18,18,14,15,14,12,11,10
407,vt12_Hollola,2020/06/02,1,"16 HA + PK",,,1,,1,,7,6,7,10,12,11,7,10,12,2,10,9,10,9,7,6,3,1
407,vt12_Hollola,2020/06/02,1,"17 HA + AV",,,,,,1,1,2,1,1,,3,2,2,,3,1,2,3,,1,2,1,2
407,vt12_Hollola,2020/06/02,2,"11 HA-PA",7,7,4,4,4,27,86,109,130,101,112,144,126,179,176,219,262,159,142,94,109,67,31,10
407,vt12_Hollola,2020/06/02,2,"12 KAIP",,1,1,,1,3,5,12,8,6,5,9,6,9,10,13,3,9,7,1,6,3,,
407,vt12_Hollola,2020/06/02,2,"13 Linja-autot",,,,,,,1,,1,2,3,1,1,2,1,4,1,,,1,1,,,
407,vt12_Hollola,2020/06/02,2,"14 KAPP",,2,,2,,3,1,5,2,5,4,10,8,4,1,6,7,6,2,1,3,2,1,3
407,vt12_Hollola,2020/06/02,2,"15 KATP",2,8,5,8,12,12,11,13,20,12,12,25,11,12,28,20,19,19,12,8,12,10,11,1
407,vt12_Hollola,2020/06/02,2,"16 HA + PK",2,,,,,,2,6,8,4,9,11,10,5,14,13,8,8,6,7,6,2,3,
407,vt12_Hollola,2020/06/02,2,"17 HA + AV",,,,,,,2,1,3,,3,,,5,3,3,3,2,1,1,,,1,
407,vt12_Hollola,2020/06/03,1,"11 HA-PA",7,7,2,9,13,52,175,189,146,139,148,145,140,139,163,169,186,188,124,105,99,59,45,22
407,vt12_Hollola,2020/06/03,1,"12 KAIP",,,1,,1,1,10,7,9,8,8,7,2,10,3,10,2,8,4,4,3,,2,3
407,vt12_Hollola,2020/06/03,1,"13 Linja-autot",,,,,,,,2,,1,,,1,,,2,,3,2,1,,,,1
407,vt12_Hollola,2020/06/03,1,"14 KAPP",4,,2,,1,5,4,1,3,7,8,11,5,6,2,2,4,4,8,4,2,2,3,1
407,vt12_Hollola,2020/06/03,1,"15 KATP",4,13,3,4,10,3,9,16,23,13,22,14,18,18,16,10,12,19,16,21,6,11,11,7
407,vt12_Hollola,2020/06/03,1,"16 HA + PK",,1,,1,,4,6,7,3,14,5,13,6,10,10,10,15,13,11,4,9,8,1,1
407,vt12_Hollola,2020/06/03,1,"17 HA + AV",,,,,1,,2,,,1,,,5,,1,4,1,2,2,1,1,1,2,
407,vt12_Hollola,2020/06/03,2,"11 HA-PA",11,6,3,5,6,26,76,107,115,120,130,143,177,169,169,276,277,170,149,112,94,64,24,15
407,vt12_Hollola,2020/06/03,2,"12 KAIP",,,,,1,3,6,7,9,7,6,11,6,10,9,8,15,8,5,4,6,1,,
407,vt12_Hollola,2020/06/03,2,"13 Linja-autot",,,,,,,,1,1,3,1,,2,2,1,3,2,,1,1,,,,
407,vt12_Hollola,2020/06/03,2,"14 KAPP",1,1,,,4,1,,2,7,2,3,2,11,9,2,6,7,3,,5,2,1,4,
407,vt12_Hollola,2020/06/03,2,"15 KATP",9,4,6,7,10,14,10,10,20,17,13,13,16,16,16,22,18,20,14,10,22,11,5,5
407,vt12_Hollola,2020/06/03,2,"16 HA + PK",,,,,,,4,4,9,5,11,7,14,5,11,9,6,13,7,8,7,2,1,2
407,vt12_Hollola,2020/06/03,2,"17 HA + AV",,,,,,,3,3,3,1,5,,1,,2,2,,3,4,3,1,,1,
407,vt12_Hollola,2020/06/04,1,"11 HA-PA",7,4,3,5,14,63,157,184,127,125,136,158,171,170,193,215,206,182,166,116,92,51,33,11
407,vt12_Hollola,2020/06/04,1,"12 KAIP",1,,,,2,4,6,4,6,8,5,7,6,7,5,8,5,4,4,1,2,8,2,2
407,vt12_Hollola,2020/06/04,1,"13 Linja-autot",,,,,,1,,1,,1,,1,2,1,,2,1,1,2,1,,,,1
407,vt12_Hollola,2020/06/04,1,"14 KAPP",,,,1,,2,3,4,2,2,15,5,8,6,8,3,4,6,4,5,3,2,1,2
407,vt12_Hollola,2020/06/04,1,"15 KATP",8,2,5,2,6,8,12,9,19,13,19,10,15,12,10,17,12,15,13,12,10,6,9,8
407,vt12_Hollola,2020/06/04,1,"16 HA + PK",,1,1,,,1,7,1,8,6,7,6,6,11,13,15,13,5,4,6,4,1,1,1
407,vt12_Hollola,2020/06/04,1,"17 HA + AV",,,,,,,1,1,,2,1,,,2,1,,3,2,3,1,1,1,,3
407,vt12_Hollola,2020/06/04,2,"11 HA-PA",6,7,3,6,1,30,82,114,117,111,121,141,152,180,190,265,271,211,158,137,95,70,22,20
407,vt12_Hollola,2020/06/04,2,"12 KAIP",,,,1,,2,6,7,8,10,6,7,7,6,3,12,13,4,10,5,4,1,,1
407,vt12_Hollola,2020/06/04,2,"13 Linja-autot",,,,,,,,1,1,1,1,,1,3,,1,1,,1,,1,,,
407,vt12_Hollola,2020/06/04,2,"14 KAPP",2,1,1,,1,1,3,4,4,3,7,6,2,10,1,9,2,4,2,5,3,2,,
407,vt12_Hollola,2020/06/04,2,"15 KATP",2,11,7,6,8,9,10,16,12,11,18,13,11,13,24,13,13,12,12,17,18,13,7,7
407,vt12_Hollola,2020/06/04,2,"16 HA + PK",,,,,,1,2,3,6,1,10,7,6,10,9,12,15,4,4,12,4,2,1,
407,vt12_Hollola,2020/06/04,2,"17 HA + AV",,2,,,,1,1,,1,,3,2,1,2,1,1,3,5,1,3,1,,,
407,vt12_Hollola,2020/06/05,1,"11 HA-PA",6,4,6,8,15,62,163,165,127,167,162,172,204,229,241,269,272,261,216,173,113,63,37,26
407,vt12_Hollola,2020/06/05,1,"12 KAIP",1,,1,,1,4,4,2,7,5,9,7,5,5,12,5,5,4,5,4,1,5,2,
