"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
448,vt9_Orivesi_Talviainen,2020/06/01,1,"11 HA-PA",8,3,6,5,9,60,97,129,166,140,162,169,165,155,135,177,159,130,110,77,61,55,24,17
448,vt9_Orivesi_Talviainen,2020/06/01,1,"12 KAIP",1,,1,1,,,6,6,6,11,7,4,4,,7,4,3,1,2,5,1,1,2,1
448,vt9_Orivesi_Talviainen,2020/06/01,1,"13 Linja-autot",,,,,,,,,,,3,1,,2,1,,,1,1,,1,,,
448,vt9_Orivesi_Talviainen,2020/06/01,1,"14 KAPP",1,,2,2,,1,1,1,2,2,7,9,7,5,9,4,2,3,3,4,4,,2,
448,vt9_Orivesi_Talviainen,2020/06/01,1,"15 KATP",1,3,2,2,2,2,6,9,15,16,7,10,18,8,13,7,11,10,16,13,12,11,17,10
448,vt9_Orivesi_Talviainen,2020/06/01,1,"16 HA + PK",,,,,,1,3,3,9,12,15,9,7,7,11,7,6,5,5,5,2,2,1,1
448,vt9_Orivesi_Talviainen,2020/06/01,1,"17 HA + AV",,,,,,,3,1,1,2,2,2,2,2,1,1,,1,1,,,1,1,
448,vt9_Orivesi_Talviainen,2020/06/01,2,"11 HA-PA",15,6,11,9,15,44,91,98,118,108,117,124,130,116,164,145,183,173,120,101,86,44,38,14
448,vt9_Orivesi_Talviainen,2020/06/01,2,"12 KAIP",1,,,1,,3,4,4,1,4,1,6,4,6,6,3,7,2,8,1,2,2,1,1
448,vt9_Orivesi_Talviainen,2020/06/01,2,"13 Linja-autot",,,,,,,,,,,,1,,,,1,2,,1,,,,,
448,vt9_Orivesi_Talviainen,2020/06/01,2,"14 KAPP",,,,,,,,,1,3,6,3,6,5,5,4,4,8,3,1,1,2,,1
448,vt9_Orivesi_Talviainen,2020/06/01,2,"15 KATP",3,2,,2,3,4,6,3,5,7,9,15,10,4,17,9,8,9,11,9,8,4,10,6
448,vt9_Orivesi_Talviainen,2020/06/01,2,"16 HA + PK",1,,,,,3,2,3,5,4,4,5,13,2,6,12,8,7,8,3,2,3,,
448,vt9_Orivesi_Talviainen,2020/06/01,2,"17 HA + AV",,,,1,1,,3,,1,,,2,,1,1,2,,3,3,1,,,1,
448,vt9_Orivesi_Talviainen,2020/06/02,1,"11 HA-PA",5,6,3,2,4,48,75,124,138,130,146,110,135,134,170,183,160,149,124,97,76,52,30,13
448,vt9_Orivesi_Talviainen,2020/06/02,1,"12 KAIP",,2,2,,1,3,5,2,11,2,10,5,3,5,7,5,3,1,6,4,4,2,2,1
448,vt9_Orivesi_Talviainen,2020/06/02,1,"13 Linja-autot",,,,,,,,,,,,1,1,2,,,,1,3,,1,,,
448,vt9_Orivesi_Talviainen,2020/06/02,1,"14 KAPP",2,2,,,,3,3,1,3,11,5,6,11,5,5,2,3,4,7,5,4,3,3,3
448,vt9_Orivesi_Talviainen,2020/06/02,1,"15 KATP",6,4,6,3,4,1,8,9,15,9,17,14,21,8,8,14,15,12,20,11,10,16,14,12
448,vt9_Orivesi_Talviainen,2020/06/02,1,"16 HA + PK",,,,,,,5,4,3,5,3,7,6,7,8,5,12,4,9,8,4,10,3,1
448,vt9_Orivesi_Talviainen,2020/06/02,1,"17 HA + AV",1,,,,,,1,2,1,2,1,2,2,1,2,,2,,3,,,,,
448,vt9_Orivesi_Talviainen,2020/06/02,2,"11 HA-PA",12,7,9,4,4,30,61,83,96,98,105,116,101,131,153,173,165,150,107,111,73,77,43,29
448,vt9_Orivesi_Talviainen,2020/06/02,2,"12 KAIP",1,1,1,,,2,3,4,4,7,3,3,4,7,4,4,10,5,2,4,1,5,4,1
448,vt9_Orivesi_Talviainen,2020/06/02,2,"13 Linja-autot",,,,,,,,,,,,,1,,3,2,1,,1,,,,,
448,vt9_Orivesi_Talviainen,2020/06/02,2,"14 KAPP",1,2,,,1,1,1,2,5,,,8,9,4,2,5,8,6,5,3,1,1,1,
448,vt9_Orivesi_Talviainen,2020/06/02,2,"15 KATP",6,14,9,8,9,6,6,7,14,12,8,13,17,17,13,15,12,19,13,15,9,5,4,7
448,vt9_Orivesi_Talviainen,2020/06/02,2,"16 HA + PK",2,,,,,1,2,2,6,,5,8,10,5,8,7,9,5,9,4,6,4,1,1
448,vt9_Orivesi_Talviainen,2020/06/02,2,"17 HA + AV",1,,,,,1,,1,2,,1,,,1,1,4,1,2,2,,,,,1
448,vt9_Orivesi_Talviainen,2020/06/03,1,"11 HA-PA",6,7,5,4,5,42,71,112,128,130,153,137,145,169,171,160,194,173,125,103,65,39,35,21
448,vt9_Orivesi_Talviainen,2020/06/03,1,"12 KAIP",1,1,,1,1,1,2,3,4,5,2,6,5,5,8,6,5,10,1,4,3,1,,3
448,vt9_Orivesi_Talviainen,2020/06/03,1,"13 Linja-autot",,1,,,,,,,1,,,1,,1,,1,,2,,,2,1,,1
448,vt9_Orivesi_Talviainen,2020/06/03,1,"14 KAPP",,4,1,1,,4,1,2,5,6,10,5,7,8,4,5,1,6,3,3,3,1,4,3
448,vt9_Orivesi_Talviainen,2020/06/03,1,"15 KATP",7,4,4,5,7,3,8,15,15,11,7,11,13,7,14,10,17,16,13,15,12,11,20,8
448,vt9_Orivesi_Talviainen,2020/06/03,1,"16 HA + PK",2,1,,,,2,2,5,7,11,7,8,8,5,4,7,8,12,6,6,,1,1,
448,vt9_Orivesi_Talviainen,2020/06/03,1,"17 HA + AV",,,,,,,2,1,1,1,2,1,2,2,2,2,3,1,,2,2,,1,1
448,vt9_Orivesi_Talviainen,2020/06/03,2,"11 HA-PA",10,6,2,5,9,23,58,82,98,109,104,125,142,152,185,186,217,169,140,104,109,65,35,24
448,vt9_Orivesi_Talviainen,2020/06/03,2,"12 KAIP",1,,1,,2,1,3,3,5,4,3,2,1,4,3,7,5,4,4,4,4,2,2,1
448,vt9_Orivesi_Talviainen,2020/06/03,2,"13 Linja-autot",,,,1,,,1,,,,1,,,2,,1,1,,1,,,,,
448,vt9_Orivesi_Talviainen,2020/06/03,2,"14 KAPP",1,2,,1,,2,,,,6,4,3,3,2,5,6,3,4,6,3,1,2,,3
448,vt9_Orivesi_Talviainen,2020/06/03,2,"15 KATP",10,9,6,7,4,10,7,8,8,7,15,11,7,13,10,9,16,22,16,12,14,3,9,8
448,vt9_Orivesi_Talviainen,2020/06/03,2,"16 HA + PK",1,1,1,,2,,1,1,7,3,1,7,9,6,6,4,7,4,5,4,7,1,3,
448,vt9_Orivesi_Talviainen,2020/06/03,2,"17 HA + AV",,,,,,,,,2,2,2,3,1,,2,3,1,3,3,,4,5,1,
448,vt9_Orivesi_Talviainen,2020/06/04,1,"11 HA-PA",9,6,7,3,9,34,68,123,108,144,123,140,178,144,202,185,205,197,142,124,81,57,31,20
448,vt9_Orivesi_Talviainen,2020/06/04,1,"12 KAIP",,2,1,1,,2,4,6,1,3,4,5,2,5,7,6,3,2,5,,5,1,,2
448,vt9_Orivesi_Talviainen,2020/06/04,1,"13 Linja-autot",,,,,,,,,,,,1,1,2,,,,1,,,,,,
448,vt9_Orivesi_Talviainen,2020/06/04,1,"14 KAPP",,1,3,,2,1,3,5,3,8,5,6,7,7,3,4,,3,2,7,1,3,6,3
448,vt9_Orivesi_Talviainen,2020/06/04,1,"15 KATP",9,4,4,6,2,9,7,4,12,11,19,17,16,19,14,8,16,18,16,8,17,10,20,12
448,vt9_Orivesi_Talviainen,2020/06/04,1,"16 HA + PK",,,,,,3,4,3,7,8,7,8,6,11,12,12,9,13,10,7,12,4,1,
448,vt9_Orivesi_Talviainen,2020/06/04,1,"17 HA + AV",,,1,,,,,2,1,2,2,2,2,2,,3,1,6,1,,2,1,,
448,vt9_Orivesi_Talviainen,2020/06/04,2,"11 HA-PA",13,7,10,6,3,29,61,67,90,97,103,103,135,164,198,225,218,193,163,132,95,81,60,19
448,vt9_Orivesi_Talviainen,2020/06/04,2,"12 KAIP",1,1,1,1,1,1,4,2,5,3,8,4,4,5,8,5,7,3,4,2,5,2,3,2
448,vt9_Orivesi_Talviainen,2020/06/04,2,"13 Linja-autot",,,,1,,,,,,,3,,,,,1,1,1,1,,,,,
448,vt9_Orivesi_Talviainen,2020/06/04,2,"14 KAPP",1,3,1,,,,2,1,3,4,1,2,3,4,7,4,7,6,4,3,1,1,2,
448,vt9_Orivesi_Talviainen,2020/06/04,2,"15 KATP",7,8,11,10,2,10,6,6,7,12,8,11,10,9,10,16,12,14,14,12,7,8,9,5
448,vt9_Orivesi_Talviainen,2020/06/04,2,"16 HA + PK",,,,,,1,,,2,6,8,9,7,6,10,6,10,10,10,6,8,4,3,3
448,vt9_Orivesi_Talviainen,2020/06/04,2,"17 HA + AV",1,,,,,1,,,2,1,1,1,2,2,4,4,2,4,,1,3,1,,
448,vt9_Orivesi_Talviainen,2020/06/05,1,"11 HA-PA",3,6,3,1,4,41,72,93,106,128,176,193,216,266,287,334,363,410,267,221,117,72,55,18
448,vt9_Orivesi_Talviainen,2020/06/05,1,"12 KAIP",2,2,,2,2,2,2,4,4,7,5,2,6,6,7,7,3,6,1,2,2,2,2,2
448,vt9_Orivesi_Talviainen,2020/06/05,1,"13 Linja-autot",1,,,1,,,1,1,,1,,1,,1,,,,1,,,,,,
448,vt9_Orivesi_Talviainen,2020/06/05,1,"14 KAPP",5,1,1,,,1,,3,3,4,5,5,4,2,1,1,2,2,1,1,1,,3,2
448,vt9_Orivesi_Talviainen,2020/06/05,1,"15 KATP",9,7,3,2,4,1,5,9,7,11,12,7,8,9,5,6,10,7,11,8,7,6,20,4
448,vt9_Orivesi_Talviainen,2020/06/05,1,"16 HA + PK",,,,,,5,2,1,3,10,10,11,9,10,13,16,22,30,24,17,6,6,1,
448,vt9_Orivesi_Talviainen,2020/06/05,1,"17 HA + AV",,,,,,1,,2,,,1,1,2,2,5,5,3,5,4,2,1,2,3,
448,vt9_Orivesi_Talviainen,2020/06/05,2,"11 HA-PA",17,6,10,9,6,24,49,77,93,99,121,144,176,229,261,251,318,274,244,164,103,81,53,32
448,vt9_Orivesi_Talviainen,2020/06/05,2,"12 KAIP",1,,,1,,4,6,3,4,2,6,6,3,6,6,5,5,2,6,2,5,1,2,
448,vt9_Orivesi_Talviainen,2020/06/05,2,"13 Linja-autot",,,,1,,,,,1,3,1,,1,,,1,2,1,1,,1,1,,
448,vt9_Orivesi_Talviainen,2020/06/05,2,"14 KAPP",2,3,,1,1,1,,2,3,4,4,2,1,2,4,2,5,3,3,1,2,1,1,
448,vt9_Orivesi_Talviainen,2020/06/05,2,"15 KATP",9,9,5,8,6,6,4,3,7,12,11,10,11,14,11,9,14,6,9,7,5,3,6,2
448,vt9_Orivesi_Talviainen,2020/06/05,2,"16 HA + PK",,1,,,,,2,4,2,4,2,8,9,8,18,11,12,13,12,11,4,3,2,3
448,vt9_Orivesi_Talviainen,2020/06/05,2,"17 HA + AV",1,,2,,,,,,2,2,2,1,1,3,4,3,4,2,2,4,2,,1,1
448,vt9_Orivesi_Talviainen,2020/06/06,1,"11 HA-PA",22,6,9,6,13,15,36,80,117,216,228,235,230,210,191,174,170,169,148,108,82,56,28,25
448,vt9_Orivesi_Talviainen,2020/06/06,1,"12 KAIP",1,,,,,1,1,3,1,1,3,3,2,2,3,,2,1,,2,1,3,,
448,vt9_Orivesi_Talviainen,2020/06/06,1,"13 Linja-autot",,,,,,,,,,,,2,,1,,,,2,,,2,,,
448,vt9_Orivesi_Talviainen,2020/06/06,1,"14 KAPP",1,3,,,1,,,1,,,,1,1,1,,2,1,1,,,,1,,1
448,vt9_Orivesi_Talviainen,2020/06/06,1,"15 KATP",9,,5,1,3,,3,3,7,2,2,2,4,6,2,2,2,,,1,1,1,1,1
448,vt9_Orivesi_Talviainen,2020/06/06,1,"16 HA + PK",1,,,1,,2,1,5,9,18,14,12,11,13,15,9,12,5,10,8,7,2,3,
448,vt9_Orivesi_Talviainen,2020/06/06,1,"17 HA + AV",1,,,,,1,1,,,5,1,2,4,4,2,,3,1,2,2,2,1,1,
448,vt9_Orivesi_Talviainen,2020/06/06,2,"11 HA-PA",13,10,9,8,3,12,20,37,74,125,173,208,184,192,194,193,185,162,145,125,93,66,47,37
448,vt9_Orivesi_Talviainen,2020/06/06,2,"12 KAIP",2,,1,,,1,1,2,4,4,1,3,1,,6,3,1,2,5,2,,1,,2
448,vt9_Orivesi_Talviainen,2020/06/06,2,"13 Linja-autot",,,,,,,,,,,1,,,,,1,1,,1,1,,,,
448,vt9_Orivesi_Talviainen,2020/06/06,2,"14 KAPP",1,1,,1,3,,,,,,,,,,1,,,2,2,,,,,
448,vt9_Orivesi_Talviainen,2020/06/06,2,"15 KATP",4,14,3,4,3,6,2,2,3,1,1,1,2,2,2,3,4,,1,1,2,1,,
448,vt9_Orivesi_Talviainen,2020/06/06,2,"16 HA + PK",1,,,1,,,,5,5,9,7,9,13,7,9,7,10,13,11,12,8,3,1,1
448,vt9_Orivesi_Talviainen,2020/06/06,2,"17 HA + AV",,1,,1,1,,2,1,,,1,1,1,2,1,1,3,1,3,3,2,1,,1
448,vt9_Orivesi_Talviainen,2020/06/07,1,"11 HA-PA",18,2,4,4,4,6,20,23,62,89,207,182,231,206,256,276,237,204,223,182,130,73,54,22
448,vt9_Orivesi_Talviainen,2020/06/07,1,"12 KAIP",,,,,,,,2,3,2,,,2,2,3,5,4,5,2,1,4,1,,
448,vt9_Orivesi_Talviainen,2020/06/07,1,"13 Linja-autot",,,,,,,,,,,,,1,1,,,,2,,,,,,
448,vt9_Orivesi_Talviainen,2020/06/07,1,"14 KAPP",,,,,,,,,,,1,,,1,,3,3,,,6,6,2,1,2
448,vt9_Orivesi_Talviainen,2020/06/07,1,"15 KATP",,1,,1,1,1,,1,,1,3,2,2,4,5,6,7,5,4,5,4,4,1,1
448,vt9_Orivesi_Talviainen,2020/06/07,1,"16 HA + PK",1,,1,,,2,1,4,7,3,10,11,19,17,10,7,14,18,13,12,6,6,1,
448,vt9_Orivesi_Talviainen,2020/06/07,1,"17 HA + AV",1,,,,,,,,,1,3,2,1,1,1,2,3,3,3,6,4,,2,
448,vt9_Orivesi_Talviainen,2020/06/07,2,"11 HA-PA",18,25,7,2,5,5,12,9,29,66,91,169,231,287,301,335,391,378,366,309,236,148,77,36
448,vt9_Orivesi_Talviainen,2020/06/07,2,"12 KAIP",,,,,,,,,2,2,1,1,,5,4,2,3,4,2,2,,5,1,
448,vt9_Orivesi_Talviainen,2020/06/07,2,"13 Linja-autot",,1,,,,,,,,,,,,1,,1,,2,1,1,,,,
448,vt9_Orivesi_Talviainen,2020/06/07,2,"14 KAPP",,,,,,,,,,,,,,1,,,1,3,1,1,,2,1,
448,vt9_Orivesi_Talviainen,2020/06/07,2,"15 KATP",,,3,1,,,,,1,1,2,2,2,4,,2,1,3,2,7,5,4,5,2
448,vt9_Orivesi_Talviainen,2020/06/07,2,"16 HA + PK",1,,,,,,,,7,7,5,13,7,17,23,17,11,23,20,15,11,5,,2
