"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
834,vt5_Tikkalansaari,2020/06/01,1,"11 HA-PA",46,26,15,25,84,313,739,960,691,633,731,825,934,1014,1188,1929,1744,1169,841,612,449,312,186,74
834,vt5_Tikkalansaari,2020/06/01,1,"12 KAIP",2,3,1,1,8,14,28,25,34,25,28,19,32,27,31,38,32,17,13,9,14,3,3,5
834,vt5_Tikkalansaari,2020/06/01,1,"13 Linja-autot",1,,,,,4,5,3,3,3,2,2,4,4,8,4,10,3,4,,1,1,,1
834,vt5_Tikkalansaari,2020/06/01,1,"14 KAPP",,1,5,,,,6,3,7,6,4,4,8,4,8,6,6,7,8,7,3,9,4,3
834,vt5_Tikkalansaari,2020/06/01,1,"15 KATP",8,3,14,9,8,9,16,25,26,22,26,29,22,36,29,25,31,29,19,23,15,14,19,14
834,vt5_Tikkalansaari,2020/06/01,1,"16 HA + PK",2,2,1,2,1,5,15,15,20,27,28,36,34,43,37,65,54,39,43,21,14,9,3,1
834,vt5_Tikkalansaari,2020/06/01,1,"17 HA + AV",1,1,,,,1,1,2,2,3,4,1,4,2,1,4,,3,,4,1,,,
834,vt5_Tikkalansaari,2020/06/01,2,"11 HA-PA",38,20,21,45,104,347,1407,1398,960,910,852,894,922,891,938,1242,1216,841,655,556,487,441,212,91
834,vt5_Tikkalansaari,2020/06/01,2,"12 KAIP",4,1,1,1,7,10,40,35,41,34,35,26,37,29,35,21,23,26,18,15,12,11,10,5
834,vt5_Tikkalansaari,2020/06/01,2,"13 Linja-autot",,,,,1,,3,10,3,2,7,2,3,4,4,2,4,6,2,2,2,2,1,
834,vt5_Tikkalansaari,2020/06/01,2,"14 KAPP",1,1,,,2,3,6,3,5,3,4,5,9,11,8,7,9,9,10,10,1,2,2,1
834,vt5_Tikkalansaari,2020/06/01,2,"15 KATP",6,5,8,7,7,11,27,26,22,27,27,26,32,31,38,40,27,32,32,29,24,19,16,9
834,vt5_Tikkalansaari,2020/06/01,2,"16 HA + PK",1,1,,1,1,11,33,39,30,38,50,35,35,34,31,53,37,40,35,27,23,15,6,6
834,vt5_Tikkalansaari,2020/06/01,2,"17 HA + AV",,,,,,1,4,9,6,3,4,3,3,6,2,4,3,3,5,3,,4,,
834,vt5_Tikkalansaari,2020/06/02,1,"11 HA-PA",48,44,30,24,56,275,692,958,747,648,675,825,837,954,1171,1812,1734,1209,783,676,458,307,185,83
834,vt5_Tikkalansaari,2020/06/02,1,"12 KAIP",1,2,8,3,2,12,21,37,25,20,19,20,31,31,21,37,17,16,9,11,7,10,9,3
834,vt5_Tikkalansaari,2020/06/02,1,"13 Linja-autot",,,,,1,3,5,5,4,3,5,1,5,4,4,3,10,3,4,2,3,2,,
834,vt5_Tikkalansaari,2020/06/02,1,"14 KAPP",1,4,2,3,2,1,5,6,5,9,3,6,11,6,3,10,9,7,4,3,2,5,5,1
834,vt5_Tikkalansaari,2020/06/02,1,"15 KATP",12,17,29,10,15,12,34,26,39,29,26,31,31,31,22,20,19,21,12,18,16,13,12,19
834,vt5_Tikkalansaari,2020/06/02,1,"16 HA + PK",1,,,,1,3,7,16,18,26,25,35,37,45,42,54,48,38,32,19,14,12,5,1
834,vt5_Tikkalansaari,2020/06/02,1,"17 HA + AV",1,,,1,,1,3,3,3,3,,3,1,3,2,1,8,1,3,2,1,1,2,
834,vt5_Tikkalansaari,2020/06/02,2,"11 HA-PA",51,34,18,45,78,322,1284,1348,864,756,725,849,802,795,947,1245,1295,880,750,643,531,392,229,114
834,vt5_Tikkalansaari,2020/06/02,2,"12 KAIP",1,2,1,3,3,9,27,39,22,28,22,16,28,31,30,19,17,27,10,14,10,8,4,5
834,vt5_Tikkalansaari,2020/06/02,2,"13 Linja-autot",1,,,,,,4,5,4,4,7,4,1,3,2,5,4,3,5,4,3,2,1,3
834,vt5_Tikkalansaari,2020/06/02,2,"14 KAPP",2,,,1,1,,2,11,10,7,10,6,8,6,13,10,7,7,8,3,3,1,1,2
834,vt5_Tikkalansaari,2020/06/02,2,"15 KATP",14,8,11,10,14,14,28,24,32,21,29,32,28,33,33,44,35,32,30,18,21,20,19,11
834,vt5_Tikkalansaari,2020/06/02,2,"16 HA + PK",3,,2,1,2,5,30,34,38,30,31,38,43,39,26,36,34,43,31,33,8,17,4,3
834,vt5_Tikkalansaari,2020/06/02,2,"17 HA + AV",,,,,1,1,5,7,4,6,1,7,6,8,6,3,4,4,9,2,1,,1,5
834,vt5_Tikkalansaari,2020/06/03,1,"11 HA-PA",44,41,26,24,61,260,694,1012,690,643,677,778,855,976,1145,1905,1717,1154,830,705,457,344,185,98
834,vt5_Tikkalansaari,2020/06/03,1,"12 KAIP",2,5,7,2,4,11,24,33,27,18,31,26,24,19,26,41,23,13,10,12,8,7,4,3
834,vt5_Tikkalansaari,2020/06/03,1,"13 Linja-autot",,,,,1,6,5,6,2,6,5,1,5,3,6,4,8,2,3,1,3,2,1,
834,vt5_Tikkalansaari,2020/06/03,1,"14 KAPP",4,2,1,3,1,,7,10,9,7,5,7,5,4,4,4,4,6,6,11,2,2,3,2
834,vt5_Tikkalansaari,2020/06/03,1,"15 KATP",16,13,31,15,16,17,23,35,40,29,25,22,19,25,27,25,24,20,22,17,11,14,13,16
834,vt5_Tikkalansaari,2020/06/03,1,"16 HA + PK",2,,1,2,1,2,4,8,16,22,20,37,31,34,41,41,38,50,32,30,13,10,7,3
834,vt5_Tikkalansaari,2020/06/03,1,"17 HA + AV",1,1,,,,1,,6,3,2,2,2,2,4,3,4,4,2,3,,1,,,1
834,vt5_Tikkalansaari,2020/06/03,2,"11 HA-PA",55,28,25,35,94,320,1265,1367,842,824,779,867,830,885,1027,1373,1260,909,749,641,545,417,230,110
834,vt5_Tikkalansaari,2020/06/03,2,"12 KAIP",4,3,4,4,3,10,37,34,25,29,25,17,32,32,23,23,17,19,10,14,10,2,4,4
834,vt5_Tikkalansaari,2020/06/03,2,"13 Linja-autot",,,,1,,,5,8,1,2,5,2,1,4,1,6,4,5,5,4,,1,2,
834,vt5_Tikkalansaari,2020/06/03,2,"14 KAPP",1,,1,2,,2,4,9,4,10,13,9,16,8,12,10,4,5,5,4,3,2,1,3
834,vt5_Tikkalansaari,2020/06/03,2,"15 KATP",8,7,12,11,9,21,26,24,28,22,34,36,34,40,20,44,38,32,35,24,25,23,15,9
834,vt5_Tikkalansaari,2020/06/03,2,"16 HA + PK",1,,2,,1,9,27,31,30,29,30,41,34,34,48,50,62,33,27,34,16,14,5,4
834,vt5_Tikkalansaari,2020/06/03,2,"17 HA + AV",,,,,,2,1,5,6,7,6,4,3,5,3,7,5,6,6,4,3,,1,
