"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"11 HA-PA",10,22,13,10,15,9,7,16,18,30,54,72,100,113,108,144,105,134,134,92,64,36,27,11
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"12 KAIP",,,1,1,,1,,1,2,2,1,2,2,1,2,1,3,2,1,1,1,,,
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,,1,,1,,,,,,,,
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"14 KAPP",,,,,,,,,,,,1,1,1,,,,,,,1,,,
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"15 KATP",,1,,,1,,1,1,,,,1,4,2,3,2,2,2,3,2,1,1,,
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"16 HA + PK",1,,,,,,,,1,,1,,1,2,1,5,3,,1,1,,,1,
1048,vt13_Kokkola_Ribacken,2020/03/01,1,"17 HA + AV",,,,,,,,,,,1,,,,,1,1,,,,,,,
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"11 HA-PA",17,13,13,5,9,12,27,14,16,33,52,74,108,101,123,167,136,139,128,70,60,39,22,10
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"12 KAIP",,,,2,,,1,,,,,,,1,1,1,1,,2,1,,,,1
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"13 Linja-autot",,,,,,1,,1,,,1,,,1,,,1,,,,1,,1,
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"14 KAPP",,,,,,,,1,,,,,1,,,,,,,,,,2,
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"15 KATP",,,,,1,1,1,1,,,1,1,,1,1,,,1,,1,2,1,1,
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"16 HA + PK",1,1,,,,,,,,,,1,1,2,6,2,2,2,2,2,,,,
1048,vt13_Kokkola_Ribacken,2020/03/01,2,"17 HA + AV",,,,,,,,,1,,,,,1,,1,,,,,,,,
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"11 HA-PA",1,1,,1,4,25,70,94,92,71,98,117,114,126,144,315,316,168,119,96,73,63,44,10
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"12 KAIP",,,,,2,2,,3,9,6,4,3,8,8,5,6,6,8,1,,,,1,
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"13 Linja-autot",,,,,,1,,3,,,,1,1,,,2,2,1,,1,1,,,
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"14 KAPP",,,,,,1,,1,1,2,1,2,1,,2,,1,,,,,1,,
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"15 KATP",1,1,,1,,3,1,3,9,1,5,1,4,2,1,5,3,5,1,3,1,3,1,2
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"16 HA + PK",,,,,,1,2,1,1,5,2,3,3,2,2,7,1,5,3,2,2,2,1,
1048,vt13_Kokkola_Ribacken,2020/03/02,1,"17 HA + AV",,,,,,,,1,,3,1,1,2,2,1,,1,,,1,,,,1
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"11 HA-PA",2,2,,2,7,36,176,285,188,145,130,119,132,116,115,147,163,113,97,66,54,43,27,8
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"12 KAIP",,,,,,2,1,5,3,4,6,2,4,8,4,4,6,1,2,2,3,,,
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"13 Linja-autot",,,,,,,2,5,1,1,,,1,,2,1,1,,,,1,,,
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"14 KAPP",,,,,,,,,3,,,2,,1,,,,1,2,,,,,1
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"15 KATP",,,,2,,3,3,1,6,5,3,1,5,2,5,5,3,3,1,2,2,,2,1
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"16 HA + PK",,,,,,,1,3,,2,2,3,1,3,4,1,2,2,3,2,,,2,
1048,vt13_Kokkola_Ribacken,2020/03/02,2,"17 HA + AV",,1,,,,,1,2,,,,1,3,,,2,1,1,1,,2,,,
