"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1054,kt44_Kauhajoki,2020/03/01,1,"11 HA-PA",21,23,17,12,15,5,13,12,25,52,79,100,142,132,162,142,159,139,138,92,63,30,29,14
1054,kt44_Kauhajoki,2020/03/01,1,"12 KAIP",1,,,,,,,,,1,1,1,,2,,2,2,,2,3,,,,2
1054,kt44_Kauhajoki,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,3,,1,,,1,,,
1054,kt44_Kauhajoki,2020/03/01,1,"14 KAPP",,,1,,,,,,,,,1,1,,,,,1,1,,2,,,
1054,kt44_Kauhajoki,2020/03/01,1,"15 KATP",,1,2,,,,,,,1,1,1,,1,4,3,1,4,2,,4,2,,1
1054,kt44_Kauhajoki,2020/03/01,1,"16 HA + PK",,,,,,,,1,1,1,5,2,1,3,4,3,2,6,1,1,3,,,
1054,kt44_Kauhajoki,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,1,,1,,,1,,,,,1,1,
1054,kt44_Kauhajoki,2020/03/01,2,"11 HA-PA",54,43,20,15,7,8,18,16,18,48,77,75,123,131,109,136,151,164,132,133,76,54,31,16
1054,kt44_Kauhajoki,2020/03/01,2,"12 KAIP",,1,1,,,,,,,,2,1,,1,4,4,2,,2,2,3,,,1
1054,kt44_Kauhajoki,2020/03/01,2,"13 Linja-autot",1,1,1,,,,,,1,,1,1,2,5,4,2,1,2,1,1,,,,
1054,kt44_Kauhajoki,2020/03/01,2,"14 KAPP",,,,,,,,1,,,,2,,1,2,1,,2,,,,,,
1054,kt44_Kauhajoki,2020/03/01,2,"15 KATP",1,1,,1,1,,,1,,1,1,1,3,,,,5,2,3,2,2,1,1,1
1054,kt44_Kauhajoki,2020/03/01,2,"16 HA + PK",1,1,,,,,,1,,,1,,5,2,3,2,1,2,5,2,1,,1,
1054,kt44_Kauhajoki,2020/03/01,2,"17 HA + AV",1,1,,,,,,,,,1,,,1,,,,1,,1,,,,
1054,kt44_Kauhajoki,2020/03/02,1,"11 HA-PA",5,3,4,7,16,86,131,188,171,113,125,147,133,168,200,236,214,167,110,78,78,43,27,17
1054,kt44_Kauhajoki,2020/03/02,1,"12 KAIP",,1,,,,2,7,8,10,7,5,8,8,5,4,4,5,5,3,2,3,3,1,
1054,kt44_Kauhajoki,2020/03/02,1,"13 Linja-autot",,,,,,2,1,,1,,,,3,,2,,,,1,,,1,,
1054,kt44_Kauhajoki,2020/03/02,1,"14 KAPP",,,,,,1,1,2,,,3,,1,2,5,2,2,,1,,,,1,
1054,kt44_Kauhajoki,2020/03/02,1,"15 KATP",2,1,1,1,1,4,4,4,4,7,3,7,7,6,9,9,6,3,3,3,1,1,6,2
