"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"11 HA-PA",14,7,6,5,4,7,10,19,19,44,66,106,139,154,146,184,199,163,137,114,96,44,19,9
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"12 KAIP",,,,,,1,1,,,1,2,1,,2,,1,2,2,2,1,,2,,
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,1,1,2,3,,,1,,,,,
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"15 KATP",,,1,,,,1,,,,1,2,2,1,,,,1,2,1,,2,1,
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"16 HA + PK",,2,2,,,,,2,,3,1,7,7,3,5,4,3,1,,2,2,,,
1062,vt18_Töysä_Jokikylä,2020/03/01,1,"17 HA + AV",,,,,,1,,,2,,1,2,1,2,1,1,,,,,,,,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"11 HA-PA",9,8,4,5,8,8,9,22,45,83,103,136,197,149,186,183,174,147,137,76,79,35,16,4
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"12 KAIP",,,,,,,,,,2,1,,1,,7,2,2,2,1,,1,1,,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,1,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"14 KAPP",,,,,,,,1,,2,,1,1,,,,,1,,,,,,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"15 KATP",,,1,,,1,1,,1,,3,1,1,,2,,1,2,,1,1,,1,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"16 HA + PK",,,,,,,,1,1,1,,5,3,3,6,7,6,7,1,,,2,,
1062,vt18_Töysä_Jokikylä,2020/03/01,2,"17 HA + AV",,,,,,,,,1,,1,,,1,,1,1,,,,,,,1
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"11 HA-PA",4,2,4,1,7,35,80,130,115,100,116,140,137,161,182,217,231,163,117,91,66,55,23,5
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"12 KAIP",1,1,,1,,2,3,3,6,2,7,3,7,5,4,2,3,,3,,2,3,1,
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"13 Linja-autot",,,,,,,,1,,2,,,,1,,3,,1,,,1,,,
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"14 KAPP",,,,,,,,,1,2,1,,1,2,1,2,,,1,,,,,
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"15 KATP",,1,,1,2,1,1,3,1,4,3,4,3,2,6,2,3,2,2,3,,,3,2
1062,vt18_Töysä_Jokikylä,2020/03/02,1,"16 HA + PK",,,,,,,1,3,,5,1,3,1,4,3,1,4,,,2,,,,
