"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
112,vt7_Treksilä,2020/03/01,1,"11 HA-PA",226,75,50,32,51,31,90,154,194,301,462,636,695,712,754,865,854,812,763,703,431,254,190,124
112,vt7_Treksilä,2020/03/01,1,"12 KAIP",2,,1,1,,1,1,2,4,3,5,3,12,10,8,9,7,8,10,6,5,4,2,2
112,vt7_Treksilä,2020/03/01,1,"13 Linja-autot",,,,1,,,,1,1,3,4,4,3,8,4,6,5,8,4,7,17,2,3,1
112,vt7_Treksilä,2020/03/01,1,"14 KAPP",,1,1,,,,2,1,,3,9,4,3,1,6,5,7,5,4,5,3,7,11,1
112,vt7_Treksilä,2020/03/01,1,"15 KATP",2,2,,,1,,1,2,2,3,4,7,4,9,5,12,11,11,7,12,11,5,9,9
112,vt7_Treksilä,2020/03/01,1,"16 HA + PK",,,1,1,,,,,1,3,3,9,7,12,11,11,7,10,5,8,6,4,,1
112,vt7_Treksilä,2020/03/01,1,"17 HA + AV",,,,,,,,,,,3,,1,,2,1,2,1,,3,3,1,2,
112,vt7_Treksilä,2020/03/01,2,"11 HA-PA",78,51,34,33,54,95,248,156,230,419,579,761,850,1017,1049,1052,993,955,911,616,425,262,143,70
112,vt7_Treksilä,2020/03/01,2,"12 KAIP",1,1,1,1,1,,1,3,,1,,7,5,10,5,4,2,8,5,2,5,3,1,2
112,vt7_Treksilä,2020/03/01,2,"13 Linja-autot",,,,1,,1,1,,2,2,1,10,6,3,2,7,3,4,3,3,,2,,
112,vt7_Treksilä,2020/03/01,2,"14 KAPP",4,,2,2,3,1,3,1,2,1,6,11,15,8,10,7,7,5,14,7,7,8,4,2
112,vt7_Treksilä,2020/03/01,2,"15 KATP",2,1,1,1,,,2,1,1,7,1,5,9,6,5,4,4,15,15,6,7,8,9,3
112,vt7_Treksilä,2020/03/01,2,"16 HA + PK",2,,,,,,,2,3,4,7,9,10,14,13,11,7,8,8,9,5,2,2,
112,vt7_Treksilä,2020/03/01,2,"17 HA + AV",1,,,,,,,,,,2,1,,,2,,1,,,,1,,,1
112,vt7_Treksilä,2020/03/02,1,"11 HA-PA",60,65,22,15,30,104,413,744,709,533,562,572,552,614,867,1911,2175,1356,887,586,330,291,238,96
112,vt7_Treksilä,2020/03/02,1,"12 KAIP",1,3,1,6,5,8,14,34,33,26,26,33,34,50,36,47,31,22,12,6,8,5,7,4
112,vt7_Treksilä,2020/03/02,1,"13 Linja-autot",,,,,,,5,8,10,9,3,9,6,5,2,8,18,7,7,4,4,2,4,1
112,vt7_Treksilä,2020/03/02,1,"14 KAPP",3,,5,3,2,,7,16,22,26,41,37,24,33,27,31,27,31,12,12,5,2,15,6
112,vt7_Treksilä,2020/03/02,1,"15 KATP",11,10,8,5,12,11,19,18,34,23,30,41,23,30,33,33,36,18,35,23,24,17,21,14
112,vt7_Treksilä,2020/03/02,1,"16 HA + PK",3,,,,,3,3,5,3,6,9,8,9,12,11,15,12,6,6,5,3,,,1
112,vt7_Treksilä,2020/03/02,1,"17 HA + AV",,,,,,1,,2,1,4,2,5,1,6,3,7,1,1,2,2,1,,1,
112,vt7_Treksilä,2020/03/02,2,"11 HA-PA",28,25,19,47,133,641,2136,1983,1380,785,556,628,597,634,628,807,816,569,476,331,290,194,79,45
112,vt7_Treksilä,2020/03/02,2,"12 KAIP",6,3,9,4,2,26,37,27,27,26,23,29,35,29,12,17,15,12,6,4,6,,1,1
