"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
117,vt1_Munkkiniemi,2020/03/01,1,"11 HA-PA",300,190,149,119,113,85,86,130,195,279,443,654,871,908,993,1035,1011,1066,940,721,558,361,206,77
117,vt1_Munkkiniemi,2020/03/01,1,"12 KAIP",3,,,,,,,,1,,1,2,5,2,1,1,5,5,1,3,6,,1,1
117,vt1_Munkkiniemi,2020/03/01,1,"13 Linja-autot",1,1,1,1,1,5,10,6,5,4,8,6,8,10,10,8,11,9,10,13,8,5,5,3
117,vt1_Munkkiniemi,2020/03/01,1,"14 KAPP",,1,,,,,,,,,,,3,1,1,,1,1,1,1,5,,,
117,vt1_Munkkiniemi,2020/03/01,1,"15 KATP",,,,1,,,,,,,,,,,,,1,,1,,1,,2,
117,vt1_Munkkiniemi,2020/03/01,1,"16 HA + PK",,,,,,,,1,,,2,2,,3,6,1,5,13,8,3,7,2,1,
117,vt1_Munkkiniemi,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,1,,1,,
117,vt1_Munkkiniemi,2020/03/01,2,"11 HA-PA",196,148,140,83,80,97,132,169,242,587,709,877,940,986,1068,1145,910,929,882,718,429,288,157,79
117,vt1_Munkkiniemi,2020/03/01,2,"12 KAIP",1,,,,,4,,1,1,1,2,1,4,3,2,4,7,2,2,2,2,,,
117,vt1_Munkkiniemi,2020/03/01,2,"13 Linja-autot",4,3,1,2,4,3,6,4,6,5,9,7,8,9,10,9,9,10,8,8,8,5,6,6
117,vt1_Munkkiniemi,2020/03/01,2,"14 KAPP",,,,,3,,,,,,1,1,,1,2,,1,,,1,,,2,
117,vt1_Munkkiniemi,2020/03/01,2,"15 KATP",,,,,1,,,,,,1,,1,,1,,,1,,,,,1,
117,vt1_Munkkiniemi,2020/03/01,2,"16 HA + PK",1,,,,,,,1,1,5,6,1,5,1,5,6,6,,4,3,2,1,1,
117,vt1_Munkkiniemi,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,
117,vt1_Munkkiniemi,2020/03/02,1,"11 HA-PA",68,25,24,29,29,75,347,813,1089,760,596,709,763,926,1266,2158,2222,1761,1082,780,666,455,200,109
117,vt1_Munkkiniemi,2020/03/02,1,"12 KAIP",1,,,1,1,11,10,12,12,15,11,23,14,20,19,16,12,2,1,1,5,2,1,
117,vt1_Munkkiniemi,2020/03/02,1,"13 Linja-autot",2,2,,1,7,8,24,22,19,22,20,15,16,16,25,27,30,24,20,14,13,7,7,4
117,vt1_Munkkiniemi,2020/03/02,1,"14 KAPP",,,,,,,1,,1,,5,,4,2,3,1,2,1,1,,4,,,1
117,vt1_Munkkiniemi,2020/03/02,1,"15 KATP",1,,,1,2,3,1,1,,4,3,1,4,,4,5,3,3,4,1,1,1,,
117,vt1_Munkkiniemi,2020/03/02,1,"16 HA + PK",1,,,,,,1,,1,1,1,3,7,5,6,1,3,1,4,,1,,,
117,vt1_Munkkiniemi,2020/03/02,1,"17 HA + AV",,,,,,,,,,,1,,,1,6,,1,,1,,,,,
117,vt1_Munkkiniemi,2020/03/02,2,"11 HA-PA",39,21,16,27,62,309,1429,2096,1944,1426,810,825,818,763,853,1015,1058,924,762,615,467,314,152,74
117,vt1_Munkkiniemi,2020/03/02,2,"12 KAIP",,1,,,1,3,25,15,18,18,13,18,16,9,18,7,12,6,8,3,3,,,1
117,vt1_Munkkiniemi,2020/03/02,2,"13 Linja-autot",5,1,3,1,3,10,23,28,27,24,17,11,15,21,23,19,19,20,17,13,8,12,8,3
117,vt1_Munkkiniemi,2020/03/02,2,"14 KAPP",,,,,,2,4,4,6,2,3,4,3,3,,,3,2,1,1,1,1,,
117,vt1_Munkkiniemi,2020/03/02,2,"15 KATP",,,,,,1,3,5,5,5,3,1,,1,,1,3,,,1,2,1,,
117,vt1_Munkkiniemi,2020/03/02,2,"16 HA + PK",,,,,,,3,,,2,5,6,5,5,2,2,2,2,,3,1,,,
