"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1204,vt8_Raahe,2020/03/01,1,"11 HA-PA",33,20,6,10,11,29,25,29,53,91,157,190,247,269,241,253,209,188,180,118,124,116,46,29
1204,vt8_Raahe,2020/03/01,1,"12 KAIP",,,,,,,,1,1,1,1,,1,2,1,,1,,,1,,2,1,
1204,vt8_Raahe,2020/03/01,1,"13 Linja-autot",,1,1,,,1,,,,,1,,,2,1,,2,1,1,,,1,1,
1204,vt8_Raahe,2020/03/01,1,"14 KAPP",,,,,,,,,1,1,1,,,1,4,1,,1,,1,1,,1,1
1204,vt8_Raahe,2020/03/01,1,"15 KATP",1,,1,1,,,,,2,,1,2,,1,1,6,3,3,2,3,2,2,1,1
1204,vt8_Raahe,2020/03/01,1,"16 HA + PK",1,,1,,,1,1,1,4,4,7,3,9,7,6,7,6,1,4,1,1,1,,1
1204,vt8_Raahe,2020/03/01,1,"17 HA + AV",,,,,,,1,1,,,1,3,,,3,,1,,,,,,,
1204,vt8_Raahe,2020/03/01,2,"11 HA-PA",35,30,11,14,32,47,33,25,31,81,146,199,288,331,288,314,297,249,231,172,116,118,53,33
1204,vt8_Raahe,2020/03/01,2,"12 KAIP",,,,,,,,,1,,1,1,2,3,,2,1,2,1,1,1,,,
1204,vt8_Raahe,2020/03/01,2,"13 Linja-autot",,,,,,1,,,1,,1,1,1,1,,1,,1,,1,1,,,1
1204,vt8_Raahe,2020/03/01,2,"14 KAPP",,1,,,,,,,,,1,,2,,1,1,,,1,2,1,,,
1204,vt8_Raahe,2020/03/01,2,"15 KATP",,,,,,,2,1,3,1,1,1,3,4,,5,4,3,2,3,3,1,,2
1204,vt8_Raahe,2020/03/01,2,"16 HA + PK",,,1,,,1,,,2,,1,4,5,13,17,16,9,6,12,2,1,1,3,1
1204,vt8_Raahe,2020/03/01,2,"17 HA + AV",,,,,,,1,,,,,,3,,3,2,4,1,1,2,1,1,,
1204,vt8_Raahe,2020/03/02,1,"11 HA-PA",10,10,6,9,15,79,101,129,152,186,201,280,265,295,312,482,353,268,189,168,91,139,53,22
1204,vt8_Raahe,2020/03/02,1,"12 KAIP",1,1,1,,,2,1,3,6,3,4,4,5,8,4,2,4,4,2,3,2,2,1,
1204,vt8_Raahe,2020/03/02,1,"13 Linja-autot",,,,,,1,,1,1,2,1,,1,1,2,1,,,1,1,1,1,,
1204,vt8_Raahe,2020/03/02,1,"14 KAPP",1,,,,,1,1,1,1,2,4,2,4,5,5,4,,2,2,1,1,4,,2
1204,vt8_Raahe,2020/03/02,1,"15 KATP",2,1,2,,1,2,2,8,8,11,4,8,12,9,8,13,5,7,8,9,12,8,1,3
1204,vt8_Raahe,2020/03/02,1,"16 HA + PK",,,,,1,1,1,3,6,5,4,4,7,6,6,7,8,4,5,5,1,1,,
1204,vt8_Raahe,2020/03/02,1,"17 HA + AV",,,,,,,1,,,2,,1,,,,,1,,1,,,,,
1204,vt8_Raahe,2020/03/02,2,"11 HA-PA",13,11,8,8,36,151,327,230,198,208,220,252,270,291,233,273,267,245,213,164,128,103,45,28
1204,vt8_Raahe,2020/03/02,2,"12 KAIP",,,,1,1,3,4,4,1,3,7,5,4,5,3,5,2,2,3,1,5,2,,
1204,vt8_Raahe,2020/03/02,2,"13 Linja-autot",,,,,,1,,,1,1,2,2,,1,1,1,1,1,,3,2,,2,1
1204,vt8_Raahe,2020/03/02,2,"14 KAPP",,,,,,,1,2,3,2,2,1,2,2,5,3,2,5,,2,2,1,1,1
1204,vt8_Raahe,2020/03/02,2,"15 KATP",1,1,2,,2,6,7,5,7,7,10,9,18,8,10,12,6,3,5,12,1,4,5,
1204,vt8_Raahe,2020/03/02,2,"16 HA + PK",1,,,,,1,4,1,4,4,3,5,6,5,9,6,7,11,4,4,2,4,2,
1204,vt8_Raahe,2020/03/02,2,"17 HA + AV",,,,,,,,,,,,,,1,1,,1,,1,,,1,,
1204,vt8_Raahe,2020/03/03,1,"11 HA-PA",11,4,11,7,14,65,101,112,124,147,215,242,268,311,372,488,397,256,213,157,123,134,61,30
1204,vt8_Raahe,2020/03/03,1,"12 KAIP",1,,1,,,1,2,1,3,4,4,6,4,9,6,6,3,1,1,7,1,,,
1204,vt8_Raahe,2020/03/03,1,"13 Linja-autot",,,,1,,1,,2,1,1,,,,1,1,2,,2,2,,,1,,1
1204,vt8_Raahe,2020/03/03,1,"14 KAPP",,1,,,1,,4,3,2,4,3,4,6,9,2,2,5,1,1,3,2,,1,1
1204,vt8_Raahe,2020/03/03,1,"15 KATP",,3,,2,2,3,7,8,7,4,5,6,7,13,8,10,6,8,2,5,7,5,2,2
1204,vt8_Raahe,2020/03/03,1,"16 HA + PK",1,,,,,,1,2,7,4,6,11,3,6,7,8,5,10,7,,3,2,,1
1204,vt8_Raahe,2020/03/03,1,"17 HA + AV",,,,,,,,1,,2,1,1,,,1,1,,3,,1,2,1,,
1204,vt8_Raahe,2020/03/03,2,"11 HA-PA",25,13,8,3,33,124,321,238,239,189,220,226,284,257,269,241,301,280,209,180,123,98,46,34
1204,vt8_Raahe,2020/03/03,2,"12 KAIP",,2,,,,4,4,3,6,7,5,6,3,4,9,3,5,6,4,3,1,,1,1
1204,vt8_Raahe,2020/03/03,2,"13 Linja-autot",,,,,,,,2,1,1,1,1,,1,1,1,1,1,1,,2,1,,1
1204,vt8_Raahe,2020/03/03,2,"14 KAPP",,,,,1,1,4,4,1,3,3,3,3,1,5,3,3,2,,4,,1,2,1
1204,vt8_Raahe,2020/03/03,2,"15 KATP",1,,2,2,1,2,4,4,9,9,10,7,9,10,7,9,5,6,4,15,5,5,1,2
1204,vt8_Raahe,2020/03/03,2,"16 HA + PK",1,,1,,,1,,1,1,4,4,3,3,7,4,6,7,4,6,6,3,3,1,
1204,vt8_Raahe,2020/03/03,2,"17 HA + AV",,,,,,,,,,,1,,1,4,,1,,,,1,,,,
1204,vt8_Raahe,2020/03/04,1,"11 HA-PA",20,5,12,11,11,74,116,105,129,198,242,224,238,289,347,483,394,240,205,162,110,96,59,33
1204,vt8_Raahe,2020/03/04,1,"12 KAIP",1,1,1,,1,2,,1,2,6,4,10,4,7,3,1,2,1,,1,1,1,,
1204,vt8_Raahe,2020/03/04,1,"13 Linja-autot",,,,,,2,,1,1,2,,,1,1,1,1,,2,,,,1,,
1204,vt8_Raahe,2020/03/04,1,"14 KAPP",,1,,,,,1,3,1,1,3,4,4,4,3,1,5,1,4,,,,2,1
1204,vt8_Raahe,2020/03/04,1,"15 KATP",1,1,1,1,3,5,5,9,5,7,4,6,6,7,16,8,6,7,6,7,4,6,2,3
1204,vt8_Raahe,2020/03/04,1,"16 HA + PK",,,1,,,,1,2,4,7,8,4,10,7,8,7,2,1,2,1,3,1,,
1204,vt8_Raahe,2020/03/04,1,"17 HA + AV",,,,,,,,1,,1,1,,,1,1,3,1,,,,,,,
1204,vt8_Raahe,2020/03/04,2,"11 HA-PA",20,9,8,8,30,127,325,242,207,163,201,221,240,234,254,260,269,255,235,157,131,107,56,35
1204,vt8_Raahe,2020/03/04,2,"12 KAIP",1,1,,1,1,1,3,2,7,6,6,4,4,8,12,2,3,1,,1,,1,1,1
1204,vt8_Raahe,2020/03/04,2,"13 Linja-autot",,,,,,,,1,,1,2,1,,2,1,1,1,2,,,3,,,1
1204,vt8_Raahe,2020/03/04,2,"14 KAPP",1,,,,1,2,2,1,5,3,3,3,5,4,7,1,3,4,4,,1,1,2,1
1204,vt8_Raahe,2020/03/04,2,"15 KATP",2,1,,2,,5,3,4,11,11,12,10,9,10,6,7,8,6,8,6,4,2,6,4
1204,vt8_Raahe,2020/03/04,2,"16 HA + PK",,1,,,,,3,2,5,4,10,2,2,3,6,9,3,5,6,5,,2,,
1204,vt8_Raahe,2020/03/04,2,"17 HA + AV",,,,,,,,,,2,1,,,1,2,1,1,3,,1,,,,
1204,vt8_Raahe,2020/03/05,1,"11 HA-PA",18,11,7,7,21,73,94,93,114,150,181,266,274,304,379,491,368,252,213,164,116,110,61,31
1204,vt8_Raahe,2020/03/05,1,"12 KAIP",1,1,,2,1,1,3,6,6,3,11,1,3,3,4,5,3,1,3,3,2,,,
1204,vt8_Raahe,2020/03/05,1,"13 Linja-autot",,,,,,1,,1,1,3,2,,2,1,2,1,1,2,1,,,1,1,
1204,vt8_Raahe,2020/03/05,1,"14 KAPP",,1,,,1,1,,2,3,1,2,4,4,6,3,3,3,3,4,1,1,3,3,
1204,vt8_Raahe,2020/03/05,1,"15 KATP",2,3,2,3,4,6,9,5,6,11,4,9,11,7,10,12,15,7,6,2,7,6,3,1
1204,vt8_Raahe,2020/03/05,1,"16 HA + PK",,,,,,2,,5,4,4,12,5,10,7,7,2,4,3,4,2,1,3,,
1204,vt8_Raahe,2020/03/05,1,"17 HA + AV",,,,1,,,,,1,1,1,,1,2,4,,,,,,,,,
1204,vt8_Raahe,2020/03/05,2,"11 HA-PA",24,18,7,8,34,136,312,198,211,176,211,225,254,238,268,279,294,270,212,164,133,97,58,36
1204,vt8_Raahe,2020/03/05,2,"12 KAIP",,,,,2,,5,5,10,4,2,7,6,5,3,2,5,4,5,2,2,2,2,
1204,vt8_Raahe,2020/03/05,2,"13 Linja-autot",,,,1,,1,,2,2,1,1,1,,1,2,1,1,1,,,1,1,,1
1204,vt8_Raahe,2020/03/05,2,"14 KAPP",,,,,1,1,2,3,4,2,,2,4,5,3,5,,6,1,1,2,,1,1
1204,vt8_Raahe,2020/03/05,2,"15 KATP",2,2,3,2,,3,4,5,10,14,7,12,6,7,14,10,8,8,9,7,5,3,3,3
1204,vt8_Raahe,2020/03/05,2,"16 HA + PK",,,,,,,1,5,3,5,5,9,5,9,7,6,4,6,7,,2,3,,
1204,vt8_Raahe,2020/03/05,2,"17 HA + AV",,,,1,,,,,,,,,,1,1,2,2,1,,,1,,,
1204,vt8_Raahe,2020/03/06,1,"11 HA-PA",14,9,10,8,10,79,89,85,116,177,240,272,322,351,410,449,364,310,254,183,127,116,79,40
1204,vt8_Raahe,2020/03/06,1,"12 KAIP",1,1,,1,1,,1,2,4,6,7,8,5,4,4,5,3,3,2,1,,,1,1
1204,vt8_Raahe,2020/03/06,1,"13 Linja-autot",,,,,,1,,1,1,1,,,1,1,1,1,,3,2,,,1,,
1204,vt8_Raahe,2020/03/06,1,"14 KAPP",1,,,1,2,,,1,2,1,1,2,1,4,8,2,,1,2,,,1,,1
1204,vt8_Raahe,2020/03/06,1,"15 KATP",1,3,,1,7,4,8,1,8,2,9,13,4,10,8,7,16,5,2,6,5,3,,1
1204,vt8_Raahe,2020/03/06,1,"16 HA + PK",,,,,1,1,2,6,5,8,6,6,10,5,11,10,7,9,3,2,2,2,1,2
1204,vt8_Raahe,2020/03/06,1,"17 HA + AV",,,,,,,2,1,1,3,2,,,,1,1,2,,2,,,,,
1204,vt8_Raahe,2020/03/06,2,"11 HA-PA",15,13,5,8,27,172,240,175,168,172,218,251,265,276,289,354,330,305,209,206,151,116,74,46
1204,vt8_Raahe,2020/03/06,2,"12 KAIP",1,,,1,,3,5,5,3,5,5,6,3,9,4,6,3,1,1,1,1,,1,1
1204,vt8_Raahe,2020/03/06,2,"13 Linja-autot",,,,,,1,,2,1,1,1,1,,2,1,1,2,2,,,2,,,1
1204,vt8_Raahe,2020/03/06,2,"14 KAPP",1,,,,1,,2,2,3,2,3,6,3,2,2,,7,4,1,1,,1,1,
1204,vt8_Raahe,2020/03/06,2,"15 KATP",1,2,1,4,3,1,6,7,9,12,11,6,22,10,9,9,5,7,3,7,1,2,3,1
1204,vt8_Raahe,2020/03/06,2,"16 HA + PK",,2,,,,,2,3,6,7,3,6,6,8,10,8,3,2,3,4,1,4,3,
1204,vt8_Raahe,2020/03/06,2,"17 HA + AV",,,,,,,,,1,1,,1,,,2,1,1,1,1,,,,,
1204,vt8_Raahe,2020/03/07,1,"11 HA-PA",24,27,22,16,10,52,42,65,134,248,311,324,340,344,322,269,254,226,178,155,114,129,69,35
1204,vt8_Raahe,2020/03/07,1,"12 KAIP",,,,2,,,,,,2,1,1,,,2,1,1,2,,,,1,,
1204,vt8_Raahe,2020/03/07,1,"13 Linja-autot",,,,1,,1,,1,1,1,,1,2,3,,,1,1,1,,,,,
1204,vt8_Raahe,2020/03/07,1,"14 KAPP",,,1,1,,,,,2,1,,1,,2,,,,2,,1,1,,,
1204,vt8_Raahe,2020/03/07,1,"15 KATP",1,,1,3,4,1,2,,1,1,1,2,,4,2,2,,,,2,,,,
1204,vt8_Raahe,2020/03/07,1,"16 HA + PK",,,,1,,,3,6,11,8,12,15,7,10,2,3,5,8,3,1,3,2,,
1204,vt8_Raahe,2020/03/07,1,"17 HA + AV",,,,,,,,,2,2,,,1,,2,,,,1,,,1,2,
1204,vt8_Raahe,2020/03/07,2,"11 HA-PA",33,24,16,17,23,50,42,49,84,121,168,250,286,317,298,284,286,262,221,169,153,146,58,49
1204,vt8_Raahe,2020/03/07,2,"12 KAIP",,,,,,1,,1,2,1,,1,2,,,,,,2,,1,1,,
1204,vt8_Raahe,2020/03/07,2,"13 Linja-autot",,1,,,,1,,,,1,1,1,,1,,,1,2,1,,1,,,2
1204,vt8_Raahe,2020/03/07,2,"14 KAPP",1,,,1,,,,,2,2,,1,,,1,,3,4,,,1,,2,
1204,vt8_Raahe,2020/03/07,2,"15 KATP",,,1,1,1,1,2,3,3,4,2,2,,4,1,2,2,2,2,,,1,,1
1204,vt8_Raahe,2020/03/07,2,"16 HA + PK",1,1,,,,,,3,,6,4,8,4,5,11,12,18,4,9,10,4,2,,
1204,vt8_Raahe,2020/03/07,2,"17 HA + AV",,,,,,,,,1,,1,,2,,1,,,,,4,1,,1,
1204,vt8_Raahe,2020/03/08,1,"11 HA-PA",29,24,8,19,9,42,37,48,57,89,151,221,235,275,255,299,298,220,218,173,121,121,54,23
1204,vt8_Raahe,2020/03/08,1,"12 KAIP",,,,,,,,,,2,2,,,2,1,1,,,3,1,,,1,
1204,vt8_Raahe,2020/03/08,1,"13 Linja-autot",,1,,,,1,,,1,,,,,1,,,1,2,2,,1,2,,
1204,vt8_Raahe,2020/03/08,1,"14 KAPP",,,,,,,1,,,1,1,1,2,1,1,1,2,1,3,1,3,3,,
1204,vt8_Raahe,2020/03/08,1,"15 KATP",2,,,1,,,1,,1,,,3,1,3,2,3,7,5,6,8,5,4,1,
1204,vt8_Raahe,2020/03/08,1,"16 HA + PK",1,,,,,,1,4,3,5,1,6,8,5,4,4,8,5,4,2,,,1,
1204,vt8_Raahe,2020/03/08,1,"17 HA + AV",,,,,,,,,1,1,,2,,,,,,,1,,,,,
1204,vt8_Raahe,2020/03/08,2,"11 HA-PA",46,30,13,15,28,51,29,36,42,92,160,182,260,232,240,283,303,244,233,167,133,97,44,36
1204,vt8_Raahe,2020/03/08,2,"12 KAIP",,,,,,,1,,1,1,,,,1,2,2,1,1,,,2,2,,
1204,vt8_Raahe,2020/03/08,2,"13 Linja-autot",,,,,,,,1,1,,1,1,1,3,1,,1,1,,,1,,,1
1204,vt8_Raahe,2020/03/08,2,"14 KAPP",,,,1,,,,1,,,1,1,1,1,1,3,1,,1,2,,,,
1204,vt8_Raahe,2020/03/08,2,"15 KATP",,,1,,,,1,,1,1,1,1,2,1,3,6,1,2,3,4,,2,5,2
1204,vt8_Raahe,2020/03/08,2,"16 HA + PK",,1,2,,,,,,1,,2,5,10,6,6,12,11,7,12,9,4,5,2,1
1204,vt8_Raahe,2020/03/08,2,"17 HA + AV",,,,,1,,,,,,1,1,,,3,2,2,1,,1,,,,
