"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"11 HA-PA",215,133,84,63,58,84,153,120,185,334,509,726,868,963,992,1092,1268,1184,1012,772,590,398,230,138
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"12 KAIP",2,2,,,2,,2,1,3,,3,2,4,4,4,5,10,5,10,12,6,3,6,4
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"13 Linja-autot",1,1,1,,,,,1,,3,2,,2,2,2,,1,2,1,2,1,3,2,2
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"14 KAPP",1,,1,,,,1,,1,4,3,5,3,6,2,7,7,8,8,3,6,7,9,
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"15 KATP",3,4,,1,1,2,1,4,3,5,4,3,12,4,11,8,10,11,11,17,10,14,12,8
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"16 HA + PK",2,2,,,,1,2,1,7,8,8,16,15,21,14,13,23,8,14,10,10,4,3,2
1206,vt4_Oulu_Ouluntulli,2020/03/01,1,"17 HA + AV",1,,,,,,,1,1,3,2,1,3,,,,2,3,,,2,1,2,
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"11 HA-PA",172,102,92,77,58,43,70,134,169,283,474,651,850,901,988,1036,1063,951,899,707,515,366,182,104
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"12 KAIP",2,,,,,,,,1,1,3,2,4,7,4,7,5,10,3,2,1,5,3,
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,1,2,,1,2,,,,,,,
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"14 KAPP",,,,,,,,,,,,,,,1,1,2,,,2,1,1,,
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"15 KATP",,,,,,,,,,1,,,,,2,,1,1,1,1,1,,,
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"16 HA + PK",5,6,,,,1,2,1,4,6,11,8,25,41,31,38,27,36,27,24,10,7,4,1
1206,vt4_Oulu_Ouluntulli,2020/03/01,2,"17 HA + AV",,2,1,,,,,,,,1,3,3,6,4,3,3,5,1,1,1,1,,
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"11 HA-PA",82,61,39,45,97,292,1136,1445,1100,755,775,824,866,898,856,1026,1140,937,736,530,453,291,170,98
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"12 KAIP",6,5,4,7,7,12,24,26,28,27,21,30,32,26,24,22,15,25,25,20,10,2,13,5
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"13 Linja-autot",2,1,,,,,3,4,1,2,3,,,4,1,3,3,3,2,4,1,1,1,1
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"14 KAPP",2,2,1,1,3,2,7,10,9,9,13,13,8,11,11,13,14,4,11,6,3,5,1,4
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"15 KATP",10,15,7,13,8,11,15,24,20,26,24,15,21,33,24,20,29,15,17,29,22,32,26,15
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"16 HA + PK",,2,,,,1,6,8,7,17,15,22,18,19,16,12,18,20,7,15,8,,3,2
1206,vt4_Oulu_Ouluntulli,2020/03/02,1,"17 HA + AV",,,,,,,4,3,3,2,3,1,4,2,1,1,4,3,,1,1,,,
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"11 HA-PA",55,41,35,27,75,204,414,609,527,499,521,596,707,826,952,1638,1544,984,769,625,491,360,220,98
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"12 KAIP",,1,1,,1,1,3,4,1,1,3,4,9,4,6,6,6,6,1,4,7,1,2,
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"13 Linja-autot",,,,,,,1,,,,,,1,,,,,1,1,,,,,
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"14 KAPP",,,,,,,,2,2,2,,,1,1,1,,3,1,,2,,1,,
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"15 KATP",,1,,2,,,,,1,,2,1,3,1,3,1,,2,2,1,1,,1,
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"16 HA + PK",,,,,1,1,2,4,4,6,8,12,13,16,16,12,12,15,12,12,18,7,3,2
1206,vt4_Oulu_Ouluntulli,2020/03/02,2,"17 HA + AV",,,1,,,,,,,,,1,2,,2,2,2,2,1,3,1,2,1,
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"11 HA-PA",54,50,32,31,79,286,1075,1450,961,721,703,815,890,821,879,1028,1133,972,679,558,457,306,184,117
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"12 KAIP",5,2,2,9,7,10,24,19,21,22,29,26,29,23,32,18,15,16,17,21,11,13,8,2
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"13 Linja-autot",1,,,,1,2,2,2,3,1,1,,,3,1,2,6,2,3,4,2,1,1,
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"14 KAPP",1,1,2,3,5,4,9,18,18,11,15,10,11,8,16,8,13,9,3,6,10,5,,1
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"15 KATP",25,29,15,21,28,24,33,29,29,27,22,15,17,27,27,25,28,19,26,19,24,15,21,16
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"16 HA + PK",1,,1,1,,1,6,13,9,18,11,12,21,16,13,17,18,12,12,10,3,2,,
1206,vt4_Oulu_Ouluntulli,2020/03/03,1,"17 HA + AV",,,2,,,1,1,3,5,1,3,3,1,1,,1,2,4,5,1,1,1,2,
1206,vt4_Oulu_Ouluntulli,2020/03/03,2,"11 HA-PA",64,33,32,18,47,166,432,623,512,443,467,629,704,793,990,1663,1557,996,763,595,514,395,229,94
1206,vt4_Oulu_Ouluntulli,2020/03/03,2,"12 KAIP",,,1,,1,2,1,8,1,5,4,3,4,4,2,11,4,7,2,2,6,3,1,1
1206,vt4_Oulu_Ouluntulli,2020/03/03,2,"13 Linja-autot",,,,,,,2,,1,,,,,,,,,,1,,,,,
