"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
130,vt25_Keravanjärvi,2020/03/01,1,"11 HA-PA",37,19,10,4,10,9,18,40,56,114,128,151,221,233,222,231,235,198,187,138,88,59,27,13
130,vt25_Keravanjärvi,2020/03/01,1,"12 KAIP",,,,,1,2,,2,3,1,2,1,4,4,2,1,3,2,3,1,2,1,,1
130,vt25_Keravanjärvi,2020/03/01,1,"13 Linja-autot",,1,,,,,,,,2,,,,1,,3,,1,,,4,,,
130,vt25_Keravanjärvi,2020/03/01,1,"14 KAPP",,,,,,,,2,,,3,2,4,1,3,,2,1,4,2,,,,1
130,vt25_Keravanjärvi,2020/03/01,1,"15 KATP",1,,,,,,1,1,1,1,1,,2,5,2,2,,3,2,5,2,,2,5
130,vt25_Keravanjärvi,2020/03/01,1,"16 HA + PK",,,,,,,,1,2,3,2,6,7,3,4,8,3,4,4,4,3,1,1,1
130,vt25_Keravanjärvi,2020/03/01,1,"17 HA + AV",,,,,1,,,,,,1,1,,1,3,,2,,,,1,,,
130,vt25_Keravanjärvi,2020/03/01,2,"11 HA-PA",19,19,20,14,6,11,28,29,34,84,98,194,216,251,268,275,311,274,251,186,125,74,39,24
130,vt25_Keravanjärvi,2020/03/01,2,"12 KAIP",1,,,,1,3,1,,,1,,4,4,4,1,3,3,2,2,1,1,2,1,1
130,vt25_Keravanjärvi,2020/03/01,2,"13 Linja-autot",,1,,,,,1,,,2,,1,,,1,,,1,1,2,1,2,,1
130,vt25_Keravanjärvi,2020/03/01,2,"14 KAPP",,,1,,,,,,1,,,2,1,,2,1,2,2,2,2,1,1,,
130,vt25_Keravanjärvi,2020/03/01,2,"15 KATP",,,,,,,1,,1,1,2,2,1,4,4,3,4,1,,2,2,,3,
130,vt25_Keravanjärvi,2020/03/01,2,"16 HA + PK",,,,,,,,1,1,1,5,2,10,8,3,12,8,8,5,7,3,7,1,
130,vt25_Keravanjärvi,2020/03/01,2,"17 HA + AV",,,,,1,,,,,1,,1,2,2,3,1,1,2,1,1,,,,
130,vt25_Keravanjärvi,2020/03/02,1,"11 HA-PA",9,2,4,6,16,88,146,227,206,140,137,142,143,148,186,286,300,161,115,90,69,56,33,15
