"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1424,vt4_Olkkajärvi,2020/03/01,1,"11 HA-PA",7,3,,4,3,4,6,18,31,48,80,87,122,129,130,140,132,133,94,85,61,60,21,14
1424,vt4_Olkkajärvi,2020/03/01,1,"12 KAIP",,,1,,1,1,,,,1,4,,1,,3,2,1,1,,1,2,4,1,2
1424,vt4_Olkkajärvi,2020/03/01,1,"13 Linja-autot",,,,,,1,,,4,3,2,3,5,,4,1,1,2,3,1,2,9,,1
1424,vt4_Olkkajärvi,2020/03/01,1,"14 KAPP",,,,,,,,,1,2,,1,2,3,1,1,1,2,1,,,,,
1424,vt4_Olkkajärvi,2020/03/01,1,"15 KATP",1,1,2,1,1,,1,1,2,3,2,3,3,2,1,5,,3,2,,7,,2,
1424,vt4_Olkkajärvi,2020/03/01,1,"16 HA + PK",,1,,,1,,,1,1,6,7,8,9,14,12,12,3,8,5,8,3,1,,
1424,vt4_Olkkajärvi,2020/03/01,1,"17 HA + AV",1,,,,,,,,,,1,2,4,,1,1,,1,3,1,2,,,
1424,vt4_Olkkajärvi,2020/03/01,2,"11 HA-PA",12,5,1,3,3,3,11,15,39,53,75,97,114,119,137,170,157,103,113,81,53,32,12,7
1424,vt4_Olkkajärvi,2020/03/01,2,"12 KAIP",,,,,,,,,3,1,1,2,1,,1,1,1,2,1,2,1,1,,3
1424,vt4_Olkkajärvi,2020/03/01,2,"13 Linja-autot",,,,,,,,1,5,5,2,4,3,2,2,2,2,2,1,4,3,,,3
1424,vt4_Olkkajärvi,2020/03/01,2,"14 KAPP",,,,,,,,,,1,,1,,,1,3,1,1,,2,1,,1,
1424,vt4_Olkkajärvi,2020/03/01,2,"15 KATP",1,,,,,,1,,2,2,4,2,3,4,5,1,1,2,2,,1,,1,2
1424,vt4_Olkkajärvi,2020/03/01,2,"16 HA + PK",,,,,,1,,,1,4,4,8,9,11,11,8,12,12,7,2,4,2,1,
1424,vt4_Olkkajärvi,2020/03/01,2,"17 HA + AV",,,,,,,,,,,3,1,2,2,2,2,2,4,3,2,,,,
1424,vt4_Olkkajärvi,2020/03/02,1,"11 HA-PA",7,2,2,4,19,28,45,51,78,109,108,115,102,161,152,162,147,111,71,58,62,31,10,10
1424,vt4_Olkkajärvi,2020/03/02,1,"12 KAIP",,,,1,,2,7,6,11,2,3,1,4,2,6,4,3,,1,3,4,1,,2
1424,vt4_Olkkajärvi,2020/03/02,1,"13 Linja-autot",,,1,,,1,2,,3,4,1,3,3,1,2,2,4,3,2,2,,4,,
1424,vt4_Olkkajärvi,2020/03/02,1,"14 KAPP",,,1,,,,4,1,,1,6,,,1,1,1,3,1,,1,,,1,1
1424,vt4_Olkkajärvi,2020/03/02,1,"15 KATP",1,3,1,3,5,8,13,14,5,5,3,3,6,3,5,2,3,6,2,5,1,5,5,2
1424,vt4_Olkkajärvi,2020/03/02,1,"16 HA + PK",,,,,,,3,2,6,4,4,6,10,6,10,8,7,2,2,,3,,,2
1424,vt4_Olkkajärvi,2020/03/02,1,"17 HA + AV",,,,,,,1,,1,1,1,3,1,1,1,1,,,1,1,,,,2
1424,vt4_Olkkajärvi,2020/03/02,2,"11 HA-PA",5,2,6,1,7,17,41,61,78,91,101,106,110,83,100,90,101,85,82,60,37,24,12,12
1424,vt4_Olkkajärvi,2020/03/02,2,"12 KAIP",,,,,,,2,1,3,1,1,5,3,6,6,6,4,3,2,3,1,2,1,
