"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"11 HA-PA",4,,2,1,3,1,2,5,2,14,18,16,28,23,32,53,24,21,26,14,13,12,8,3
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"12 KAIP",,,,,,,,,1,1,,,,1,1,1,2,,1,,1,,3,
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"13 Linja-autot",,,,,,,,,,,,,1,,,1,,,,,,,,
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"14 KAPP",,1,,1,,2,1,3,4,3,7,4,3,4,6,3,8,10,3,1,4,1,4,1
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"15 KATP",,,,,,,,,,,,,,,,1,3,3,,,,,1,
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"16 HA + PK",,,,,,,,,,,2,,1,1,2,3,4,2,,1,2,,,
1468,vt21_Muonio_Pahtonen,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,1,2,,,,,,1,,,,
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"11 HA-PA",1,3,1,1,3,1,6,5,9,18,48,36,24,18,25,21,20,15,8,5,11,4,1,5
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"12 KAIP",,,1,,,1,,1,,1,,,,1,1,,1,1,,,,,,
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"14 KAPP",1,,2,3,,,,,,,,,,1,,,,,,3,,1,,
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"15 KATP",,1,,,,,,,,,,,,,,,,1,,,,1,,
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"16 HA + PK",,,,,,1,,3,3,3,,2,3,,1,2,1,3,1,1,,,,
1468,vt21_Muonio_Pahtonen,2020/03/01,2,"17 HA + AV",,,,1,,,,,,2,1,,,,,,,,,,,,,
1468,vt21_Muonio_Pahtonen,2020/03/02,1,"11 HA-PA",1,,1,2,4,6,14,19,20,9,9,18,26,29,14,18,28,26,17,11,13,8,4,1
1468,vt21_Muonio_Pahtonen,2020/03/02,1,"12 KAIP",,,,,,1,,,1,,1,,,2,2,,,1,,,,,,1
1468,vt21_Muonio_Pahtonen,2020/03/02,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,1,,,,,1,
