"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
146,st101_Länsi-Pakila,2020/03/01,1,"11 HA-PA",516,328,274,241,265,323,385,499,771,1285,1791,2384,2679,3073,3287,3236,3036,3180,2897,2333,1578,1150,844,343
146,st101_Länsi-Pakila,2020/03/01,1,"12 KAIP",4,1,,1,2,,1,5,5,8,7,9,16,21,14,11,17,5,10,11,5,15,5,7
146,st101_Länsi-Pakila,2020/03/01,1,"13 Linja-autot",3,,,1,,3,6,8,7,6,5,6,6,4,5,11,3,6,8,8,8,2,3,5
146,st101_Länsi-Pakila,2020/03/01,1,"14 KAPP",,1,,,,1,2,,,1,3,3,5,19,12,14,32,3,5,29,3,15,24,5
146,st101_Länsi-Pakila,2020/03/01,1,"15 KATP",,1,,,,,,,,,2,1,2,,2,1,5,2,,2,1,2,3,4
146,st101_Länsi-Pakila,2020/03/01,1,"16 HA + PK",,3,,,,,2,,2,8,7,15,11,15,18,12,16,11,9,12,5,2,2,
146,st101_Länsi-Pakila,2020/03/01,1,"17 HA + AV",1,1,,,,2,,1,,1,2,1,1,3,,4,5,3,3,2,1,1,1,
146,st101_Länsi-Pakila,2020/03/01,2,"11 HA-PA",538,299,249,203,206,275,423,463,744,1088,1732,2132,2567,3002,3285,3260,3205,3270,3016,2498,1870,1168,771,493
146,st101_Länsi-Pakila,2020/03/01,2,"12 KAIP",3,3,3,,,4,3,7,16,4,8,12,12,12,12,11,13,12,15,9,11,9,3,8
146,st101_Länsi-Pakila,2020/03/01,2,"13 Linja-autot",1,,,1,1,,3,1,4,2,3,3,2,1,3,2,2,2,3,3,2,2,4,1
146,st101_Länsi-Pakila,2020/03/01,2,"14 KAPP",3,1,2,1,1,2,5,7,8,1,5,10,7,7,15,5,5,8,9,7,8,9,6,4
146,st101_Länsi-Pakila,2020/03/01,2,"15 KATP",,,,,,,,,,,1,1,5,2,1,,3,2,1,,4,1,4,3
146,st101_Länsi-Pakila,2020/03/01,2,"16 HA + PK",2,,,,,,,,5,1,10,9,11,12,18,13,14,8,13,6,8,4,1,1
146,st101_Länsi-Pakila,2020/03/01,2,"17 HA + AV",,,,,,,,,1,1,1,2,,3,1,6,5,2,3,2,1,3,,3
146,st101_Länsi-Pakila,2020/03/02,1,"11 HA-PA",256,155,78,101,215,729,2896,4082,4534,2864,2389,2528,2604,3063,4012,5924,5143,4427,3228,2463,2002,1482,804,431
146,st101_Länsi-Pakila,2020/03/02,1,"12 KAIP",8,6,6,13,17,22,68,80,83,107,108,94,117,118,105,85,53,39,33,24,20,15,11,6
146,st101_Länsi-Pakila,2020/03/02,1,"13 Linja-autot",4,,,,6,10,16,9,12,11,9,9,10,10,11,10,9,11,12,8,5,4,6,2
146,st101_Länsi-Pakila,2020/03/02,1,"14 KAPP",7,8,4,2,6,10,27,21,39,43,69,20,32,46,48,47,74,21,17,20,10,38,28,9
146,st101_Länsi-Pakila,2020/03/02,1,"15 KATP",3,4,3,3,7,10,14,14,20,20,33,21,22,18,14,18,10,11,9,4,4,3,7,7
146,st101_Länsi-Pakila,2020/03/02,1,"16 HA + PK",,,,,,1,4,11,18,10,19,12,21,14,22,13,15,15,10,12,7,5,1,1
146,st101_Länsi-Pakila,2020/03/02,1,"17 HA + AV",,,,,1,,3,7,7,5,6,6,7,11,12,19,17,7,3,2,4,1,1,1
146,st101_Länsi-Pakila,2020/03/02,2,"11 HA-PA",301,162,100,92,206,1094,4038,4968,4865,3153,2362,2401,2645,2551,3215,4732,4891,3830,2771,2298,1913,1356,749,496
146,st101_Länsi-Pakila,2020/03/02,2,"12 KAIP",8,7,12,10,30,42,125,118,101,94,107,92,107,109,97,74,51,40,31,23,24,15,9,9
146,st101_Länsi-Pakila,2020/03/02,2,"13 Linja-autot",3,2,,1,2,6,7,9,3,5,3,3,4,5,7,5,5,7,7,4,3,5,2,2
146,st101_Länsi-Pakila,2020/03/02,2,"14 KAPP",5,3,5,2,4,7,22,21,28,31,32,36,30,37,39,35,32,38,16,17,18,5,7,8
146,st101_Länsi-Pakila,2020/03/02,2,"15 KATP",2,1,5,5,9,9,17,16,9,27,18,29,19,15,15,13,11,5,9,7,8,5,5,3
146,st101_Länsi-Pakila,2020/03/02,2,"16 HA + PK",1,,,1,1,2,8,7,13,15,14,12,13,16,14,17,14,13,14,11,3,1,,
146,st101_Länsi-Pakila,2020/03/02,2,"17 HA + AV",,1,,,,3,5,11,8,4,7,8,5,6,6,11,7,6,3,2,1,2,,
146,st101_Länsi-Pakila,2020/03/03,1,"11 HA-PA",211,121,99,84,195,712,2780,4288,4481,2918,2337,2592,2728,2967,4246,5598,5226,4456,3401,2548,2046,1613,845,443
