"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1604,vt1_Lahnajärvi,2020/03/01,1,"11 HA-PA",173,55,27,11,8,18,48,74,87,135,239,367,365,402,426,486,542,584,539,441,293,141,110,56
1604,vt1_Lahnajärvi,2020/03/01,1,"12 KAIP",3,1,1,1,,,1,1,,4,5,5,2,2,4,7,12,7,12,7,6,4,3,5
1604,vt1_Lahnajärvi,2020/03/01,1,"13 Linja-autot",,2,,,1,,3,,1,,1,2,1,1,2,1,4,3,2,1,4,1,,1
1604,vt1_Lahnajärvi,2020/03/01,1,"14 KAPP",3,4,2,,1,3,,2,4,2,1,6,3,10,5,14,11,11,10,9,6,3,12,3
1604,vt1_Lahnajärvi,2020/03/01,1,"15 KATP",,,,1,,2,,,,1,2,1,2,4,7,3,3,4,8,7,4,3,2,7
1604,vt1_Lahnajärvi,2020/03/01,1,"16 HA + PK",1,,,1,,1,,,,3,,8,1,3,4,4,3,4,11,6,2,4,2,2
1604,vt1_Lahnajärvi,2020/03/01,1,"17 HA + AV",,,,,,,,,,2,1,1,,,,1,2,1,,1,,,2,1
1604,vt1_Lahnajärvi,2020/03/01,2,"11 HA-PA",31,17,16,12,32,25,32,59,117,205,318,468,560,546,607,628,637,621,521,446,312,187,63,32
1604,vt1_Lahnajärvi,2020/03/01,2,"12 KAIP",,,,,2,1,2,,1,6,2,4,2,3,4,7,5,7,7,3,2,2,1,
1604,vt1_Lahnajärvi,2020/03/01,2,"13 Linja-autot",,,1,,1,1,,,,1,2,1,3,2,4,1,2,,1,2,1,,,1
1604,vt1_Lahnajärvi,2020/03/01,2,"14 KAPP",,,3,1,1,,,1,10,5,5,5,2,7,4,4,6,1,1,5,24,22,5,3
1604,vt1_Lahnajärvi,2020/03/01,2,"15 KATP",,,1,,,,,,7,5,7,1,4,6,4,7,12,10,3,6,17,12,9,3
1604,vt1_Lahnajärvi,2020/03/01,2,"16 HA + PK",,,,,,,,2,2,4,4,4,7,11,10,5,7,10,7,4,3,,,
1604,vt1_Lahnajärvi,2020/03/01,2,"17 HA + AV",,,,,,,,,2,,,1,4,2,,1,,,1,1,,2,2,1
1604,vt1_Lahnajärvi,2020/03/02,1,"11 HA-PA",29,25,17,5,10,64,163,300,312,235,274,244,227,264,322,423,539,418,272,191,122,95,88,48
1604,vt1_Lahnajärvi,2020/03/02,1,"12 KAIP",6,2,2,1,1,4,6,6,9,10,15,10,11,15,16,17,19,12,10,5,4,3,3,4
1604,vt1_Lahnajärvi,2020/03/02,1,"13 Linja-autot",,1,1,,1,,,1,,,4,1,1,1,1,1,1,2,1,1,,1,2,1
1604,vt1_Lahnajärvi,2020/03/02,1,"14 KAPP",4,4,4,4,6,2,6,8,12,11,30,15,22,25,15,28,21,29,23,27,12,6,8,3
1604,vt1_Lahnajärvi,2020/03/02,1,"15 KATP",4,7,6,8,6,9,21,15,15,9,20,23,13,23,30,26,21,34,25,17,12,10,16,10
1604,vt1_Lahnajärvi,2020/03/02,1,"16 HA + PK",,1,,,,1,2,1,1,1,3,2,3,1,3,4,2,3,3,3,1,1,1,1
1604,vt1_Lahnajärvi,2020/03/02,1,"17 HA + AV",,,,1,,,,1,2,1,2,1,1,,2,1,1,1,,,,,1,
1604,vt1_Lahnajärvi,2020/03/02,2,"11 HA-PA",12,9,8,27,60,270,395,639,537,357,285,216,196,252,252,254,303,294,175,134,120,93,30,14
1604,vt1_Lahnajärvi,2020/03/02,2,"12 KAIP",,3,,,4,8,13,16,12,14,7,9,9,10,9,8,7,6,6,5,7,2,1,1
1604,vt1_Lahnajärvi,2020/03/02,2,"13 Linja-autot",,,1,1,1,,1,2,1,1,1,2,2,3,,,2,2,,1,1,1,,1
1604,vt1_Lahnajärvi,2020/03/02,2,"14 KAPP",,1,,4,3,6,9,16,37,46,23,27,17,27,20,16,11,9,7,7,12,19,5,6
