"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
226,vt23_Kankaanpää,2020/03/01,1,"11 HA-PA",7,13,10,5,2,7,6,12,22,54,56,77,96,89,88,101,93,111,87,94,130,56,13,3
226,vt23_Kankaanpää,2020/03/01,1,"12 KAIP",,1,,,,,,,1,3,2,1,1,5,1,3,1,2,3,1,,,1,4
226,vt23_Kankaanpää,2020/03/01,1,"13 Linja-autot",,,,1,,,,,,,,,,,,,1,1,1,,3,1,,1
226,vt23_Kankaanpää,2020/03/01,1,"14 KAPP",,,,,,,,,,,1,,,,,1,1,1,1,,1,2,,
226,vt23_Kankaanpää,2020/03/01,1,"15 KATP",1,,,,,,,,,,1,,,,,1,1,,2,1,,,1,1
226,vt23_Kankaanpää,2020/03/01,1,"16 HA + PK",,,,,,,,,1,1,2,,2,4,,4,1,3,,,,,,
226,vt23_Kankaanpää,2020/03/01,1,"17 HA + AV",,,,,,,,,,,1,,1,,1,,1,2,,1,,,,
226,vt23_Kankaanpää,2020/03/01,2,"11 HA-PA",11,13,4,7,2,7,8,13,21,46,49,67,108,93,104,95,111,134,117,78,58,44,16,12
226,vt23_Kankaanpää,2020/03/01,2,"12 KAIP",,1,,1,,,,,1,1,,2,1,1,1,2,2,,,,2,2,,
226,vt23_Kankaanpää,2020/03/01,2,"13 Linja-autot",1,,,,1,,1,,,,,,,,1,2,2,,2,,,1,,1
226,vt23_Kankaanpää,2020/03/01,2,"14 KAPP",,,,,,,,,,,,1,1,,,,,1,,,,,,
226,vt23_Kankaanpää,2020/03/01,2,"15 KATP",,,,,2,3,,,,1,,,,1,,1,,3,,1,3,,1,2
226,vt23_Kankaanpää,2020/03/01,2,"16 HA + PK",,,,,,,,,,,2,2,2,3,1,2,5,5,1,2,,,,
226,vt23_Kankaanpää,2020/03/01,2,"17 HA + AV",,,,,,,,,,,1,2,,1,1,,,,,1,,,,1
226,vt23_Kankaanpää,2020/03/02,1,"11 HA-PA",,4,3,1,7,35,73,188,149,92,74,79,93,88,88,127,153,101,57,63,47,23,14,6
226,vt23_Kankaanpää,2020/03/02,1,"12 KAIP",1,,1,,,,5,5,7,2,5,4,3,3,5,5,5,1,2,2,,1,,
226,vt23_Kankaanpää,2020/03/02,1,"13 Linja-autot",,,,,,,1,2,1,1,,1,2,1,1,1,2,1,1,2,,,,
226,vt23_Kankaanpää,2020/03/02,1,"14 KAPP",,,,,,1,2,3,1,1,1,,,,,1,1,2,1,1,1,,,
226,vt23_Kankaanpää,2020/03/02,1,"15 KATP",,,,1,1,1,3,3,9,5,3,1,6,5,7,1,4,4,5,2,1,3,,
226,vt23_Kankaanpää,2020/03/02,1,"16 HA + PK",,,,,,,,1,1,2,2,,1,1,1,5,2,1,1,,,,1,
226,vt23_Kankaanpää,2020/03/02,1,"17 HA + AV",,,,,,,2,1,2,1,3,1,1,1,,3,4,,3,,,,,
226,vt23_Kankaanpää,2020/03/02,2,"11 HA-PA",3,3,5,3,9,31,94,116,85,94,89,70,87,96,118,160,183,107,63,38,45,28,11,7
226,vt23_Kankaanpää,2020/03/02,2,"12 KAIP",,,,1,1,1,3,5,8,5,3,8,8,3,4,2,3,2,,2,1,1,1,1
226,vt23_Kankaanpää,2020/03/02,2,"13 Linja-autot",,,,,,1,2,2,,1,3,1,2,1,,1,1,1,,,,,,
226,vt23_Kankaanpää,2020/03/02,2,"14 KAPP",,,,,,,,,,1,2,,4,3,1,3,3,2,1,1,1,,,
