"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
231,kt40_Vanto,2020/03/01,1,"11 HA-PA",84,63,51,37,37,23,42,66,74,188,246,412,470,509,539,524,475,504,429,333,281,153,81,21
231,kt40_Vanto,2020/03/01,1,"12 KAIP",2,1,,,1,1,2,,3,5,,4,,4,1,3,4,2,5,4,2,1,1,2
231,kt40_Vanto,2020/03/01,1,"13 Linja-autot",,,,,,1,,,4,2,2,1,1,4,4,2,1,4,2,2,1,,1,
231,kt40_Vanto,2020/03/01,1,"14 KAPP",1,,2,1,1,,1,2,2,7,3,1,,,1,3,2,3,4,2,4,5,,1
231,kt40_Vanto,2020/03/01,1,"15 KATP",,,3,2,,1,4,6,7,8,1,4,1,3,3,2,2,5,6,8,10,7,1,
231,kt40_Vanto,2020/03/01,1,"16 HA + PK",2,,,2,,,,2,6,,4,5,7,2,7,6,8,8,10,4,3,1,1,
231,kt40_Vanto,2020/03/01,1,"17 HA + AV",,1,,,,,,1,1,,1,1,2,1,2,,,3,2,,1,2,1,
231,kt40_Vanto,2020/03/01,2,"11 HA-PA",61,55,37,28,37,44,57,86,128,221,349,480,557,582,525,572,486,497,383,325,227,106,71,27
231,kt40_Vanto,2020/03/01,2,"12 KAIP",1,2,,,1,,2,1,,7,5,9,5,5,7,6,4,3,4,4,3,3,2,
231,kt40_Vanto,2020/03/01,2,"13 Linja-autot",,,,1,,1,,,1,,1,3,2,4,4,3,2,4,4,1,1,1,1,
231,kt40_Vanto,2020/03/01,2,"14 KAPP",,1,,,,,,13,,2,2,2,2,,3,4,1,2,,23,2,2,1,
231,kt40_Vanto,2020/03/01,2,"15 KATP",1,,,,,,2,12,2,3,5,7,6,6,7,5,10,6,24,13,5,2,2,
231,kt40_Vanto,2020/03/01,2,"16 HA + PK",1,,1,,2,,,3,1,6,5,6,6,4,7,15,7,6,8,4,4,1,1,
231,kt40_Vanto,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,1,,,,1,,1,1,2,,2,,
231,kt40_Vanto,2020/03/02,1,"11 HA-PA",24,27,7,9,12,87,335,426,404,302,284,383,393,414,619,1019,1077,722,568,434,336,197,121,49
231,kt40_Vanto,2020/03/02,1,"12 KAIP",1,1,1,1,,3,17,14,18,19,15,20,18,18,12,12,12,6,17,4,,2,1,2
231,kt40_Vanto,2020/03/02,1,"13 Linja-autot",,1,,,2,2,3,1,2,3,1,4,1,,5,1,5,1,2,5,2,,,1
231,kt40_Vanto,2020/03/02,1,"14 KAPP",,,2,2,1,2,5,6,8,4,8,6,6,3,3,7,7,5,9,15,7,8,,2
231,kt40_Vanto,2020/03/02,1,"15 KATP",,,3,2,2,1,11,19,6,23,19,15,18,20,17,11,12,18,23,28,27,22,5,5
231,kt40_Vanto,2020/03/02,1,"16 HA + PK",,,,,,2,5,6,13,11,13,8,10,7,15,13,16,9,2,5,4,2,2,1
