"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"11 HA-PA",82,110,49,20,15,26,61,119,130,153,250,383,483,452,536,595,630,711,628,610,415,223,103,71
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"12 KAIP",1,,,,,1,2,2,2,3,2,4,4,3,3,4,4,10,3,6,5,4,,
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"13 Linja-autot",2,3,2,,,1,1,1,,1,3,4,3,2,3,6,5,4,7,8,5,6,4,1
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"14 KAPP",1,1,3,,2,1,3,,1,4,4,1,1,8,3,7,8,16,8,6,9,4,4,6
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"15 KATP",,,1,1,1,,3,,1,,1,2,3,3,8,9,12,5,6,3,7,2,1,3
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"16 HA + PK",2,,,1,,1,1,1,2,4,3,3,7,4,7,8,7,7,4,9,13,3,2,1
243,vt1_Paimio_Paimionmäki,2020/03/01,1,"17 HA + AV",,,,,1,1,,2,,,,2,,,,1,,1,2,,,1,2,1
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"11 HA-PA",47,24,21,23,30,28,50,100,181,294,399,522,601,564,632,598,617,550,489,407,298,156,54,24
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"12 KAIP",1,,,2,1,1,2,3,4,5,6,3,8,6,15,8,11,12,8,5,5,2,1,2
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"13 Linja-autot",,1,1,1,1,,,3,1,6,4,3,3,4,4,3,3,3,1,2,4,1,2,
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"14 KAPP",,2,,1,1,,1,7,7,3,6,3,4,6,4,6,4,4,3,28,19,6,2,1
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"15 KATP",1,1,,,,,,7,6,7,2,5,11,8,7,11,5,12,12,14,27,9,1,3
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"16 HA + PK",,,,,,,1,1,3,5,6,15,8,8,5,13,16,9,11,10,5,1,,1
243,vt1_Paimio_Paimionmäki,2020/03/01,2,"17 HA + AV",,,,,,,,,,1,1,1,1,1,3,5,2,1,,2,2,2,2,
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"11 HA-PA",36,26,21,12,22,150,604,758,605,423,339,364,312,348,401,592,636,522,379,259,195,132,94,70
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"12 KAIP",6,2,4,4,6,8,13,12,19,16,15,19,11,14,17,16,17,11,12,8,2,3,2,1
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"13 Linja-autot",2,2,1,1,,,1,4,1,3,2,2,2,2,1,4,7,5,5,4,2,2,2,2
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"14 KAPP",2,3,5,1,6,9,4,12,19,44,29,29,19,14,20,25,16,21,31,26,17,4,12,7
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"15 KATP",6,3,7,11,2,9,17,19,21,25,9,15,22,14,25,31,27,28,28,26,18,8,7,17
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"16 HA + PK",,,,,,,5,2,6,2,6,4,9,6,2,5,2,6,,6,3,,1,
243,vt1_Paimio_Paimionmäki,2020/03/02,1,"17 HA + AV",,,,,,,,3,3,1,1,1,1,1,1,1,3,2,,1,,,,
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"11 HA-PA",10,12,10,20,67,170,416,787,634,341,298,254,330,311,430,707,760,459,269,240,203,118,67,34
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"12 KAIP",4,6,2,1,6,18,21,33,20,24,18,11,19,14,14,25,19,15,10,8,7,6,,1
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"13 Linja-autot",,,1,1,1,2,4,6,5,4,1,3,5,4,2,2,3,4,2,,3,1,1,
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"14 KAPP",1,1,2,4,4,5,11,26,51,17,30,16,28,20,30,16,18,20,13,13,19,3,7,3
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"15 KATP",3,3,4,2,8,13,15,24,49,45,25,32,32,20,20,34,23,17,19,18,25,19,9,10
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"16 HA + PK",1,,,1,5,5,9,13,11,8,8,7,8,6,8,13,14,8,4,7,1,2,2,
243,vt1_Paimio_Paimionmäki,2020/03/02,2,"17 HA + AV",,,,1,,2,,3,5,5,,1,2,2,5,1,,4,3,,2,,,
